date,value
2016-09-12,182.24
2016-09-14,182.81
2016-09-15,183.02
2016-09-16,183.3
2016-09-19,183.75
2016-09-20,183.3
2016-09-21,183.29
2016-09-22,185.36
2016-09-23,184.78
2016-09-26,183.08
2016-09-27,182.98
2016-09-28,183.64
2016-09-29,179.74
2016-09-30,181.1
2016-10-03,184.14
2016-10-04,184.74
2016-10-05,184.61
2016-10-06,183.99
2016-10-07,184.1
2016-10-10,184.11
2016-10-13,181.44
2016-10-14,182.02
2016-10-17,180.81
2016-10-18,183.57
2016-10-19,183.15
2016-10-20,183.78
2016-10-21,184.01
2016-10-24,184.52
2016-10-25,184.39
2016-10-26,182.81
2016-10-27,181.88
2016-10-28,183.04
2016-11-01,182.84
2016-11-02,180.21
2016-11-03,179.14
2016-11-04,177.72
2016-11-07,179.53
2016-11-08,180.13
2016-11-09,177.63
2016-11-10,180.11
2016-11-11,175.06
2016-11-15,169.82
2016-11-16,170.16
2016-11-17,169.8
2016-11-18,169.62
2016-11-21,166.45
2016-11-22,167.93
2016-11-23,168.68
2016-11-24,167.07
2016-11-25,169.78
2016-11-28,170.0
2016-11-29,170.5
2016-11-30,172.17
2016-12-01,171.21
2016-12-02,169.04
2016-12-05,169.82
2016-12-06,169.88
2016-12-07,169.18
2016-12-08,171.87
2016-12-09,172.22
2016-12-12,170.19
2016-12-13,170.76
2016-12-14,170.04
2016-12-15,169.38
2016-12-16,169.34
2016-12-19,168.99
2016-12-20,168.38
2016-12-21,168.28
2016-12-22,166.74
2016-12-23,166.89
2016-12-26,164.95
2016-12-27,167.14
2016-12-28,167.41
2016-12-29,169.04
2016-12-30,170.56
2017-01-02,170.82
2017-01-03,171.65
2017-01-04,171.21
2017-01-05,172.84
2017-01-06,172.18
2017-01-09,172.24
2017-01-10,173.25
2017-01-11,175.22
2017-01-12,175.71
2017-01-13,175.58
2017-01-16,176.03
2017-01-17,175.94
2017-01-18,176.62
2017-01-19,177.08
2017-01-20,175.29
2017-01-23,176.23
2017-01-24,177.82
2017-01-25,180.44
2017-01-27,181.26
2017-01-30,181.12
2017-01-31,179.18
2017-02-01,182.46
2017-02-02,183.52
2017-02-03,183.83
2017-02-06,185.03
2017-02-07,184.33
2017-02-08,184.53
2017-02-09,184.9
2017-02-10,184.94
2017-02-13,184.54
2017-02-14,184.02
2017-02-15,182.29
2017-02-16,184.2
2017-02-17,185.66
2017-02-20,186.67
2017-02-21,187.41
2017-02-22,187.18
2017-02-23,187.14
2017-02-27,186.41
2017-02-28,186.19
2017-03-01,187.29
2017-03-02,185.78
2017-03-03,186.07
2017-03-06,187.09
2017-03-07,186.72
2017-03-08,186.22
2017-03-09,186.42
2017-03-10,186.04
2017-03-14,189.03
2017-03-15,189.49
2017-03-16,191.5
2017-03-17,191.29
2017-03-20,190.88
2017-03-21,190.49
2017-03-22,188.8
2017-03-23,190.44
2017-03-24,190.88
2017-03-27,190.05
2017-03-28,190.89
2017-03-29,191.7
2017-03-30,192.41
2017-03-31,193.1
2017-04-03,194.12
2017-04-05,194.85
2017-04-06,194.54
2017-04-07,193.34
2017-04-10,193.89
2017-04-11,195.17
2017-04-12,194.4
2017-04-13,193.52
2017-04-17,193.21
2017-04-18,192.6
2017-04-19,192.99
2017-04-20,193.72
2017-04-21,193.4
2017-04-24,194.86
2017-04-25,196.71
2017-04-26,197.12
