date,value
2016-09-12,71.05
2016-09-14,71.46
2016-09-15,71.55
2016-09-16,71.65
2016-09-19,71.79
2016-09-20,71.34
2016-09-21,71.38
2016-09-22,72.27
2016-09-23,71.97
2016-09-26,71.1
2016-09-27,71.1
2016-09-28,71.65
2016-09-29,70.07
2016-09-30,70.36
2016-10-03,71.85
2016-10-04,72.08
2016-10-05,71.91
2016-10-06,71.47
2016-10-07,71.21
2016-10-10,71.31
2016-10-13,70.29
2016-10-14,70.33
2016-10-17,69.67
2016-10-18,70.49
2016-10-19,70.4
2016-10-20,70.7
2016-10-21,70.84
2016-10-24,70.91
2016-10-25,71.18
2016-10-26,70.85
2016-10-27,70.45
2016-10-28,70.84
2016-11-01,70.98
2016-11-02,69.92
2016-11-03,69.52
2016-11-04,68.72
2016-11-07,69.37
2016-11-08,69.92
2016-11-09,68.76
2016-11-10,69.54
2016-11-11,67.4
2016-11-15,64.55
2016-11-16,64.67
2016-11-17,64.49
2016-11-18,64.25
2016-11-21,63.02
2016-11-22,63.61
2016-11-23,64.12
2016-11-24,63.74
2016-11-25,64.64
2016-11-28,64.74
2016-11-29,65.09
2016-11-30,65.76
2016-12-01,65.07
2016-12-02,64.37
2016-12-05,64.7
2016-12-06,64.78
2016-12-07,64.35
2016-12-08,65.26
2016-12-09,65.49
2016-12-12,64.54
2016-12-13,64.47
2016-12-14,64.01
2016-12-15,63.87
2016-12-16,63.55
2016-12-19,63.26
2016-12-20,62.8
2016-12-21,62.76
2016-12-22,62.0
2016-12-23,61.68
2016-12-26,60.82
2016-12-27,61.72
2016-12-28,61.91
2016-12-29,62.45
2016-12-30,63.11
2017-01-02,63.09
2017-01-03,63.28
2017-01-04,63.26
2017-01-05,63.93
2017-01-06,63.83
2017-01-09,63.82
2017-01-10,64.3
2017-01-11,65.41
2017-01-12,65.48
2017-01-13,65.39
2017-01-16,65.88
2017-01-17,65.9
2017-01-18,66.47
2017-01-19,66.74
2017-01-20,66.1
2017-01-23,66.49
2017-01-24,67.17
2017-01-25,68.21
2017-01-27,68.52
2017-01-30,68.39
2017-01-31,67.65
2017-02-01,68.91
2017-02-02,69.32
2017-02-03,69.56
2017-02-06,70.04
2017-02-07,69.89
2017-02-08,70.14
2017-02-09,70.04
2017-02-10,70.08
2017-02-13,70.13
2017-02-14,69.66
2017-02-15,69.15
2017-02-16,69.79
2017-02-17,70.49
2017-02-20,71.13
2017-02-21,71.18
2017-02-22,70.98
2017-02-23,70.94
2017-02-27,70.43
2017-02-28,70.69
2017-03-01,71.04
2017-03-02,70.38
2017-03-03,70.21
2017-03-06,70.6
2017-03-07,70.28
2017-03-08,70.14
2017-03-09,70.33
2017-03-10,70.36
2017-03-14,71.63
2017-03-15,72.09
2017-03-16,72.77
2017-03-17,72.75
2017-03-20,72.5
2017-03-21,72.52
2017-03-22,71.65
2017-03-23,72.39
2017-03-24,72.95
2017-03-27,72.9
2017-03-28,73.26
2017-03-29,73.6
2017-03-30,74.02
2017-03-31,74.22
2017-04-03,74.39
2017-04-05,74.85
2017-04-06,74.79
2017-04-07,74.53
2017-04-10,74.94
2017-04-11,75.54
2017-04-12,75.51
2017-04-13,75.29
2017-04-17,75.15
2017-04-18,74.98
2017-04-19,75.32
2017-04-20,75.52
2017-04-21,75.34
2017-04-24,75.82
2017-04-25,76.49
2017-04-26,76.58
2017-04-27,76.67
2017-04-28,77.21
2017-05-02,77.42
2017-05-03,77.13
2017-05-04,77.51
2017-05-05,77.26
2017-05-08,77.6
2017-05-09,77.43
2017-05-10,77.96
2017-05-11,77.99
2017-05-12,77.59
2017-05-15,78.39
2017-05-16,78.86
2017-05-17,78.75
2017-05-18,77.72
2017-05-19,77.43
2017-05-22,76.97
2017-05-23,76.39
2017-05-24,76.05
2017-05-25,77.5
2017-05-26,78.56
2017-05-29,78.2
2017-05-30,78.38
2017-05-31,79.08
2017-06-01,79.11
2017-06-02,79.22
2017-06-05,79.39
2017-06-06,79.0
2017-06-07,79.75
2017-06-08,79.95
2017-06-09,80.54
2017-06-12,80.24
2017-06-13,80.44
2017-06-14,80.43
2017-06-15,80.52
2017-06-16,80.96
2017-06-19,81.28
2017-06-20,81.32
2017-06-21,81.26
2017-06-22,80.99
2017-06-23,80.22
2017-06-27,79.32
