date,value
2016-09-12,365.54
2016-09-14,369.18
2016-09-15,368.58
2016-09-16,369.41
2016-09-19,371.13
2016-09-20,370.09
2016-09-21,369.75
2016-09-22,375.51
2016-09-23,373.56
2016-09-26,369.75
2016-09-27,368.12
2016-09-28,371.46
2016-09-29,361.89
2016-09-30,365.96
2016-10-03,372.34
2016-10-04,375.13
2016-10-05,375.22
2016-10-06,373.38
2016-10-07,373.95
2016-10-10,373.77
2016-10-13,366.7
2016-10-14,368.56
2016-10-17,366.32
2016-10-18,373.61
2016-10-19,373.45
2016-10-20,376.13
2016-10-21,376.28
2016-10-24,377.11
2016-10-25,376.5
2016-10-26,371.04
2016-10-27,370.59
2016-10-28,372.51
2016-11-01,372.71
2016-11-02,365.81
2016-11-03,362.16
2016-11-04,359.42
2016-11-07,363.6
2016-11-08,365.36
2016-11-09,361.54
2016-11-10,371.96
2016-11-11,362.03
2016-11-15,354.23
2016-11-16,354.34
2016-11-17,354.11
2016-11-18,353.93
2016-11-21,344.31
2016-11-22,347.16
2016-11-23,349.13
2016-11-24,347.58
2016-11-25,353.99
2016-11-28,353.51
2016-11-29,353.78
2016-11-30,358.42
2016-12-01,355.86
2016-12-02,350.86
2016-12-05,352.71
2016-12-06,354.02
2016-12-07,351.81
2016-12-08,358.27
2016-12-09,360.63
2016-12-12,356.57
2016-12-13,357.96
2016-12-14,355.1
2016-12-15,355.08
2016-12-16,354.28
2016-12-19,352.83
2016-12-20,350.45
2016-12-21,349.96
2016-12-22,345.44
2016-12-23,345.51
2016-12-26,340.16
2016-12-27,346.05
2016-12-28,345.52
2016-12-29,347.78
2016-12-30,351.5
2017-01-02,351.81
2017-01-03,352.91
2017-01-04,352.37
2017-01-05,357.16
2017-01-06,355.96
2017-01-09,356.5
2017-01-10,359.69
2017-01-11,364.5
2017-01-12,366.62
2017-01-13,366.14
2017-01-16,368.11
2017-01-17,367.41
2017-01-18,368.72
2017-01-19,369.86
2017-01-20,363.69
2017-01-23,365.61
2017-01-24,369.51
2017-01-25,373.99
2017-01-27,377.2
2017-01-30,377.1
2017-01-31,372.68
2017-02-01,380.96
2017-02-02,383.18
2017-02-03,385.14
2017-02-06,387.09
2017-02-07,386.63
2017-02-08,387.12
2017-02-09,386.94
2017-02-10,387.77
2017-02-13,385.95
2017-02-14,384.67
2017-02-15,379.46
2017-02-16,383.65
2017-02-17,385.7
2017-02-20,389.29
2017-02-21,391.27
2017-02-22,390.77
2017-02-23,390.43
2017-02-27,388.13
2017-02-28,388.22
2017-03-01,390.5
2017-03-02,387.04
2017-03-03,387.39
2017-03-06,390.04
2017-03-07,389.21
2017-03-08,387.34
2017-03-09,387.77
2017-03-10,387.08
2017-03-14,394.05
2017-03-15,395.07
2017-03-16,399.5
2017-03-17,398.76
2017-03-20,397.57
2017-03-21,396.5
2017-03-22,391.5
2017-03-23,394.07
2017-03-24,396.43
2017-03-27,394.42
2017-03-28,396.92
2017-03-29,399.4
2017-03-30,401.17
2017-03-31,401.86
2017-04-03,405.43
2017-04-05,408.01
2017-04-06,407.32
2017-04-07,405.1
2017-04-10,405.4
2017-04-11,409.55
2017-04-12,406.84
2017-04-13,404.48
2017-04-17,403.9
2017-04-18,402.72
2017-04-19,402.77
2017-04-20,404.37
2017-04-21,403.71
2017-04-24,407.31
2017-04-25,410.82
2017-04-26,412.34
2017-04-27,411.79
2017-04-28,413.61
2017-05-02,413.57
2017-05-03,413.7
2017-05-04,418.66
2017-05-05,414.39
2017-05-08,416.1
2017-05-09,416.87
2017-05-10,419.53
2017-05-11,419.28
2017-05-12,417.76
2017-05-15,420.07
2017-05-16,423.22
2017-05-17,424.15
2017-05-18,417.42
2017-05-19,417.82
2017-05-22,415.25
2017-05-23,411.33
2017-05-24,408.6
2017-05-25,416.0
2017-05-26,420.68
2017-05-29,417.88
2017-05-30,420.7
2017-05-31,420.23
2017-06-01,420.21
2017-06-02,421.19
2017-06-05,422.43
2017-06-06,420.14
2017-06-07,421.91
2017-06-08,421.43
2017-06-09,422.38
2017-06-12,418.67
2017-06-13,418.48
2017-06-14,419.53
2017-06-15,418.59
2017-06-16,419.26
2017-06-19,422.56
2017-06-20,422.64
2017-06-21,421.95
2017-06-22,421.36
2017-06-23,417.71
2017-06-27,413.89
2017-06-28,414.11
2017-06-29,414.82
2017-06-30,416.37
2017-07-03,419.82
2017-07-04,419.15
2017-07-05,420.35
2017-07-06,422.91
2017-07-07,422.92
2017-07-10,428.75
2017-07-11,427.7
2017-07-12,429.58
2017-07-13,432.95
2017-07-14,433.66
2017-07-17,435.06
2017-07-18,432.2
2017-07-19,435.79
2017-07-20,434.1
2017-07-21,435.2
2017-07-24,437.5
2017-07-25,437.97
2017-07-26,439.85
2017-07-27,438.61
2017-07-28,438.86
2017-07-31,443.76
2017-08-01,443.63
2017-08-02,442.04
2017-08-03,438.04
2017-08-04,440.68
2017-08-07,441.9
2017-08-08,438.19
2017-08-09,433.96
2017-08-10,427.66
2017-08-11,422.57
2017-08-14,427.33
2017-08-16,431.08
2017-08-17,431.57
2017-08-18,427.33
2017-08-21,422.52
2017-08-22,422.1
2017-08-23,427.27
2017-08-24,429.1
2017-08-28,432.15
2017-08-29,427.24
2017-08-30,430.39
2017-08-31,430.86
2017-09-01,433.35
2017-09-04,430.09
2017-09-05,431.96
2017-09-06,430.03
2017-09-07,430.71
2017-09-08,430.44
2017-09-11,434.31
2017-09-12,438.56
2017-09-13,438.76
2017-09-14,440.77
2017-09-15,440.63
2017-09-18,442.6
2017-09-19,442.76
2017-09-20,443.26
2017-09-21,440.91
2017-09-22,431.73
2017-09-25,428.08
2017-09-26,429.78
2017-09-27,422.12
2017-09-28,422.72
2017-09-29,424.01
2017-10-03,426.08
2017-10-04,427.46
2017-10-05,427.17
2017-10-06,431.98
2017-10-09,431.61
2017-10-10,433.19
2017-10-11,429.97
2017-10-12,434.06
2017-10-13,436.32
2017-10-16,438.07
2017-10-17,438.13
2017-10-18,435.82
2017-10-23,434.79
2017-10-24,437.39
2017-10-25,458.4
2017-10-26,460.59
2017-10-27,458.29
2017-10-30,460.39
2017-10-31,458.59
2017-11-01,464.28
2017-11-02,463.84
2017-11-03,466.48
2017-11-06,466.17
2017-11-07,459.34
2017-11-08,456.86
2017-11-09,458.71
2017-11-10,461.21
2017-11-13,457.1
2017-11-14,454.43
2017-11-15,451.17
2017-11-16,457.15
2017-11-17,460.09
2017-11-20,460.45
2017-11-21,461.19
2017-11-22,462.59
2017-11-23,462.9
2017-11-24,463.71
2017-11-27,464.21
2017-11-28,461.83
2017-11-29,460.9
2017-11-30,454.75
2017-12-01,449.44
2017-12-04,450.22
2017-12-05,449.83
2017-12-06,445.44
2017-12-07,451.79
2017-12-08,454.74
2017-12-11,457.01
2017-12-12,453.52
2017-12-13,449.38
2017-12-14,451.04
2017-12-15,453.71
2017-12-18,457.54
2017-12-19,460.55
2017-12-20,459.57
2017-12-21,461.48
2017-12-22,463.5
2017-12-26,464.84
2017-12-27,462.92
2017-12-28,461.76
2017-12-29,463.86
2018-01-01,460.98
2018-01-02,460.34
2018-01-03,461.77
2018-01-04,466.58
2018-01-05,467.56
2018-01-08,470.27
2018-01-09,470.69
2018-01-10,469.9
2018-01-11,470.55
2018-01-12,471.42
2018-01-15,473.82
2018-01-16,470.06
2018-01-17,476.97
2018-01-18,475.53
2018-01-19,479.65
2018-01-22,482.42
2018-01-23,489.57
2018-01-24,490.5
2018-01-25,487.52
2018-01-29,486.86
2018-01-30,484.09
2018-01-31,481.89
2018-02-01,479.69
2018-02-02,467.61
2018-02-05,464.45
2018-02-06,457.56
2018-02-07,456.84
2018-02-08,462.28
2018-02-09,458.34
2018-02-12,462.35
2018-02-14,457.9
2018-02-15,458.35
2018-02-16,453.35
2018-02-19,448.61
2018-02-20,448.82
2018-02-21,449.99
2018-02-22,448.57
2018-02-23,454.06
2018-02-26,456.66
2018-02-27,453.34
2018-02-28,451.57
2018-03-01,447.97
2018-03-05,443.53
2018-03-06,437.62
2018-03-07,432.06
2018-03-08,436.15
2018-03-09,433.91
2018-03-12,440.28
2018-03-13,442.67
2018-03-14,442.92
2018-03-15,440.62
2018-03-16,434.66
2018-03-19,429.47
2018-03-20,430.69
2018-03-21,431.45
2018-03-22,428.63
2018-03-23,422.61
2018-03-26,429.83
2018-03-27,433.11
2018-03-28,429.09
2018-04-02,431.85
2018-04-03,434.65
2018-04-04,428.58
2018-04-05,437.68
2018-04-06,438.65
2018-04-09,440.36
2018-04-10,442.53
2018-04-11,441.67
2018-04-12,442.91
2018-04-13,443.51
2018-04-16,444.39
2018-04-17,445.26
2018-04-18,444.01
2018-04-19,446.0
2018-04-20,444.35
2018-04-23,445.43
2018-04-24,445.47
2018-04-25,442.7
2018-04-26,442.81
2018-04-27,448.46
2018-04-30,450.77
2018-05-02,447.59
2018-05-03,446.08
2018-05-04,443.26
2018-05-07,448.02
2018-05-08,449.37
2018-05-09,449.3
2018-05-10,446.8
2018-05-11,449.91
2018-05-14,450.1
2018-05-15,448.16
2018-05-16,443.75
2018-05-17,441.33
2018-05-18,434.89
2018-05-21,433.85
2018-05-22,435.88
2018-05-23,433.15
2018-05-24,437.86
2018-05-25,441.63
2018-05-28,447.09
2018-05-29,443.45
2018-05-30,442.31
2018-05-31,446.35
2018-06-01,443.39
2018-06-04,439.99
2018-06-05,437.46
2018-06-06,442.0
2018-06-07,446.9
2018-06-08,447.13
2018-06-11,447.28
2018-06-12,450.11
2018-06-13,451.28
2018-06-14,448.7
