date,value
2016-09-12,32.21
2016-09-14,32.28
2016-09-15,32.31
2016-09-16,32.41
2016-09-19,32.52
2016-09-20,32.55
2016-09-21,32.56
2016-09-22,32.92
2016-09-23,32.79
2016-09-26,32.45
2016-09-27,32.38
2016-09-28,32.45
2016-09-29,31.77
2016-09-30,31.89
2016-10-03,32.41
2016-10-04,32.53
2016-10-05,32.45
2016-10-06,32.3
2016-10-07,32.28
2016-10-10,32.3
2016-10-13,31.84
2016-10-14,31.92
2016-10-17,31.8
2016-10-18,32.39
2016-10-19,32.38
2016-10-20,32.5
2016-10-21,32.51
2016-10-24,32.53
2016-10-25,32.51
2016-10-26,32.25
2016-10-27,32.15
2016-10-28,32.28
2016-11-01,32.27
2016-11-02,31.86
2016-11-03,31.7
2016-11-04,31.44
2016-11-07,31.73
2016-11-08,31.81
2016-11-09,31.51
2016-11-10,32.13
2016-11-11,31.31
2016-11-15,30.63
2016-11-16,30.65
2016-11-17,30.59
2016-11-18,30.55
2016-11-21,29.97
2016-11-22,30.2
2016-11-23,30.37
2016-11-24,30.15
2016-11-25,30.69
2016-11-28,30.71
2016-11-29,30.76
2016-11-30,31.09
2016-12-01,30.91
2016-12-02,30.61
2016-12-05,30.82
2016-12-06,30.79
2016-12-07,30.6
2016-12-08,31.11
2016-12-09,31.18
2016-12-12,30.86
2016-12-13,31.01
2016-12-14,30.78
2016-12-15,30.66
2016-12-16,30.65
2016-12-19,30.53
2016-12-20,30.41
2016-12-21,30.37
2016-12-22,30.03
2016-12-23,30.07
2016-12-26,29.73
2016-12-27,30.16
2016-12-28,30.22
2016-12-29,30.53
2016-12-30,30.78
2017-01-02,30.82
2017-01-03,30.95
2017-01-04,30.9
2017-01-05,31.24
2017-01-06,31.11
2017-01-09,31.12
2017-01-10,31.26
2017-01-11,31.64
2017-01-12,31.8
2017-01-13,31.76
2017-01-16,31.81
2017-01-17,31.77
2017-01-18,31.84
2017-01-19,31.93
2017-01-20,31.58
2017-01-23,31.68
2017-01-24,31.94
2017-01-25,32.2
2017-01-27,32.43
2017-01-30,32.46
2017-01-31,32.15
2017-02-01,32.66
2017-02-02,32.88
2017-02-03,32.98
2017-02-06,33.31
2017-02-07,33.15
2017-02-08,33.18
2017-02-09,33.15
2017-02-10,33.22
2017-02-13,33.24
2017-02-14,33.16
2017-02-15,32.86
2017-02-16,33.17
2017-02-17,33.39
2017-02-20,33.57
2017-02-21,33.68
2017-02-22,33.7
2017-02-23,33.72
2017-02-27,33.55
2017-02-28,33.53
2017-03-01,33.7
2017-03-02,33.45
2017-03-03,33.45
2017-03-06,33.65
2017-03-07,33.54
2017-03-08,33.45
2017-03-09,33.46
2017-03-10,33.45
2017-03-14,34.02
2017-03-15,34.0
2017-03-16,34.27
2017-03-17,34.22
2017-03-20,34.1
2017-03-21,34.08
2017-03-22,33.79
2017-03-23,34.0
2017-03-24,34.1
2017-03-27,33.86
2017-03-28,34.08
2017-03-29,34.26
2017-03-30,34.36
2017-03-31,34.34
2017-04-03,34.5
2017-04-05,34.68
2017-04-06,34.68
2017-04-07,34.56
2017-04-10,34.7
2017-04-11,34.91
2017-04-12,34.78
2017-04-13,34.64
2017-04-17,34.49
2017-04-18,34.35
2017-04-19,34.39
2017-04-20,34.44
2017-04-21,34.3
2017-04-24,34.57
2017-04-25,34.92
2017-04-26,35.1
