date,value
2016-09-12,21.69
2016-09-14,21.79
2016-09-15,21.75
2016-09-16,21.89
2016-09-19,21.92
2016-09-20,21.87
2016-09-21,21.91
2016-09-22,22.12
2016-09-23,21.95
2016-09-26,21.73
2016-09-27,21.68
2016-09-28,21.86
2016-09-29,21.45
2016-09-30,21.59
2016-10-03,21.99
2016-10-04,22.03
2016-10-05,22.04
2016-10-06,21.92
2016-10-07,21.89
2016-10-10,21.89
2016-10-13,21.59
2016-10-14,21.59
2016-10-17,21.41
2016-10-18,21.75
2016-10-19,21.71
2016-10-20,21.77
2016-10-21,21.82
2016-10-24,21.82
2016-10-25,21.83
2016-10-26,21.62
2016-10-27,21.57
2016-10-28,21.66
2016-11-01,21.65
2016-11-02,21.38
2016-11-03,21.29
2016-11-04,21.1
2016-11-07,21.25
2016-11-08,21.4
2016-11-09,21.07
2016-11-10,21.24
2016-11-11,20.57
2016-11-15,19.79
2016-11-16,19.86
2016-11-17,19.78
2016-11-18,19.81
2016-11-21,19.41
2016-11-22,19.63
2016-11-23,19.74
2016-11-24,19.49
2016-11-25,19.74
2016-11-28,19.77
2016-11-29,19.89
2016-11-30,20.14
2016-12-01,20.05
2016-12-02,19.82
2016-12-05,19.95
2016-12-06,19.94
2016-12-07,19.92
2016-12-08,20.21
2016-12-09,20.17
2016-12-12,19.9
2016-12-13,19.96
2016-12-14,19.83
2016-12-15,19.76
2016-12-16,19.76
2016-12-19,19.67
2016-12-20,19.59
2016-12-21,19.58
2016-12-22,19.4
2016-12-23,19.39
2016-12-26,19.16
2016-12-27,19.46
2016-12-28,19.53
2016-12-29,19.73
2016-12-30,19.91
2017-01-02,20.0
2017-01-03,20.04
2017-01-04,19.99
2017-01-05,20.24
2017-01-06,20.19
2017-01-09,20.18
2017-01-10,20.26
2017-01-11,20.52
2017-01-12,20.55
2017-01-13,20.51
2017-01-16,20.55
2017-01-17,20.62
2017-01-18,20.72
2017-01-19,20.73
2017-01-20,20.53
2017-01-23,20.65
2017-01-24,20.89
2017-01-25,21.17
2017-01-27,21.31
2017-01-30,21.23
2017-01-31,21.01
2017-02-01,21.46
2017-02-02,21.51
2017-02-03,21.49
2017-02-06,21.65
2017-02-07,21.57
2017-02-08,21.58
2017-02-09,21.63
2017-02-10,21.64
2017-02-13,21.68
2017-02-14,21.57
2017-02-15,21.34
2017-02-16,21.53
2017-02-17,21.68
2017-02-20,21.79
2017-02-21,21.91
2017-02-22,21.84
2017-02-23,21.83
2017-02-27,21.66
2017-02-28,21.65
2017-03-01,21.69
2017-03-02,21.56
2017-03-03,21.5
2017-03-06,21.6
2017-03-07,21.53
2017-03-08,21.51
2017-03-09,21.54
2017-03-10,21.55
2017-03-14,21.88
2017-03-15,21.9
2017-03-16,22.05
2017-03-17,22.08
2017-03-20,22.03
2017-03-21,21.99
2017-03-22,21.8
2017-03-23,21.93
2017-03-24,21.95
2017-03-27,21.82
2017-03-28,21.99
2017-03-29,22.06
2017-03-30,22.16
2017-03-31,22.14
2017-04-03,22.18
2017-04-05,22.32
2017-04-06,22.32
2017-04-07,22.22
2017-04-10,22.21
2017-04-11,22.28
2017-04-12,22.24
2017-04-13,22.12
2017-04-17,22.1
2017-04-18,22.07
2017-04-19,22.08
2017-04-20,22.12
2017-04-21,22.09
2017-04-24,22.32
2017-04-25,22.53
2017-04-26,22.66
2017-04-27,22.66
2017-04-28,22.63
2017-05-02,22.66
2017-05-03,22.64
2017-05-04,22.67
2017-05-05,22.49
2017-05-08,22.64
2017-05-09,22.7
2017-05-10,22.96
2017-05-11,23.04
2017-05-12,23.04
2017-05-15,23.18
2017-05-16,23.29
2017-05-17,23.24
2017-05-18,22.99
2017-05-19,22.95
2017-05-22,22.86
2017-05-23,22.8
2017-05-24,22.74
2017-05-25,23.13
2017-05-26,23.27
2017-05-29,23.25
2017-05-30,23.36
2017-05-31,23.49
2017-06-01,23.47
2017-06-02,23.55
2017-06-05,23.62
2017-06-06,23.53
2017-06-07,23.64
2017-06-08,23.64
2017-06-09,23.76
2017-06-12,23.64
2017-06-13,23.61
2017-06-14,23.61
2017-06-15,23.5
2017-06-16,23.52
2017-06-19,23.64
2017-06-20,23.58
2017-06-21,23.55
2017-06-22,23.5
2017-06-23,23.29
2017-06-27,23.13
2017-06-28,23.14
2017-06-29,23.14
2017-06-30,23.18
2017-07-03,23.36
2017-07-04,23.35
2017-07-05,23.44
2017-07-06,23.52
2017-07-07,23.5
2017-07-10,23.67
2017-07-11,23.72
2017-07-12,23.79
2017-07-13,23.95
2017-07-14,23.96
2017-07-17,24.01
2017-07-18,23.97
2017-07-19,24.15
2017-07-20,24.08
2017-07-21,24.16
2017-07-24,24.21
2017-07-25,24.17
2017-07-26,24.26
2017-07-27,24.32
2017-07-28,24.32
2017-07-31,24.5
2017-08-01,24.63
2017-08-02,24.5
2017-08-03,24.31
2017-08-04,24.49
2017-08-07,24.57
2017-08-08,24.39
2017-08-09,24.11
2017-08-10,23.85
2017-08-11,23.72
2017-08-14,23.97
