date,value
2024-02-06,10.0
2024-02-07,10.0
2024-02-08,10.0
2024-02-09,10.0
2024-02-12,9.91
2024-02-13,9.96
2024-02-14,10.03
2024-02-15,10.09
2024-02-16,10.15
2024-02-19,10.18
2024-02-20,10.2
2024-02-21,10.16
2024-02-22,10.23
2024-02-23,10.27
2024-02-26,10.22
2024-02-27,10.22
2024-02-28,10.1
2024-02-29,10.15
2024-03-01,10.28
2024-03-04,10.28
2024-03-05,10.24
2024-03-06,10.27
2024-03-07,10.28
2024-03-11,10.24
2024-03-12,10.22
2024-03-13,9.98
2024-03-14,10.07
2024-03-15,10.03
2024-03-18,10.03
2024-03-19,9.92
2024-03-20,9.92
2024-03-21,10.04
2024-03-22,10.12
2024-03-26,10.11
2024-03-27,10.14
2024-03-28,10.21
2024-03-31,10.21
2024-04-01,10.3
2024-04-02,10.37
2024-04-03,10.38
2024-04-04,10.4
2024-04-05,10.38
2024-04-08,10.45
2024-04-09,10.44
2024-04-10,10.51
2024-04-12,10.51
2024-04-15,10.4
2024-04-16,10.41
2024-04-18,10.41
2024-04-19,10.43
2024-04-22,10.52
2024-04-23,10.59
2024-04-24,10.61
2024-04-25,10.62
2024-04-26,10.58
2024-04-29,10.65
2024-04-30,10.64
2024-05-02,10.67
2024-05-03,10.6
2024-05-06,10.6
2024-05-07,10.51
2024-05-08,10.53
2024-05-09,10.41
2024-05-10,10.46
2024-05-13,10.49
2024-05-14,10.57
2024-05-15,10.66
2024-05-16,10.77
2024-05-17,10.83
2024-05-21,10.87
2024-05-22,10.91
2024-05-23,11.06
2024-05-24,11.02
2024-05-27,11.03
2024-05-28,10.97
2024-05-29,10.87
2024-05-30,10.79
2024-05-31,10.81
2024-06-03,11.14
2024-06-04,10.56
2024-06-05,10.88
2024-06-06,11.03
2024-06-07,11.27
2024-06-10,11.3
2024-06-11,11.31
2024-06-12,11.35
2024-06-13,11.42
2024-06-14,11.5
2024-06-18,11.69
2024-06-19,11.66
2024-06-20,11.64
2024-06-21,11.61
2024-06-24,11.66
2024-06-25,11.75
2024-06-26,11.79
2024-06-27,11.82
2024-06-28,11.85
2024-07-01,11.98
2024-07-02,11.94
2024-07-03,12.02
2024-07-04,12.08
2024-07-05,12.08
2024-07-08,12.05
2024-07-09,12.11
2024-07-10,12.16
2024-07-11,12.16
2024-07-12,12.24
2024-07-15,12.27
2024-07-16,12.31
2024-07-18,12.36
2024-07-19,12.2
2024-07-22,12.21
2024-07-23,12.15
2024-07-24,12.16
2024-07-25,12.13
2024-07-26,12.32
2024-07-29,12.36
2024-07-30,12.35
2024-07-31,12.38
2024-08-01,12.37
2024-08-02,12.22
2024-08-05,11.86
2024-08-06,11.87
2024-08-07,12.02
2024-08-08,11.94
2024-08-09,12.08
2024-08-12,12.06
2024-08-13,12.0
2024-08-14,12.06
2024-08-16,12.28
2024-08-19,12.37
2024-08-20,12.45
2024-08-21,12.47
2024-08-22,12.55
2024-08-23,12.57
2024-08-26,12.63
2024-08-27,12.62
2024-08-28,12.67
2024-08-29,12.67
2024-08-30,12.73
2024-09-02,12.75
2024-09-03,12.79
2024-09-04,12.83
2024-09-05,12.83
2024-09-06,12.67
2024-09-09,12.64
2024-09-10,12.74
2024-09-11,12.69
2024-09-12,12.9
2024-09-13,12.92
2024-09-16,13.02
2024-09-17,13.14
2024-09-18,13.09
2024-09-19,13.05
2024-09-20,13.26
2024-09-23,13.38
2024-09-24,13.36
2024-09-25,13.32
2024-09-26,13.42
2024-09-27,13.38
2024-09-30,13.22
2024-10-01,13.27
2024-10-03,12.99
2024-10-04,12.86
2024-10-07,12.69
2024-10-08,12.84
2024-10-09,12.92
2024-10-10,12.9
2024-10-11,12.92
2024-10-14,12.97
2024-10-15,12.98
2024-10-16,12.94
2024-10-17,12.83
2024-10-18,12.88
2024-10-21,12.84
2024-10-22,12.66
2024-10-23,12.67
2024-10-24,12.62
2024-10-25,12.48
2024-10-28,12.53
2024-10-29,12.64
2024-10-30,12.6
2024-10-31,12.58
2024-11-04,12.56
2024-11-05,12.69
2024-11-06,12.84
2024-11-07,12.72
2024-11-08,12.65
2024-11-11,12.61
2024-11-12,12.49
2024-11-13,12.33
2024-11-14,12.38
2024-11-18,12.37
2024-11-19,12.4
2024-11-21,12.35
2024-11-22,12.58
2024-11-25,12.74
2024-11-26,12.8
2024-11-27,12.89
2024-11-28,12.77
2024-11-29,12.89
2024-12-02,12.98
2024-12-03,13.05
2024-12-04,13.1
2024-12-05,13.25
2024-12-06,13.29
2024-12-09,13.31
2024-12-10,13.34
2024-12-11,13.32
2024-12-12,13.26
2024-12-13,13.32
2024-12-16,13.35
2024-12-17,13.22
2024-12-18,13.14
2024-12-19,13.14
2024-12-20,12.95
2024-12-23,13.05
2024-12-24,13.08
2024-12-26,13.18
2024-12-27,13.2
2024-12-30,13.15
2024-12-31,13.13
2025-01-01,13.2
2025-01-02,13.42
2025-01-03,13.34
2025-01-06,13.08
2025-01-07,13.15
2025-01-08,13.11
2025-01-09,13.02
2025-01-10,12.9
2025-01-13,12.63
2025-01-14,12.72
2025-01-15,12.78
2025-01-16,12.87
2025-01-17,12.78
2025-01-20,12.85
2025-01-21,12.63
2025-01-22,12.67
2025-01-23,12.73
2025-01-24,12.66
2025-01-27,12.47
2025-01-28,12.52
2025-01-29,12.72
2025-01-30,12.77
2025-01-31,12.87
2025-02-03,12.88
2025-02-04,13.02
2025-02-05,12.97
2025-02-06,12.93
2025-02-07,12.88
2025-02-10,12.75
2025-02-11,12.58
2025-02-12,12.58
2025-02-13,12.59
2025-02-14,12.49
2025-02-17,12.47
2025-02-18,12.49
2025-02-19,12.53
2025-02-20,12.57
2025-02-21,12.51
2025-02-24,12.37
2025-02-25,12.37
2025-02-27,12.36
2025-02-28,12.13
2025-03-03,12.1
2025-03-04,12.09
2025-03-05,12.23
2025-03-06,12.33
2025-03-07,12.3
2025-03-10,12.24
2025-03-11,12.27
2025-03-12,12.23
2025-03-13,12.18
2025-03-17,12.21
2025-03-18,12.42
2025-03-19,12.46
2025-03-20,12.59
2025-03-21,12.7
