date,value
2016-09-12,32.05
2016-09-14,32.15
2016-09-15,32.19
2016-09-16,32.33
2016-09-19,32.38
2016-09-20,32.29
2016-09-21,32.31
2016-09-22,32.68
2016-09-23,32.68
2016-09-26,32.42
2016-09-27,32.42
2016-09-28,32.49
2016-09-29,31.84
2016-09-30,32.13
2016-10-03,32.73
2016-10-04,32.8
2016-10-05,32.81
2016-10-06,32.71
2016-10-07,32.62
2016-10-10,32.62
2016-10-13,32.21
2016-10-14,32.41
2016-10-17,32.05
2016-10-18,32.48
2016-10-19,32.5
2016-10-20,32.49
2016-10-21,32.57
2016-10-24,32.58
2016-10-25,32.48
2016-10-26,32.25
2016-10-27,32.14
2016-10-28,32.39
2016-11-01,32.4
2016-11-02,31.98
2016-11-03,31.81
2016-11-04,31.46
2016-11-07,31.68
2016-11-08,31.77
2016-11-09,31.29
2016-11-10,31.62
2016-11-11,30.69
2016-11-15,29.78
2016-11-16,29.87
2016-11-17,29.72
2016-11-18,29.73
2016-11-21,29.27
2016-11-22,29.57
2016-11-23,29.7
2016-11-24,29.46
2016-11-25,30.0
2016-11-28,30.08
2016-11-29,30.19
2016-11-30,30.46
2016-12-01,30.32
2016-12-02,29.96
2016-12-05,30.07
2016-12-06,30.14
2016-12-07,30.02
2016-12-08,30.47
2016-12-09,30.47
2016-12-12,30.14
2016-12-13,30.11
2016-12-14,29.9
2016-12-15,29.82
2016-12-16,29.81
2016-12-19,29.67
2016-12-20,29.54
2016-12-21,29.55
2016-12-22,29.25
2016-12-23,29.18
2016-12-26,28.8
2016-12-27,29.23
2016-12-28,29.26
2016-12-29,29.57
2016-12-30,29.82
2017-01-02,29.93
2017-01-03,30.05
2017-01-04,30.07
2017-01-05,30.32
2017-01-06,30.19
2017-01-09,30.23
2017-01-10,30.45
2017-01-11,30.78
2017-01-12,30.82
2017-01-13,30.78
2017-01-16,30.81
2017-01-17,30.78
2017-01-18,30.92
2017-01-19,30.92
2017-01-20,30.63
2017-01-23,30.74
2017-01-24,31.09
2017-01-25,31.46
2017-01-27,31.58
2017-01-30,31.54
2017-01-31,31.23
2017-02-01,31.78
2017-02-02,31.88
2017-02-03,31.98
2017-02-06,32.2
2017-02-07,32.08
2017-02-08,32.15
2017-02-09,32.21
2017-02-10,32.22
2017-02-13,32.2
2017-02-14,32.03
2017-02-15,31.68
2017-02-16,31.98
2017-02-17,32.21
2017-02-20,32.41
2017-02-21,32.56
2017-02-22,32.46
2017-02-23,32.46
2017-02-27,32.38
2017-02-28,32.34
2017-03-01,32.51
2017-03-02,32.23
2017-03-03,32.26
2017-03-06,32.45
2017-03-07,32.44
2017-03-08,32.36
2017-03-09,32.38
2017-03-10,32.36
2017-03-14,32.86
2017-03-15,32.95
2017-03-16,33.21
2017-03-17,33.23
2017-03-20,33.27
2017-03-21,33.2
2017-03-22,32.89
2017-03-23,33.11
2017-03-24,33.15
2017-03-27,33.02
2017-03-28,33.21
2017-03-29,33.27
2017-03-30,33.41
2017-03-31,33.57
2017-04-03,33.73
2017-04-05,33.89
2017-04-06,33.88
2017-04-07,33.75
2017-04-10,33.79
2017-04-11,33.96
2017-04-12,33.87
2017-04-13,33.73
2017-04-17,33.67
2017-04-18,33.61
2017-04-19,33.65
2017-04-20,33.79
2017-04-21,33.8
2017-04-24,34.17
2017-04-25,34.41
2017-04-26,34.49
2017-04-27,34.49
2017-04-28,34.45
2017-05-02,34.47
2017-05-03,34.39
2017-05-04,34.45
2017-05-05,34.23
2017-05-08,34.34
2017-05-09,34.36
2017-05-10,34.7
2017-05-11,34.79
2017-05-12,34.7
2017-05-15,34.78
2017-05-16,34.95
2017-05-17,34.96
2017-05-18,34.49
2017-05-19,34.37
2017-05-22,34.29
2017-05-23,34.02
2017-05-24,33.79
2017-05-25,34.37
2017-05-26,34.85
2017-05-29,34.73
2017-05-30,34.84
2017-05-31,35.05
2017-06-01,35.12
2017-06-02,35.24
2017-06-05,35.38
2017-06-06,35.2
2017-06-07,35.34
2017-06-08,35.36
2017-06-09,35.44
2017-06-12,35.24
2017-06-13,35.27
2017-06-14,35.3
2017-06-15,35.2
2017-06-16,35.27
2017-06-19,35.42
2017-06-20,35.43
2017-06-21,35.37
2017-06-22,35.3
2017-06-23,35.0
2017-06-27,34.81
2017-06-28,34.74
2017-06-29,34.79
2017-06-30,34.93
2017-07-03,35.22
2017-07-04,35.21
2017-07-05,35.41
2017-07-06,35.5
2017-07-07,35.45
2017-07-10,35.69
2017-07-11,35.68
2017-07-12,35.82
2017-07-13,36.14
2017-07-14,36.19
2017-07-17,36.22
2017-07-18,35.89
2017-07-19,36.2
2017-07-20,36.05
2017-07-21,36.13
2017-07-24,36.23
2017-07-25,36.3
2017-07-26,36.38
2017-07-27,36.42
2017-07-28,36.41
2017-07-31,36.66
2017-08-01,36.86
2017-08-02,36.79
2017-08-03,36.53
2017-08-04,36.9
2017-08-07,37.07
2017-08-08,36.73
2017-08-09,36.32
2017-08-10,35.89
2017-08-11,35.58
2017-08-14,36.09
2017-08-16,36.41
2017-08-17,36.37
2017-08-18,36.14
2017-08-21,35.79
2017-08-22,35.78
2017-08-23,36.08
2017-08-24,36.19
2017-08-28,36.44
2017-08-29,36.04
2017-08-30,36.46
2017-08-31,36.56
2017-09-01,36.75
2017-09-04,36.46
2017-09-05,36.68
2017-09-06,36.63
2017-09-07,36.79
2017-09-08,36.74
2017-09-11,37.08
2017-09-12,37.47
2017-09-13,37.23
2017-09-14,37.25
2017-09-15,37.25
2017-09-18,37.46
2017-09-19,37.41
2017-09-20,37.37
2017-09-21,37.25
2017-09-22,36.53
2017-09-25,35.98
2017-09-26,35.95
2017-09-27,35.44
2017-09-28,35.6
2017-09-29,35.85
2017-10-03,36.11
2017-10-04,36.22
2017-10-05,36.16
2017-10-06,36.45
2017-10-09,36.43
2017-10-10,36.55
2017-10-11,36.44
2017-10-12,36.84
2017-10-13,36.95
2017-10-16,37.09
2017-10-17,37.21
2017-10-18,37.14
2017-10-23,37.02
2017-10-24,37.07
2017-10-25,37.12
2017-10-26,37.21
2017-10-27,37.24
2017-10-30,37.53
2017-10-31,37.5
2017-11-01,37.76
2017-11-02,37.85
2017-11-03,37.91
2017-11-06,38.08
2017-11-07,37.68
2017-11-08,37.49
2017-11-09,37.61
2017-11-10,37.63
2017-11-13,37.42
2017-11-14,37.31
2017-11-15,37.05
2017-11-16,37.33
2017-11-17,37.66
2017-11-20,37.76
2017-11-21,37.9
2017-11-22,37.92
2017-11-23,37.92
2017-11-24,38.01
2017-11-27,38.11
2017-11-28,38.08
2017-11-29,38.13
2017-11-30,37.73
2017-12-01,37.47
2017-12-04,37.39
2017-12-05,37.35
2017-12-06,36.99
2017-12-07,37.47
2017-12-08,37.91
2017-12-11,38.1
2017-12-12,37.77
2017-12-13,37.6
2017-12-14,37.74
2017-12-15,38.09
2017-12-18,38.27
2017-12-19,38.61
2017-12-20,38.65
2017-12-21,38.65
2017-12-22,38.82
2017-12-26,38.88
2017-12-27,38.76
2017-12-28,38.71
2017-12-29,38.83
2018-01-01,38.62
2018-01-02,38.54
2018-01-03,38.6
2018-01-04,38.87
2018-01-05,39.04
2018-01-08,39.34
2018-01-09,39.3
2018-01-10,39.17
2018-01-11,39.2
2018-01-12,39.21
2018-01-15,39.31
2018-01-16,39.04
2018-01-17,39.33
2018-01-18,39.26
2018-01-19,39.48
2018-01-22,39.58
2018-01-23,39.78
2018-01-24,39.69
2018-01-25,39.49
2018-01-29,39.62
2018-01-30,39.36
2018-01-31,39.23
2018-02-01,39.35
2018-02-02,38.29
2018-02-05,38.0
2018-02-06,37.49
2018-02-07,37.58
2018-02-08,37.96
2018-02-09,37.64
2018-02-12,37.98
2018-02-14,37.95
2018-02-15,37.97
2018-02-16,37.65
2018-02-19,37.31
2018-02-20,37.22
2018-02-21,37.23
2018-02-22,37.16
2018-02-23,37.64
2018-02-26,38.12
2018-02-27,38.04
2018-02-28,37.9
2018-03-01,37.74
2018-03-05,37.49
2018-03-06,37.1
2018-03-07,36.74
2018-03-08,37.01
2018-03-09,36.98
2018-03-12,37.52
2018-03-13,37.68
2018-03-14,37.64
2018-03-15,37.63
2018-03-16,37.16
2018-03-19,36.78
2018-03-20,36.92
2018-03-21,37.01
2018-03-22,36.83
2018-03-23,36.45
2018-03-26,37.02
2018-03-27,37.4
2018-03-28,37.22
2018-04-02,37.7
2018-04-03,37.96
2018-04-04,37.45
2018-04-05,38.16
2018-04-06,38.25
2018-04-09,38.45
2018-04-10,38.48
2018-04-11,38.43
2018-04-12,38.51
2018-04-13,38.51
2018-04-16,38.76
2018-04-17,38.86
2018-04-18,38.72
2018-04-19,38.91
2018-04-20,38.79
2018-04-23,38.96
2018-04-24,39.02
2018-04-25,38.86
2018-04-26,38.99
2018-04-27,39.16
2018-04-30,39.38
2018-05-02,39.11
2018-05-03,38.8
2018-05-04,38.59
2018-05-07,38.92
2018-05-08,38.9
2018-05-09,38.85
2018-05-10,38.68
2018-05-11,39.02
2018-05-14,38.92
2018-05-15,38.82
2018-05-16,38.55
2018-05-17,38.41
2018-05-18,37.97
2018-05-21,37.56
2018-05-22,37.72
2018-05-23,37.4
2018-05-24,37.6
2018-05-25,38.1
2018-05-28,38.55
2018-05-29,38.31
2018-05-30,38.22
2018-05-31,38.51
2018-06-01,38.31
2018-06-04,38.05
2018-06-05,37.81
2018-06-06,38.23
2018-06-07,38.45
2018-06-08,38.42
2018-06-11,38.48
2018-06-12,38.69
2018-06-13,38.6
2018-06-14,38.54
2018-06-15,38.44
2018-06-18,38.36
2018-06-19,38.06
2018-06-20,38.17
2018-06-21,38.0
2018-06-22,38.26
2018-06-25,37.94
2018-06-26,37.98
2018-06-27,37.54
2018-06-28,37.18
2018-06-29,37.57
2018-07-02,37.29
2018-07-03,37.49
2018-07-04,37.59
2018-07-05,37.55
2018-07-06,37.66
2018-07-09,37.9
2018-07-10,38.24
2018-07-11,37.96
2018-07-12,38.08
2018-07-13,37.99
2018-07-16,37.57
2018-07-17,38.03
2018-07-18,37.86
2018-07-19,37.61
2018-07-20,37.81
2018-07-23,38.15
2018-07-24,38.47
2018-07-25,38.45
2018-07-26,38.71
2018-07-27,39.05
2018-07-30,39.16
2018-07-31,39.26
2018-08-01,39.26
2018-08-02,38.98
2018-08-03,39.18
2018-08-06,39.26
2018-08-07,39.19
2018-08-08,39.32
2018-08-09,39.32
2018-08-10,39.22
2018-08-13,38.98
2018-08-14,39.19
2018-08-16,38.99
2018-08-17,39.37
2018-08-20,39.7
2018-08-21,39.73
2018-08-23,39.71
2018-08-24,39.56
2018-08-27,39.94
2018-08-28,40.0
2018-08-29,39.98
2018-08-30,39.99
2018-08-31,40.12
2018-09-03,39.93
2018-09-04,39.36
2018-09-05,39.09
2018-09-06,39.25
2018-09-07,39.52
2018-09-10,38.9
2018-09-11,38.35
2018-09-12,38.58
2018-09-14,39.2
2018-09-17,38.76
2018-09-18,38.38
2018-09-19,38.19
2018-09-21,37.81
2018-09-24,36.88
2018-09-25,37.31
2018-09-26,37.36
2018-09-27,36.95
2018-09-28,36.66
2018-10-01,36.81
2018-10-03,36.35
2018-10-04,35.66
2018-10-05,34.69
2018-10-08,34.58
2018-10-09,34.43
2018-10-10,35.15
2018-10-11,34.41
2018-10-12,35.22
2018-10-15,35.32
2018-10-16,35.58
2018-10-17,35.12
2018-10-19,34.81
2018-10-22,34.68
2018-10-23,34.34
2018-10-24,34.68
2018-10-25,34.35
2018-10-26,34.17
2018-10-29,34.9
2018-10-30,34.85
2018-10-31,35.53
2018-11-01,35.7
2018-11-02,36.37
2018-11-05,36.32
2018-11-06,36.24
2018-11-09,36.61
2018-11-12,36.14
2018-11-13,36.42
2018-11-14,36.38
2018-11-15,36.51
2018-11-16,36.72
2018-11-19,36.9
2018-11-20,36.57
2018-11-21,36.58
2018-11-22,36.34
2018-11-26,36.61
2018-11-27,36.73
2018-11-28,36.67
2018-11-29,37.06
2018-11-30,37.12
2018-12-03,37.0
2018-12-04,36.93
2018-12-05,36.5
2018-12-06,35.95
2018-12-07,36.19
2018-12-10,35.6
2018-12-11,35.82
2018-12-12,36.61
2018-12-13,36.87
2018-12-14,36.86
2018-12-17,37.1
2018-12-18,37.21
2018-12-19,37.48
2018-12-20,37.55
2018-12-21,36.96
2018-12-24,36.6
2018-12-26,36.79
2018-12-27,36.89
2018-12-28,37.22
2018-12-31,37.24
2019-01-01,37.31
2019-01-02,36.97
2019-01-03,36.57
2019-01-04,36.7
2019-01-07,36.78
2019-01-08,36.89
2019-01-09,37.09
2019-01-10,37.12
2019-01-11,37.04
2019-01-14,36.86
2019-01-15,37.16
2019-01-16,37.11
2019-01-17,37.14
2019-01-18,36.93
2019-01-21,36.95
2019-01-22,36.82
2019-01-23,36.45
2019-01-24,36.45
2019-01-25,36.22
2019-01-28,35.78
2019-01-29,35.74
2019-01-30,35.87
2019-01-31,36.29
