date,value
2020-10-08,10.0
2020-10-09,10.0
2020-10-12,10.0
2020-10-13,10.0
2020-10-14,10.02
2020-10-15,9.91
2020-10-16,9.95
2020-10-19,10.01
2020-10-20,10.02
2020-10-21,10.05
2020-10-22,10.03
2020-10-23,10.04
2020-10-26,9.98
2020-10-27,10.02
2020-10-28,9.95
2020-10-29,9.92
2020-10-30,9.89
2020-11-02,9.95
2020-11-03,10.03
2020-11-04,10.08
2020-11-05,10.2
2020-11-06,10.28
2020-11-09,10.41
2020-11-10,10.57
2020-11-11,10.66
2020-11-12,10.6
2020-11-13,10.64
2020-11-17,10.75
2020-11-18,10.82
2020-11-19,10.68
2020-11-20,10.76
2020-11-23,10.81
2020-11-24,10.92
2020-11-25,10.77
2020-11-26,10.85
2020-11-27,10.85
2020-12-01,10.95
2020-12-02,10.95
2020-12-03,10.96
2020-12-04,11.06
2020-12-07,11.16
2020-12-08,11.19
2020-12-09,11.27
2020-12-10,11.23
2020-12-11,11.26
2020-12-14,11.31
2020-12-15,11.29
2020-12-16,11.36
2020-12-17,11.38
2020-12-18,11.4
2020-12-21,11.04
2020-12-22,11.17
2020-12-23,11.3
2020-12-24,11.42
2020-12-28,11.52
2020-12-29,11.57
2020-12-30,11.6
2020-12-31,11.61
2021-01-01,11.64
2021-01-04,11.76
2021-01-05,11.84
2021-01-06,11.82
2021-01-07,11.84
2021-01-08,11.99
2021-01-11,12.09
2021-01-12,12.14
2021-01-13,12.15
2021-01-14,12.17
2021-01-15,12.03
2021-01-18,11.86
2021-01-19,12.05
2021-01-20,12.15
2021-01-21,12.07
2021-01-22,11.88
2021-01-25,11.79
2021-01-27,11.58
2021-01-28,11.49
2021-01-29,11.38
2021-02-01,11.91
2021-02-02,12.2
2021-02-03,12.34
2021-02-04,12.43
2021-02-05,12.43
2021-02-08,12.59
2021-02-09,12.58
2021-02-10,12.58
2021-02-11,12.63
2021-02-12,12.62
2021-02-15,12.77
2021-02-16,12.74
2021-02-17,12.7
2021-02-18,12.64
2021-02-19,12.49
2021-02-22,12.24
2021-02-23,12.29
2021-02-24,12.49
2021-02-25,12.58
2021-02-26,12.17
2021-03-01,12.31
2021-03-02,12.44
2021-03-03,12.69
2021-03-04,12.57
