date,value
2022-12-01,10.0
2022-12-02,10.0
2022-12-05,9.95
2022-12-06,9.9
2022-12-07,9.86
2022-12-08,9.89
2022-12-09,9.86
2022-12-12,9.85
2022-12-13,9.89
2022-12-14,9.9
2022-12-15,9.76
2022-12-16,9.68
2022-12-19,9.76
2022-12-20,9.74
2022-12-21,9.65
2022-12-22,9.6
2022-12-23,9.4
2022-12-26,9.51
2022-12-27,9.58
2022-12-28,9.58
2022-12-29,9.61
2022-12-30,9.57
2023-01-02,9.61
2023-01-03,9.63
2023-01-04,9.54
2023-01-05,9.5
2023-01-06,9.43
2023-01-09,9.52
2023-01-10,9.43
2023-01-11,9.4
2023-01-12,9.4
2023-01-13,9.45
2023-01-16,9.41
2023-01-17,9.48
2023-01-18,9.52
2023-01-19,9.5
2023-01-20,9.44
2023-01-23,9.49
2023-01-24,9.48
2023-01-25,9.36
2023-01-27,9.17
2023-01-30,9.18
2023-01-31,9.21
2023-02-01,9.21
2023-02-02,9.24
2023-02-03,9.34
2023-02-06,9.31
2023-02-07,9.3
2023-02-08,9.36
2023-02-09,9.37
2023-02-10,9.36
2023-02-13,9.28
2023-02-14,9.32
2023-02-15,9.36
2023-02-16,9.4
2023-02-17,9.33
2023-02-20,9.28
2023-02-21,9.28
2023-02-22,9.16
2023-02-23,9.14
2023-02-24,9.12
2023-02-27,9.09
2023-02-28,9.06
2023-03-01,9.13
2023-03-02,9.06
2023-03-03,9.15
2023-03-06,9.2
2023-03-08,9.2
2023-03-09,9.12
2023-03-10,9.04
2023-03-13,8.9
2023-03-14,8.86
2023-03-15,8.84
2023-03-16,8.85
2023-03-17,8.92
2023-03-20,8.87
2023-03-21,8.93
2023-03-22,8.94
2023-03-23,8.91
2023-03-24,8.84
2023-03-27,8.85
2023-03-28,8.84
2023-03-29,8.92
2023-03-31,9.08
2023-04-03,9.1
2023-04-05,9.18
2023-04-06,9.2
2023-04-10,9.2
2023-04-11,9.25
2023-04-12,9.3
2023-04-13,9.3
2023-04-17,9.26
2023-04-18,9.26
2023-04-19,9.23
2023-04-20,9.22
2023-04-21,9.21
2023-04-24,9.27
2023-04-25,9.28
2023-04-26,9.3
2023-04-27,9.36
2023-04-28,9.45
2023-05-02,9.49
2023-05-03,9.49
2023-05-04,9.57
2023-05-05,9.54
2023-05-08,9.62
2023-05-09,9.64
2023-05-10,9.66
2023-05-11,9.67
2023-05-12,9.69
2023-05-15,9.71
2023-05-16,9.72
2023-05-17,9.67
2023-05-18,9.64
2023-05-19,9.67
2023-05-22,9.72
2023-05-23,9.72
2023-05-24,9.7
2023-05-25,9.73
2023-05-26,9.83
2023-05-29,9.87
2023-05-30,9.87
2023-05-31,9.86
2023-06-01,9.85
2023-06-02,9.89
2023-06-05,9.91
2023-06-06,9.91
2023-06-07,9.98
2023-06-08,9.91
2023-06-09,9.89
2023-06-12,9.91
2023-06-13,10.01
2023-06-14,10.03
2023-06-15,10.02
2023-06-16,10.1
2023-06-19,10.07
2023-06-20,10.1
2023-06-21,10.12
2023-06-22,10.04
2023-06-23,9.97
2023-06-26,10.02
2023-06-27,10.07
2023-06-28,10.13
2023-06-30,10.24
2023-07-03,10.27
2023-07-04,10.28
2023-07-05,10.31
2023-07-06,10.35
2023-07-07,10.28
2023-07-10,10.25
2023-07-11,10.29
2023-07-12,10.31
2023-07-13,10.32
2023-07-14,10.4
2023-07-17,10.44
2023-07-18,10.45
2023-07-19,10.47
2023-07-20,10.5
2023-07-21,10.42
2023-07-24,10.4
2023-07-25,10.41
2023-07-26,10.44
2023-07-27,10.42
2023-07-28,10.43
2023-07-31,10.49
2023-08-01,10.49
2023-08-02,10.39
2023-08-03,10.31
2023-08-04,10.39
2023-08-07,10.42
2023-08-08,10.41
2023-08-09,10.44
2023-08-10,10.41
2023-08-11,10.36
2023-08-14,10.34
2023-08-16,10.34
2023-08-17,10.31
2023-08-18,10.28
2023-08-21,10.33
2023-08-22,10.35
2023-08-23,10.39
2023-08-24,10.38
2023-08-25,10.33
2023-08-28,10.35
2023-08-29,10.39
2023-08-30,10.41
2023-08-31,10.42
2023-09-01,10.49
2023-09-04,10.52
2023-09-05,10.55
2023-09-06,10.56
2023-09-07,10.61
2023-09-08,10.68
2023-09-11,10.76
2023-09-12,10.68
2023-09-13,10.7
2023-09-14,10.75
2023-09-15,10.8
2023-09-18,10.78
2023-09-20,10.67
2023-09-21,10.57
2023-09-22,10.56
2023-09-25,10.57
2023-09-26,10.58
2023-09-27,10.58
2023-09-29,10.54
2023-10-03,10.51
2023-10-04,10.45
2023-10-05,10.49
2023-10-06,10.57
2023-10-09,10.47
2023-10-10,10.56
2023-10-11,10.61
2023-10-12,10.6
2023-10-13,10.6
2023-10-16,10.6
2023-10-17,10.63
2023-10-18,10.54
2023-10-19,10.54
2023-10-20,10.5
2023-10-23,10.34
2023-10-25,10.28
2023-10-26,10.12
2023-10-27,10.27
2023-10-30,10.3
2023-10-31,10.3
2023-11-01,10.26
2023-11-02,10.35
2023-11-03,10.42
2023-11-06,10.51
2023-11-07,10.53
2023-11-08,10.57
2023-11-09,10.55
2023-11-10,10.56
2023-11-13,10.57
2023-11-15,10.68
2023-11-16,10.73
2023-11-17,10.72
2023-11-20,10.7
2023-11-21,10.72
2023-11-22,10.75
2023-11-23,10.74
2023-11-24,10.74
2023-11-28,10.76
2023-11-29,10.87
2023-11-30,10.98
2023-12-01,11.03
2023-12-04,11.22
2023-12-05,11.3
2023-12-06,11.32
2023-12-07,11.33
2023-12-08,11.36
2023-12-11,11.43
2023-12-12,11.38
2023-12-13,11.44
2023-12-14,11.59
2023-12-15,11.68
2023-12-18,11.68
2023-12-19,11.71
2023-12-20,11.5
2023-12-21,11.6
2023-12-22,11.65
2023-12-26,11.68
2023-12-27,11.76
2023-12-28,11.79
2023-12-29,11.8
2024-01-01,11.81
2024-01-02,11.76
2024-01-03,11.7
2024-01-04,11.84
2024-01-05,11.85
2024-01-08,11.73
2024-01-09,11.74
2024-01-10,11.76
2024-01-11,11.8
2024-01-12,11.9
2024-01-15,11.97
2024-01-16,11.94
2024-01-17,11.75
2024-01-18,11.68
2024-01-19,11.82
2024-01-23,11.64
2024-01-24,11.75
2024-01-25,11.74
2024-01-29,11.9
2024-01-30,11.8
2024-01-31,11.87
2024-02-01,11.85
2024-02-02,11.93
2024-02-05,11.9
2024-02-06,12.0
2024-02-07,12.07
2024-02-08,11.99
2024-02-09,11.98
2024-02-12,11.85
2024-02-13,11.9
2024-02-14,11.96
2024-02-15,12.04
2024-02-16,12.14
2024-02-19,12.17
2024-02-20,12.2
2024-02-21,12.16
2024-02-22,12.28
2024-02-23,12.35
2024-02-26,12.3
2024-02-27,12.32
2024-02-28,12.16
2024-02-29,12.23
2024-03-01,12.43
2024-03-04,12.45
2024-03-05,12.37
2024-03-06,12.37
2024-03-07,12.4
2024-03-11,12.36
2024-03-12,12.3
2024-03-13,12.04
2024-03-14,12.16
2024-03-15,12.13
2024-03-18,12.12
2024-03-19,11.98
2024-03-20,12.02
2024-03-21,12.19
2024-03-22,12.26
2024-03-26,12.29
2024-03-27,12.37
2024-03-28,12.49
2024-03-31,12.48
2024-04-01,12.57
2024-04-02,12.61
2024-04-03,12.6
2024-04-04,12.66
2024-04-05,12.69
2024-04-08,12.73
2024-04-09,12.72
2024-04-10,12.78
2024-04-12,12.69
2024-04-15,12.53
2024-04-16,12.51
2024-04-18,12.44
2024-04-19,12.5
2024-04-22,12.62
2024-04-23,12.62
2024-04-24,12.69
2024-04-25,12.75
2024-04-26,12.69
2024-04-29,12.82
2024-04-30,12.84
2024-05-02,12.94
2024-05-03,12.87
2024-05-06,12.79
2024-05-07,12.68
2024-05-08,12.73
2024-05-09,12.52
2024-05-10,12.6
2024-05-13,12.66
2024-05-14,12.73
2024-05-15,12.78
2024-05-16,12.9
2024-05-17,12.99
2024-05-21,13.04
2024-05-22,13.04
2024-05-23,13.2
2024-05-24,13.2
2024-05-27,13.22
2024-05-28,13.16
2024-05-29,13.07
2024-05-30,12.94
2024-05-31,12.97
2024-06-03,13.39
2024-06-04,12.5
2024-06-05,12.96
2024-06-06,13.1
2024-06-07,13.35
2024-06-10,13.38
2024-06-11,13.38
2024-06-12,13.44
2024-06-13,13.56
2024-06-14,13.67
2024-06-18,13.73
2024-06-19,13.69
2024-06-20,13.68
2024-06-21,13.65
2024-06-24,13.71
2024-06-25,13.78
2024-06-26,13.82
2024-06-27,13.85
2024-06-28,13.83
2024-07-01,13.95
2024-07-02,13.94
2024-07-03,14.05
2024-07-04,14.09
2024-07-05,14.1
2024-07-08,14.07
2024-07-09,14.16
2024-07-10,14.09
2024-07-11,14.11
2024-07-12,14.17
2024-07-15,14.23
2024-07-16,14.2
2024-07-18,14.24
2024-07-19,14.03
2024-07-22,14.06
2024-07-23,14.0
2024-07-24,14.02
2024-07-25,14.0
2024-07-26,14.21
2024-07-29,14.25
2024-07-30,14.24
2024-07-31,14.29
2024-08-01,14.27
2024-08-02,14.18
2024-08-05,13.78
2024-08-06,13.68
2024-08-07,13.96
2024-08-08,13.9
2024-08-09,14.06
2024-08-12,14.02
2024-08-13,13.9
2024-08-14,13.93
2024-08-16,14.16
2024-08-19,14.17
2024-08-20,14.29
2024-08-21,14.3
2024-08-22,14.36
2024-08-23,14.37
2024-08-26,14.47
2024-08-27,14.52
2024-08-28,14.54
2024-08-29,14.54
2024-08-30,14.61
2024-09-02,14.59
2024-09-03,14.65
2024-09-04,14.61
2024-09-05,14.63
2024-09-06,14.49
2024-09-09,14.52
2024-09-10,14.57
2024-09-11,14.57
2024-09-12,14.8
2024-09-13,14.78
2024-09-16,14.78
2024-09-17,14.8
2024-09-18,14.8
2024-09-19,14.82
2024-09-20,15.06
2024-09-23,15.21
2024-09-24,15.19
2024-09-25,15.17
2024-09-26,15.26
2024-09-27,15.21
2024-09-30,15.01
2024-10-01,15.02
2024-10-03,14.71
2024-10-04,14.6
2024-10-07,14.42
2024-10-08,14.63
2024-10-09,14.7
2024-10-10,14.67
2024-10-11,14.67
2024-10-14,14.74
2024-10-15,14.76
2024-10-16,14.71
2024-10-17,14.55
2024-10-18,14.61
2024-10-21,14.51
2024-10-22,14.29
2024-10-23,14.31
2024-10-24,14.27
2024-10-25,14.15
2024-10-28,14.26
2024-10-29,14.38
2024-10-30,14.3
2024-10-31,14.26
2024-11-04,14.2
2024-11-05,14.29
2024-11-06,14.48
2024-11-07,14.32
2024-11-08,14.23
2024-11-11,14.26
2024-11-12,14.11
2024-11-13,13.89
2024-11-14,13.93
2024-11-18,13.91
2024-11-19,13.95
2024-11-21,13.87
2024-11-22,14.12
2024-11-25,14.35
2024-11-26,14.37
2024-11-27,14.46
2024-11-28,14.34
2024-11-29,14.44
2024-12-02,14.54
2024-12-03,14.63
2024-12-04,14.7
2024-12-05,14.85
