abs_val,cagr_val,date_range,start_date,end_date
106.8,15.64,Feb-10 - Jan-15,2010-02-01,2015-01-31
102.95,15.21,Mar-10 - Feb-15,2010-03-01,2015-02-28
87.5,13.4,Apr-10 - Mar-15,2010-04-01,2015-03-31
76.86,12.08,May-10 - Apr-15,2010-05-01,2015-04-30
87.22,13.36,Jun-10 - May-15,2010-06-01,2015-05-31
79.67,12.43,Jul-10 - Jun-15,2010-07-01,2015-06-30
83.1,12.86,Aug-10 - Jul-15,2010-08-01,2015-07-31
70.12,11.21,Sep-10 - Aug-15,2010-09-01,2015-08-31
55.64,9.25,Oct-10 - Sep-15,2010-10-01,2015-09-30
60.32,9.9,Nov-10 - Oct-15,2010-11-01,2015-10-31
66.23,10.7,Dec-10 - Nov-15,2010-12-01,2015-11-30
61.06,10.0,Jan-11 - Dec-15,2011-01-01,2015-12-31
70.27,11.23,Feb-11 - Jan-16,2011-02-01,2016-01-31
63.86,10.38,Mar-11 - Feb-16,2011-03-01,2016-02-29
65.37,10.58,Apr-11 - Mar-16,2011-04-01,2016-03-31
69.52,11.13,May-11 - Apr-16,2011-05-01,2016-04-30
80.04,12.48,Jun-11 - May-16,2011-06-01,2016-05-31
78.14,12.24,Jul-11 - Jun-16,2011-07-01,2016-06-30
86.56,13.28,Aug-11 - Jul-16,2011-08-01,2016-07-31
107.71,15.74,Sep-11 - Aug-16,2011-09-01,2016-08-31
107.03,15.67,Oct-11 - Sep-16,2011-10-01,2016-09-30
96.99,14.52,Nov-11 - Oct-16,2011-11-01,2016-10-31
98.0,14.64,Dec-11 - Nov-16,2011-12-01,2016-11-30
100.44,14.92,Jan-12 - Dec-16,2012-01-01,2016-12-31
90.9,13.8,Feb-12 - Jan-17,2012-02-01,2017-01-31
93.15,14.07,Mar-12 - Feb-17,2012-02-29,2017-02-28
102.03,15.1,Apr-12 - Mar-17,2012-04-01,2017-03-31
108.74,15.86,May-12 - Apr-17,2012-05-01,2017-04-30
125.99,17.71,Jun-12 - May-17,2012-06-01,2017-05-31
112.0,16.22,Jul-12 - Jun-17,2012-07-01,2017-06-30
124.57,17.56,Aug-12 - Jul-17,2012-08-01,2017-07-31
124.15,17.52,Sep-12 - Aug-17,2012-09-01,2017-08-31
106.8,15.64,Oct-12 - Sep-17,2012-10-01,2017-09-30
115.77,16.63,Nov-12 - Oct-17,2012-11-01,2017-10-31
105.45,15.49,Dec-12 - Nov-17,2012-12-01,2017-11-30
110.02,16.0,Jan-13 - Dec-17,2013-01-01,2017-12-31
108.12,15.79,Feb-13 - Jan-18,2013-02-01,2018-01-31
108.95,15.88,Mar-13 - Feb-18,2013-03-01,2018-02-28
103.8,15.3,Apr-13 - Mar-18,2013-04-01,2018-03-31
106.76,15.64,May-13 - Apr-18,2013-05-01,2018-04-30
108.53,15.83,Jun-13 - May-18,2013-06-01,2018-05-31
115.49,16.6,Jul-13 - Jun-18,2013-07-01,2018-06-30
132.23,18.35,Aug-13 - Jul-18,2013-08-01,2018-07-31
143.36,19.47,Sep-13 - Aug-18,2013-09-01,2018-08-31
113.17,16.34,Oct-13 - Sep-18,2013-10-01,2018-09-30
86.44,13.27,Nov-13 - Oct-18,2013-11-01,2018-10-31
101.5,15.04,Dec-13 - Nov-18,2013-12-01,2018-11-30
97.16,14.54,Jan-14 - Dec-18,2014-01-01,2018-12-31
103.42,15.26,Feb-14 - Jan-19,2014-02-01,2019-01-31
99.55,14.82,Mar-14 - Feb-19,2014-03-01,2019-02-28
94.83,14.27,Apr-14 - Mar-19,2014-04-01,2019-03-31
97.87,14.62,May-14 - Apr-19,2014-05-01,2019-04-30
85.61,13.17,Jun-14 - May-19,2014-06-01,2019-05-31
74.75,11.81,Jul-14 - Jun-19,2014-07-01,2019-06-30
71.05,11.33,Aug-14 - Jul-19,2014-08-01,2019-07-31
66.32,10.71,Sep-14 - Aug-19,2014-09-01,2019-08-31
74.78,11.81,Oct-14 - Sep-19,2014-10-01,2019-09-30
69.12,11.08,Nov-14 - Oct-19,2014-11-01,2019-10-31
60.51,9.93,Dec-14 - Nov-19,2014-12-01,2019-11-30
65.98,10.66,Jan-15 - Dec-19,2015-01-01,2019-12-31
60.72,9.95,Feb-15 - Jan-20,2015-02-01,2020-01-31
58.64,9.67,Mar-15 - Feb-20,2015-03-01,2020-02-29
33.33,5.92,Apr-15 - Mar-20,2015-04-01,2020-03-31
50.45,8.51,May-15 - Apr-20,2015-05-01,2020-04-30
40.07,6.97,Jun-15 - May-20,2015-06-01,2020-05-31
48.27,8.2,Jul-15 - Jun-20,2015-07-01,2020-06-30
51.6,8.68,Aug-15 - Jul-20,2015-08-01,2020-07-31
64.01,10.4,Sep-15 - Aug-20,2015-09-01,2020-08-31
63.61,10.35,Oct-15 - Sep-20,2015-10-01,2020-09-30
67.89,10.92,Nov-15 - Oct-20,2015-11-01,2020-10-31
86.97,13.33,Dec-15 - Nov-20,2015-12-01,2020-11-30
