abs_val,cagr_val,date_range,start_date,end_date
64.2,17.98,Jul-21 - Jun-24,2021-07-01,2024-06-30
64.77,18.11,Aug-21 - Jul-24,2021-08-01,2024-07-31
52.69,15.15,Sep-21 - Aug-24,2021-09-01,2024-08-31
52.87,15.2,Oct-21 - Sep-24,2021-10-01,2024-09-30
42.69,12.58,Nov-21 - Oct-24,2021-11-01,2024-10-31
48.39,14.06,Dec-21 - Nov-24,2021-12-01,2024-11-30
42.39,12.5,Jan-22 - Dec-24,2022-01-01,2024-12-31
39.27,11.67,Feb-22 - Jan-25,2022-02-01,2025-01-31
31.17,9.46,Mar-22 - Feb-25,2022-03-01,2025-02-28
39.0,11.6,Apr-22 - Mar-25,2022-04-01,2025-03-31
47.16,13.75,May-22 - Apr-25,2022-05-01,2025-04-30
60.08,16.98,Jun-22 - May-25,2022-06-01,2025-05-31
74.09,20.3,Jul-22 - Jun-25,2022-07-01,2025-06-30
53.11,15.26,Aug-22 - Jul-25,2022-08-01,2025-07-31
45.64,13.35,Sep-22 - Aug-25,2022-09-01,2025-08-31
52.01,14.98,Oct-22 - Sep-25,2022-10-01,2025-09-30
51.93,14.96,Nov-22 - Oct-25,2022-11-01,2025-10-31
49.5,14.35,Dec-22 - Nov-25,2022-12-01,2025-11-30
55.65,15.89,Jan-23 - Dec-25,2023-01-01,2025-12-31
59.55,16.85,Feb-23 - Jan-26,2023-02-01,2026-01-31
64.79,18.12,Mar-23 - Feb-26,2023-03-01,2026-02-28
44.7,13.11,Apr-23 - Mar-26,2023-04-01,2026-03-31
54.55,15.62,May-23 - Apr-26,2023-05-01,2026-04-30
49.22,14.27,Jun-23 - May-26,2023-06-01,2026-05-31
45.53,13.32,Jul-23 - Jun-26,2023-07-01,2026-06-30
40.95,12.12,Aug-23 - Jul-26,2023-08-01,2026-07-31
