abs_val,cagr_val,date_range,start_date,end_date
12.83,4.1,Sep-10 - Aug-13,2010-09-01,2013-08-31
10.42,3.36,Oct-10 - Sep-13,2010-10-01,2013-09-30
20.84,6.51,Nov-10 - Oct-13,2010-11-01,2013-10-31
19.09,6.0,Dec-10 - Nov-13,2010-12-01,2013-11-30
17.64,5.56,Jan-11 - Dec-13,2011-01-01,2013-12-31
20.28,6.35,Feb-11 - Jan-14,2011-02-01,2014-01-31
27.18,8.34,Mar-11 - Feb-14,2011-03-01,2014-02-28
25.88,7.97,Apr-11 - Mar-14,2011-04-01,2014-03-31
25.97,8.0,May-11 - Apr-14,2011-05-01,2014-04-30
40.97,12.13,Jun-11 - May-14,2011-06-01,2014-05-31
45.27,13.25,Jul-11 - Jun-14,2011-07-01,2014-06-30
46.95,13.69,Aug-11 - Jul-14,2011-08-01,2014-07-31
61.98,17.44,Sep-11 - Aug-14,2011-09-01,2014-08-31
64.32,18.0,Oct-11 - Sep-14,2011-10-01,2014-09-30
64.77,18.11,Nov-11 - Oct-14,2011-11-01,2014-10-31
81.29,21.93,Dec-11 - Nov-14,2011-12-01,2014-11-30
83.23,22.37,Jan-12 - Dec-14,2012-01-01,2014-12-31
79.7,21.58,Feb-12 - Jan-15,2012-02-01,2015-01-31
71.94,19.8,Mar-12 - Feb-15,2012-02-29,2015-02-28
69.25,19.17,Apr-12 - Mar-15,2012-04-01,2015-03-31
63.81,17.88,May-12 - Apr-15,2012-05-01,2015-04-30
77.26,21.02,Jun-12 - May-15,2012-06-01,2015-05-31
63.67,17.85,Jul-12 - Jun-15,2012-07-01,2015-06-30
70.34,19.43,Aug-12 - Jul-15,2012-08-01,2015-07-31
60.28,17.03,Sep-12 - Aug-15,2012-09-01,2015-08-31
48.95,14.2,Oct-12 - Sep-15,2012-10-01,2015-09-30
50.88,14.69,Nov-12 - Oct-15,2012-11-01,2015-10-31
43.45,12.78,Dec-12 - Nov-15,2012-12-01,2015-11-30
42.04,12.41,Jan-13 - Dec-15,2013-01-01,2015-12-31
33.75,10.18,Feb-13 - Jan-16,2013-02-01,2016-01-31
30.87,9.38,Mar-13 - Feb-16,2013-03-01,2016-02-29
45.25,13.25,Apr-13 - Mar-16,2013-04-01,2016-03-31
41.16,12.18,May-13 - Apr-16,2013-05-01,2016-04-30
44.22,12.98,Jun-13 - May-16,2013-06-01,2016-05-31
50.26,14.54,Jul-13 - Jun-16,2013-07-01,2016-06-30
58.16,16.51,Aug-13 - Jul-16,2013-08-01,2016-07-31
69.45,19.22,Sep-13 - Aug-16,2013-09-01,2016-08-31
61.92,17.43,Oct-13 - Sep-16,2013-10-01,2016-09-30
50.95,14.71,Nov-13 - Oct-16,2013-11-01,2016-10-31
43.86,12.89,Dec-13 - Nov-16,2013-12-01,2016-11-30
37.8,11.28,Jan-14 - Dec-16,2014-01-01,2016-12-31
52.66,15.14,Feb-14 - Jan-17,2014-02-01,2017-01-31
54.03,15.49,Mar-14 - Feb-17,2014-03-01,2017-02-28
49.74,14.4,Apr-14 - Mar-17,2014-04-01,2017-03-31
53.6,15.38,May-14 - Apr-17,2014-05-01,2017-04-30
42.63,12.57,Jun-14 - May-17,2014-06-01,2017-05-31
34.48,10.38,Jul-14 - Jun-17,2014-07-01,2017-06-30
40.96,12.12,Aug-14 - Jul-17,2014-08-01,2017-07-31
35.52,10.66,Sep-14 - Aug-17,2014-09-01,2017-08-31
32.94,9.96,Oct-14 - Sep-17,2014-10-01,2017-09-30
31.71,9.62,Nov-14 - Oct-17,2014-11-01,2017-10-31
26.61,8.18,Dec-14 - Nov-17,2014-12-01,2017-11-30
33.22,10.03,Jan-15 - Dec-17,2015-01-01,2017-12-31
28.6,8.74,Feb-15 - Jan-18,2015-02-01,2018-01-31
24.59,7.6,Mar-15 - Feb-18,2015-03-01,2018-02-28
23.03,7.15,Apr-15 - Mar-18,2015-04-01,2018-03-31
35.06,10.54,May-15 - Apr-18,2015-05-01,2018-04-30
31.84,9.65,Jun-15 - May-18,2015-06-01,2018-05-31
32.32,9.79,Jul-15 - Jun-18,2015-07-01,2018-06-30
