abs_val,cagr_val,date_range,start_date,end_date
27.38,8.4,Jun-09 - May-12,2009-06-01,2012-05-31
34.16,10.29,Jul-09 - Jun-12,2009-07-01,2012-06-30
24.23,7.5,Aug-09 - Jul-12,2009-08-01,2012-07-31
25.17,7.77,Sep-09 - Aug-12,2009-09-01,2012-08-31
22.6,7.03,Oct-09 - Sep-12,2009-10-01,2012-09-30
27.75,8.51,Nov-09 - Oct-12,2009-11-01,2012-10-31
26.35,8.11,Dec-09 - Nov-12,2009-12-01,2012-11-30
22.54,7.01,Jan-10 - Dec-12,2010-01-01,2012-12-31
30.93,9.4,Feb-10 - Jan-13,2010-02-01,2013-01-31
24.53,7.59,Mar-10 - Feb-13,2010-03-01,2013-02-28
18.34,5.77,Apr-10 - Mar-13,2010-04-01,2013-03-31
24.1,7.46,May-10 - Apr-13,2010-05-01,2013-04-30
32.65,9.88,Jun-10 - May-13,2010-06-01,2013-05-31
22.74,7.07,Jul-10 - Jun-13,2010-07-01,2013-06-30
16.79,5.31,Aug-10 - Jul-13,2010-08-01,2013-07-31
8.52,2.76,Sep-10 - Aug-13,2010-09-01,2013-08-31
6.6,2.15,Oct-10 - Sep-13,2010-10-01,2013-09-30
13.0,4.16,Nov-10 - Oct-13,2010-11-01,2013-10-31
15.03,4.78,Dec-10 - Nov-13,2010-12-01,2013-11-30
17.39,5.49,Jan-11 - Dec-13,2011-01-01,2013-12-31
23.56,7.31,Feb-11 - Jan-14,2011-02-01,2014-01-31
35.05,10.53,Mar-11 - Feb-14,2011-03-01,2014-02-28
27.58,8.46,Apr-11 - Mar-14,2011-04-01,2014-03-31
28.24,8.64,May-11 - Apr-14,2011-05-01,2014-04-30
41.43,12.25,Jun-11 - May-14,2011-06-01,2014-05-31
47.12,13.73,Jul-11 - Jun-14,2011-07-01,2014-06-30
55.08,15.75,Aug-11 - Jul-14,2011-08-01,2014-07-31
69.43,19.22,Sep-11 - Aug-14,2011-09-01,2014-08-31
77.46,21.07,Oct-11 - Sep-14,2011-10-01,2014-09-30
73.42,20.14,Nov-11 - Oct-14,2011-11-01,2014-10-31
95.12,24.96,Dec-11 - Nov-14,2011-12-01,2014-11-30
98.46,25.67,Jan-12 - Dec-14,2012-01-01,2014-12-31
89.37,23.72,Feb-12 - Jan-15,2012-02-01,2015-01-31
85.51,22.87,Mar-12 - Feb-15,2012-02-29,2015-02-28
85.72,22.92,Apr-12 - Mar-15,2012-04-01,2015-03-31
80.43,21.74,May-12 - Apr-15,2012-05-01,2015-04-30
99.25,25.84,Jun-12 - May-15,2012-06-01,2015-05-31
85.15,22.79,Jul-12 - Jun-15,2012-07-01,2015-06-30
91.1,24.1,Aug-12 - Jul-15,2012-08-01,2015-07-31
74.65,20.43,Sep-12 - Aug-15,2012-09-01,2015-08-31
64.44,18.03,Oct-12 - Sep-15,2012-10-01,2015-09-30
64.85,18.13,Nov-12 - Oct-15,2012-11-01,2015-10-31
55.01,15.73,Dec-12 - Nov-15,2012-12-01,2015-11-30
54.11,15.51,Jan-13 - Dec-15,2013-01-01,2015-12-31
44.84,13.14,Feb-13 - Jan-16,2013-02-01,2016-01-31
41.48,12.26,Mar-13 - Feb-16,2013-03-01,2016-02-29
55.51,15.86,Apr-13 - Mar-16,2013-04-01,2016-03-31
50.34,14.56,May-13 - Apr-16,2013-05-01,2016-04-30
49.53,14.35,Jun-13 - May-16,2013-06-01,2016-05-31
57.48,16.34,Jul-13 - Jun-16,2013-07-01,2016-06-30
69.44,19.22,Aug-13 - Jul-16,2013-08-01,2016-07-31
80.51,21.76,Sep-13 - Aug-16,2013-09-01,2016-08-31
70.25,19.41,Oct-13 - Sep-16,2013-10-01,2016-09-30
57.16,16.26,Nov-13 - Oct-16,2013-11-01,2016-10-31
48.54,14.1,Dec-13 - Nov-16,2013-12-01,2016-11-30
39.28,11.68,Jan-14 - Dec-16,2014-01-01,2016-12-31
53.09,15.25,Feb-14 - Jan-17,2014-02-01,2017-01-31
55.72,15.91,Mar-14 - Feb-17,2014-03-01,2017-02-28
57.37,16.32,Apr-14 - Mar-17,2014-04-01,2017-03-31
60.63,17.11,May-14 - Apr-17,2014-05-01,2017-04-30
47.85,13.92,Jun-14 - May-17,2014-06-01,2017-05-31
