abs_val,cagr_val,date_range,start_date,end_date
85.04,13.1,Jun-08 - May-13,2008-06-01,2013-05-31
98.57,14.7,Jul-08 - Jun-13,2008-07-01,2013-06-30
85.82,13.19,Aug-08 - Jul-13,2008-08-01,2013-07-31
80.74,12.57,Sep-08 - Aug-13,2008-09-01,2013-08-31
108.05,15.78,Oct-08 - Sep-13,2008-10-01,2013-09-30
189.63,23.7,Nov-08 - Oct-13,2008-11-01,2013-10-31
192.5,23.94,Dec-08 - Nov-13,2008-12-01,2013-11-30
183.78,23.2,Jan-09 - Dec-13,2009-01-01,2013-12-31
174.51,22.38,Feb-09 - Jan-14,2009-02-01,2014-01-31
191.79,23.88,Mar-09 - Feb-14,2009-03-01,2014-02-28
188.4,23.59,Apr-09 - Mar-14,2009-04-01,2014-03-31
149.25,20.04,May-09 - Apr-14,2009-05-01,2014-04-30
122.01,17.29,Jun-09 - May-14,2009-06-01,2014-05-31
134.85,18.62,Jul-09 - Jun-14,2009-07-01,2014-06-30
116.86,16.74,Aug-09 - Jul-14,2009-08-01,2014-07-31
121.97,17.29,Sep-09 - Aug-14,2009-09-01,2014-08-31
106.93,15.65,Oct-09 - Sep-14,2009-10-01,2014-09-30
128.18,17.94,Nov-09 - Oct-14,2009-11-01,2014-10-31
120.78,17.16,Dec-09 - Nov-14,2009-12-01,2014-11-30
109.44,15.93,Jan-10 - Dec-14,2010-01-01,2014-12-31
129.8,18.11,Feb-10 - Jan-15,2010-02-01,2015-01-31
128.67,17.99,Mar-10 - Feb-15,2010-03-01,2015-02-28
107.61,15.73,Apr-10 - Mar-15,2010-04-01,2015-03-31
99.23,14.78,May-10 - Apr-15,2010-05-01,2015-04-30
109.11,15.9,Jun-10 - May-15,2010-06-01,2015-05-31
97.21,14.55,Jul-10 - Jun-15,2010-07-01,2015-06-30
99.27,14.79,Aug-10 - Jul-15,2010-08-01,2015-07-31
84.8,13.07,Sep-10 - Aug-15,2010-09-01,2015-08-31
68.29,10.97,Oct-10 - Sep-15,2010-10-01,2015-09-30
66.96,10.8,Nov-10 - Oct-15,2010-11-01,2015-10-31
71.95,11.45,Dec-10 - Nov-15,2010-12-01,2015-11-30
64.48,10.46,Jan-11 - Dec-15,2011-01-01,2015-12-31
70.74,11.29,Feb-11 - Jan-16,2011-02-01,2016-01-31
61.35,10.04,Mar-11 - Feb-16,2011-03-01,2016-02-29
62.65,10.22,Apr-11 - Mar-16,2011-04-01,2016-03-31
68.83,11.04,May-11 - Apr-16,2011-05-01,2016-04-30
78.87,12.33,Jun-11 - May-16,2011-06-01,2016-05-31
80.88,12.58,Jul-11 - Jun-16,2011-07-01,2016-06-30
91.72,13.9,Aug-11 - Jul-16,2011-08-01,2016-07-31
113.55,16.39,Sep-11 - Aug-16,2011-09-01,2016-08-31
110.91,16.1,Oct-11 - Sep-16,2011-10-01,2016-09-30
100.37,14.91,Nov-11 - Oct-16,2011-11-01,2016-10-31
107.68,15.74,Dec-11 - Nov-16,2011-12-01,2016-11-30
111.98,16.21,Jan-12 - Dec-16,2012-01-01,2016-12-31
