abs_val,cagr_val,date_range,start_date,end_date
21.42,21.42,Jan-21 - Dec-21,2021-01-01,2021-12-31
21.98,21.98,Feb-21 - Jan-22,2021-02-01,2022-01-31
8.87,8.87,Mar-21 - Feb-22,2021-03-01,2022-02-28
8.43,8.43,Apr-21 - Mar-22,2021-04-01,2022-03-31
9.59,9.59,May-21 - Apr-22,2021-05-01,2022-04-30
-1.41,-1.41,Jun-21 - May-22,2021-06-01,2022-05-31
-6.74,-6.74,Jul-21 - Jun-22,2021-07-01,2022-06-30
1.83,1.83,Aug-21 - Jul-22,2021-08-01,2022-07-31
-0.73,-0.73,Sep-21 - Aug-22,2021-09-01,2022-08-31
-8.57,-8.57,Oct-21 - Sep-22,2021-10-01,2022-09-30
-2.42,-2.42,Nov-21 - Oct-22,2021-11-01,2022-10-31
4.71,4.71,Dec-21 - Nov-22,2021-12-01,2022-11-30
-0.24,-0.24,Jan-22 - Dec-22,2022-01-01,2022-12-31
-2.79,-2.79,Feb-22 - Jan-23,2022-02-01,2023-01-31
-1.03,-1.03,Mar-22 - Feb-23,2022-03-01,2023-02-28
-0.23,-0.23,Apr-22 - Mar-23,2022-04-01,2023-03-31
5.52,5.52,May-22 - Apr-23,2022-05-01,2023-04-30
12.33,12.33,Jun-22 - May-23,2022-06-01,2023-05-31
23.38,23.38,Jul-22 - Jun-23,2022-07-01,2023-06-30
16.58,16.58,Aug-22 - Jul-23,2022-08-01,2023-07-31
10.31,10.31,Sep-22 - Aug-23,2022-09-01,2023-08-31
16.24,16.24,Oct-22 - Sep-23,2022-10-01,2023-09-30
7.12,7.12,Nov-22 - Oct-23,2022-11-01,2023-10-31
10.44,10.44,Dec-22 - Nov-23,2022-12-01,2023-11-30
23.94,23.94,Jan-23 - Dec-23,2023-01-01,2023-12-31
30.79,30.79,Feb-23 - Jan-24,2023-02-01,2024-01-31
37.55,37.55,Mar-23 - Feb-24,2023-03-01,2024-02-29
39.34,39.34,Apr-23 - Mar-24,2023-04-01,2024-03-31
40.27,40.27,May-23 - Apr-24,2023-05-01,2024-04-30
36.28,36.28,Jun-23 - May-24,2023-06-01,2024-05-31
37.32,37.32,Jul-23 - Jun-24,2023-07-01,2024-06-30
38.16,38.16,Aug-23 - Jul-24,2023-08-01,2024-07-31
40.13,40.13,Sep-23 - Aug-24,2023-09-01,2024-08-31
38.14,38.14,Oct-23 - Sep-24,2023-10-01,2024-09-30
32.24,32.24,Nov-23 - Oct-24,2023-11-01,2024-10-31
25.78,25.78,Dec-23 - Nov-24,2023-12-01,2024-11-30
14.01,14.01,Jan-24 - Dec-24,2024-01-01,2024-12-31
7.21,7.21,Feb-24 - Jan-25,2024-02-01,2025-01-31
-4.11,-4.11,Mar-24 - Feb-25,2024-02-29,2025-02-28
2.29,2.29,Apr-24 - Mar-25,2024-04-01,2025-03-31
-1.42,-1.42,May-24 - Apr-25,2024-05-01,2025-04-30
2.41,2.41,Jun-24 - May-25,2024-06-01,2025-05-31
1.04,1.04,Jul-24 - Jun-25,2024-07-01,2025-06-30
-6.12,-6.12,Aug-24 - Jul-25,2024-08-01,2025-07-31
-7.97,-7.97,Sep-24 - Aug-25,2024-09-01,2025-08-31
-7.18,-7.18,Oct-24 - Sep-25,2024-10-01,2025-09-30
3.16,3.16,Nov-24 - Oct-25,2024-11-01,2025-10-31
2.93,2.93,Dec-24 - Nov-25,2024-12-01,2025-11-30
4.3,4.3,Jan-25 - Dec-25,2025-01-01,2025-12-31
4.31,4.31,Feb-25 - Jan-26,2025-02-01,2026-01-31
13.31,13.31,Mar-25 - Feb-26,2025-03-01,2026-02-28
-8.2,-8.2,Apr-25 - Mar-26,2025-04-01,2026-03-31
0.35,0.35,May-25 - Apr-26,2025-05-01,2026-04-30
-4.68,-4.68,Jun-25 - May-26,2025-06-01,2026-05-31
-5.17,-5.17,Jul-25 - Jun-26,2025-07-01,2026-06-30
-0.2,-0.2,Aug-25 - Jul-26,2025-08-01,2026-07-31
