abs_val,cagr_val,date_range,start_date,end_date
82.02,12.73,Sep-09 - Aug-14,2009-09-01,2014-08-31
73.43,11.64,Oct-09 - Sep-14,2009-10-01,2014-09-30
89.66,13.66,Nov-09 - Oct-14,2009-11-01,2014-10-31
83.32,12.89,Dec-09 - Nov-14,2009-12-01,2014-11-30
74.03,11.72,Jan-10 - Dec-14,2010-01-01,2014-12-31
95.73,14.37,Feb-10 - Jan-15,2010-02-01,2015-01-31
96.7,14.49,Mar-10 - Feb-15,2010-03-01,2015-02-28
84.86,13.08,Apr-10 - Mar-15,2010-04-01,2015-03-31
75.65,11.93,May-10 - Apr-15,2010-05-01,2015-04-30
85.94,13.21,Jun-10 - May-15,2010-06-01,2015-05-31
77.2,12.12,Jul-10 - Jun-15,2010-07-01,2015-06-30
81.7,12.69,Aug-10 - Jul-15,2010-08-01,2015-07-31
68.4,10.99,Sep-10 - Aug-15,2010-09-01,2015-08-31
54.63,9.11,Oct-10 - Sep-15,2010-10-01,2015-09-30
54.95,9.15,Nov-10 - Oct-15,2010-11-01,2015-10-31
57.65,9.53,Dec-10 - Nov-15,2010-12-01,2015-11-30
54.65,9.11,Jan-11 - Dec-15,2011-01-01,2015-12-31
64.64,10.49,Feb-11 - Jan-16,2011-02-01,2016-01-31
55.92,9.29,Mar-11 - Feb-16,2011-03-01,2016-02-29
58.17,9.6,Apr-11 - Mar-16,2011-04-01,2016-03-31
62.52,10.2,May-11 - Apr-16,2011-05-01,2016-04-30
73.75,11.68,Jun-11 - May-16,2011-06-01,2016-05-31
73.07,11.6,Jul-11 - Jun-16,2011-07-01,2016-06-30
85.3,13.13,Aug-11 - Jul-16,2011-08-01,2016-07-31
105.79,15.53,Sep-11 - Aug-16,2011-09-01,2016-08-31
103.68,15.29,Oct-11 - Sep-16,2011-10-01,2016-09-30
92.12,13.95,Nov-11 - Oct-16,2011-11-01,2016-10-31
98.15,14.66,Dec-11 - Nov-16,2011-12-01,2016-11-30
103.56,15.28,Jan-12 - Dec-16,2012-01-01,2016-12-31
