abs_val,cagr_val,date_range,start_date,end_date
-21.91,-21.91,Apr-19 - Mar-20,2019-04-01,2020-03-31
-12.59,-12.59,May-19 - Apr-20,2019-05-01,2020-04-30
-15.73,-15.73,Jun-19 - May-20,2019-06-01,2020-05-31
-9.34,-9.34,Jul-19 - Jun-20,2019-07-01,2020-06-30
-0.18,-0.18,Aug-19 - Jul-20,2019-08-01,2020-07-31
1.04,1.04,Sep-19 - Aug-20,2019-09-01,2020-08-31
-6.91,-6.91,Oct-19 - Sep-20,2019-10-01,2020-09-30
-6.98,-6.98,Nov-19 - Oct-20,2019-11-01,2020-10-31
3.41,3.41,Dec-19 - Nov-20,2019-12-01,2020-11-30
11.89,11.89,Jan-20 - Dec-20,2020-01-01,2020-12-31
12.12,12.12,Feb-20 - Jan-21,2020-02-01,2021-01-31
29.82,29.82,Mar-20 - Feb-21,2020-02-29,2021-02-28
65.18,65.18,Apr-20 - Mar-21,2020-04-01,2021-03-31
47.3,47.3,May-20 - Apr-21,2020-05-01,2021-04-30
61.3,61.3,Jun-20 - May-21,2020-06-01,2021-05-31
54.46,54.46,Jul-20 - Jun-21,2020-07-01,2021-06-30
47.74,47.74,Aug-20 - Jul-21,2020-08-01,2021-07-31
54.41,54.41,Sep-20 - Aug-21,2020-09-01,2021-08-31
61.93,61.93,Oct-20 - Sep-21,2020-10-01,2021-09-30
59.29,59.29,Nov-20 - Oct-21,2020-11-01,2021-10-31
37.22,37.22,Dec-20 - Nov-21,2020-12-01,2021-11-30
29.69,29.69,Jan-21 - Dec-21,2021-01-01,2021-12-31
30.52,30.52,Feb-21 - Jan-22,2021-02-01,2022-01-31
15.63,15.63,Mar-21 - Feb-22,2021-03-01,2022-02-28
18.93,18.93,Apr-21 - Mar-22,2021-04-01,2022-03-31
16.27,16.27,May-21 - Apr-22,2021-05-01,2022-04-30
5.54,5.54,Jun-21 - May-22,2021-06-01,2022-05-31
-0.68,-0.68,Jul-21 - Jun-22,2021-07-01,2022-06-30
5.7,5.7,Aug-21 - Jul-22,2021-08-01,2022-07-31
3.31,3.31,Sep-21 - Aug-22,2021-09-01,2022-08-31
-2.02,-2.02,Oct-21 - Sep-22,2021-10-01,2022-09-30
-0.07,-0.07,Nov-21 - Oct-22,2021-11-01,2022-10-31
7.66,7.66,Dec-21 - Nov-22,2021-12-01,2022-11-30
1.89,1.89,Jan-22 - Dec-22,2022-01-01,2022-12-31
-1.32,-1.32,Feb-22 - Jan-23,2022-02-01,2023-01-31
0.89,0.89,Mar-22 - Feb-23,2022-03-01,2023-02-28
-2.07,-2.07,Apr-22 - Mar-23,2022-04-01,2023-03-31
2.19,2.19,May-22 - Apr-23,2022-05-01,2023-04-30
8.82,8.82,Jun-22 - May-23,2022-06-01,2023-05-31
18.97,18.97,Jul-22 - Jun-23,2022-07-01,2023-06-30
15.34,15.34,Aug-22 - Jul-23,2022-08-01,2023-07-31
9.58,9.58,Sep-22 - Aug-23,2022-09-01,2023-08-31
15.27,15.27,Oct-22 - Sep-23,2022-10-01,2023-09-30
6.24,6.24,Nov-22 - Oct-23,2022-11-01,2023-10-31
8.78,8.78,Dec-22 - Nov-23,2022-12-01,2023-11-30
21.88,21.88,Jan-23 - Dec-23,2023-01-01,2023-12-31
26.26,26.26,Feb-23 - Jan-24,2023-02-01,2024-01-31
31.66,31.66,Mar-23 - Feb-24,2023-03-01,2024-02-29
33.95,33.95,Apr-23 - Mar-24,2023-04-01,2024-03-31
33.89,33.89,May-23 - Apr-24,2023-05-01,2024-04-30
29.83,29.83,Jun-23 - May-24,2023-06-01,2024-05-31
32.96,32.96,Jul-23 - Jun-24,2023-07-01,2024-06-30
34.47,34.47,Aug-23 - Jul-24,2023-08-01,2024-07-31
38.21,38.21,Sep-23 - Aug-24,2023-09-01,2024-08-31
34.81,34.81,Oct-23 - Sep-24,2023-10-01,2024-09-30
31.26,31.26,Nov-23 - Oct-24,2023-11-01,2024-10-31
25.11,25.11,Dec-23 - Nov-24,2023-12-01,2024-11-30
12.81,12.81,Jan-24 - Dec-24,2024-01-01,2024-12-31
10.53,10.53,Feb-24 - Jan-25,2024-02-01,2025-01-31
2.26,2.26,Mar-24 - Feb-25,2024-02-29,2025-02-28
6.72,6.72,Apr-24 - Mar-25,2024-04-01,2025-03-31
7.74,7.74,May-24 - Apr-25,2024-05-01,2025-04-30
8.89,8.89,Jun-24 - May-25,2024-06-01,2025-05-31
5.84,5.84,Jul-24 - Jun-25,2024-07-01,2025-06-30
-2.85,-2.85,Aug-24 - Jul-25,2024-08-01,2025-07-31
-5.13,-5.13,Sep-24 - Aug-25,2024-09-01,2025-08-31
-5.62,-5.62,Oct-24 - Sep-25,2024-10-01,2025-09-30
4.97,4.97,Nov-24 - Oct-25,2024-11-01,2025-10-31
6.34,6.34,Dec-24 - Nov-25,2024-12-01,2025-11-30
9.44,9.44,Jan-25 - Dec-25,2025-01-01,2025-12-31
8.09,8.09,Feb-25 - Jan-26,2025-02-01,2026-01-31
13.75,13.75,Mar-25 - Feb-26,2025-03-01,2026-02-28
-5.17,-5.17,Apr-25 - Mar-26,2025-04-01,2026-03-31
-2.84,-2.84,May-25 - Apr-26,2025-05-01,2026-04-30
-6.06,-6.06,Jun-25 - May-26,2025-06-01,2026-05-31
-7.72,-7.72,Jul-25 - Jun-26,2025-07-01,2026-06-30
-1.94,-1.94,Aug-25 - Jul-26,2025-08-01,2026-07-31
