abs_val,cagr_val,date_range,start_date,end_date
-30.74,-30.74,May-08 - Apr-09,2008-05-01,2009-04-30
-3.12,-3.12,Jun-08 - May-09,2008-06-01,2009-05-31
15.58,15.58,Jul-08 - Jun-09,2008-07-01,2009-06-30
21.07,21.07,Aug-08 - Jul-09,2008-08-01,2009-07-31
24.75,24.75,Sep-08 - Aug-09,2008-09-01,2009-08-31
54.18,54.18,Oct-08 - Sep-09,2008-10-01,2009-09-30
95.8,95.8,Nov-08 - Oct-09,2008-11-01,2009-10-31
127.33,127.33,Dec-08 - Nov-09,2008-12-01,2009-11-30
109.33,109.33,Jan-09 - Dec-09,2009-01-01,2009-12-31
115.19,115.19,Feb-09 - Jan-10,2009-02-01,2010-01-31
129.04,129.04,Mar-09 - Feb-10,2009-03-01,2010-02-28
121.21,121.21,Apr-09 - Mar-10,2009-04-01,2010-03-31
95.74,95.74,May-09 - Apr-10,2009-05-01,2010-04-30
40.17,40.17,Jun-09 - May-10,2009-06-01,2010-05-31
47.7,47.7,Jul-09 - Jun-10,2009-07-01,2010-06-30
36.29,36.29,Aug-09 - Jul-10,2009-08-01,2010-07-31
33.36,33.36,Sep-09 - Aug-10,2009-09-01,2010-08-31
32.34,32.34,Oct-09 - Sep-10,2009-10-01,2010-09-30
39.55,39.55,Nov-09 - Oct-10,2009-11-01,2010-10-31
24.98,24.98,Dec-09 - Nov-10,2009-12-01,2010-11-30
23.12,23.12,Jan-10 - Dec-10,2010-01-01,2010-12-31
17.42,17.42,Feb-10 - Jan-11,2010-02-01,2011-01-31
13.04,13.04,Mar-10 - Feb-11,2010-03-01,2011-02-28
15.38,15.38,Apr-10 - Mar-11,2010-04-01,2011-03-31
11.22,11.22,May-10 - Apr-11,2010-05-01,2011-04-30
14.49,14.49,Jun-10 - May-11,2010-06-01,2011-05-31
11.68,11.68,Jul-10 - Jun-11,2010-07-01,2011-06-30
7.29,7.29,Aug-10 - Jul-11,2010-08-01,2011-07-31
-3.58,-3.58,Sep-10 - Aug-11,2010-09-01,2011-08-31
-11.73,-11.73,Oct-10 - Sep-11,2010-10-01,2011-09-30
-8.98,-8.98,Nov-10 - Oct-11,2010-11-01,2011-10-31
-13.45,-13.45,Dec-10 - Nov-11,2010-12-01,2011-11-30
-19.64,-19.64,Jan-11 - Dec-11,2011-01-01,2011-12-31
-1.42,-1.42,Feb-11 - Jan-12,2011-02-01,2012-01-31
6.23,6.23,Mar-11 - Feb-12,2011-03-01,2012-02-29
-2.79,-2.79,Apr-11 - Mar-12,2011-04-01,2012-03-31
-3.87,-3.87,May-11 - Apr-12,2011-05-01,2012-04-30
-8.15,-8.15,Jun-11 - May-12,2011-06-01,2012-05-31
-4.88,-4.88,Jul-11 - Jun-12,2011-07-01,2012-06-30
-2.44,-2.44,Aug-11 - Jul-12,2011-08-01,2012-07-31
7.24,7.24,Sep-11 - Aug-12,2011-09-01,2012-08-31
17.96,17.96,Oct-11 - Sep-12,2011-10-01,2012-09-30
10.86,10.86,Nov-11 - Oct-12,2011-11-01,2012-10-31
24.72,24.72,Dec-11 - Nov-12,2011-12-01,2012-11-30
33.28,33.28,Jan-12 - Dec-12,2012-01-01,2012-12-31
21.2,21.2,Feb-12 - Jan-13,2012-02-01,2013-01-31
8.87,8.87,Mar-12 - Feb-13,2012-02-29,2013-02-28
8.32,8.32,Apr-12 - Mar-13,2012-04-01,2013-03-31
13.62,13.62,May-12 - Apr-13,2012-05-01,2013-04-30
20.39,20.39,Jun-12 - May-13,2012-06-01,2013-05-31
10.77,10.77,Jul-12 - Jun-13,2012-07-01,2013-06-30
9.01,9.01,Aug-12 - Jul-13,2012-08-01,2013-07-31
4.08,4.08,Sep-12 - Aug-13,2012-09-01,2013-08-31
-0.42,-0.42,Oct-12 - Sep-13,2012-10-01,2013-09-30
11.58,11.58,Nov-12 - Oct-13,2012-11-01,2013-10-31
7.29,7.29,Dec-12 - Nov-13,2012-12-01,2013-11-30
8.95,8.95,Jan-13 - Dec-13,2013-01-01,2013-12-31
4.66,4.66,Feb-13 - Jan-14,2013-02-01,2014-01-31
16.98,16.98,Mar-13 - Feb-14,2013-03-01,2014-02-28
