abs_val,cagr_val,date_range,start_date,end_date
32.11,5.73,Mar-06 - Feb-11,2006-03-01,2011-02-28
35.32,6.24,Apr-06 - Mar-11,2006-04-01,2011-03-31
32.55,5.8,May-06 - Apr-11,2006-05-01,2011-04-30
45.46,7.78,Jun-06 - May-11,2006-06-01,2011-05-31
49.69,8.4,Jul-06 - Jun-11,2006-07-01,2011-06-30
48.63,8.25,Aug-06 - Jul-11,2006-08-01,2011-07-31
25.87,4.71,Sep-06 - Aug-11,2006-09-01,2011-08-31
16.09,3.03,Oct-06 - Sep-11,2006-10-01,2011-09-30
18.62,3.47,Nov-06 - Oct-11,2006-11-01,2011-10-31
7.09,1.38,Dec-06 - Nov-11,2006-12-01,2011-11-30
2.31,0.46,Jan-07 - Dec-11,2007-01-01,2011-12-31
11.91,2.28,Feb-07 - Jan-12,2007-02-01,2012-01-31
28.92,5.21,Mar-07 - Feb-12,2007-03-01,2012-02-29
26.42,4.8,Apr-07 - Mar-12,2007-04-01,2012-03-31
18.98,3.54,May-07 - Apr-12,2007-05-01,2012-04-30
8.46,1.64,Jun-07 - May-12,2007-06-01,2012-05-31
14.54,2.75,Jul-07 - Jun-12,2007-07-01,2012-06-30
11.15,2.14,Aug-07 - Jul-12,2007-08-01,2012-07-31
15.55,2.93,Sep-07 - Aug-12,2007-09-01,2012-08-31
11.3,2.16,Oct-07 - Sep-12,2007-10-01,2012-09-30
-0.58,-0.12,Nov-07 - Oct-12,2007-11-01,2012-10-31
4.88,0.96,Dec-07 - Nov-12,2007-12-01,2012-11-30
-0.96,-0.19,Jan-08 - Dec-12,2008-01-01,2012-12-31
21.37,3.95,Feb-08 - Jan-13,2008-02-01,2013-01-31
16.74,3.14,Mar-08 - Feb-13,2008-02-29,2013-02-28
30.97,5.54,Apr-08 - Mar-13,2008-04-01,2013-03-31
27.21,4.93,May-08 - Apr-13,2008-05-01,2013-04-30
35.18,6.21,Jun-08 - May-13,2008-06-01,2013-05-31
57.69,9.54,Jul-08 - Jun-13,2008-07-01,2013-06-30
46.3,7.91,Aug-08 - Jul-13,2008-08-01,2013-07-31
36.59,6.43,Sep-08 - Aug-13,2008-09-01,2013-08-31
64.86,10.51,Oct-08 - Sep-13,2008-10-01,2013-09-30
128.24,17.94,Nov-08 - Oct-13,2008-11-01,2013-10-31
147.31,19.85,Dec-08 - Nov-13,2008-12-01,2013-11-30
136.91,18.83,Jan-09 - Dec-13,2009-01-01,2013-12-31
139.36,19.07,Feb-09 - Jan-14,2009-02-01,2014-01-31
159.17,20.98,Mar-09 - Feb-14,2009-03-01,2014-02-28
150.12,20.12,Apr-09 - Mar-14,2009-04-01,2014-03-31
119.54,17.03,May-09 - Apr-14,2009-05-01,2014-04-30
