abs_val,cagr_val,date_range,start_date,end_date
66.41,18.5,Nov-20 - Oct-23,2020-11-01,2023-10-31
60.15,17.0,Dec-20 - Nov-23,2020-12-01,2023-11-30
60.69,17.13,Jan-21 - Dec-23,2021-01-01,2023-12-31
64.09,17.95,Feb-21 - Jan-24,2021-02-01,2024-01-31
57.01,16.23,Mar-21 - Feb-24,2021-03-01,2024-02-29
58.36,16.56,Apr-21 - Mar-24,2021-04-01,2024-03-31
60.41,17.06,May-21 - Apr-24,2021-05-01,2024-04-30
49.45,14.33,Jun-21 - May-24,2021-06-01,2024-05-31
55.26,15.79,Jul-21 - Jun-24,2021-07-01,2024-06-30
57.52,16.35,Aug-21 - Jul-24,2021-08-01,2024-07-31
48.55,14.1,Sep-21 - Aug-24,2021-09-01,2024-08-31
48.95,14.2,Oct-21 - Sep-24,2021-10-01,2024-09-30
39.4,11.71,Nov-21 - Oct-24,2021-11-01,2024-10-31
44.14,12.96,Dec-21 - Nov-24,2021-12-01,2024-11-30
39.94,11.85,Jan-22 - Dec-24,2022-01-01,2024-12-31
37.28,11.14,Feb-22 - Jan-25,2022-02-01,2025-01-31
34.25,10.32,Mar-22 - Feb-25,2022-03-01,2025-02-28
36.71,10.99,Apr-22 - Mar-25,2022-04-01,2025-03-31
44.25,12.99,May-22 - Apr-25,2022-05-01,2025-04-30
49.84,14.43,Jun-22 - May-25,2022-06-01,2025-05-31
60.85,17.17,Jul-22 - Jun-25,2022-07-01,2025-06-30
46.19,13.49,Aug-22 - Jul-25,2022-08-01,2025-07-31
38.27,11.41,Sep-22 - Aug-25,2022-09-01,2025-08-31
42.49,12.53,Oct-22 - Sep-25,2022-10-01,2025-09-30
39.49,11.73,Nov-22 - Oct-25,2022-11-01,2025-10-31
37.06,11.08,Dec-22 - Nov-25,2022-12-01,2025-11-30
41.54,12.28,Jan-23 - Dec-25,2023-01-01,2025-12-31
42.34,12.49,Feb-23 - Jan-26,2023-02-01,2026-01-31
44.84,13.14,Mar-23 - Feb-26,2023-03-01,2026-02-28
29.69,9.05,Apr-23 - Mar-26,2023-04-01,2026-03-31
33.39,10.08,May-23 - Apr-26,2023-05-01,2026-04-30
27.77,8.51,Jun-23 - May-26,2023-06-01,2026-05-31
26.34,8.11,Jul-23 - Jun-26,2023-07-01,2026-06-30
24.28,7.52,Aug-23 - Jul-26,2023-08-01,2026-07-31
