date,value
2024-08-20,10.0
2024-08-21,10.0
2024-08-22,10.0
2024-08-23,10.07
2024-08-26,10.11
2024-08-27,10.09
2024-08-28,10.09
2024-08-29,10.11
2024-08-30,10.15
2024-09-02,10.12
2024-09-03,10.13
2024-09-04,10.12
2024-09-05,10.09
2024-09-06,10.02
2024-09-09,10.07
2024-09-10,10.13
2024-09-11,10.1
2024-09-12,10.29
2024-09-13,10.24
2024-09-16,10.24
2024-09-17,10.25
2024-09-18,10.23
2024-09-19,10.24
2024-09-20,10.38
2024-09-23,10.48
2024-09-24,10.46
2024-09-25,10.46
2024-09-26,10.53
2024-09-27,10.53
2024-09-30,10.43
2024-10-01,10.43
2024-10-03,10.26
2024-10-04,10.16
2024-10-07,10.03
2024-10-08,10.18
2024-10-09,10.22
2024-10-10,10.2
2024-10-11,10.2
2024-10-14,10.26
2024-10-15,10.24
2024-10-16,10.23
2024-10-17,10.12
2024-10-18,10.13
2024-10-21,10.09
2024-10-22,9.91
2024-10-23,9.87
2024-10-24,9.83
2024-10-25,9.73
2024-10-28,9.77
2024-10-29,9.79
2024-10-30,9.8
2024-10-31,9.76
2024-11-04,9.7
2024-11-05,9.74
2024-11-06,9.9
2024-11-07,9.82
2024-11-08,9.79
2024-11-11,9.78
2024-11-12,9.63
2024-11-13,9.48
2024-11-14,9.48
2024-11-18,9.47
2024-11-19,9.51
2024-11-21,9.48
2024-11-22,9.68
2024-11-25,9.84
2024-11-26,9.84
2024-11-27,9.88
2024-11-28,9.77
2024-11-29,9.85
2024-12-02,9.91
2024-12-03,9.97
2024-12-04,9.98
2024-12-05,10.06
2024-12-06,10.05
2024-12-09,9.99
2024-12-10,9.99
2024-12-11,10.02
2024-12-12,9.96
2024-12-13,10.03
2024-12-16,10.0
2024-12-17,9.88
2024-12-18,9.82
2024-12-19,9.73
2024-12-20,9.56
2024-12-23,9.59
2024-12-24,9.59
2024-12-26,9.61
2024-12-27,9.6
2024-12-30,9.55
2024-12-31,9.56
2025-01-01,9.59
2025-01-02,9.73
2025-01-03,9.65
2025-01-06,9.47
2025-01-07,9.49
2025-01-08,9.46
2025-01-09,9.38
2025-01-10,9.34
2025-01-13,9.17
2025-01-14,9.22
2025-01-15,9.24
2025-01-16,9.29
2025-01-17,9.3
2025-01-20,9.32
2025-01-21,9.16
2025-01-22,9.2
2025-01-23,9.28
2025-01-24,9.2
2025-01-27,9.07
2025-01-28,9.06
2025-01-29,9.2
2025-01-30,9.24
2025-01-31,9.35
2025-02-03,9.26
2025-02-04,9.39
2025-02-05,9.38
2025-02-06,9.33
2025-02-07,9.34
2025-02-10,9.25
2025-02-11,9.11
2025-02-12,9.11
2025-02-13,9.12
2025-02-14,9.03
