date,value
2016-09-12,388.45
2016-09-14,389.89
2016-09-15,388.86
2016-09-16,389.77
2016-09-19,391.37
2016-09-20,390.28
2016-09-21,389.83
2016-09-22,393.64
2016-09-23,392.52
2016-09-26,388.69
2016-09-27,387.76
2016-09-28,389.95
2016-09-29,383.01
2016-09-30,385.28
2016-10-03,388.9
2016-10-04,391.44
2016-10-05,390.51
2016-10-06,389.38
2016-10-07,389.25
2016-10-10,389.19
2016-10-13,384.31
2016-10-14,385.75
2016-10-17,382.69
2016-10-18,387.93
2016-10-19,387.92
2016-10-20,389.28
2016-10-21,389.98
2016-10-24,390.29
2016-10-25,390.53
2016-10-26,387.51
2016-10-27,385.97
2016-10-28,387.83
2016-11-01,387.12
2016-11-02,381.92
2016-11-03,380.16
2016-11-04,377.42
2016-11-07,380.22
2016-11-08,382.99
2016-11-09,380.65
2016-11-10,385.82
2016-11-11,376.37
2016-11-15,368.27
2016-11-16,368.67
2016-11-17,367.21
2016-11-18,368.09
2016-11-21,360.89
2016-11-22,363.64
2016-11-23,364.61
2016-11-24,362.02
2016-11-25,367.34
2016-11-28,367.86
2016-11-29,369.4
2016-11-30,372.76
2016-12-01,370.36
2016-12-02,366.45
2016-12-05,368.95
2016-12-06,369.46
2016-12-07,367.75
2016-12-08,373.71
2016-12-09,373.79
2016-12-12,369.23
2016-12-13,370.69
2016-12-14,368.86
2016-12-15,368.06
2016-12-16,366.82
2016-12-19,365.28
2016-12-20,363.94
2016-12-21,363.27
2016-12-22,359.42
2016-12-23,359.29
2016-12-26,356.05
2016-12-27,360.67
2016-12-28,360.88
2016-12-29,364.05
2016-12-30,367.05
2017-01-02,367.31
2017-01-03,368.03
2017-01-04,368.42
2017-01-05,372.77
2017-01-06,372.37
2017-01-09,371.3
2017-01-10,372.85
2017-01-11,377.96
2017-01-12,378.56
2017-01-13,377.78
2017-01-16,378.56
2017-01-17,377.91
2017-01-18,378.99
2017-01-19,380.07
2017-01-20,376.75
2017-01-23,378.3
2017-01-24,381.65
2017-01-25,386.26
2017-01-27,387.82
2017-01-30,388.82
2017-01-31,384.82
2017-02-01,390.47
2017-02-02,391.3
2017-02-03,392.11
2017-02-06,394.52
2017-02-07,393.27
2017-02-08,394.14
2017-02-09,394.65
2017-02-10,396.08
2017-02-13,396.45
2017-02-14,395.35
2017-02-15,391.44
2017-02-16,395.69
2017-02-17,398.63
2017-02-20,400.63
2017-02-21,402.02
2017-02-22,401.99
2017-02-23,402.12
2017-02-27,399.96
2017-02-28,399.95
2017-03-01,401.63
2017-03-02,399.45
2017-03-03,399.72
2017-03-06,402.27
2017-03-07,401.15
2017-03-08,400.23
2017-03-09,399.82
2017-03-10,400.19
2017-03-14,406.07
2017-03-15,406.51
2017-03-16,409.1
2017-03-17,407.51
2017-03-20,406.73
2017-03-21,405.55
2017-03-22,402.13
2017-03-23,405.61
2017-03-24,406.48
2017-03-27,404.23
2017-03-28,406.38
2017-03-29,407.38
2017-03-30,408.99
2017-03-31,408.75
2017-04-03,410.14
2017-04-05,411.68
2017-04-06,411.99
2017-04-07,409.72
2017-04-10,410.62
2017-04-11,413.3
2017-04-12,413.18
2017-04-13,411.05
2017-04-17,409.71
2017-04-18,407.9
2017-04-19,407.8
2017-04-20,408.62
2017-04-21,408.39
2017-04-24,412.19
2017-04-25,416.29
2017-04-26,417.79
2017-04-27,418.63
2017-04-28,417.76
2017-05-02,416.84
2017-05-03,417.55
2017-05-04,419.71
2017-05-05,416.92
2017-05-08,419.78
2017-05-09,419.92
2017-05-10,423.17
2017-05-11,423.55
2017-05-12,422.67
2017-05-15,424.05
2017-05-16,426.18
2017-05-17,426.2
2017-05-18,421.5
2017-05-19,420.65
2017-05-22,418.34
2017-05-23,416.73
2017-05-24,415.06
2017-05-25,420.94
2017-05-26,424.0
2017-05-29,422.35
2017-05-30,424.25
2017-05-31,425.44
2017-06-01,425.54
2017-06-02,427.94
2017-06-05,428.7
2017-06-06,426.43
2017-06-07,428.24
2017-06-08,427.76
2017-06-09,428.03
2017-06-12,426.21
2017-06-13,425.89
2017-06-14,425.88
2017-06-15,424.05
2017-06-16,424.04
2017-06-19,425.58
2017-06-20,426.3
2017-06-21,425.3
2017-06-22,424.78
2017-06-23,422.33
2017-06-27,419.5
2017-06-28,420.1
2017-06-29,420.16
2017-06-30,420.72
2017-07-03,423.05
2017-07-04,421.8
2017-07-05,424.2
2017-07-06,425.02
2017-07-07,425.16
2017-07-10,430.21
2017-07-11,430.75
2017-07-12,432.39
2017-07-13,435.23
2017-07-14,435.69
2017-07-17,437.9
2017-07-18,438.3
2017-07-19,441.57
2017-07-20,440.17
2017-07-21,440.86
2017-07-24,442.42
2017-07-25,442.81
2017-07-26,445.1
2017-07-27,444.56
2017-07-28,443.02
2017-07-31,445.11
2017-08-01,446.3
2017-08-02,445.68
2017-08-03,443.04
2017-08-04,445.64
2017-08-07,445.88
2017-08-08,441.38
