date,value
2016-09-12,16.3
2016-09-14,16.37
2016-09-15,16.38
2016-09-16,16.45
2016-09-19,16.47
2016-09-20,16.47
2016-09-21,16.48
2016-09-22,16.73
2016-09-23,16.68
2016-09-26,16.5
2016-09-27,16.5
2016-09-28,16.54
2016-09-29,16.14
2016-09-30,16.31
2016-10-03,16.69
2016-10-04,16.74
2016-10-05,16.85
2016-10-06,16.81
2016-10-07,16.75
2016-10-10,16.78
2016-10-13,16.55
2016-10-14,16.69
2016-10-17,16.62
2016-10-18,16.85
2016-10-19,16.83
2016-10-20,16.85
2016-10-21,16.85
2016-10-24,16.86
2016-10-25,16.79
2016-10-26,16.65
2016-10-27,16.65
2016-10-28,16.73
2016-11-01,16.77
2016-11-02,16.5
2016-11-03,16.41
2016-11-04,16.2
2016-11-07,16.31
2016-11-08,16.45
2016-11-09,16.13
2016-11-10,16.3
2016-11-11,15.74
2016-11-15,15.08
2016-11-16,15.12
2016-11-17,15.11
2016-11-18,15.11
2016-11-21,14.74
2016-11-22,14.89
2016-11-23,15.1
2016-11-24,15.0
2016-11-25,15.26
2016-11-28,15.3
2016-11-29,15.4
2016-11-30,15.57
2016-12-01,15.47
2016-12-02,15.26
2016-12-05,15.31
2016-12-06,15.35
2016-12-07,15.3
2016-12-08,15.5
2016-12-09,15.56
2016-12-12,15.39
2016-12-13,15.4
2016-12-14,15.32
2016-12-15,15.26
2016-12-16,15.27
2016-12-19,15.21
2016-12-20,15.12
2016-12-21,15.11
2016-12-22,14.96
2016-12-23,15.0
2016-12-26,14.82
2016-12-27,15.01
2016-12-28,15.02
2016-12-29,15.14
2016-12-30,15.32
2017-01-02,15.36
2017-01-03,15.51
2017-01-04,15.51
2017-01-05,15.66
2017-01-06,15.6
2017-01-09,15.64
2017-01-10,15.76
2017-01-11,15.93
2017-01-12,15.98
2017-01-13,15.96
2017-01-16,15.96
2017-01-17,15.93
2017-01-18,15.96
2017-01-19,16.04
2017-01-20,15.88
2017-01-23,15.94
2017-01-24,16.08
2017-01-25,16.29
2017-01-27,16.34
2017-01-30,16.34
2017-01-31,16.2
2017-02-01,16.57
2017-02-02,16.6
2017-02-03,16.6
2017-02-06,16.7
2017-02-07,16.62
2017-02-08,16.63
2017-02-09,16.65
2017-02-10,16.61
2017-02-13,16.6
2017-02-14,16.51
2017-02-15,16.31
2017-02-16,16.47
2017-02-17,16.63
2017-02-20,16.75
2017-02-21,16.81
2017-02-22,16.88
2017-02-23,16.82
2017-02-27,16.76
2017-02-28,16.75
2017-03-01,16.78
2017-03-02,16.7
2017-03-03,16.72
2017-03-06,16.85
2017-03-07,16.83
2017-03-08,16.75
2017-03-09,16.79
2017-03-10,16.75
2017-03-14,17.02
2017-03-15,17.04
2017-03-16,17.21
2017-03-17,17.2
2017-03-20,17.16
2017-03-21,17.1
2017-03-22,16.96
2017-03-23,17.08
2017-03-24,17.14
2017-03-27,17.04
2017-03-28,17.13
2017-03-29,17.2
2017-03-30,17.27
2017-03-31,17.4
2017-04-03,17.6
2017-04-05,17.76
2017-04-06,17.76
2017-04-07,17.71
2017-04-10,17.73
2017-04-11,17.84
2017-04-12,17.75
2017-04-13,17.76
2017-04-17,17.82
2017-04-18,17.71
2017-04-19,17.79
2017-04-20,17.84
2017-04-21,17.81
2017-04-24,17.99
2017-04-25,18.19
2017-04-26,18.14
2017-04-27,18.11
2017-04-28,18.16
2017-05-02,18.23
2017-05-03,18.21
2017-05-04,18.29
2017-05-05,18.1
2017-05-08,18.18
2017-05-09,18.23
2017-05-10,18.36
2017-05-11,18.3
2017-05-12,18.22
2017-05-15,18.35
2017-05-16,18.52
2017-05-17,18.53
2017-05-18,18.28
2017-05-19,18.17
2017-05-22,18.08
2017-05-23,17.94
2017-05-24,17.85
2017-05-25,18.16
2017-05-26,18.39
2017-05-29,18.4
2017-05-30,18.39
2017-05-31,18.49
2017-06-01,18.49
2017-06-02,18.52
2017-06-05,18.63
2017-06-06,18.5
2017-06-07,18.6
2017-06-08,18.58
2017-06-09,18.63
2017-06-12,18.4
2017-06-13,18.42
2017-06-14,18.47
2017-06-15,18.48
2017-06-16,18.39
2017-06-19,18.47
2017-06-20,18.45
2017-06-21,18.46
2017-06-22,18.41
2017-06-23,18.29
2017-06-27,18.15
