date,value
2016-09-12,163.29
2016-09-14,164.19
2016-09-15,164.31
2016-09-16,164.64
2016-09-19,165.42
2016-09-20,165.26
2016-09-21,165.39
2016-09-22,167.9
2016-09-23,167.73
2016-09-26,165.64
2016-09-27,165.68
2016-09-28,166.6
2016-09-29,162.52
2016-09-30,164.14
2016-10-03,167.04
2016-10-04,167.89
2016-10-05,167.81
2016-10-06,166.76
2016-10-07,166.78
2016-10-10,166.64
2016-10-13,164.38
2016-10-14,165.36
2016-10-17,164.5
2016-10-18,167.95
2016-10-19,167.53
2016-10-20,167.88
2016-10-21,167.99
2016-10-24,168.08
2016-10-25,167.87
2016-10-26,166.04
2016-10-27,165.37
2016-10-28,166.02
2016-11-01,166.56
2016-11-02,163.97
2016-11-03,163.07
2016-11-04,161.47
2016-11-07,163.16
2016-11-08,164.12
2016-11-09,161.8
2016-11-10,164.73
2016-11-11,159.46
2016-11-15,153.51
2016-11-16,153.46
2016-11-17,153.23
2016-11-18,153.01
2016-11-21,149.92
2016-11-22,151.31
2016-11-23,152.33
2016-11-24,151.04
2016-11-25,154.17
2016-11-28,154.31
2016-11-29,154.37
2016-11-30,155.93
2016-12-01,155.24
2016-12-02,153.09
2016-12-05,154.15
2016-12-06,154.22
2016-12-07,153.59
2016-12-08,156.54
2016-12-09,157.38
2016-12-12,155.63
2016-12-13,156.16
2016-12-14,155.51
2016-12-15,155.08
2016-12-16,155.07
2016-12-19,154.59
2016-12-20,154.1
2016-12-21,153.72
2016-12-22,152.05
2016-12-23,151.71
2016-12-26,149.63
2016-12-27,152.27
2016-12-28,152.21
2016-12-29,153.7
2016-12-30,155.2
2017-01-02,155.41
2017-01-03,156.22
2017-01-04,156.25
2017-01-05,158.04
2017-01-06,157.46
2017-01-09,158.05
2017-01-10,159.03
2017-01-11,161.12
2017-01-12,162.12
2017-01-13,162.06
2017-01-16,162.47
2017-01-17,162.3
2017-01-18,162.91
2017-01-19,163.28
2017-01-20,161.53
2017-01-23,162.2
2017-01-24,163.47
2017-01-25,165.41
2017-01-27,166.31
2017-01-30,165.81
2017-01-31,163.95
2017-02-01,167.04
2017-02-02,167.6
2017-02-03,168.04
2017-02-06,169.14
2017-02-07,168.48
2017-02-08,168.52
2017-02-09,168.67
