date,value
2020-12-24,10.0
2020-12-28,10.0
2020-12-29,10.12
2020-12-30,10.13
2020-12-31,10.13
2021-01-01,10.16
2021-01-04,10.2
2021-01-05,10.22
2021-01-06,10.19
2021-01-07,10.23
2021-01-08,10.29
2021-01-11,10.35
2021-01-12,10.4
2021-01-13,10.43
2021-01-14,10.48
2021-01-15,10.42
2021-01-18,10.37
2021-01-19,10.46
2021-01-20,10.51
2021-01-21,10.48
2021-01-22,10.4
2021-01-25,10.34
2021-01-27,10.23
2021-01-28,10.16
2021-01-29,10.02
2021-02-01,10.46
2021-02-02,10.76
2021-02-03,10.83
2021-02-04,10.97
2021-02-05,11.03
2021-02-08,11.15
2021-02-09,11.13
2021-02-10,11.12
2021-02-11,11.15
2021-02-12,11.13
2021-02-15,11.25
2021-02-16,11.23
2021-02-17,11.2
2021-02-18,11.18
2021-02-19,11.06
2021-02-22,10.83
2021-02-23,10.87
2021-02-24,11.05
2021-02-25,11.13
2021-02-26,10.8
2021-03-01,10.93
2021-03-02,11.06
2021-03-03,11.26
2021-03-04,11.12
2021-03-05,10.99
2021-03-08,11.04
2021-03-09,11.09
2021-03-10,11.15
2021-03-12,11.03
2021-03-15,10.99
2021-03-16,10.97
2021-03-17,10.82
2021-03-18,10.69
2021-03-19,10.81
2021-03-22,10.84
2021-03-23,10.9
2021-03-24,10.71
2021-03-25,10.54
2021-03-26,10.62
2021-03-30,10.84
2021-03-31,10.8
2021-04-01,10.9
2021-04-05,10.73
2021-04-06,10.77
2021-04-07,10.86
2021-04-08,10.9
2021-04-09,10.94
2021-04-12,10.62
2021-04-13,10.54
2021-04-15,10.59
2021-04-16,10.64
2021-04-19,10.55
2021-04-20,10.5
2021-04-22,10.46
2021-04-23,10.4
2021-04-26,10.44
2021-04-27,10.52
2021-04-28,10.63
2021-04-29,10.65
2021-04-30,10.5
2021-05-03,10.52
2021-05-04,10.45
2021-05-05,10.62
2021-05-06,10.68
2021-05-07,10.75
2021-05-10,10.84
2021-05-11,10.75
2021-05-12,10.72
2021-05-14,10.69
2021-05-17,10.85
2021-05-18,10.91
2021-05-19,10.88
2021-05-20,10.81
2021-05-21,10.98
2021-05-24,11.0
2021-05-25,11.0
2021-05-26,11.06
2021-05-27,11.12
2021-05-28,11.19
2021-05-31,11.3
2021-06-01,11.27
2021-06-02,11.31
2021-06-03,11.37
2021-06-04,11.38
2021-06-07,11.42
2021-06-08,11.41
2021-06-09,11.31
2021-06-10,11.39
2021-06-11,11.41
2021-06-14,11.4
2021-06-15,11.43
2021-06-16,11.36
2021-06-17,11.31
2021-06-18,11.31
2021-06-21,11.35
2021-06-22,11.37
2021-06-23,11.32
2021-06-24,11.36
2021-06-25,11.43
2021-06-28,11.39
2021-06-29,11.34
2021-06-30,11.31
2021-07-01,11.3
2021-07-02,11.34
2021-07-05,11.42
2021-07-06,11.41
2021-07-07,11.44
2021-07-08,11.35
2021-07-09,11.32
2021-07-12,11.32
2021-07-13,11.4
2021-07-14,11.44
2021-07-15,11.49
2021-07-16,11.49
2021-07-19,11.39
2021-07-20,11.3
2021-07-22,11.41
2021-07-23,11.44
2021-07-26,11.4
2021-07-27,11.32
2021-07-28,11.29
2021-07-29,11.3
2021-07-30,11.32
2021-08-02,11.42
2021-08-03,11.59
2021-08-04,11.66
2021-08-05,11.7
2021-08-06,11.67
2021-08-09,11.65
2021-08-10,11.66
2021-08-11,11.6
2021-08-12,11.6
2021-08-13,11.71
2021-08-16,11.7
2021-08-17,11.71
2021-08-18,11.68
2021-08-20,11.58
2021-08-23,11.6
2021-08-24,11.67
2021-08-25,11.7
2021-08-26,11.69
2021-08-27,11.76
2021-08-30,11.91
2021-08-31,12.03
2021-09-01,12.0
2021-09-02,12.11
2021-09-03,12.18
2021-09-06,12.2
2021-09-07,12.21
2021-09-08,12.22
2021-09-09,12.24
2021-09-13,12.24
2021-09-14,12.28
2021-09-15,12.39
2021-09-16,12.53
2021-09-17,12.5
2021-09-20,12.37
2021-09-21,12.46
2021-09-22,12.46
2021-09-23,12.64
2021-09-24,12.65
2021-09-27,12.69
2021-09-28,12.7
2021-09-29,12.72
2021-09-30,12.66
2021-10-01,12.63
2021-10-04,12.69
2021-10-05,12.78
2021-10-06,12.69
2021-10-07,12.77
2021-10-08,12.81
2021-10-11,12.9
2021-10-12,12.93
2021-10-13,13.0
2021-10-14,13.11
2021-10-18,13.17
2021-10-19,13.09
2021-10-20,13.01
2021-10-21,13.0
2021-10-22,12.92
2021-10-25,12.93
2021-10-26,13.02
2021-10-27,13.01
2021-10-28,12.71
2021-10-29,12.61
2021-11-01,12.83
2021-11-02,12.81
2021-11-03,12.78
2021-11-08,12.97
2021-11-09,12.97
2021-11-10,12.97
2021-11-11,12.85
2021-11-12,12.97
2021-11-15,12.95
2021-11-16,12.86
2021-11-17,12.77
2021-11-18,12.68
2021-11-22,12.41
2021-11-23,12.5
2021-11-24,12.47
2021-11-25,12.52
2021-11-26,12.2
2021-11-29,12.16
2021-11-30,12.11
2021-12-01,12.24
2021-12-02,12.38
2021-12-03,12.26
2021-12-06,12.07
2021-12-07,12.25
2021-12-08,12.45
2021-12-09,12.5
2021-12-10,12.5
2021-12-13,12.41
2021-12-14,12.41
2021-12-15,12.33
2021-12-16,12.3
2021-12-17,12.09
2021-12-20,11.83
2021-12-21,11.93
2021-12-22,12.06
2021-12-23,12.13
2021-12-24,12.08
2021-12-27,12.13
2021-12-28,12.22
2021-12-29,12.22
2021-12-30,12.21
2021-12-31,12.3
2022-01-03,12.46
2022-01-04,12.54
2022-01-05,12.59
2022-01-06,12.49
2022-01-07,12.52
2022-01-10,12.62
2022-01-11,12.64
2022-01-12,12.75
2022-01-13,12.78
2022-01-14,12.78
2022-01-17,12.84
2022-01-18,12.69
2022-01-19,12.57
2022-01-20,12.45
2022-01-21,12.31
2022-01-24,12.05
2022-01-25,12.12
2022-01-27,12.04
2022-01-28,12.03
2022-01-31,12.22
2022-02-01,12.38
2022-02-02,12.51
2022-02-03,12.36
2022-02-04,12.33
2022-02-07,12.14
2022-02-08,12.16
2022-02-09,12.28
2022-02-10,12.34
2022-02-11,12.17
2022-02-14,11.8
2022-02-15,12.18
2022-02-16,12.12
2022-02-17,12.08
2022-02-18,12.06
2022-02-21,11.99
2022-02-22,11.91
2022-02-23,11.88
2022-02-24,11.31
2022-02-25,11.63
2022-02-28,11.75
2022-03-02,11.65
2022-03-03,11.55
2022-03-04,11.24
2022-03-07,11.11
2022-03-08,11.12
2022-03-09,11.2
2022-03-10,11.19
2022-03-11,11.23
2022-03-14,11.38
2022-03-15,11.24
2022-03-16,11.43
2022-03-17,11.62
2022-03-21,11.5
2022-03-22,11.57
2022-03-23,11.53
2022-03-24,11.51
2022-03-25,11.45
2022-03-28,11.53
2022-03-29,11.59
2022-03-30,11.72
2022-03-31,11.71
2022-04-01,11.86
2022-04-04,12.06
2022-04-05,12.02
2022-04-06,11.95
2022-04-07,11.88
2022-04-08,11.96
2022-04-11,11.91
2022-04-12,11.83
2022-04-13,11.81
2022-04-18,11.67
2022-04-19,11.53
2022-04-20,11.61
2022-04-21,11.77
2022-04-22,11.62
2022-04-25,11.43
2022-04-26,11.58
2022-04-27,11.49
2022-04-28,11.64
2022-04-29,11.51
2022-05-02,11.47
2022-05-04,11.24
2022-05-05,11.25
2022-05-06,11.1
2022-05-09,11.0
2022-05-10,10.89
2022-05-11,10.86
2022-05-12,10.62
2022-05-13,10.59
2022-05-16,10.67
2022-05-17,10.97
2022-05-18,10.95
2022-05-19,10.67
2022-05-20,10.94
2022-05-23,10.89
2022-05-24,10.83
2022-05-25,10.78
2022-05-26,10.9
2022-05-27,10.98
2022-05-30,11.17
2022-05-31,11.14
2022-06-01,11.11
2022-06-02,11.19
2022-06-03,11.13
2022-06-06,11.11
2022-06-07,11.03
2022-06-08,10.99
2022-06-09,11.07
2022-06-10,10.91
2022-06-13,10.64
2022-06-14,10.64
2022-06-15,10.62
2022-06-16,10.38
2022-06-17,10.3
2022-06-20,10.28
2022-06-21,10.51
2022-06-22,10.35
2022-06-23,10.43
2022-06-24,10.49
2022-06-27,10.59
2022-06-28,10.61
2022-06-29,10.56
2022-06-30,10.55
2022-07-01,10.55
2022-07-04,10.63
2022-07-05,10.6
2022-07-06,10.71
2022-07-07,10.84
2022-07-08,10.92
2022-07-11,10.94
2022-07-12,10.84
2022-07-13,10.81
2022-07-14,10.8
2022-07-15,10.84
2022-07-18,11.02
2022-07-19,11.06
2022-07-20,11.16
2022-07-21,11.23
2022-07-22,11.29
2022-07-25,11.25
2022-07-26,11.12
2022-07-27,11.23
2022-07-28,11.38
2022-07-29,11.53
2022-08-01,11.63
2022-08-02,11.63
2022-08-03,11.63
2022-08-04,11.63
2022-08-05,11.65
2022-08-08,11.74
