date,value
2016-09-12,188.03
2016-09-14,188.79
2016-09-15,188.78
2016-09-16,189.6
2016-09-19,190.05
2016-09-20,189.25
2016-09-21,189.19
2016-09-22,191.35
2016-09-23,190.76
2016-09-26,188.75
2016-09-27,188.65
2016-09-28,189.48
2016-09-29,185.81
2016-09-30,186.92
2016-10-03,190.09
2016-10-04,190.66
2016-10-05,190.5
2016-10-06,189.72
2016-10-07,189.38
2016-10-10,189.63
2016-10-13,187.48
2016-10-14,188.17
2016-10-17,186.94
2016-10-18,189.47
2016-10-19,189.26
2016-10-20,189.22
2016-10-21,189.21
2016-10-24,189.05
2016-10-25,188.81
2016-10-26,186.55
2016-10-27,185.76
2016-10-28,186.84
2016-11-01,186.83
2016-11-02,184.56
2016-11-03,183.84
2016-11-04,182.68
2016-11-07,183.96
2016-11-08,184.74
2016-11-09,181.87
2016-11-10,183.52
2016-11-11,178.81
2016-11-15,173.9
2016-11-16,173.96
2016-11-17,173.23
2016-11-18,172.96
2016-11-21,169.8
2016-11-22,171.33
2016-11-23,172.49
2016-11-24,171.64
2016-11-25,174.6
2016-11-28,175.17
2016-11-29,175.47
2016-11-30,177.5
2016-12-01,176.5
2016-12-02,174.49
2016-12-05,175.4
2016-12-06,175.35
2016-12-07,174.12
2016-12-08,176.76
2016-12-09,177.43
2016-12-12,175.4
2016-12-13,175.68
2016-12-14,174.93
2016-12-15,174.59
2016-12-16,174.17
2016-12-19,173.35
2016-12-20,172.61
2016-12-21,172.42
2016-12-22,170.45
2016-12-23,170.6
2016-12-26,168.81
2016-12-27,171.11
2016-12-28,171.36
2016-12-29,172.93
2016-12-30,174.94
2017-01-02,175.16
2017-01-03,175.89
2017-01-04,176.08
2017-01-05,177.78
2017-01-06,176.92
2017-01-09,176.93
2017-01-10,178.06
2017-01-11,180.14
2017-01-12,180.56
2017-01-13,180.25
2017-01-16,180.2
2017-01-17,180.55
2017-01-18,181.01
2017-01-19,181.65
2017-01-20,179.69
2017-01-23,180.41
2017-01-24,182.27
2017-01-25,184.1
2017-01-27,184.95
2017-01-30,184.72
2017-01-31,183.01
2017-02-01,186.71
2017-02-02,187.46
2017-02-03,188.75
2017-02-06,190.27
2017-02-07,189.7
2017-02-08,189.51
2017-02-09,189.86
2017-02-10,190.01
2017-02-13,189.52
2017-02-14,188.61
2017-02-15,186.71
2017-02-16,188.67
2017-02-17,189.76
2017-02-20,190.79
2017-02-21,191.46
2017-02-22,191.68
2017-02-23,191.88
2017-02-27,191.28
2017-02-28,191.01
2017-03-01,191.83
2017-03-02,190.41
2017-03-03,190.73
2017-03-06,192.06
2017-03-07,191.73
2017-03-08,191.02
2017-03-09,191.01
2017-03-10,191.04
2017-03-14,193.71
2017-03-15,194.18
2017-03-16,195.5
2017-03-17,195.89
2017-03-20,195.29
2017-03-21,195.03
2017-03-22,193.24
2017-03-23,194.2
2017-03-24,194.62
2017-03-27,193.93
2017-03-28,194.98
2017-03-29,195.24
2017-03-30,196.11
2017-03-31,196.59
2017-04-03,197.76
2017-04-05,198.64
2017-04-06,198.59
2017-04-07,197.52
2017-04-10,197.46
2017-04-11,198.78
2017-04-12,198.28
2017-04-13,197.37
2017-04-17,197.22
2017-04-18,196.64
2017-04-19,196.75
2017-04-20,197.65
2017-04-21,197.73
2017-04-24,199.73
2017-04-25,201.85
2017-04-26,202.44
2017-04-27,202.14
2017-04-28,201.92
2017-05-02,201.99
2017-05-03,201.53
2017-05-04,202.8
2017-05-05,201.22
2017-05-08,202.01
2017-05-09,202.36
2017-05-10,203.68
2017-05-11,204.22
2017-05-12,203.27
2017-05-15,204.08
2017-05-16,205.46
2017-05-17,205.14
2017-05-18,202.74
2017-05-19,202.46
2017-05-22,202.54
2017-05-23,201.06
2017-05-24,199.95
2017-05-25,203.34
2017-05-26,205.23
2017-05-29,204.51
2017-05-30,205.49
2017-05-31,206.32
2017-06-01,206.58
2017-06-02,207.85
2017-06-05,208.03
2017-06-06,207.04
2017-06-07,208.19
2017-06-08,208.04
2017-06-09,208.37
2017-06-12,207.14
2017-06-13,206.93
2017-06-14,207.16
2017-06-15,206.46
2017-06-16,206.98
2017-06-19,208.13
2017-06-20,208.03
2017-06-21,207.85
2017-06-22,207.36
2017-06-23,206.02
2017-06-27,204.17
