abs_val,cagr_val,date_range,start_date,end_date
54.05,54.05,Mar-99 - Feb-00,1999-03-01,2000-02-29
26.14,26.14,Apr-99 - Mar-00,1999-04-01,2000-03-31
10.47,10.47,May-99 - Apr-00,1999-05-01,2000-04-30
0.97,0.97,Jun-99 - May-00,1999-06-01,2000-05-31
5.3,5.3,Jul-99 - Jun-00,1999-07-01,2000-06-30
-13.25,-13.25,Aug-99 - Jul-00,1999-08-01,2000-07-31
-13.89,-13.89,Sep-99 - Aug-00,1999-09-01,2000-08-31
-19.83,-19.83,Oct-99 - Sep-00,1999-10-01,2000-09-30
-22.95,-22.95,Nov-99 - Oct-00,1999-11-01,2000-10-31
-33.68,-33.68,Dec-99 - Nov-00,1999-12-01,2000-11-30
-40.94,-40.94,Jan-00 - Dec-00,2000-01-01,2000-12-31
-40.79,-40.79,Feb-00 - Jan-01,2000-02-01,2001-01-31
-51.53,-51.53,Mar-00 - Feb-01,2000-02-29,2001-02-28
-57.95,-57.95,Apr-00 - Mar-01,2000-04-01,2001-03-31
-50.12,-50.12,May-00 - Apr-01,2000-05-01,2001-04-30
-51.08,-51.08,Jun-00 - May-01,2000-06-01,2001-05-31
-54.46,-54.46,Jul-00 - Jun-01,2000-07-01,2001-06-30
-49.62,-49.62,Aug-00 - Jul-01,2000-08-01,2001-07-31
-52.61,-52.61,Sep-00 - Aug-01,2000-09-01,2001-08-31
-53.46,-53.46,Oct-00 - Sep-01,2000-10-01,2001-09-30
-45.13,-45.13,Nov-00 - Oct-01,2000-11-01,2001-10-31
-37.85,-37.85,Dec-00 - Nov-01,2000-12-01,2001-11-30
-34.98,-34.98,Jan-01 - Dec-01,2001-01-01,2001-12-31
-33.97,-33.97,Feb-01 - Jan-02,2001-02-01,2002-01-31
-24.01,-24.01,Mar-01 - Feb-02,2001-03-01,2002-02-28
1.86,1.86,Apr-01 - Mar-02,2001-04-01,2002-03-31
6.09,6.09,May-01 - Apr-02,2001-05-01,2002-04-30
7.98,7.98,Jun-01 - May-02,2001-06-01,2002-05-31
14.57,14.57,Jul-01 - Jun-02,2001-07-01,2002-06-30
6.26,6.26,Aug-01 - Jul-02,2001-08-01,2002-07-31
15.71,15.71,Sep-01 - Aug-02,2001-09-01,2002-08-31
17.74,17.74,Oct-01 - Sep-02,2001-10-01,2002-09-30
10.96,10.96,Nov-01 - Oct-02,2001-11-01,2002-10-31
12.1,12.1,Dec-01 - Nov-02,2001-12-01,2002-11-30
20.47,20.47,Jan-02 - Dec-02,2002-01-01,2002-12-31
9.44,9.44,Feb-02 - Jan-03,2002-02-01,2003-01-31
6.07,6.07,Mar-02 - Feb-03,2002-03-01,2003-02-28
0.73,0.73,Apr-02 - Mar-03,2002-04-01,2003-03-31
5.43,5.43,May-02 - Apr-03,2002-05-01,2003-04-30
17.07,17.07,Jun-02 - May-03,2002-06-01,2003-05-31
20.74,20.74,Jul-02 - Jun-03,2002-07-01,2003-06-30
47.28,47.28,Aug-02 - Jul-03,2002-08-01,2003-07-31
63.18,63.18,Sep-02 - Aug-03,2002-09-01,2003-08-31
87.2,87.2,Oct-02 - Sep-03,2002-10-01,2003-09-30
108.74,108.74,Nov-02 - Oct-03,2002-11-01,2003-10-31
101.43,101.43,Dec-02 - Nov-03,2002-12-01,2003-11-30
113.49,113.49,Jan-03 - Dec-03,2003-01-01,2003-12-31
129.17,129.17,Feb-03 - Jan-04,2003-02-01,2004-01-31
127.12,127.12,Mar-03 - Feb-04,2003-03-01,2004-02-29
151.46,151.46,Apr-03 - Mar-04,2003-04-01,2004-03-31
154.06,154.06,May-03 - Apr-04,2003-05-01,2004-04-30
83.79,83.79,Jun-03 - May-04,2003-06-01,2004-05-31
72.3,72.3,Jul-03 - Jun-04,2003-07-01,2004-06-30
60.81,60.81,Aug-03 - Jul-04,2003-08-01,2004-07-31
40.7,40.7,Sep-03 - Aug-04,2003-09-01,2004-08-31
38.49,38.49,Oct-03 - Sep-04,2003-10-01,2004-09-30
27.17,27.17,Nov-03 - Oct-04,2003-11-01,2004-10-31
33.48,33.48,Dec-03 - Nov-04,2003-12-01,2004-11-30
26.57,26.57,Jan-04 - Dec-04,2004-01-01,2004-12-31
21.31,21.31,Feb-04 - Jan-05,2004-02-01,2005-01-31
23.03,23.03,Mar-04 - Feb-05,2004-02-29,2005-02-28
14.76,14.76,Apr-04 - Mar-05,2004-04-01,2005-03-31
4.47,4.47,May-04 - Apr-05,2004-05-01,2005-04-30
31.0,31.0,Jun-04 - May-05,2004-06-01,2005-05-31
31.35,31.35,Jul-04 - Jun-05,2004-07-01,2005-06-30
39.6,39.6,Aug-04 - Jul-05,2004-08-01,2005-07-31
49.31,49.31,Sep-04 - Aug-05,2004-09-01,2005-08-31
47.34,47.34,Oct-04 - Sep-05,2004-10-01,2005-09-30
30.82,30.82,Nov-04 - Oct-05,2004-11-01,2005-10-31
33.49,33.49,Dec-04 - Nov-05,2004-12-01,2005-11-30
31.76,31.76,Jan-05 - Dec-05,2005-01-01,2005-12-31
46.79,46.79,Feb-05 - Jan-06,2005-02-01,2006-01-31
49.8,49.8,Mar-05 - Feb-06,2005-03-01,2006-02-28
68.47,68.47,Apr-05 - Mar-06,2005-04-01,2006-03-31
83.19,83.19,May-05 - Apr-06,2005-05-01,2006-04-30
46.49,46.49,Jun-05 - May-06,2005-06-01,2006-05-31
44.0,44.0,Jul-05 - Jun-06,2005-07-01,2006-06-30
26.51,26.51,Aug-05 - Jul-06,2005-08-01,2006-07-31
23.41,23.41,Sep-05 - Aug-06,2005-09-01,2006-08-31
26.77,26.77,Oct-05 - Sep-06,2005-10-01,2006-09-30
44.07,44.07,Nov-05 - Oct-06,2005-11-01,2006-10-31
35.75,35.75,Dec-05 - Nov-06,2005-12-01,2006-11-30
30.84,30.84,Jan-06 - Dec-06,2006-01-01,2006-12-31
19.0,19.0,Feb-06 - Jan-07,2006-02-01,2007-01-31
3.11,3.11,Mar-06 - Feb-07,2006-03-01,2007-02-28
-4.37,-4.37,Apr-06 - Mar-07,2006-04-01,2007-03-31
-3.33,-3.33,May-06 - Apr-07,2006-05-01,2007-04-30
18.88,18.88,Jun-06 - May-07,2006-06-01,2007-05-31
22.62,22.62,Jul-06 - Jun-07,2006-07-01,2007-06-30
30.09,30.09,Aug-06 - Jul-07,2006-08-01,2007-07-31
19.57,19.57,Sep-06 - Aug-07,2006-09-01,2007-08-31
20.45,20.45,Oct-06 - Sep-07,2006-10-01,2007-09-30
28.75,28.75,Nov-06 - Oct-07,2006-11-01,2007-10-31
27.28,27.28,Dec-06 - Nov-07,2006-12-01,2007-11-30
39.26,39.26,Jan-07 - Dec-07,2007-01-01,2007-12-31
9.95,9.95,Feb-07 - Jan-08,2007-02-01,2008-01-31
19.3,19.3,Mar-07 - Feb-08,2007-03-01,2008-02-29
2.16,2.16,Apr-07 - Mar-08,2007-04-01,2008-03-31
5.16,5.16,May-07 - Apr-08,2007-05-01,2008-04-30
-4.48,-4.48,Jun-07 - May-08,2007-06-01,2008-05-31
-21.45,-21.45,Jul-07 - Jun-08,2007-07-01,2008-06-30
-15.91,-15.91,Aug-07 - Jul-08,2007-08-01,2008-07-31
-14.35,-14.35,Sep-07 - Aug-08,2007-09-01,2008-08-31
-27.55,-27.55,Oct-07 - Sep-08,2007-10-01,2008-09-30
-51.63,-51.63,Nov-07 - Oct-08,2007-11-01,2008-10-31
-56.77,-56.77,Dec-07 - Nov-08,2007-12-01,2008-11-30
-56.23,-56.23,Jan-08 - Dec-08,2008-01-01,2008-12-31
-46.46,-46.46,Feb-08 - Jan-09,2008-02-01,2009-01-31
-48.8,-48.8,Mar-08 - Feb-09,2008-02-29,2009-02-28
-35.27,-35.27,Apr-08 - Mar-09,2008-04-01,2009-03-31
-31.02,-31.02,May-08 - Apr-09,2008-05-01,2009-04-30
1.24,1.24,Jun-08 - May-09,2008-06-01,2009-05-31
20.63,20.63,Jul-08 - Jun-09,2008-07-01,2009-06-30
13.68,13.68,Aug-08 - Jul-09,2008-08-01,2009-07-31
15.5,15.5,Sep-08 - Aug-09,2008-09-01,2009-08-31
36.14,36.14,Oct-08 - Sep-09,2008-10-01,2009-09-30
70.81,70.81,Nov-08 - Oct-09,2008-11-01,2009-10-31
96.48,96.48,Dec-08 - Nov-09,2008-12-01,2009-11-30
79.21,79.21,Jan-09 - Dec-09,2009-01-01,2009-12-31
77.32,77.32,Feb-09 - Jan-10,2009-02-01,2010-01-31
88.59,88.59,Mar-09 - Feb-10,2009-03-01,2010-02-28
83.87,83.87,Apr-09 - Mar-10,2009-04-01,2010-03-31
60.46,60.46,May-09 - Apr-10,2009-05-01,2010-04-30
