abs_val,cagr_val,date_range,start_date,end_date
-21.91,-4.83,Sep-95 - Aug-00,1995-09-01,2000-08-31
-28.96,-6.61,Oct-95 - Sep-00,1995-10-01,2000-09-30
-31.38,-7.25,Nov-95 - Oct-00,1995-11-01,2000-10-31
-17.12,-3.69,Dec-95 - Nov-00,1995-12-01,2000-11-30
-11.88,-2.5,Jan-96 - Dec-00,1996-01-01,2000-12-31
-0.0,0.0,Feb-96 - Jan-01,1996-02-01,2001-01-31
-13.73,-2.91,Mar-96 - Feb-01,1996-02-29,2001-02-28
-32.29,-7.5,Apr-96 - Mar-01,1996-04-01,2001-03-31
-32.8,-7.64,May-96 - Apr-01,1996-05-01,2001-04-30
-25.55,-5.73,Jun-96 - May-01,1996-06-01,2001-05-31
-28.54,-6.5,Jul-96 - Jun-01,1996-07-01,2001-06-30
-22.52,-4.98,Aug-96 - Jul-01,1996-08-01,2001-07-31
-16.92,-3.64,Sep-96 - Aug-01,1996-09-01,2001-08-31
-16.58,-3.56,Oct-96 - Sep-01,1996-10-01,2001-09-30
-10.81,-2.26,Nov-96 - Oct-01,1996-11-01,2001-10-31
13.04,2.48,Dec-96 - Nov-01,1996-12-01,2001-11-30
4.48,0.88,Jan-97 - Dec-01,1997-01-01,2001-12-31
6.24,1.22,Feb-97 - Jan-02,1997-02-01,2002-01-31
13.62,2.59,Mar-97 - Feb-02,1997-03-01,2002-02-28
20.03,3.72,Apr-97 - Mar-02,1997-04-01,2002-03-31
36.89,6.48,May-97 - Apr-02,1997-05-01,2002-04-30
37.22,6.53,Jun-97 - May-02,1997-06-01,2002-05-31
34.69,6.14,Jul-97 - Jun-02,1997-07-01,2002-06-30
18.2,3.4,Aug-97 - Jul-02,1997-08-01,2002-07-31
27.23,4.93,Sep-97 - Aug-02,1997-09-01,2002-08-31
21.7,4.01,Oct-97 - Sep-02,1997-10-01,2002-09-30
24.5,4.48,Nov-97 - Oct-02,1997-11-01,2002-10-31
48.38,8.21,Dec-97 - Nov-02,1997-12-01,2002-11-30
51.95,8.73,Jan-98 - Dec-02,1998-01-01,2002-12-31
59.87,9.84,Feb-98 - Jan-03,1998-02-01,2003-01-31
62.54,10.2,Mar-98 - Feb-03,1998-03-01,2003-02-28
29.92,5.37,Apr-98 - Mar-03,1998-04-01,2003-03-31
39.84,6.94,May-98 - Apr-03,1998-05-01,2003-04-30
59.72,9.82,Jun-98 - May-03,1998-06-01,2003-05-31
123.7,17.47,Jul-98 - Jun-03,1998-07-01,2003-06-30
128.88,18.01,Aug-98 - Jul-03,1998-08-01,2003-07-31
171.23,22.09,Sep-98 - Aug-03,1998-09-01,2003-08-31
179.45,22.82,Oct-98 - Sep-03,1998-10-01,2003-09-30
230.66,27.02,Nov-98 - Oct-03,1998-11-01,2003-10-31
247.42,28.28,Dec-98 - Nov-03,1998-12-01,2003-11-30
280.31,30.63,Jan-99 - Dec-03,1999-01-01,2003-12-31
214.23,25.73,Feb-99 - Jan-04,1999-02-01,2004-01-31
215.04,25.8,Mar-99 - Feb-04,1999-03-01,2004-02-29
171.68,22.13,Apr-99 - Mar-04,1999-04-01,2004-03-31
190.29,23.76,May-99 - Apr-04,1999-05-01,2004-04-30
99.48,14.81,Jun-99 - May-04,1999-06-01,2004-05-31
