date,value
2016-09-12,174.29
2016-09-14,174.91
2016-09-15,175.0
2016-09-16,175.38
2016-09-19,175.8
2016-09-20,175.59
2016-09-21,175.64
2016-09-22,178.36
2016-09-23,177.73
2016-09-26,176.26
2016-09-27,175.49
2016-09-28,176.43
2016-09-29,172.46
2016-09-30,173.42
2016-10-03,176.77
2016-10-04,177.41
2016-10-05,177.53
2016-10-06,177.05
2016-10-07,176.93
2016-10-10,176.68
2016-10-13,174.5
2016-10-14,175.33
2016-10-17,174.18
2016-10-18,177.18
2016-10-19,176.75
2016-10-20,177.22
2016-10-21,177.45
2016-10-24,177.88
2016-10-25,177.99
2016-10-26,176.42
2016-10-27,175.43
2016-10-28,176.45
2016-11-01,176.51
2016-11-02,173.31
2016-11-03,172.33
2016-11-04,170.53
2016-11-07,171.62
2016-11-08,172.47
2016-11-09,170.52
2016-11-10,173.1
2016-11-11,168.14
2016-11-15,162.24
2016-11-16,163.03
2016-11-17,162.42
2016-11-18,163.18
2016-11-21,158.31
2016-11-22,160.42
2016-11-23,161.0
2016-11-24,159.76
2016-11-25,162.27
2016-11-28,161.89
2016-11-29,162.6
2016-11-30,164.57
2016-12-01,163.24
2016-12-02,161.11
2016-12-05,162.18
2016-12-06,162.61
2016-12-07,161.73
2016-12-08,164.36
2016-12-09,164.99
2016-12-12,162.32
2016-12-13,163.4
2016-12-14,162.57
2016-12-15,162.1
2016-12-16,161.87
2016-12-19,160.93
2016-12-20,159.8
2016-12-21,159.67
2016-12-22,157.45
2016-12-23,156.68
2016-12-26,154.17
2016-12-27,156.78
2016-12-28,156.94
2016-12-29,158.52
2016-12-30,160.04
2016-12-31,160.03
2017-01-02,160.63
2017-01-03,161.24
2017-01-04,160.67
2017-01-05,163.0
2017-01-06,162.3
2017-01-09,162.25
2017-01-10,163.82
2017-01-11,166.36
2017-01-12,166.67
2017-01-13,166.35
2017-01-16,166.85
2017-01-17,166.35
2017-01-18,167.1
2017-01-19,167.78
2017-01-20,165.62
2017-01-23,166.96
2017-01-24,168.58
2017-01-25,171.14
2017-01-27,171.84
2017-01-30,171.55
2017-01-31,169.88
2017-02-01,174.45
2017-02-02,175.16
2017-02-03,175.42
2017-02-06,176.61
2017-02-07,176.0
2017-02-08,176.18
2017-02-09,175.95
2017-02-10,175.79
2017-02-13,175.29
2017-02-14,173.86
2017-02-15,171.24
2017-02-16,173.16
2017-02-17,174.39
2017-02-20,175.69
2017-02-21,176.15
2017-02-22,175.34
2017-02-23,175.52
2017-02-27,174.23
2017-02-28,173.85
2017-03-01,174.19
2017-03-02,172.7
2017-03-03,172.67
2017-03-06,173.75
2017-03-07,173.36
2017-03-08,172.98
2017-03-09,173.26
2017-03-10,173.01
2017-03-14,176.08
2017-03-15,176.51
2017-03-16,178.37
2017-03-17,178.25
2017-03-20,178.06
2017-03-21,177.14
2017-03-22,175.22
2017-03-23,176.48
2017-03-24,177.4
2017-03-27,176.71
2017-03-28,177.66
2017-03-29,178.05
2017-03-30,178.92
2017-03-31,179.15
2017-04-03,179.65
2017-04-05,180.94
2017-04-06,180.65
2017-04-07,180.06
2017-04-10,180.84
2017-04-11,182.29
2017-04-12,182.17
2017-04-13,181.1
2017-04-17,180.43
2017-04-18,179.56
2017-04-19,179.4
2017-04-20,179.88
2017-04-21,179.65
2017-04-24,181.64
2017-04-25,183.52
2017-04-26,184.17
2017-04-27,184.09
2017-04-28,183.88
2017-05-02,183.95
2017-05-03,183.68
2017-05-04,184.56
2017-05-05,182.56
2017-05-08,183.32
2017-05-09,183.63
2017-05-10,184.81
2017-05-11,185.77
2017-05-12,185.17
2017-05-15,186.43
2017-05-16,187.78
2017-05-17,187.19
2017-05-18,184.78
2017-05-19,184.27
2017-05-22,182.87
2017-05-23,182.21
2017-05-24,181.34
2017-05-25,184.85
2017-05-26,187.94
2017-05-29,186.45
2017-05-30,186.97
2017-05-31,187.38
2017-06-01,186.98
2017-06-02,187.71
2017-06-05,188.1
2017-06-06,186.77
2017-06-07,187.61
2017-06-08,187.56
2017-06-09,188.56
2017-06-12,186.88
2017-06-13,186.66
2017-06-14,186.56
2017-06-15,185.69
2017-06-16,186.2
2017-06-19,187.17
2017-06-20,187.27
2017-06-21,186.72
2017-06-22,186.27
2017-06-23,184.74
2017-06-27,182.69
2017-06-28,183.18
2017-06-29,183.36
2017-06-30,184.1
2017-07-03,186.44
2017-07-04,186.35
2017-07-05,187.26
2017-07-06,188.2
2017-07-07,188.02
2017-07-10,189.84
2017-07-11,189.99
2017-07-12,191.01
2017-07-13,193.28
2017-07-14,193.28
2017-07-17,193.45
2017-07-18,191.31
2017-07-19,192.99
2017-07-20,192.24
2017-07-21,192.82
2017-07-24,193.59
2017-07-25,193.55
2017-07-26,195.36
2017-07-27,195.34
2017-07-28,195.52
2017-07-31,197.59
2017-08-01,198.64
2017-08-02,197.96
2017-08-03,195.8
2017-08-04,197.97
2017-08-07,199.4
2017-08-08,197.33
2017-08-09,195.06
2017-08-10,191.88
2017-08-11,190.06
2017-08-14,192.11
2017-08-16,194.25
2017-08-17,193.84
2017-08-18,192.89
2017-08-21,190.95
2017-08-22,191.48
2017-08-23,193.67
2017-08-24,194.07
2017-08-28,195.21
2017-08-29,192.91
2017-08-30,195.42
2017-08-31,196.01
2017-09-01,197.57
2017-09-04,196.56
2017-09-05,197.52
2017-09-06,197.41
2017-09-07,198.34
2017-09-08,198.08
2017-09-11,200.2
2017-09-12,201.7
2017-09-13,200.47
2017-09-14,200.3
2017-09-15,199.63
2017-09-18,200.82
2017-09-19,200.46
2017-09-20,200.03
2017-09-21,199.55
2017-09-22,195.47
2017-09-25,193.12
2017-09-26,193.74
2017-09-27,190.81
2017-09-28,191.62
2017-09-29,192.83
2017-09-30,192.82
2017-10-03,194.07
2017-10-04,194.7
2017-10-05,193.93
2017-10-06,196.18
2017-10-09,196.38
2017-10-10,197.05
2017-10-11,195.8
2017-10-12,198.38
2017-10-13,199.08
2017-10-16,199.23
2017-10-17,199.55
2017-10-18,199.34
2017-10-23,198.58
2017-10-24,198.38
2017-10-25,197.12
2017-10-26,199.22
2017-10-27,198.59
2017-10-30,200.08
2017-10-31,199.52
2017-11-01,200.32
2017-11-02,199.99
2017-11-03,200.38
2017-11-06,200.37
2017-11-07,198.11
2017-11-08,196.89
2017-11-09,196.8
2017-11-10,196.44
2017-11-13,194.62
2017-11-14,193.73
2017-11-15,192.72
2017-11-16,194.07
2017-11-17,196.65
2017-11-20,197.24
2017-11-21,198.08
2017-11-22,198.26
2017-11-23,197.82
2017-11-24,198.56
2017-11-27,198.56
2017-11-28,198.18
2017-11-29,198.09
2017-11-30,195.7
2017-12-01,194.13
2017-12-04,193.38
2017-12-05,193.64
2017-12-06,191.9
2017-12-07,194.59
2017-12-08,197.06
2017-12-11,197.49
2017-12-12,195.89
2017-12-13,195.04
2017-12-14,196.21
2017-12-15,198.66
2017-12-18,200.18
2017-12-19,202.54
2017-12-20,201.67
2017-12-21,201.63
2017-12-22,202.4
2017-12-26,203.0
2017-12-27,202.13
2017-12-28,202.1
2017-12-29,202.4
2018-01-01,200.68
2018-01-02,200.32
2018-01-03,200.5
2018-01-04,202.3
2018-01-05,204.24
2018-01-08,205.73
2018-01-09,205.33
2018-01-10,204.51
2018-01-11,204.41
2018-01-12,204.96
2018-01-15,205.61
2018-01-16,203.34
2018-01-17,205.14
2018-01-18,204.49
2018-01-19,206.11
2018-01-22,206.88
2018-01-23,208.64
2018-01-24,208.33
2018-01-25,207.54
2018-01-29,208.6
2018-01-30,207.11
2018-01-31,206.85
2018-02-01,207.34
2018-02-02,201.51
2018-02-05,199.79
2018-02-06,197.58
2018-02-07,197.78
2018-02-08,199.99
2018-02-09,198.11
2018-02-12,200.17
2018-02-14,199.36
