date,value
2016-09-12,27.32
2016-09-14,27.43
2016-09-15,27.44
2016-09-16,27.55
2016-09-19,27.62
2016-09-20,27.56
2016-09-21,27.58
2016-09-22,27.89
2016-09-23,27.81
2016-09-26,27.55
2016-09-27,27.54
2016-09-28,27.64
2016-09-29,27.06
2016-09-30,27.24
2016-10-03,27.77
2016-10-04,27.87
2016-10-05,27.87
2016-10-06,27.82
2016-10-07,27.71
2016-10-10,27.74
2016-10-13,27.37
2016-10-14,27.46
2016-10-17,27.26
2016-10-18,27.62
2016-10-19,27.57
2016-10-20,27.6
2016-10-21,27.66
2016-10-24,27.61
2016-10-25,27.56
2016-10-26,27.34
2016-10-27,27.23
2016-10-28,27.33
2016-11-01,27.31
2016-11-02,26.93
2016-11-03,26.78
2016-11-04,26.54
2016-11-07,26.65
2016-11-08,26.7
2016-11-09,26.31
2016-11-10,26.63
2016-11-11,25.79
2016-11-15,24.87
2016-11-16,24.96
2016-11-17,24.91
2016-11-18,24.85
2016-11-21,24.35
2016-11-22,24.64
2016-11-23,24.84
2016-11-24,24.73
2016-11-25,25.14
2016-11-28,25.13
2016-11-29,25.21
2016-11-30,25.46
2016-12-01,25.26
2016-12-02,24.92
2016-12-05,25.04
2016-12-06,25.05
2016-12-07,24.97
2016-12-08,25.35
2016-12-09,25.35
2016-12-12,25.04
2016-12-13,25.11
2016-12-14,24.96
2016-12-15,24.88
2016-12-16,24.89
2016-12-19,24.75
2016-12-20,24.61
2016-12-21,24.52
2016-12-22,24.27
2016-12-23,24.27
2016-12-26,23.97
2016-12-27,24.3
2016-12-28,24.36
2016-12-29,24.58
2016-12-30,24.82
2017-01-02,24.87
2017-01-03,25.0
2017-01-04,25.01
2017-01-05,25.28
2017-01-06,25.26
2017-01-09,25.26
2017-01-10,25.41
2017-01-11,25.67
2017-01-12,25.81
2017-01-13,25.72
2017-01-16,25.75
2017-01-17,25.71
2017-01-18,25.79
2017-01-19,25.85
2017-01-20,25.57
2017-01-23,25.68
