date,value
2016-09-12,36.6
2016-09-14,36.72
2016-09-15,36.8
2016-09-16,36.88
2016-09-19,37.09
2016-09-20,36.93
2016-09-21,36.89
2016-09-22,37.31
2016-09-23,37.21
2016-09-26,36.88
2016-09-27,36.79
2016-09-28,37.01
2016-09-29,36.19
2016-09-30,36.47
2016-10-03,37.16
2016-10-04,37.35
2016-10-05,37.39
2016-10-06,37.33
2016-10-07,37.31
2016-10-10,37.34
2016-10-13,36.72
2016-10-14,36.93
2016-10-17,36.66
2016-10-18,37.27
2016-10-19,37.28
2016-10-20,37.47
2016-10-21,37.58
2016-10-24,37.67
2016-10-25,37.7
2016-10-26,37.36
2016-10-27,37.15
2016-10-28,37.41
2016-11-01,37.41
2016-11-02,36.85
2016-11-03,36.57
2016-11-04,36.2
2016-11-07,36.6
2016-11-08,36.83
2016-11-09,36.46
2016-11-10,37.06
2016-11-11,35.97
2016-11-15,34.9
2016-11-16,34.93
2016-11-17,34.84
2016-11-18,34.79
2016-11-21,34.04
2016-11-22,34.35
2016-11-23,34.53
2016-11-24,34.22
2016-11-25,34.78
2016-11-28,34.88
2016-11-29,35.0
2016-11-30,35.42
2016-12-01,35.18
2016-12-02,34.69
2016-12-05,34.81
2016-12-06,34.9
2016-12-07,34.74
2016-12-08,35.36
2016-12-09,35.43
2016-12-12,35.01
2016-12-13,35.14
2016-12-14,34.91
2016-12-15,34.83
2016-12-16,34.78
2016-12-19,34.66
2016-12-20,34.49
2016-12-21,34.43
2016-12-22,34.05
2016-12-23,34.14
2016-12-26,33.82
2016-12-27,34.35
2016-12-28,34.37
2016-12-29,34.63
2016-12-30,34.97
2017-01-02,35.0
2017-01-03,35.16
2017-01-04,35.12
2017-01-05,35.56
2017-01-06,35.42
2017-01-09,35.41
2017-01-10,35.7
2017-01-11,36.16
2017-01-12,36.23
2017-01-13,36.18
2017-01-16,36.29
2017-01-17,36.22
2017-01-18,36.34
2017-01-19,36.46
2017-01-20,36.06
2017-01-23,36.25
2017-01-24,36.59
2017-01-25,37.1
2017-01-27,37.27
2017-01-30,37.21
2017-01-31,36.83
2017-02-01,37.63
2017-02-02,37.78
2017-02-03,37.78
2017-02-06,38.08
2017-02-07,37.94
2017-02-08,38.01
2017-02-09,38.03
2017-02-10,38.09
2017-02-13,38.14
2017-02-14,38.0
2017-02-15,37.62
2017-02-16,37.94
2017-02-17,38.19
2017-02-20,38.54
2017-02-21,38.73
2017-02-22,38.61
2017-02-23,38.6
2017-02-27,38.39
2017-02-28,38.43
2017-03-01,38.67
2017-03-02,38.42
2017-03-03,38.4
2017-03-06,38.68
2017-03-07,38.63
2017-03-08,38.49
2017-03-09,38.5
2017-03-10,38.43
2017-03-14,39.11
2017-03-15,39.17
2017-03-16,39.57
2017-03-17,39.55
2017-03-20,39.46
2017-03-21,39.46
2017-03-22,39.09
2017-03-23,39.32
2017-03-24,39.4
2017-03-27,39.14
2017-03-28,39.37
2017-03-29,39.6
2017-03-30,39.83
2017-03-31,39.89
2017-04-03,40.11
2017-04-05,40.27
2017-04-06,40.26
2017-04-07,40.0
2017-04-10,40.1
2017-04-11,40.33
2017-04-12,40.14
2017-04-13,39.93
