date,value
2016-09-12,25.52
2016-09-14,25.64
2016-09-15,25.63
2016-09-16,25.74
2016-09-19,25.8
2016-09-20,25.79
2016-09-21,25.74
2016-09-22,26.1
2016-09-23,26.05
2016-09-26,25.77
2016-09-27,25.72
2016-09-28,25.83
2016-09-29,25.22
2016-09-30,25.53
2016-10-03,25.94
2016-10-04,26.1
2016-10-05,26.05
2016-10-06,25.94
2016-10-07,25.95
2016-10-10,25.89
2016-10-13,25.48
2016-10-14,25.68
2016-10-17,25.56
2016-10-18,26.06
2016-10-19,26.04
2016-10-20,26.16
2016-10-21,26.18
2016-10-24,26.16
2016-10-25,26.11
2016-10-26,25.75
2016-10-27,25.62
2016-10-28,25.74
2016-11-01,25.66
2016-11-02,25.21
2016-11-03,25.04
2016-11-04,24.95
2016-11-07,25.24
2016-11-08,25.39
2016-11-09,25.2
2016-11-10,25.65
2016-11-11,24.9
2016-11-15,24.37
2016-11-16,24.33
2016-11-17,24.29
2016-11-18,24.25
2016-11-21,23.64
2016-11-22,23.85
2016-11-23,23.99
2016-11-24,23.74
2016-11-25,24.08
2016-11-28,24.04
2016-11-29,24.19
2016-11-30,24.43
2016-12-01,24.27
2016-12-02,23.95
2016-12-05,24.09
2016-12-06,24.16
2016-12-07,24.09
2016-12-08,24.49
2016-12-09,24.61
2016-12-12,24.36
2016-12-13,24.51
2016-12-14,24.38
2016-12-15,24.35
2016-12-16,24.31
2016-12-19,24.29
2016-12-20,24.07
2016-12-21,24.01
2016-12-22,23.74
2016-12-23,23.6
2016-12-26,23.26
2016-12-27,23.62
2016-12-28,23.67
2016-12-29,23.83
2016-12-30,24.08
2017-01-02,24.1
2017-01-03,24.25
2017-01-04,24.18
2017-01-05,24.37
2017-01-06,24.27
2017-01-09,24.28
2017-01-10,24.52
2017-01-11,24.74
2017-01-12,24.84
2017-01-13,24.86
2017-01-16,24.86
2017-01-17,24.8
2017-01-18,24.95
2017-01-19,25.1
2017-01-20,24.75
2017-01-23,24.87
2017-01-24,25.06
2017-01-25,25.27
2017-01-27,25.51
2017-01-30,25.47
2017-01-31,25.19
2017-02-01,25.76
2017-02-02,25.94
2017-02-03,25.97
2017-02-06,26.26
2017-02-07,26.17
2017-02-08,26.19
2017-02-09,26.29
2017-02-10,26.25
2017-02-13,26.25
2017-02-14,26.25
2017-02-15,26.05
2017-02-16,26.42
2017-02-17,26.54
2017-02-20,26.64
2017-02-21,26.76
2017-02-22,26.74
2017-02-23,26.71
2017-02-27,26.64
2017-02-28,26.67
2017-03-01,26.84
2017-03-02,26.55
2017-03-03,26.57
2017-03-06,26.74
2017-03-07,26.64
2017-03-08,26.59
2017-03-09,26.55
2017-03-10,26.56
2017-03-14,26.97
2017-03-15,27.1
