date,value
2016-09-12,177.26
2016-09-14,177.69
2016-09-15,177.83
2016-09-16,178.62
2016-09-19,179.37
2016-09-20,178.99
2016-09-21,178.86
2016-09-22,180.46
2016-09-23,180.05
2016-09-26,178.35
2016-09-27,178.38
2016-09-28,179.06
2016-09-29,175.95
2016-09-30,176.76
2016-10-03,179.55
2016-10-04,180.11
2016-10-05,179.97
2016-10-06,179.07
2016-10-07,179.05
2016-10-10,179.27
2016-10-13,176.9
2016-10-14,177.24
2016-10-17,175.64
2016-10-18,178.31
2016-10-19,177.86
2016-10-20,178.04
2016-10-21,178.0
2016-10-24,178.07
2016-10-25,177.66
2016-10-26,176.28
2016-10-27,175.89
2016-10-28,176.54
2016-11-01,176.91
2016-11-02,174.79
2016-11-03,174.24
2016-11-04,173.41
2016-11-07,174.74
2016-11-08,175.56
2016-11-09,173.41
2016-11-10,174.96
2016-11-11,170.15
2016-11-15,165.79
2016-11-16,166.03
2016-11-17,165.64
2016-11-18,165.28
2016-11-21,162.03
2016-11-22,163.39
2016-11-23,163.54
2016-11-24,162.97
2016-11-25,165.05
2016-11-28,165.59
2016-11-29,166.0
2016-11-30,167.58
2016-12-01,166.49
2016-12-02,164.68
2016-12-05,165.51
2016-12-06,165.72
2016-12-07,164.97
2016-12-08,167.75
2016-12-09,168.32
2016-12-12,166.72
2016-12-13,167.01
2016-12-14,166.23
2016-12-15,165.95
2016-12-16,165.87
2016-12-19,165.28
2016-12-20,164.74
2016-12-21,164.69
2016-12-22,163.2
2016-12-23,162.39
2016-12-26,160.39
2016-12-27,162.43
2016-12-28,162.42
2016-12-29,163.52
2016-12-30,165.0
2017-01-02,165.32
2017-01-03,166.25
2017-01-04,165.89
2017-01-05,167.53
2017-01-06,166.56
2017-01-09,166.85
2017-01-10,168.18
2017-01-11,169.97
2017-01-12,170.64
2017-01-13,170.34
2017-01-16,170.7
2017-01-17,170.19
2017-01-18,170.71
2017-01-19,171.13
2017-01-20,169.57
2017-01-23,170.71
2017-01-24,172.09
2017-01-25,173.76
2017-01-27,174.92
2017-01-30,174.92
2017-01-31,173.22
2017-02-01,176.62
2017-02-02,177.04
2017-02-03,177.26
2017-02-06,178.56
2017-02-07,177.86
2017-02-08,178.11
2017-02-09,178.39
2017-02-10,178.25
2017-02-13,177.99
2017-02-14,177.56
2017-02-15,175.9
2017-02-16,177.32
2017-02-17,178.56
2017-02-20,179.69
2017-02-21,180.35
2017-02-22,179.84
2017-02-23,179.45
2017-02-27,178.66
2017-02-28,178.45
2017-03-01,179.34
2017-03-02,178.16
2017-03-03,178.34
2017-03-06,179.51
2017-03-07,179.15
2017-03-08,178.53
2017-03-09,178.82
2017-03-10,178.67
2017-03-14,181.63
2017-03-15,181.82
2017-03-16,183.41
2017-03-17,183.24
2017-03-20,182.9
2017-03-21,182.55
2017-03-22,180.7
2017-03-23,181.94
2017-03-24,182.53
2017-03-27,181.78
2017-03-28,182.63
2017-03-29,183.22
2017-03-30,183.78
2017-03-31,183.94
2017-04-03,185.03
2017-04-05,186.0
2017-04-06,186.25
2017-04-07,185.22
2017-04-10,185.62
2017-04-11,187.04
2017-04-12,186.42
2017-04-13,185.34
2017-04-17,185.3
2017-04-18,184.98
2017-04-19,185.62
2017-04-20,186.1
2017-04-21,185.96
2017-04-24,187.95
2017-04-25,189.33
2017-04-26,189.79
2017-04-27,190.08
2017-04-28,190.1
2017-05-02,189.97
2017-05-03,190.39
2017-05-04,191.6
2017-05-05,190.05
2017-05-08,190.84
2017-05-09,191.26
2017-05-10,192.31
2017-05-11,192.17
2017-05-12,190.64
2017-05-15,191.68
2017-05-16,192.73
2017-05-17,192.52
2017-05-18,190.23
2017-05-19,189.64
2017-05-22,189.63
2017-05-23,188.44
2017-05-24,187.03
2017-05-25,190.01
2017-05-26,192.8
2017-05-29,191.91
2017-05-30,191.88
2017-05-31,192.8
2017-06-01,192.73
2017-06-02,193.11
2017-06-05,194.12
2017-06-06,193.67
2017-06-07,194.53
2017-06-08,194.19
2017-06-09,194.77
2017-06-12,193.61
2017-06-13,193.51
2017-06-14,193.88
2017-06-15,193.33
2017-06-16,193.85
2017-06-19,195.19
2017-06-20,195.61
2017-06-21,195.35
2017-06-22,195.12
2017-06-23,193.83
2017-06-27,191.83
2017-06-28,191.86
2017-06-29,192.07
2017-06-30,192.45
2017-07-03,194.27
2017-07-04,194.35
2017-07-05,195.5
2017-07-06,196.63
2017-07-07,196.41
2017-07-10,197.99
2017-07-11,197.71
2017-07-12,198.61
2017-07-13,200.34
2017-07-14,200.12
2017-07-17,200.91
2017-07-18,199.08
2017-07-19,200.24
2017-07-20,200.06
2017-07-21,201.11
2017-07-24,201.67
2017-07-25,201.08
2017-07-26,202.19
2017-07-27,202.43
2017-07-28,202.55
2017-07-31,203.57
2017-08-01,204.05
2017-08-02,203.41
2017-08-03,201.82
2017-08-04,202.44
2017-08-07,203.27
2017-08-08,201.81
2017-08-09,199.99
2017-08-10,196.77
2017-08-11,195.11
2017-08-14,197.16
2017-08-16,199.32
2017-08-17,199.13
2017-08-18,198.35
2017-08-21,196.38
2017-08-22,196.44
2017-08-23,198.08
2017-08-24,198.26
2017-08-28,199.27
2017-08-29,197.0
2017-08-30,199.03
2017-08-31,199.91
2017-09-01,201.76
2017-09-04,201.24
2017-09-05,201.99
2017-09-06,201.86
2017-09-07,202.43
2017-09-08,201.86
2017-09-11,204.04
2017-09-12,205.5
2017-09-13,205.01
2017-09-14,205.3
2017-09-15,205.51
2017-09-18,206.45
2017-09-19,206.47
2017-09-20,205.99
2017-09-21,204.61
2017-09-22,201.02
2017-09-25,198.87
2017-09-26,199.51
2017-09-27,196.22
2017-09-28,197.03
2017-09-29,198.12
2017-10-03,198.69
2017-10-04,199.43
2017-10-05,199.4
2017-10-06,201.26
2017-10-09,201.51
2017-10-10,201.9
2017-10-11,200.42
2017-10-12,202.43
