date,value
2016-09-12,65.1
2016-09-14,65.27
2016-09-15,65.3
2016-09-16,65.56
2016-09-19,65.73
2016-09-20,65.51
2016-09-21,65.48
2016-09-22,66.19
2016-09-23,66.05
2016-09-26,65.42
2016-09-27,65.22
2016-09-28,65.45
2016-09-29,64.16
2016-09-30,64.55
2016-10-03,65.7
2016-10-04,65.86
2016-10-05,65.67
2016-10-06,65.5
2016-10-07,65.44
2016-10-10,65.39
2016-10-13,64.34
2016-10-14,64.54
2016-10-17,63.99
2016-10-18,65.12
2016-10-19,65.03
2016-10-20,65.3
2016-10-21,65.32
2016-10-24,65.46
2016-10-25,65.31
2016-10-26,64.74
2016-10-27,64.65
2016-10-28,65.0
2016-10-31,65.1
2016-11-01,65.05
2016-11-02,64.11
2016-11-03,63.74
2016-11-04,63.28
2016-11-07,63.79
2016-11-08,64.03
2016-11-09,63.23
2016-11-10,63.98
2016-11-11,62.26
2016-11-15,60.65
2016-11-16,60.72
2016-11-17,60.66
2016-11-18,60.58
2016-11-21,59.45
2016-11-22,60.08
2016-11-23,60.43
2016-11-24,60.13
2016-11-25,60.95
2016-11-28,61.07
2016-11-29,61.12
2016-11-30,61.73
2016-12-01,61.3
2016-12-02,60.48
2016-12-05,60.78
2016-12-06,60.92
2016-12-07,60.67
2016-12-08,61.58
2016-12-09,61.66
2016-12-12,61.12
2016-12-13,61.29
2016-12-14,60.99
2016-12-15,60.89
2016-12-16,60.64
2016-12-19,60.34
2016-12-20,60.17
2016-12-21,60.09
2016-12-22,59.5
2016-12-23,59.5
2016-12-26,58.81
2016-12-27,59.63
2016-12-28,59.61
2016-12-29,60.05
2016-12-30,60.56
2017-01-02,60.64
2017-01-03,60.77
2017-01-04,60.59
2017-01-05,61.3
2017-01-06,61.05
2017-01-09,60.99
2017-01-10,61.4
2017-01-11,62.18
2017-01-12,62.44
2017-01-13,62.38
2017-01-16,62.54
2017-01-17,62.33
2017-01-18,62.44
2017-01-19,62.59
2017-01-20,62.01
2017-01-23,62.48
2017-01-24,63.12
2017-01-25,63.86
2017-01-27,64.2
2017-01-30,64.13
2017-01-31,63.65
2017-02-01,64.87
2017-02-02,65.06
2017-02-03,65.05
2017-02-06,65.41
2017-02-07,65.05
2017-02-08,65.17
2017-02-09,65.38
2017-02-10,65.24
2017-02-13,65.16
2017-02-14,64.95
2017-02-15,64.28
2017-02-16,64.88
2017-02-17,65.31
2017-02-20,65.93
2017-02-21,66.0
2017-02-22,66.01
2017-02-23,66.05
2017-02-27,65.71
2017-02-28,65.7
2017-03-01,66.09
2017-03-02,65.64
2017-03-03,65.86
2017-03-06,66.29
2017-03-07,66.01
2017-03-08,65.7
2017-03-09,65.73
2017-03-10,65.64
2017-03-14,66.57
2017-03-15,66.66
2017-03-16,67.33
2017-03-17,67.45
2017-03-20,67.32
2017-03-21,67.14
2017-03-22,66.5
2017-03-23,66.66
2017-03-24,66.67
2017-03-27,66.69
2017-03-28,67.06
2017-03-29,67.17
2017-03-30,67.27
2017-03-31,67.45
2017-04-03,67.88
2017-04-05,68.29
2017-04-06,68.12
2017-04-07,67.66
2017-04-10,67.72
2017-04-11,68.52
2017-04-12,68.29
2017-04-13,67.84
2017-04-17,67.77
2017-04-18,67.34
2017-04-19,67.45
2017-04-20,67.78
2017-04-21,67.67
2017-04-24,68.46
2017-04-25,69.04
2017-04-26,69.28
2017-04-27,69.06
2017-04-28,68.96
2017-05-02,69.1
2017-05-03,69.05
2017-05-04,69.45
2017-05-05,68.79
2017-05-08,68.78
2017-05-09,68.86
2017-05-10,69.34
2017-05-11,69.65
2017-05-12,69.35
2017-05-15,69.77
2017-05-16,70.32
2017-05-17,70.34
2017-05-18,69.45
2017-05-19,69.36
2017-05-22,69.36
2017-05-23,69.01
2017-05-24,68.65
2017-05-25,69.71
2017-05-26,70.37
2017-05-29,70.51
2017-05-30,70.51
2017-05-31,70.63
2017-06-01,70.57
2017-06-02,70.79
2017-06-05,70.99
2017-06-06,70.56
2017-06-07,70.84
2017-06-08,70.65
2017-06-09,70.81
2017-06-12,70.18
2017-06-13,70.17
2017-06-14,70.28
2017-06-15,69.98
2017-06-16,70.14
2017-06-19,70.61
2017-06-20,70.5
2017-06-21,70.34
2017-06-22,70.44
2017-06-23,69.91
2017-06-27,69.25
2017-06-28,69.03
2017-06-29,69.18
2017-06-30,69.45
2017-07-03,70.33
2017-07-04,70.31
2017-07-05,70.55
2017-07-06,70.93
2017-07-07,70.9
2017-07-10,71.46
2017-07-11,71.48
2017-07-12,71.75
2017-07-13,72.37
2017-07-14,72.46
2017-07-17,72.7
2017-07-18,71.87
2017-07-19,72.22
2017-07-20,71.97
2017-07-21,72.17
2017-07-24,72.17
2017-07-25,72.2
2017-07-26,72.43
2017-07-27,72.38
2017-07-28,72.37
2017-07-31,72.94
2017-08-01,73.14
2017-08-02,72.99
2017-08-03,72.59
2017-08-04,73.08
2017-08-07,73.24
2017-08-08,72.82
2017-08-09,72.33
2017-08-10,71.35
2017-08-11,70.57
2017-08-14,71.39
2017-08-16,72.13
2017-08-17,72.18
2017-08-18,71.76
2017-08-21,71.12
