date,value
2017-05-17,10.0
2017-05-18,10.02
2017-05-19,10.02
2017-05-22,10.02
2017-05-23,10.01
2017-05-24,10.0
2017-05-25,10.03
2017-05-26,10.06
2017-05-29,10.06
2017-05-30,10.07
2017-05-31,10.1
2017-06-01,10.1
2017-06-02,10.12
2017-06-05,10.14
2017-06-06,10.11
2017-06-07,10.13
2017-06-08,10.11
2017-06-09,10.13
2017-06-12,10.09
2017-06-13,10.08
2017-06-14,10.09
2017-06-15,10.04
2017-06-16,10.04
2017-06-19,10.1
2017-06-20,10.1
2017-06-21,10.08
2017-06-22,10.03
2017-06-23,9.96
2017-06-27,9.88
2017-06-28,9.87
2017-06-29,9.87
2017-06-30,9.9
2017-07-03,9.96
2017-07-04,9.93
2017-07-05,9.98
2017-07-06,10.03
2017-07-07,10.01
2017-07-10,10.11
2017-07-11,10.11
2017-07-12,10.15
2017-07-13,10.21
2017-07-14,10.18
2017-07-17,10.19
2017-07-18,10.11
2017-07-19,10.19
2017-07-20,10.17
2017-07-21,10.21
2017-07-24,10.22
2017-07-25,10.21
2017-07-26,10.25
2017-07-27,10.23
2017-07-28,10.2
2017-07-31,10.25
2017-08-01,10.29
2017-08-02,10.27
2017-08-03,10.2
2017-08-04,10.29
2017-08-07,10.34
2017-08-08,10.24
2017-08-09,10.11
2017-08-10,10.0
2017-08-11,9.95
2017-08-14,10.03
2017-08-16,10.18
2017-08-17,10.13
2017-08-18,10.12
2017-08-21,10.03
2017-08-22,10.01
2017-08-23,10.12
2017-08-24,10.1
2017-08-28,10.16
2017-08-29,10.06
2017-08-30,10.17
2017-08-31,10.17
2017-09-01,10.24
2017-09-04,10.18
2017-09-05,10.23
2017-09-06,10.23
2017-09-07,10.29
2017-09-08,10.3
2017-09-11,10.42
2017-09-12,10.49
2017-09-13,10.44
2017-09-14,10.44
2017-09-15,10.43
2017-09-18,10.51
2017-09-19,10.53
2017-09-20,10.5
2017-09-21,10.45
2017-09-22,10.28
2017-09-25,10.15
2017-09-26,10.2
2017-09-27,10.05
2017-09-28,10.11
2017-09-29,10.15
2017-10-03,10.21
2017-10-04,10.24
2017-10-05,10.24
2017-10-06,10.34
2017-10-09,10.34
2017-10-10,10.37
2017-10-11,10.34
2017-10-12,10.44
2017-10-13,10.49
2017-10-16,10.49
2017-10-17,10.53
2017-10-18,10.53
2017-10-23,10.49
