abs_val,cagr_val,date_range,start_date,end_date
39.93,11.85,Jan-99 - Dec-01,1999-01-01,2001-12-31
21.79,6.79,Feb-99 - Jan-02,1999-02-01,2002-01-31
29.55,9.01,Mar-99 - Feb-02,1999-03-01,2002-02-28
7.59,2.47,Apr-99 - Mar-02,1999-04-01,2002-03-31
21.14,6.6,May-99 - Apr-02,1999-05-01,2002-04-30
7.54,2.45,Jun-99 - May-02,1999-06-01,2002-05-31
9.94,3.21,Jul-99 - Jun-02,1999-07-01,2002-06-30
-4.97,-1.69,Aug-99 - Jul-02,1999-08-01,2002-07-31
-10.95,-3.79,Sep-99 - Aug-02,1999-09-01,2002-08-31
-23.3,-8.46,Oct-99 - Sep-02,1999-10-01,2002-09-30
-20.51,-7.37,Nov-99 - Oct-02,1999-11-01,2002-10-31
-27.99,-10.37,Dec-99 - Nov-02,1999-12-01,2002-11-30
-35.23,-13.48,Jan-00 - Dec-02,2000-01-01,2002-12-31
-41.35,-16.29,Feb-00 - Jan-03,2000-02-01,2003-01-31
-45.36,-18.25,Mar-00 - Feb-03,2000-02-29,2003-02-28
-43.38,-17.27,Apr-00 - Mar-03,2000-04-01,2003-03-31
-31.51,-11.85,May-00 - Apr-03,2000-05-01,2003-04-30
-18.32,-6.52,Jun-00 - May-03,2000-06-01,2003-05-31
-13.95,-4.89,Jul-00 - Jun-03,2000-07-01,2003-06-30
1.87,0.62,Aug-00 - Jul-03,2000-08-01,2003-07-31
7.02,2.29,Sep-00 - Aug-03,2000-09-01,2003-08-31
22.79,7.08,Oct-00 - Sep-03,2000-10-01,2003-09-30
50.97,14.72,Nov-00 - Oct-03,2000-11-01,2003-10-31
44.77,13.12,Dec-00 - Nov-03,2000-12-01,2003-11-30
70.94,19.57,Jan-01 - Dec-03,2001-01-01,2003-12-31
62.1,17.47,Feb-01 - Jan-04,2001-02-01,2004-01-31
79.81,21.6,Mar-01 - Feb-04,2001-03-01,2004-02-29
117.82,29.63,Apr-01 - Mar-04,2001-04-01,2004-03-31
134.28,32.81,May-01 - Apr-04,2001-05-01,2004-04-30
87.63,23.34,Jun-01 - May-04,2001-06-01,2004-05-31
105.73,27.18,Jul-01 - Jun-04,2001-07-01,2004-06-30
128.82,31.77,Aug-01 - Jul-04,2001-08-01,2004-07-31
142.67,34.38,Sep-01 - Aug-04,2001-09-01,2004-08-31
191.69,42.88,Oct-01 - Sep-04,2001-10-01,2004-09-30
176.93,40.43,Nov-01 - Oct-04,2001-11-01,2004-10-31
169.2,39.11,Dec-01 - Nov-04,2001-12-01,2004-11-30
208.54,45.58,Jan-02 - Dec-04,2002-01-01,2004-12-31
199.26,44.11,Feb-02 - Jan-05,2002-02-01,2005-01-31
189.32,42.49,Mar-02 - Feb-05,2002-03-01,2005-02-28
176.44,40.35,Apr-02 - Mar-05,2002-04-01,2005-03-31
166.86,38.71,May-02 - Apr-05,2002-05-01,2005-04-30
198.9,44.05,Jun-02 - May-05,2002-06-01,2005-05-31
196.52,43.66,Jul-02 - Jun-05,2002-07-01,2005-06-30
247.45,51.46,Aug-02 - Jul-05,2002-08-01,2005-07-31
261.08,53.42,Sep-02 - Aug-05,2002-09-01,2005-08-31
318.32,61.13,Oct-02 - Sep-05,2002-10-01,2005-09-30
280.61,56.13,Nov-02 - Oct-05,2002-11-01,2005-10-31
292.71,57.77,Dec-02 - Nov-05,2002-12-01,2005-11-30
295.42,58.13,Jan-03 - Dec-05,2003-01-01,2005-12-31
335.37,63.29,Feb-03 - Jan-06,2003-02-01,2006-01-31
341.81,64.09,Mar-03 - Feb-06,2003-03-01,2006-02-28
413.26,72.5,Apr-03 - Mar-06,2003-04-01,2006-03-31
445.76,76.06,May-03 - Apr-06,2003-05-01,2006-04-30
353.41,65.51,Jun-03 - May-06,2003-06-01,2006-05-31
279.57,55.99,Jul-03 - Jun-06,2003-07-01,2006-06-30
258.93,53.11,Aug-03 - Jul-06,2003-08-01,2006-07-31
244.13,50.98,Sep-03 - Aug-06,2003-09-01,2006-08-31
249.45,51.75,Oct-03 - Sep-06,2003-10-01,2006-09-30
228.13,48.6,Nov-03 - Oct-06,2003-11-01,2006-10-31
235.03,49.63,Dec-03 - Nov-06,2003-12-01,2006-11-30
193.37,43.15,Jan-04 - Dec-06,2004-01-01,2006-12-31
196.43,43.65,Feb-04 - Jan-07,2004-02-01,2007-01-31
158.36,37.22,Mar-04 - Feb-07,2004-02-29,2007-02-28
158.08,37.17,Apr-04 - Mar-07,2004-04-01,2007-03-31
156.85,36.95,May-04 - Apr-07,2004-05-01,2007-04-30
230.66,48.98,Jun-04 - May-07,2004-06-01,2007-05-31
235.0,49.63,Jul-04 - Jun-07,2004-07-01,2007-06-30
234.85,49.61,Aug-04 - Jul-07,2004-08-01,2007-07-31
213.76,46.4,Sep-04 - Aug-07,2004-09-01,2007-08-31
236.19,49.81,Oct-04 - Sep-07,2004-10-01,2007-09-30
299.58,58.68,Nov-04 - Oct-07,2004-11-01,2007-10-31
273.97,55.22,Dec-04 - Nov-07,2004-12-01,2007-11-30
257.3,52.88,Jan-05 - Dec-07,2005-01-01,2007-12-31
210.88,45.95,Feb-05 - Jan-08,2005-02-01,2008-01-31
191.94,42.92,Mar-05 - Feb-08,2005-03-01,2008-02-29
166.26,38.6,Apr-05 - Mar-08,2005-04-01,2008-03-31
200.78,44.35,May-05 - Apr-08,2005-05-01,2008-04-30
170.03,39.25,Jun-05 - May-08,2005-06-01,2008-05-31
120.48,30.15,Jul-05 - Jun-08,2005-07-01,2008-06-30
108.48,27.75,Aug-05 - Jul-08,2005-08-01,2008-07-31
96.67,25.29,Sep-05 - Aug-08,2005-09-01,2008-08-31
64.54,18.06,Oct-05 - Sep-08,2005-10-01,2008-09-30
38.92,11.58,Nov-05 - Oct-08,2005-11-01,2008-10-31
20.11,6.3,Dec-05 - Nov-08,2005-12-01,2008-11-30
18.78,5.9,Jan-06 - Dec-08,2006-01-01,2008-12-31
5.66,1.85,Feb-06 - Jan-09,2006-02-01,2009-01-31
-1.71,-0.57,Mar-06 - Feb-09,2006-03-01,2009-02-28
-6.81,-2.32,Apr-06 - Mar-09,2006-04-01,2009-03-31
-2.65,-0.89,May-06 - Apr-09,2006-05-01,2009-04-30
35.65,10.7,Jun-06 - May-09,2006-06-01,2009-05-31
41.76,12.34,Jul-06 - Jun-09,2006-07-01,2009-06-30
54.55,15.62,Aug-06 - Jul-09,2006-08-01,2009-07-31
44.18,12.97,Sep-06 - Aug-09,2006-09-01,2009-08-31
48.24,14.02,Oct-06 - Sep-09,2006-10-01,2009-09-30
37.38,11.17,Nov-06 - Oct-09,2006-11-01,2009-10-31
37.28,11.14,Dec-06 - Nov-09,2006-12-01,2009-11-30
37.88,11.3,Jan-07 - Dec-09,2007-01-01,2009-12-31
27.35,8.39,Feb-07 - Jan-10,2007-02-01,2010-01-31
39.4,11.71,Mar-07 - Feb-10,2007-03-01,2010-02-28
45.68,13.36,Apr-07 - Mar-10,2007-04-01,2010-03-31
38.67,11.51,May-07 - Apr-10,2007-05-01,2010-04-30
27.32,8.38,Jun-07 - May-10,2007-06-01,2010-05-31
31.58,9.58,Jul-07 - Jun-10,2007-07-01,2010-06-30
25.42,7.84,Aug-07 - Jul-10,2007-08-01,2010-07-31
28.71,8.78,Sep-07 - Aug-10,2007-09-01,2010-08-31
25.29,7.81,Oct-07 - Sep-10,2007-10-01,2010-09-30
6.11,2.0,Nov-07 - Oct-10,2007-11-01,2010-10-31
1.68,0.56,Dec-07 - Nov-10,2007-12-01,2010-11-30
-3.74,-1.26,Jan-08 - Dec-10,2008-01-01,2010-12-31
0.28,0.09,Feb-08 - Jan-11,2008-02-01,2011-01-31
-1.46,-0.49,Mar-08 - Feb-11,2008-02-29,2011-02-28
21.57,6.73,Apr-08 - Mar-11,2008-04-01,2011-03-31
12.09,3.88,May-08 - Apr-11,2008-05-01,2011-04-30
14.25,4.54,Jun-08 - May-11,2008-06-01,2011-05-31
39.34,11.69,Jul-08 - Jun-11,2008-07-01,2011-06-30
30.36,9.24,Aug-08 - Jul-11,2008-08-01,2011-07-31
18.35,5.78,Sep-08 - Aug-11,2008-09-01,2011-08-31
29.37,8.96,Oct-08 - Sep-11,2008-10-01,2011-09-30
75.93,20.72,Nov-08 - Oct-11,2008-11-01,2011-10-31
69.84,19.31,Dec-08 - Nov-11,2008-12-01,2011-11-30
58.07,16.49,Jan-09 - Dec-11,2009-01-01,2011-12-31
76.28,20.8,Feb-09 - Jan-12,2009-02-01,2012-01-31
85.8,22.94,Mar-09 - Feb-12,2009-03-01,2012-02-29
75.59,20.64,Apr-09 - Mar-12,2009-04-01,2012-03-31
55.43,15.84,May-09 - Apr-12,2009-05-01,2012-04-30
17.97,5.66,Jun-09 - May-12,2009-06-01,2012-05-31
27.16,8.34,Jul-09 - Jun-12,2009-07-01,2012-06-30
18.57,5.84,Aug-09 - Jul-12,2009-08-01,2012-07-31
17.3,5.46,Sep-09 - Aug-12,2009-09-01,2012-08-31
15.67,4.97,Oct-09 - Sep-12,2009-10-01,2012-09-30
18.27,5.75,Nov-09 - Oct-12,2009-11-01,2012-10-31
18.52,5.83,Dec-09 - Nov-12,2009-12-01,2012-11-30
17.02,5.38,Jan-10 - Dec-12,2010-01-01,2012-12-31
27.68,8.49,Feb-10 - Jan-13,2010-02-01,2013-01-31
19.39,6.08,Mar-10 - Feb-13,2010-03-01,2013-02-28
12.69,4.06,Apr-10 - Mar-13,2010-04-01,2013-03-31
16.49,5.22,May-10 - Apr-13,2010-05-01,2013-04-30
18.88,5.94,Jun-10 - May-13,2010-06-01,2013-05-31
9.9,3.2,Jul-10 - Jun-13,2010-07-01,2013-06-30
4.59,1.51,Aug-10 - Jul-13,2010-08-01,2013-07-31
-2.68,-0.9,Sep-10 - Aug-13,2010-09-01,2013-08-31
-6.41,-2.18,Oct-10 - Sep-13,2010-10-01,2013-09-30
4.56,1.5,Nov-10 - Oct-13,2010-11-01,2013-10-31
5.11,1.68,Dec-10 - Nov-13,2010-12-01,2013-11-30
4.91,1.61,Jan-11 - Dec-13,2011-01-01,2013-12-31
12.55,4.02,Feb-11 - Jan-14,2011-02-01,2014-01-31
20.02,6.27,Mar-11 - Feb-14,2011-03-01,2014-02-28
17.38,5.49,Apr-11 - Mar-14,2011-04-01,2014-03-31
18.55,5.84,May-11 - Apr-14,2011-05-01,2014-04-30
30.81,9.37,Jun-11 - May-14,2011-06-01,2014-05-31
37.28,11.14,Jul-11 - Jun-14,2011-07-01,2014-06-30
40.15,11.91,Aug-11 - Jul-14,2011-08-01,2014-07-31
58.34,16.55,Sep-11 - Aug-14,2011-09-01,2014-08-31
61.06,17.22,Oct-11 - Sep-14,2011-10-01,2014-09-30
63.01,17.69,Nov-11 - Oct-14,2011-11-01,2014-10-31
81.7,22.03,Dec-11 - Nov-14,2011-12-01,2014-11-30
83.3,22.38,Jan-12 - Dec-14,2012-01-01,2014-12-31
83.72,22.48,Feb-12 - Jan-15,2012-02-01,2015-01-31
81.98,22.09,Mar-12 - Feb-15,2012-02-29,2015-02-28
78.38,21.28,Apr-12 - Mar-15,2012-04-01,2015-03-31
75.15,20.54,May-12 - Apr-15,2012-05-01,2015-04-30
91.12,24.1,Jun-12 - May-15,2012-06-01,2015-05-31
78.11,21.22,Jul-12 - Jun-15,2012-07-01,2015-06-30
83.67,22.47,Aug-12 - Jul-15,2012-08-01,2015-07-31
71.54,19.71,Sep-12 - Aug-15,2012-09-01,2015-08-31
62.61,17.59,Oct-12 - Sep-15,2012-10-01,2015-09-30
66.83,18.6,Nov-12 - Oct-15,2012-11-01,2015-10-31
55.87,15.95,Dec-12 - Nov-15,2012-12-01,2015-11-30
54.12,15.51,Jan-13 - Dec-15,2013-01-01,2015-12-31
41.47,12.26,Feb-13 - Jan-16,2013-02-01,2016-01-31
39.05,11.62,Mar-13 - Feb-16,2013-03-01,2016-02-29
55.22,15.78,Apr-13 - Mar-16,2013-04-01,2016-03-31
50.59,14.62,May-13 - Apr-16,2013-05-01,2016-04-30
56.84,16.19,Jun-13 - May-16,2013-06-01,2016-05-31
63.91,17.91,Jul-13 - Jun-16,2013-07-01,2016-06-30
78.09,21.21,Aug-13 - Jul-16,2013-08-01,2016-07-31
92.67,24.43,Sep-13 - Aug-16,2013-09-01,2016-08-31
81.64,22.01,Oct-13 - Sep-16,2013-10-01,2016-09-30
61.49,17.32,Nov-13 - Oct-16,2013-11-01,2016-10-31
57.36,16.31,Dec-13 - Nov-16,2013-12-01,2016-11-30
52.16,15.02,Jan-14 - Dec-16,2014-01-01,2016-12-31
64.12,17.95,Feb-14 - Jan-17,2014-02-01,2017-01-31
65.49,18.28,Mar-14 - Feb-17,2014-03-01,2017-02-28
61.07,17.22,Apr-14 - Mar-17,2014-04-01,2017-03-31
64.71,18.1,May-14 - Apr-17,2014-05-01,2017-04-30
55.48,15.85,Jun-14 - May-17,2014-06-01,2017-05-31
44.71,13.11,Jul-14 - Jun-17,2014-07-01,2017-06-30
50.17,14.52,Aug-14 - Jul-17,2014-08-01,2017-07-31
40.6,12.03,Sep-14 - Aug-17,2014-09-01,2017-08-31
37.91,11.31,Oct-14 - Sep-17,2014-10-01,2017-09-30
37.12,11.1,Nov-14 - Oct-17,2014-11-01,2017-10-31
31.75,9.63,Dec-14 - Nov-17,2014-12-01,2017-11-30
37.98,11.33,Jan-15 - Dec-17,2015-01-01,2017-12-31
31.44,9.54,Feb-15 - Jan-18,2015-02-01,2018-01-31
24.11,7.46,Mar-15 - Feb-18,2015-03-01,2018-02-28
23.68,7.34,Apr-15 - Mar-18,2015-04-01,2018-03-31
34.16,10.29,May-15 - Apr-18,2015-05-01,2018-04-30
29.15,8.9,Jun-15 - May-18,2015-06-01,2018-05-31
27.39,8.4,Jul-15 - Jun-18,2015-07-01,2018-06-30
30.58,9.3,Aug-15 - Jul-18,2015-08-01,2018-07-31
42.35,12.49,Sep-15 - Aug-18,2015-09-01,2018-08-31
29.81,9.09,Oct-15 - Sep-18,2015-10-01,2018-09-30
21.65,6.75,Nov-15 - Oct-18,2015-11-01,2018-10-31
28.1,8.6,Dec-15 - Nov-18,2015-12-01,2018-11-30
30.17,9.19,Jan-16 - Dec-18,2016-01-01,2018-12-31
35.13,10.56,Feb-16 - Jan-19,2016-02-01,2019-01-31
46.78,13.65,Mar-16 - Feb-19,2016-02-29,2019-02-28
41.49,12.26,Apr-16 - Mar-19,2016-04-01,2019-03-31
40.05,11.88,May-16 - Apr-19,2016-05-01,2019-04-30
37.53,11.21,Jun-16 - May-19,2016-06-01,2019-05-31
33.4,10.08,Jul-16 - Jun-19,2016-07-01,2019-06-30
20.64,6.46,Aug-16 - Jul-19,2016-08-01,2019-07-31
19.01,5.97,Sep-16 - Aug-19,2016-09-01,2019-08-31
26.25,8.08,Oct-16 - Sep-19,2016-10-01,2019-09-30
31.64,9.6,Nov-16 - Oct-19,2016-11-01,2019-10-31
40.84,12.09,Dec-16 - Nov-19,2016-12-01,2019-11-30
44.41,13.03,Jan-17 - Dec-19,2017-01-01,2019-12-31
37.98,11.33,Feb-17 - Jan-20,2017-02-01,2020-01-31
24.5,7.58,Mar-17 - Feb-20,2017-03-01,2020-02-29
-6.57,-2.24,Apr-17 - Mar-20,2017-04-01,2020-03-31
2.76,0.91,May-17 - Apr-20,2017-05-01,2020-04-30
-1.64,-0.55,Jun-17 - May-20,2017-06-01,2020-05-31
6.55,2.14,Jul-17 - Jun-20,2017-07-01,2020-06-30
9.41,3.04,Aug-17 - Jul-20,2017-08-01,2020-07-31
14.21,4.53,Sep-17 - Aug-20,2017-09-01,2020-08-31
15.85,5.03,Oct-17 - Sep-20,2017-10-01,2020-09-30
13.6,4.34,Nov-17 - Oct-20,2017-11-01,2020-10-31
25.34,7.82,Dec-17 - Nov-20,2017-12-01,2020-11-30
30.09,9.17,Jan-18 - Dec-20,2018-01-01,2020-12-31
24.71,7.64,Feb-18 - Jan-21,2018-02-01,2021-01-31
39.75,11.8,Mar-18 - Feb-21,2018-03-01,2021-02-28
46.36,13.54,Apr-18 - Mar-21,2018-04-01,2021-03-31
38.62,11.5,May-18 - Apr-21,2018-05-01,2021-04-30
48.43,14.07,Jun-18 - May-21,2018-06-01,2021-05-31
55.35,15.82,Jul-18 - Jun-21,2018-07-01,2021-06-30
47.4,13.81,Aug-18 - Jul-21,2018-08-01,2021-07-31
54.25,15.54,Sep-18 - Aug-21,2018-09-01,2021-08-31
71.53,19.7,Oct-18 - Sep-21,2018-10-01,2021-09-30
81.91,22.07,Nov-18 - Oct-21,2018-11-01,2021-10-31
67.82,18.83,Dec-18 - Nov-21,2018-12-01,2021-11-30
69.75,19.29,Jan-19 - Dec-21,2019-01-01,2021-12-31
71.05,19.59,Feb-19 - Jan-22,2019-02-01,2022-01-31
62.93,17.67,Mar-19 - Feb-22,2019-03-01,2022-02-28
57.3,16.3,Apr-19 - Mar-22,2019-04-01,2022-03-31
53.2,15.28,May-19 - Apr-22,2019-05-01,2022-04-30
46.96,13.69,Jun-19 - May-22,2019-06-01,2022-05-31
41.71,12.32,Jul-19 - Jun-22,2019-07-01,2022-06-30
62.37,17.53,Aug-19 - Jul-22,2019-08-01,2022-07-31
68.69,19.04,Sep-19 - Aug-22,2019-09-01,2022-08-31
55.47,15.85,Oct-19 - Sep-22,2019-10-01,2022-09-30
56.02,15.98,Nov-19 - Oct-22,2019-11-01,2022-10-31
57.88,16.44,Dec-19 - Nov-22,2019-12-01,2022-11-30
51.61,14.88,Jan-20 - Dec-22,2020-01-01,2022-12-31
49.44,14.33,Feb-20 - Jan-23,2020-02-01,2023-01-31
56.43,16.08,Mar-20 - Feb-23,2020-02-29,2023-02-28
102.24,26.46,Apr-20 - Mar-23,2020-04-01,2023-03-31
