abs_val,cagr_val,date_range,start_date,end_date
23.43,23.43,Feb-87 - Jan-88,1987-02-01,1988-01-31
20.55,20.55,Mar-87 - Feb-88,1987-03-01,1988-02-29
21.22,21.22,Apr-87 - Mar-88,1987-04-01,1988-03-31
25.01,25.01,May-87 - Apr-88,1987-05-01,1988-04-30
36.98,36.98,Jun-87 - May-88,1987-06-01,1988-05-31
42.77,42.77,Jul-87 - Jun-88,1987-07-01,1988-06-30
27.28,27.28,Aug-87 - Jul-88,1987-08-01,1988-07-31
15.91,15.91,Sep-87 - Aug-88,1987-09-01,1988-08-31
40.22,40.22,Oct-87 - Sep-88,1987-10-01,1988-09-30
69.52,69.52,Nov-87 - Oct-88,1987-11-01,1988-10-31
83.71,83.71,Dec-87 - Nov-88,1987-12-01,1988-11-30
82.48,82.48,Jan-88 - Dec-88,1988-01-01,1988-12-31
62.99,62.99,Feb-88 - Jan-89,1988-02-01,1989-01-31
66.62,66.62,Mar-88 - Feb-89,1988-02-29,1989-02-28
82.45,82.45,Apr-88 - Mar-89,1988-04-01,1989-03-31
88.73,88.73,May-88 - Apr-89,1988-05-01,1989-04-30
67.61,67.61,Jun-88 - May-89,1988-06-01,1989-05-31
120.72,120.72,Jul-88 - Jun-89,1988-07-01,1989-06-30
67.85,67.85,Aug-88 - Jul-89,1988-08-01,1989-07-31
76.89,76.89,Sep-88 - Aug-89,1988-09-01,1989-08-31
51.56,51.56,Oct-88 - Sep-89,1988-10-01,1989-09-30
35.46,35.46,Nov-88 - Oct-89,1988-11-01,1989-10-31
23.11,23.11,Dec-88 - Nov-89,1988-12-01,1989-11-30
34.36,34.36,Jan-89 - Dec-89,1989-01-01,1989-12-31
41.24,41.24,Feb-89 - Jan-90,1989-02-01,1990-01-31
36.62,36.62,Mar-89 - Feb-90,1989-03-01,1990-02-28
35.48,35.48,Apr-89 - Mar-90,1989-04-01,1990-03-31
26.27,26.27,May-89 - Apr-90,1989-05-01,1990-04-30
36.27,36.27,Jun-89 - May-90,1989-06-01,1990-05-31
5.24,5.24,Jul-89 - Jun-90,1989-07-01,1990-06-30
61.06,61.06,Aug-89 - Jul-90,1989-08-01,1990-07-31
73.41,73.41,Sep-89 - Aug-90,1989-09-01,1990-08-31
97.67,97.67,Oct-89 - Sep-90,1989-10-01,1990-09-30
65.02,65.02,Nov-89 - Oct-90,1989-11-01,1990-10-31
54.67,54.67,Dec-89 - Nov-90,1989-12-01,1990-11-30
24.35,24.35,Jan-90 - Dec-90,1990-01-01,1990-12-31
24.88,24.88,Feb-90 - Jan-91,1990-02-01,1991-01-31
54.4,54.4,Mar-90 - Feb-91,1990-03-01,1991-02-28
38.1,38.1,Apr-90 - Mar-91,1990-04-01,1991-03-31
49.79,49.79,May-90 - Apr-91,1990-05-01,1991-04-30
46.3,46.3,Jun-90 - May-91,1990-06-01,1991-05-31
34.63,34.63,Jul-90 - Jun-91,1990-07-01,1991-06-30
41.82,41.82,Aug-90 - Jul-91,1990-08-01,1991-07-31
39.55,39.55,Sep-90 - Aug-91,1990-09-01,1991-08-31
23.5,23.5,Oct-90 - Sep-91,1990-10-01,1991-09-30
42.74,42.74,Nov-90 - Oct-91,1990-11-01,1991-10-31
53.21,53.21,Dec-90 - Nov-91,1990-12-01,1991-11-30
75.99,75.99,Jan-91 - Dec-91,1991-01-01,1991-12-31
106.94,106.94,Feb-91 - Jan-92,1991-02-01,1992-01-31
105.83,105.83,Mar-91 - Feb-92,1991-03-01,1992-02-29
227.59,227.59,Apr-91 - Mar-92,1991-04-01,1992-03-31
187.24,187.24,May-91 - Apr-92,1991-05-01,1992-04-30
106.09,106.09,Jun-91 - May-92,1991-06-01,1992-05-31
119.23,119.23,Jul-91 - Jun-92,1991-07-01,1992-06-30
67.94,67.94,Aug-91 - Jul-92,1991-08-01,1992-07-31
52.42,52.42,Sep-91 - Aug-92,1991-09-01,1992-08-31
80.62,80.62,Oct-91 - Sep-92,1991-10-01,1992-09-30
53.75,53.75,Nov-91 - Oct-92,1991-11-01,1992-10-31
44.49,44.49,Dec-91 - Nov-92,1991-12-01,1992-11-30
43.61,43.61,Jan-92 - Dec-92,1992-01-01,1992-12-31
24.87,24.87,Feb-92 - Jan-93,1992-02-01,1993-01-31
9.43,9.43,Mar-92 - Feb-93,1992-02-29,1993-02-28
-36.88,-36.88,Apr-92 - Mar-93,1992-04-01,1993-03-31
-38.69,-38.69,May-92 - Apr-93,1992-05-01,1993-04-30
-16.54,-16.54,Jun-92 - May-93,1992-06-01,1993-05-31
-18.47,-18.47,Jul-92 - Jun-93,1992-07-01,1993-06-30
-15.72,-15.72,Aug-92 - Jul-93,1992-08-01,1993-07-31
3.41,3.41,Sep-92 - Aug-93,1992-09-01,1993-08-31
-8.45,-8.45,Oct-92 - Sep-93,1992-10-01,1993-09-30
5.2,5.2,Nov-92 - Oct-93,1992-11-01,1993-10-31
30.46,30.46,Dec-92 - Nov-93,1992-12-01,1993-11-30
1.81,1.81,Jan-93 - Dec-93,1993-01-01,1993-12-31
20.36,20.36,Feb-93 - Jan-94,1993-02-01,1994-01-31
13.46,13.46,Mar-93 - Feb-94,1993-03-01,1994-02-28
18.0,18.0,Apr-93 - Mar-94,1993-04-01,1994-03-31
27.33,27.33,May-93 - Apr-94,1993-05-01,1994-04-30
25.21,25.21,Jun-93 - May-94,1993-06-01,1994-05-31
37.68,37.68,Jul-93 - Jun-94,1993-07-01,1994-06-30
40.43,40.43,Aug-93 - Jul-94,1993-08-01,1994-07-31
26.72,26.72,Sep-93 - Aug-94,1993-09-01,1994-08-31
17.13,17.13,Oct-93 - Sep-94,1993-10-01,1994-09-30
14.9,14.9,Nov-93 - Oct-94,1993-11-01,1994-10-31
-2.22,-2.22,Dec-93 - Nov-94,1993-12-01,1994-11-30
15.78,15.78,Jan-94 - Dec-94,1994-01-01,1994-12-31
-8.94,-8.94,Feb-94 - Jan-95,1994-02-01,1995-01-31
-13.79,-13.79,Mar-94 - Feb-95,1994-03-01,1995-02-28
-6.1,-6.1,Apr-94 - Mar-95,1994-04-01,1995-03-31
-9.41,-9.41,May-94 - Apr-95,1994-05-01,1995-04-30
-7.43,-7.43,Jun-94 - May-95,1994-06-01,1995-05-31
-19.56,-19.56,Jul-94 - Jun-95,1994-07-01,1995-06-30
-28.8,-28.8,Aug-94 - Jul-95,1994-08-01,1995-07-31
-39.48,-39.48,Sep-94 - Aug-95,1994-09-01,1995-08-31
-24.74,-24.74,Oct-94 - Sep-95,1994-10-01,1995-09-30
-16.77,-16.77,Jan-95 - Dec-95,1995-01-01,1995-12-31
-19.12,-19.12,Feb-95 - Jan-96,1995-02-01,1996-01-31
1.2,1.2,Mar-95 - Feb-96,1995-03-01,1996-02-29
8.26,8.26,Apr-95 - Mar-96,1995-04-01,1996-03-31
33.64,33.64,May-95 - Apr-96,1995-05-01,1996-04-30
27.67,27.67,Jun-95 - May-96,1995-06-01,1996-05-31
34.74,34.74,Jul-95 - Jun-96,1995-07-01,1996-06-30
24.37,24.37,Aug-95 - Jul-96,1995-08-01,1996-07-31
23.74,23.74,Sep-95 - Aug-96,1995-09-01,1996-08-31
33.11,33.11,Oct-95 - Sep-96,1995-10-01,1996-09-30
33.58,33.58,Nov-95 - Oct-96,1995-11-01,1996-10-31
4.62,4.62,Dec-95 - Nov-96,1995-12-01,1996-11-30
-2.55,-2.55,Jan-96 - Dec-96,1996-01-01,1996-12-31
12.26,12.26,Feb-96 - Jan-97,1996-02-01,1997-01-31
-9.85,-9.85,Mar-96 - Feb-97,1996-02-29,1997-02-28
2.19,2.19,Apr-96 - Mar-97,1996-04-01,1997-03-31
-9.32,-9.32,May-96 - Apr-97,1996-05-01,1997-04-30
-9.22,-9.22,Jun-96 - May-97,1996-06-01,1997-05-31
-5.48,-5.48,Jul-96 - Jun-97,1996-07-01,1997-06-30
7.03,7.03,Aug-96 - Jul-97,1996-08-01,1997-07-31
6.94,6.94,Sep-96 - Aug-97,1996-09-01,1997-08-31
4.14,4.14,Oct-96 - Sep-97,1996-10-01,1997-09-30
8.2,8.2,Nov-96 - Oct-97,1996-11-01,1997-10-31
5.23,5.23,Dec-96 - Nov-97,1996-12-01,1997-11-30
7.04,7.04,Jan-97 - Dec-97,1997-01-01,1997-12-31
-14.85,-14.85,Feb-97 - Jan-98,1997-02-01,1998-01-31
-4.08,-4.08,Mar-97 - Feb-98,1997-03-01,1998-02-28
-1.17,-1.17,Apr-97 - Mar-98,1997-04-01,1998-03-31
-1.26,-1.26,May-97 - Apr-98,1997-05-01,1998-04-30
-1.3,-1.3,Jun-97 - May-98,1997-06-01,1998-05-31
-24.43,-24.43,Jul-97 - Jun-98,1997-07-01,1998-06-30
-26.37,-26.37,Aug-97 - Jul-98,1997-08-01,1998-07-31
-27.2,-27.2,Sep-97 - Aug-98,1997-09-01,1998-08-31
-16.83,-16.83,Oct-97 - Sep-98,1997-10-01,1998-09-30
-21.15,-21.15,Nov-97 - Oct-98,1997-11-01,1998-10-31
-14.88,-14.88,Dec-97 - Nov-98,1997-12-01,1998-11-30
-11.96,-11.96,Jan-98 - Dec-98,1998-01-01,1998-12-31
7.95,7.95,Feb-98 - Jan-99,1998-02-01,1999-01-31
-2.11,-2.11,Mar-98 - Feb-99,1998-03-01,1999-02-28
-6.02,-6.02,Apr-98 - Mar-99,1998-04-01,1999-03-31
-20.09,-20.09,May-98 - Apr-99,1998-05-01,1999-04-30
-2.58,-2.58,Jun-98 - May-99,1998-06-01,1999-05-31
25.97,25.97,Jul-98 - Jun-99,1998-07-01,1999-06-30
36.89,36.89,Aug-98 - Jul-99,1998-08-01,1999-07-31
52.73,52.73,Sep-98 - Aug-99,1998-09-01,1999-08-31
46.28,46.28,Oct-98 - Sep-99,1998-10-01,1999-09-30
57.2,57.2,Nov-98 - Oct-99,1998-11-01,1999-10-31
53.3,53.3,Dec-98 - Nov-99,1998-12-01,1999-11-30
50.55,50.55,Jan-99 - Dec-99,1999-01-01,1999-12-31
48.12,48.12,Feb-99 - Jan-00,1999-02-01,2000-01-31
59.55,59.55,Mar-99 - Feb-00,1999-03-01,2000-02-29
30.69,30.69,Apr-99 - Mar-00,1999-04-01,2000-03-31
32.2,32.2,May-99 - Apr-00,1999-05-01,2000-04-30
-2.29,-2.29,Jun-99 - May-00,1999-06-01,2000-05-31
10.45,10.45,Jul-99 - Jun-00,1999-07-01,2000-06-30
-10.83,-10.83,Aug-99 - Jul-00,1999-08-01,2000-07-31
-13.06,-13.06,Sep-99 - Aug-00,1999-09-01,2000-08-31
-18.41,-18.41,Oct-99 - Sep-00,1999-10-01,2000-09-30
-25.53,-25.53,Nov-99 - Oct-00,1999-11-01,2000-10-31
-17.45,-17.45,Dec-99 - Nov-00,1999-12-01,2000-11-30
-22.61,-22.61,Jan-00 - Dec-00,2000-01-01,2000-12-31
-23.79,-23.79,Feb-00 - Jan-01,2000-02-01,2001-01-31
-24.65,-24.65,Mar-00 - Feb-01,2000-02-29,2001-02-28
-26.84,-26.84,Apr-00 - Mar-01,2000-04-01,2001-03-31
-16.98,-16.98,May-00 - Apr-01,2000-05-01,2001-04-30
-4.27,-4.27,Jun-00 - May-01,2000-06-01,2001-05-31
-26.33,-26.33,Jul-00 - Jun-01,2000-07-01,2001-06-30
-22.64,-22.64,Aug-00 - Jul-01,2000-08-01,2001-07-31
-26.06,-26.06,Sep-00 - Aug-01,2000-09-01,2001-08-31
-35.17,-35.17,Oct-00 - Sep-01,2000-10-01,2001-09-30
-22.44,-22.44,Nov-00 - Oct-01,2000-11-01,2001-10-31
-21.57,-21.57,Dec-00 - Nov-01,2000-12-01,2001-11-30
-20.93,-20.93,Jan-01 - Dec-01,2001-01-01,2001-12-31
-18.65,-18.65,Feb-01 - Jan-02,2001-02-01,2002-01-31
-14.05,-14.05,Mar-01 - Feb-02,2001-03-01,2002-02-28
-4.08,-4.08,Apr-01 - Mar-02,2001-04-01,2002-03-31
-5.77,-5.77,May-01 - Apr-02,2001-05-01,2002-04-30
-11.55,-11.55,Jun-01 - May-02,2001-06-01,2002-05-31
-0.31,-0.31,Jul-01 - Jun-02,2001-07-01,2002-06-30
1.81,1.81,Aug-01 - Jul-02,2001-08-01,2002-07-31
7.82,7.82,Sep-01 - Aug-02,2001-09-01,2002-08-31
20.82,20.82,Oct-01 - Sep-02,2001-10-01,2002-09-30
9.66,9.66,Nov-01 - Oct-02,2001-11-01,2002-10-31
7.81,7.81,Dec-01 - Nov-02,2001-12-01,2002-11-30
14.81,14.81,Jan-02 - Dec-02,2002-01-01,2002-12-31
5.62,5.62,Feb-02 - Jan-03,2002-02-01,2003-01-31
-1.56,-1.56,Mar-02 - Feb-03,2002-03-01,2003-02-28
-2.97,-2.97,Apr-02 - Mar-03,2002-04-01,2003-03-31
-1.36,-1.36,May-02 - Apr-03,2002-05-01,2003-04-30
12.31,12.31,Jun-02 - May-03,2002-06-01,2003-05-31
17.06,17.06,Jul-02 - Jun-03,2002-07-01,2003-06-30
27.74,27.74,Aug-02 - Jul-03,2002-08-01,2003-07-31
36.8,36.8,Sep-02 - Aug-03,2002-09-01,2003-08-31
54.0,54.0,Oct-02 - Sep-03,2002-10-01,2003-09-30
69.46,69.46,Nov-02 - Oct-03,2002-11-01,2003-10-31
61.26,61.26,Dec-02 - Nov-03,2002-12-01,2003-11-30
80.4,80.4,Jan-03 - Dec-03,2003-01-01,2003-12-31
81.97,81.97,Feb-03 - Jan-04,2003-02-01,2004-01-31
81.48,81.48,Mar-03 - Feb-04,2003-03-01,2004-02-29
89.77,89.77,Apr-03 - Mar-04,2003-04-01,2004-03-31
99.16,99.16,May-03 - Apr-04,2003-05-01,2004-04-30
58.34,58.34,Jun-03 - May-04,2003-06-01,2004-05-31
48.13,48.13,Jul-03 - Jun-04,2003-07-01,2004-06-30
48.12,48.12,Aug-03 - Jul-04,2003-08-01,2004-07-31
33.8,33.8,Sep-03 - Aug-04,2003-09-01,2004-08-31
34.18,34.18,Oct-03 - Sep-04,2003-10-01,2004-09-30
23.0,23.0,Nov-03 - Oct-04,2003-11-01,2004-10-31
31.4,31.4,Dec-03 - Nov-04,2003-12-01,2004-11-30
23.49,23.49,Jan-04 - Dec-04,2004-01-01,2004-12-31
23.34,23.34,Feb-04 - Jan-05,2004-02-01,2005-01-31
25.08,25.08,Mar-04 - Feb-05,2004-02-29,2005-02-28
19.33,19.33,Apr-04 - Mar-05,2004-04-01,2005-03-31
11.3,11.3,May-04 - Apr-05,2004-05-01,2005-04-30
39.41,39.41,Jun-04 - May-05,2004-06-01,2005-05-31
40.7,40.7,Jul-04 - Jun-05,2004-07-01,2005-06-30
43.47,43.47,Aug-04 - Jul-05,2004-08-01,2005-07-31
46.49,46.49,Sep-04 - Aug-05,2004-09-01,2005-08-31
49.82,49.82,Oct-04 - Sep-05,2004-10-01,2005-09-30
37.05,37.05,Nov-04 - Oct-05,2004-11-01,2005-10-31
37.63,37.63,Dec-04 - Nov-05,2004-12-01,2005-11-30
31.78,31.78,Jan-05 - Dec-05,2005-01-01,2005-12-31
39.48,39.48,Feb-05 - Jan-06,2005-02-01,2006-01-31
37.63,37.63,Mar-05 - Feb-06,2005-03-01,2006-02-28
58.86,58.86,Apr-05 - Mar-06,2005-04-01,2006-03-31
69.73,69.73,May-05 - Apr-06,2005-05-01,2006-04-30
34.07,34.07,Jun-05 - May-06,2005-06-01,2006-05-31
26.88,26.88,Jul-05 - Jun-06,2005-07-01,2006-06-30
19.86,19.86,Aug-05 - Jul-06,2005-08-01,2006-07-31
25.95,25.95,Sep-05 - Aug-06,2005-09-01,2006-08-31
22.92,22.92,Oct-05 - Sep-06,2005-10-01,2006-09-30
40.03,40.03,Nov-05 - Oct-06,2005-11-01,2006-10-31
33.45,33.45,Dec-05 - Nov-06,2005-12-01,2006-11-30
28.13,28.13,Jan-06 - Dec-06,2006-01-01,2006-12-31
24.25,24.25,Feb-06 - Jan-07,2006-02-01,2007-01-31
12.87,12.87,Mar-06 - Feb-07,2006-03-01,2007-02-28
-0.29,-0.29,Apr-06 - Mar-07,2006-04-01,2007-03-31
7.13,7.13,May-06 - Apr-07,2006-05-01,2007-04-30
34.23,34.23,Jun-06 - May-07,2006-06-01,2007-05-31
41.97,41.97,Jul-06 - Jun-07,2006-07-01,2007-06-30
48.27,48.27,Aug-06 - Jul-07,2006-08-01,2007-07-31
33.14,33.14,Sep-06 - Aug-07,2006-09-01,2007-08-31
43.71,43.71,Oct-06 - Sep-07,2006-10-01,2007-09-30
63.59,63.59,Nov-06 - Oct-07,2006-11-01,2007-10-31
51.7,51.7,Dec-06 - Nov-07,2006-12-01,2007-11-30
60.63,60.63,Jan-07 - Dec-07,2007-01-01,2007-12-31
35.49,35.49,Feb-07 - Jan-08,2007-02-01,2008-01-31
47.37,47.37,Mar-07 - Feb-08,2007-03-01,2008-02-29
31.4,31.4,Apr-07 - Mar-08,2007-04-01,2008-03-31
27.76,27.76,May-07 - Apr-08,2007-05-01,2008-04-30
14.91,14.91,Jun-07 - May-08,2007-06-01,2008-05-31
-6.27,-6.27,Jul-07 - Jun-08,2007-07-01,2008-06-30
-5.85,-5.85,Aug-07 - Jul-08,2007-08-01,2008-07-31
-2.55,-2.55,Sep-07 - Aug-08,2007-09-01,2008-08-31
-22.49,-22.49,Oct-07 - Sep-08,2007-10-01,2008-09-30
-47.2,-47.2,Nov-07 - Oct-08,2007-11-01,2008-10-31
-49.7,-49.7,Dec-07 - Nov-08,2007-12-01,2008-11-30
-50.3,-50.3,Jan-08 - Dec-08,2008-01-01,2008-12-31
-42.61,-42.61,Feb-08 - Jan-09,2008-02-01,2009-01-31
-44.24,-44.24,Mar-08 - Feb-09,2008-02-29,2009-02-28
-31.16,-31.16,Apr-08 - Mar-09,2008-04-01,2009-03-31
-28.92,-28.92,May-08 - Apr-09,2008-05-01,2009-04-30
-9.75,-9.75,Jun-08 - May-09,2008-06-01,2009-05-31
8.11,8.11,Jul-08 - Jun-09,2008-07-01,2009-06-30
11.05,11.05,Aug-08 - Jul-09,2008-08-01,2009-07-31
10.26,10.26,Sep-08 - Aug-09,2008-09-01,2009-08-31
33.05,33.05,Oct-08 - Sep-09,2008-10-01,2009-09-30
55.02,55.02,Nov-08 - Oct-09,2008-11-01,2009-10-31
77.36,77.36,Dec-08 - Nov-09,2008-12-01,2009-11-30
74.16,74.16,Jan-09 - Dec-09,2009-01-01,2009-12-31
67.46,67.46,Feb-09 - Jan-10,2009-02-01,2010-01-31
74.0,74.0,Mar-09 - Feb-10,2009-03-01,2010-02-28
72.14,72.14,Apr-09 - Mar-10,2009-04-01,2010-03-31
55.6,55.6,May-09 - Apr-10,2009-05-01,2010-04-30
24.64,24.64,Jun-09 - May-10,2009-06-01,2010-05-31
30.62,30.62,Jul-09 - Jun-10,2009-07-01,2010-06-30
21.04,21.04,Aug-09 - Jul-10,2009-08-01,2010-07-31
22.65,22.65,Sep-09 - Aug-10,2009-09-01,2010-08-31
23.65,23.65,Oct-09 - Sep-10,2009-10-01,2010-09-30
29.58,29.58,Nov-09 - Oct-10,2009-11-01,2010-10-31
18.44,18.44,Dec-09 - Nov-10,2009-12-01,2010-11-30
18.47,18.47,Jan-10 - Dec-10,2010-01-01,2010-12-31
13.97,13.97,Feb-10 - Jan-11,2010-02-01,2011-01-31
8.49,8.49,Mar-10 - Feb-11,2010-03-01,2011-02-28
12.27,12.27,Apr-10 - Mar-11,2010-04-01,2011-03-31
11.32,11.32,May-10 - Apr-11,2010-05-01,2011-04-30
11.43,11.43,Jun-10 - May-11,2010-06-01,2011-05-31
7.96,7.96,Jul-10 - Jun-11,2010-07-01,2011-06-30
5.66,5.66,Aug-10 - Jul-11,2010-08-01,2011-07-31
-3.54,-3.54,Sep-10 - Aug-11,2010-09-01,2011-08-31
-12.45,-12.45,Oct-10 - Sep-11,2010-10-01,2011-09-30
-8.24,-8.24,Nov-10 - Oct-11,2010-11-01,2011-10-31
-12.69,-12.69,Dec-10 - Nov-11,2010-12-01,2011-11-30
-19.72,-19.72,Jan-11 - Dec-11,2011-01-01,2011-12-31
-3.56,-3.56,Feb-11 - Jan-12,2011-02-01,2012-01-31
3.75,3.75,Mar-11 - Feb-12,2011-03-01,2012-02-29
-5.8,-5.8,Apr-11 - Mar-12,2011-04-01,2012-03-31
-7.55,-7.55,May-11 - Apr-12,2011-05-01,2012-04-30
-9.68,-9.68,Jun-11 - May-12,2011-06-01,2012-05-31
-5.14,-5.14,Jul-11 - Jun-12,2011-07-01,2012-06-30
-3.85,-3.85,Aug-11 - Jul-12,2011-08-01,2012-07-31
3.22,3.22,Sep-11 - Aug-12,2011-09-01,2012-08-31
12.1,12.1,Oct-11 - Sep-12,2011-10-01,2012-09-30
6.0,6.0,Nov-11 - Oct-12,2011-11-01,2012-10-31
19.03,19.03,Dec-11 - Nov-12,2011-12-01,2012-11-30
25.07,25.07,Jan-12 - Dec-12,2012-01-01,2012-12-31
15.89,15.89,Feb-12 - Jan-13,2012-02-01,2013-01-31
5.5,5.5,Mar-12 - Feb-13,2012-02-29,2013-02-28
6.67,6.67,Apr-12 - Mar-13,2012-04-01,2013-03-31
13.13,13.13,May-12 - Apr-13,2012-05-01,2013-04-30
19.42,19.42,Jun-12 - May-13,2012-06-01,2013-05-31
8.6,8.6,Jul-12 - Jun-13,2012-07-01,2013-06-30
6.86,6.86,Aug-12 - Jul-13,2012-08-01,2013-07-31
1.53,1.53,Sep-12 - Aug-13,2012-09-01,2013-08-31
-0.78,-0.78,Oct-12 - Sep-13,2012-10-01,2013-09-30
9.58,9.58,Nov-12 - Oct-13,2012-11-01,2013-10-31
3.31,3.31,Dec-12 - Nov-13,2012-12-01,2013-11-30
5.9,5.9,Jan-13 - Dec-13,2013-01-01,2013-12-31
1.14,1.14,Feb-13 - Jan-14,2013-02-01,2014-01-31
9.62,9.62,Mar-13 - Feb-14,2013-03-01,2014-02-28
18.4,18.4,Apr-13 - Mar-14,2013-04-01,2014-03-31
12.84,12.84,May-13 - Apr-14,2013-05-01,2014-04-30
22.1,22.1,Jun-13 - May-14,2013-06-01,2014-05-31
34.81,34.81,Jul-13 - Jun-14,2013-07-01,2014-06-30
38.9,38.9,Aug-13 - Jul-14,2013-08-01,2014-07-31
51.34,51.34,Sep-13 - Aug-14,2013-09-01,2014-08-31
45.68,45.68,Oct-13 - Sep-14,2013-10-01,2014-09-30
39.79,39.79,Nov-13 - Oct-14,2013-11-01,2014-10-31
49.24,49.24,Dec-13 - Nov-14,2013-12-01,2014-11-30
43.29,43.29,Jan-14 - Dec-14,2014-01-01,2014-12-31
58.68,58.68,Feb-14 - Jan-15,2014-02-01,2015-01-31
55.76,55.76,Mar-14 - Feb-15,2014-03-01,2015-02-28
42.47,42.47,Apr-14 - Mar-15,2014-04-01,2015-03-31
37.49,37.49,May-14 - Apr-15,2014-05-01,2015-04-30
29.72,29.72,Jun-14 - May-15,2014-06-01,2015-05-31
18.07,18.07,Jul-14 - Jun-15,2014-07-01,2015-06-30
21.78,21.78,Aug-14 - Jul-15,2014-08-01,2015-07-31
11.26,11.26,Sep-14 - Aug-15,2014-09-01,2015-08-31
8.65,8.65,Oct-14 - Sep-15,2014-10-01,2015-09-30
4.66,4.66,Nov-14 - Oct-15,2014-11-01,2015-10-31
-1.57,-1.57,Dec-14 - Nov-15,2014-12-01,2015-11-30
-0.49,-0.49,Jan-15 - Dec-15,2015-01-01,2015-12-31
-12.01,-12.01,Feb-15 - Jan-16,2015-02-01,2016-01-31
-18.39,-18.39,Mar-15 - Feb-16,2015-03-01,2016-02-29
-8.49,-8.49,Apr-15 - Mar-16,2015-04-01,2016-03-31
-3.1,-3.1,May-15 - Apr-16,2015-05-01,2016-04-30
-3.05,-3.05,Jun-15 - May-16,2015-06-01,2016-05-31
1.82,1.82,Jul-15 - Jun-16,2015-07-01,2016-06-30
1.01,1.01,Aug-15 - Jul-16,2015-08-01,2016-07-31
9.03,9.03,Sep-15 - Aug-16,2015-09-01,2016-08-31
9.14,9.14,Oct-15 - Sep-16,2015-10-01,2016-09-30
8.48,8.48,Nov-15 - Oct-16,2015-11-01,2016-10-31
4.78,4.78,Dec-15 - Nov-16,2015-12-01,2016-11-30
3.6,3.6,Jan-16 - Dec-16,2016-01-01,2016-12-31
13.35,13.35,Feb-16 - Jan-17,2016-02-01,2017-01-31
26.98,26.98,Mar-16 - Feb-17,2016-02-29,2017-02-28
18.13,18.13,Apr-16 - Mar-17,2016-04-01,2017-03-31
19.09,19.09,May-16 - Apr-17,2016-05-01,2017-04-30
18.58,18.58,Jun-16 - May-17,2016-06-01,2017-05-31
14.25,14.25,Jul-16 - Jun-17,2016-07-01,2017-06-30
15.69,15.69,Aug-16 - Jul-17,2016-08-01,2017-07-31
10.97,10.97,Sep-16 - Aug-17,2016-09-01,2017-08-31
11.07,11.07,Oct-16 - Sep-17,2016-10-01,2017-09-30
16.96,16.96,Nov-16 - Oct-17,2016-11-01,2017-10-31
22.9,22.9,Dec-16 - Nov-17,2016-12-01,2017-11-30
29.57,29.57,Jan-17 - Dec-17,2017-01-01,2017-12-31
27.7,27.7,Feb-17 - Jan-18,2017-02-01,2018-01-31
17.74,17.74,Mar-17 - Feb-18,2017-03-01,2018-02-28
10.67,10.67,Apr-17 - Mar-18,2017-04-01,2018-03-31
14.99,14.99,May-17 - Apr-18,2017-05-01,2018-04-30
11.23,11.23,Jun-17 - May-18,2017-06-01,2018-05-31
11.46,11.46,Jul-17 - Jun-18,2017-07-01,2018-06-30
11.54,11.54,Aug-17 - Jul-18,2017-08-01,2018-07-31
17.68,17.68,Sep-17 - Aug-18,2017-09-01,2018-08-31
8.95,8.95,Oct-17 - Sep-18,2017-10-01,2018-09-30
-0.62,-0.62,Nov-17 - Oct-18,2017-11-01,2018-10-31
3.66,3.66,Dec-17 - Nov-18,2017-12-01,2018-11-30
-0.39,-0.39,Jan-18 - Dec-18,2018-01-01,2018-12-31
-3.3,-3.3,Feb-18 - Jan-19,2018-02-01,2019-01-31
-0.09,-0.09,Mar-18 - Feb-19,2018-03-01,2019-02-28
9.98,9.98,Apr-18 - Mar-19,2018-04-01,2019-03-31
3.52,3.52,May-18 - Apr-19,2018-05-01,2019-04-30
6.24,6.24,Jun-18 - May-19,2018-06-01,2019-05-31
5.8,5.8,Jul-18 - Jun-19,2018-07-01,2019-06-30
-3.86,-3.86,Aug-18 - Jul-19,2018-08-01,2019-07-31
-7.11,-7.11,Sep-18 - Aug-19,2018-09-01,2019-08-31
4.75,4.75,Oct-18 - Sep-19,2018-10-01,2019-09-30
12.45,12.45,Nov-18 - Oct-19,2018-11-01,2019-10-31
9.01,9.01,Dec-18 - Nov-19,2018-12-01,2019-11-30
10.69,10.69,Jan-19 - Dec-19,2019-01-01,2019-12-31
11.88,11.88,Feb-19 - Jan-20,2019-02-01,2020-01-31
