date,value
2016-09-12,20.53
2016-09-14,20.59
2016-09-15,20.67
2016-09-16,20.62
2016-09-19,20.63
2016-09-20,20.59
2016-09-21,20.57
2016-09-22,20.81
2016-09-23,20.75
2016-09-26,20.55
2016-09-27,20.51
2016-09-28,20.62
2016-09-29,20.2
2016-09-30,20.33
2016-10-03,20.76
2016-10-04,20.78
2016-10-05,20.78
2016-10-06,20.65
2016-10-07,20.61
2016-10-10,20.65
2016-10-13,20.32
2016-10-14,20.3
2016-10-17,20.07
2016-10-18,20.36
2016-10-19,20.33
2016-10-20,20.4
2016-10-21,20.44
2016-10-24,20.46
2016-10-25,20.42
2016-10-26,20.28
2016-10-27,20.18
2016-10-28,20.31
2016-11-01,20.29
2016-11-02,20.03
2016-11-03,19.92
2016-11-04,19.73
2016-11-07,19.79
2016-11-08,19.89
2016-11-09,19.71
2016-11-10,19.8
2016-11-11,19.27
2016-11-15,18.67
2016-11-16,18.76
2016-11-17,18.68
2016-11-18,18.68
2016-11-21,18.3
2016-11-22,18.46
2016-11-23,18.52
2016-11-24,18.35
2016-11-25,18.58
2016-11-28,18.6
2016-11-29,18.63
2016-11-30,18.85
2016-12-01,18.76
2016-12-02,18.46
2016-12-05,18.57
2016-12-06,18.61
2016-12-07,18.5
2016-12-08,18.78
2016-12-09,18.81
2016-12-12,18.61
2016-12-13,18.6
2016-12-14,18.48
2016-12-15,18.43
2016-12-16,18.48
2016-12-19,18.34
2016-12-20,18.24
2016-12-21,18.22
2016-12-22,18.01
2016-12-23,18.01
2016-12-26,17.8
2016-12-27,18.04
2016-12-28,18.09
2016-12-29,18.24
2016-12-30,18.38
2017-01-02,18.39
2017-01-03,18.46
2017-01-04,18.41
2017-01-05,18.58
2017-01-06,18.54
2017-01-09,18.52
2017-01-10,18.64
2017-01-11,18.84
2017-01-12,18.9
2017-01-13,18.84
2017-01-16,18.91
2017-01-17,18.92
2017-01-18,19.04
2017-01-19,19.08
2017-01-20,18.87
2017-01-23,18.97
2017-01-24,19.15
2017-01-25,19.42
2017-01-27,19.52
2017-01-30,19.48
2017-01-31,19.3
2017-02-01,19.73
2017-02-02,19.78
2017-02-03,19.8
2017-02-06,20.01
2017-02-07,20.03
2017-02-08,20.0
2017-02-09,20.01
2017-02-10,20.02
2017-02-13,19.98
2017-02-14,19.91
2017-02-15,19.75
2017-02-16,19.9
2017-02-17,20.02
2017-02-20,20.13
2017-02-21,20.15
2017-02-22,20.12
2017-02-23,20.15
2017-02-27,19.99
2017-02-28,20.03
2017-03-01,20.13
2017-03-02,19.97
2017-03-03,19.91
2017-03-06,20.04
2017-03-07,19.97
2017-03-08,19.97
2017-03-09,20.0
2017-03-10,19.99
2017-03-14,20.32
2017-03-15,20.37
2017-03-16,20.56
2017-03-17,20.53
2017-03-20,20.54
2017-03-21,20.71
2017-03-22,20.54
2017-03-23,20.67
2017-03-24,20.71
2017-03-27,20.64
2017-03-28,20.77
2017-03-29,20.85
2017-03-30,20.92
2017-03-31,20.91
2017-04-03,21.04
2017-04-05,21.13
2017-04-06,21.14
2017-04-07,21.1
2017-04-10,21.17
2017-04-11,21.31
2017-04-12,21.26
2017-04-13,21.24
2017-04-17,21.18
2017-04-18,21.07
2017-04-19,21.11
2017-04-20,21.25
2017-04-21,21.22
2017-04-24,21.47
2017-04-25,21.65
2017-04-26,21.78
2017-04-27,21.75
2017-04-28,21.73
2017-05-02,21.8
2017-05-03,21.77
2017-05-04,21.82
2017-05-05,21.68
2017-05-08,21.69
2017-05-09,21.67
2017-05-10,21.89
2017-05-11,21.94
2017-05-12,21.84
2017-05-15,22.03
2017-05-16,22.12
2017-05-17,22.04
2017-05-18,21.75
2017-05-19,21.69
2017-05-22,21.66
2017-05-23,21.57
2017-05-24,21.52
2017-05-25,21.84
2017-05-26,22.04
2017-05-29,22.11
2017-05-30,22.13
2017-05-31,22.26
2017-06-01,22.3
2017-06-02,22.43
2017-06-05,22.48
2017-06-06,22.39
2017-06-07,22.51
2017-06-08,22.51
2017-06-09,22.62
2017-06-12,22.47
2017-06-13,22.48
2017-06-14,22.44
2017-06-15,22.37
2017-06-16,22.47
2017-06-19,22.62
2017-06-20,22.58
2017-06-21,22.58
2017-06-22,22.57
2017-06-23,22.39
2017-06-27,22.26
2017-06-28,22.25
2017-06-29,22.19
2017-06-30,22.26
2017-07-03,22.46
2017-07-04,22.45
2017-07-05,22.51
2017-07-06,22.64
2017-07-07,22.58
2017-07-10,22.72
2017-07-11,22.71
2017-07-12,22.77
2017-07-13,22.97
2017-07-14,22.95
2017-07-17,23.0
2017-07-18,22.85
2017-07-19,23.03
2017-07-20,22.97
2017-07-21,23.07
2017-07-24,23.13
2017-07-25,23.12
2017-07-26,23.19
2017-07-27,23.35
2017-07-28,23.41
2017-07-31,23.58
2017-08-01,23.71
2017-08-02,23.61
2017-08-03,23.45
2017-08-04,23.56
2017-08-07,23.69
2017-08-08,23.51
2017-08-09,23.36
2017-08-10,23.1
2017-08-11,23.02
2017-08-14,23.29
2017-08-16,23.55
2017-08-17,23.46
2017-08-18,23.4
2017-08-21,23.25
2017-08-22,23.26
2017-08-23,23.5
2017-08-24,23.5
2017-08-28,23.7
2017-08-29,23.44
2017-08-30,23.67
2017-08-31,23.76
2017-09-01,23.91
2017-09-04,23.73
2017-09-05,23.9
2017-09-06,23.93
2017-09-07,24.08
2017-09-08,24.11
2017-09-11,24.39
2017-09-12,24.51
2017-09-13,24.44
2017-09-14,24.37
2017-09-15,24.34
2017-09-18,24.52
2017-09-19,24.54
2017-09-20,24.47
2017-09-21,24.4
2017-09-22,24.02
2017-09-25,23.74
2017-09-26,23.79
2017-09-27,23.47
2017-09-28,23.62
2017-09-29,23.72
2017-10-03,23.83
2017-10-04,23.9
2017-10-05,23.89
2017-10-06,24.09
2017-10-09,24.1
2017-10-10,24.22
2017-10-11,24.17
2017-10-12,24.43
2017-10-13,24.55
2017-10-16,24.57
2017-10-17,24.54
2017-10-18,24.5
2017-10-23,24.42
2017-10-24,24.45
2017-10-25,24.34
2017-10-26,24.33
2017-10-27,24.38
2017-10-30,24.54
2017-10-31,24.49
2017-11-01,24.7
2017-11-02,24.66
2017-11-03,24.67
2017-11-06,24.64
2017-11-07,24.47
2017-11-08,24.37
2017-11-09,24.46
2017-11-10,24.48
2017-11-13,24.32
2017-11-14,24.24
2017-11-15,24.18
2017-11-16,24.4
2017-11-17,24.57
2017-11-20,24.57
2017-11-21,24.58
2017-11-22,24.6
2017-11-23,24.53
2017-11-24,24.63
2017-11-27,24.68
2017-11-28,24.73
2017-11-29,24.71
2017-11-30,24.49
2017-12-01,24.33
2017-12-04,24.25
2017-12-05,24.2
2017-12-06,24.09
2017-12-07,24.5
2017-12-08,24.73
2017-12-11,24.83
2017-12-12,24.69
2017-12-13,24.58
2017-12-14,24.63
2017-12-15,24.81
2017-12-18,25.03
2017-12-19,25.3
2017-12-20,25.21
2017-12-21,25.2
2017-12-22,25.32
2017-12-26,25.36
2017-12-27,25.25
2017-12-28,25.25
2017-12-29,25.37
2018-01-01,25.16
2018-01-02,25.1
2018-01-03,25.1
2018-01-04,25.17
2018-01-05,25.41
2018-01-08,25.5
2018-01-09,25.42
2018-01-10,25.35
2018-01-11,25.42
2018-01-12,25.44
2018-01-15,25.57
2018-01-16,25.42
2018-01-17,25.45
2018-01-18,25.47
2018-01-19,25.59
2018-01-22,25.65
2018-01-23,25.77
2018-01-24,25.73
2018-01-25,25.67
2018-01-29,25.9
2018-01-30,25.7
2018-01-31,25.64
2018-02-01,25.69
2018-02-02,25.02
2018-02-05,24.74
2018-02-06,24.52
2018-02-07,24.48
2018-02-08,24.8
2018-02-09,24.58
2018-02-12,24.88
2018-02-14,24.9
2018-02-15,24.9
2018-02-16,24.75
2018-02-19,24.57
2018-02-20,24.56
2018-02-21,24.59
2018-02-22,24.54
2018-02-23,24.84
2018-02-26,25.11
2018-02-27,25.08
2018-02-28,24.97
2018-03-01,24.87
2018-03-05,24.71
2018-03-06,24.48
2018-03-07,24.3
2018-03-08,24.43
2018-03-09,24.5
2018-03-12,24.79
2018-03-13,24.84
2018-03-14,24.84
2018-03-15,24.83
2018-03-16,24.51
2018-03-19,24.3
2018-03-20,24.43
2018-03-21,24.53
2018-03-22,24.43
2018-03-23,24.22
2018-03-26,24.57
2018-03-27,24.76
2018-03-28,24.7
2018-04-02,25.09
2018-04-03,25.17
2018-04-04,24.97
2018-04-05,25.45
2018-04-06,25.54
2018-04-09,25.7
2018-04-10,25.65
2018-04-11,25.72
2018-04-12,25.83
2018-04-13,25.87
2018-04-16,26.05
2018-04-17,26.07
2018-04-18,25.95
2018-04-19,25.99
2018-04-20,25.97
2018-04-23,26.05
2018-04-24,26.06
2018-04-25,26.01
2018-04-26,26.1
2018-04-27,26.11
2018-04-30,26.32
2018-05-02,26.34
2018-05-03,26.16
2018-05-04,26.1
2018-05-07,26.25
2018-05-08,26.16
2018-05-09,26.13
2018-05-10,26.08
2018-05-11,26.29
2018-05-14,26.25
2018-05-15,26.34
2018-05-16,26.37
2018-05-17,26.39
2018-05-18,26.39
2018-05-21,26.09
2018-05-22,26.22
2018-05-23,26.02
2018-05-24,26.17
2018-05-25,26.52
2018-05-28,26.61
2018-05-29,26.54
2018-05-30,26.58
2018-05-31,26.88
2018-06-01,26.7
2018-06-04,26.47
2018-06-05,26.42
2018-06-06,26.66
2018-06-07,26.8
2018-06-08,26.8
2018-06-11,26.88
2018-06-12,27.03
2018-06-13,27.07
2018-06-14,27.09
2018-06-15,27.18
2018-06-18,27.03
2018-06-19,26.85
2018-06-20,27.0
2018-06-21,26.9
2018-06-22,27.11
2018-06-25,27.12
2018-06-26,27.15
2018-06-27,27.03
2018-06-28,26.9
2018-06-29,27.13
2018-07-02,27.11
2018-07-03,27.26
2018-07-04,27.48
2018-07-05,27.47
2018-07-06,27.54
2018-07-09,27.7
2018-07-10,27.85
2018-07-11,27.9
2018-07-12,28.01
2018-07-13,28.15
2018-07-16,28.02
2018-07-17,28.07
2018-07-18,28.06
2018-07-19,27.98
2018-07-20,28.28
2018-07-23,28.4
2018-07-24,28.5
2018-07-25,28.48
2018-07-26,28.4
2018-07-27,28.53
2018-07-30,28.49
2018-07-31,28.68
2018-08-01,28.68
2018-08-02,28.38
2018-08-03,28.54
2018-08-06,28.46
2018-08-07,28.5
2018-08-08,28.64
2018-08-09,28.67
2018-08-10,28.56
2018-08-13,28.4
2018-08-14,28.58
2018-08-16,28.44
2018-08-17,28.62
2018-08-20,28.78
2018-08-21,28.75
2018-08-23,28.76
2018-08-24,28.74
2018-08-27,28.98
2018-08-28,29.11
2018-08-29,29.03
2018-08-30,28.84
2018-08-31,28.79
2018-09-03,28.5
2018-09-04,28.27
2018-09-05,28.07
2018-09-06,28.14
2018-09-07,28.28
2018-09-10,27.85
2018-09-11,27.58
2018-09-12,27.69
2018-09-14,28.02
2018-09-17,27.72
2018-09-18,27.59
2018-09-19,27.36
2018-09-21,27.15
2018-09-24,26.64
2018-09-25,26.92
2018-09-26,26.81
2018-09-27,26.63
2018-09-28,26.54
2018-10-01,26.51
2018-10-03,26.05
2018-10-04,25.54
2018-10-05,25.11
2018-10-08,25.13
2018-10-09,25.11
2018-10-10,25.63
2018-10-11,25.01
2018-10-12,25.59
2018-10-15,25.52
2018-10-16,25.62
2018-10-17,25.23
2018-10-19,24.93
2018-10-22,24.78
2018-10-23,24.49
2018-10-24,24.77
2018-10-25,24.7
2018-10-26,24.62
2018-10-29,24.95
2018-10-30,24.84
2018-10-31,25.17
2018-11-01,25.2
2018-11-02,25.6
2018-11-05,25.58
2018-11-06,25.55
2018-11-09,25.71
2018-11-12,25.51
2018-11-13,25.7
2018-11-14,25.72
2018-11-15,25.94
2018-11-16,26.11
2018-11-19,26.19
2018-11-20,26.05
2018-11-21,26.07
2018-11-22,25.91
2018-11-26,26.1
2018-11-27,26.28
2018-11-28,26.4
2018-11-29,26.73
2018-11-30,26.86
2018-12-03,26.86
2018-12-04,26.83
2018-12-05,26.71
2018-12-06,26.31
2018-12-07,26.69
2018-12-10,26.25
2018-12-11,26.37
2018-12-12,26.72
2018-12-13,26.95
2018-12-14,26.97
2018-12-17,27.1
2018-12-18,27.21
2018-12-19,27.31
2018-12-20,27.24
2018-12-21,26.84
2018-12-24,26.63
2018-12-26,26.77
2018-12-27,26.82
2018-12-28,27.03
2018-12-31,27.03
2019-01-01,27.09
2019-01-02,26.94
2019-01-03,26.79
2019-01-04,26.78
2019-01-07,26.8
2019-01-08,26.76
2019-01-09,26.84
2019-01-10,26.81
2019-01-11,26.71
2019-01-14,26.54
2019-01-15,26.84
2019-01-16,26.78
2019-01-17,26.79
2019-01-18,26.83
2019-01-21,26.95
2019-01-22,26.93
2019-01-23,26.82
2019-01-24,26.83
2019-01-25,26.68
2019-01-28,26.42
2019-01-29,26.48
2019-01-30,26.5
2019-01-31,26.77
2019-02-01,27.0
2019-02-04,27.1
2019-02-05,27.19
2019-02-06,27.49
2019-02-07,27.54
2019-02-08,27.4
2019-02-11,27.27
2019-02-12,27.15
2019-02-13,27.09
2019-02-14,26.96
2019-02-15,26.84
2019-02-18,26.62
2019-02-19,26.52
2019-02-20,26.75
2019-02-21,26.86
2019-02-22,26.79
2019-02-25,27.03
2019-02-26,26.98
2019-02-27,26.86
2019-02-28,26.78
2019-03-01,26.87
2019-03-05,27.01
2019-03-06,27.16
2019-03-07,27.09
2019-03-08,27.07
2019-03-11,27.29
2019-03-12,27.51
2019-03-13,27.67
2019-03-14,27.61
2019-03-15,27.87
2019-03-18,27.92
2019-03-19,27.99
