date,value
2016-09-12,25.43
2016-09-14,25.49
2016-09-15,25.49
2016-09-16,25.6
2016-09-19,25.68
2016-09-20,25.63
2016-09-21,25.62
2016-09-22,25.89
2016-09-23,25.76
2016-09-26,25.48
2016-09-27,25.42
2016-09-28,25.56
2016-09-29,25.08
2016-09-30,25.22
2016-10-03,25.65
2016-10-04,25.75
2016-10-05,25.7
2016-10-06,25.58
2016-10-07,25.62
2016-10-10,25.65
2016-10-13,25.32
2016-10-14,25.4
2016-10-17,25.17
2016-10-18,25.58
2016-10-19,25.55
2016-10-20,25.67
2016-10-21,25.69
2016-10-24,25.74
2016-10-25,25.73
2016-10-26,25.45
2016-10-27,25.26
2016-10-28,25.36
2016-11-01,25.28
2016-11-02,24.92
2016-11-03,24.8
2016-11-04,24.65
2016-11-07,24.91
2016-11-08,25.04
2016-11-09,24.8
2016-11-10,25.15
2016-11-11,24.5
2016-11-15,23.82
2016-11-16,23.8
2016-11-17,23.71
2016-11-18,23.65
2016-11-21,23.23
2016-11-22,23.42
2016-11-23,23.53
2016-11-24,23.31
2016-11-25,23.77
2016-11-28,23.78
2016-11-29,23.82
2016-11-30,24.06
2016-12-01,23.91
2016-12-02,23.59
2016-12-05,23.71
2016-12-06,23.73
2016-12-07,23.59
2016-12-08,24.0
2016-12-09,24.16
2016-12-12,23.85
2016-12-13,23.99
2016-12-14,23.88
2016-12-15,23.82
2016-12-16,23.76
2016-12-19,23.68
2016-12-20,23.62
2016-12-21,23.55
2016-12-22,23.29
2016-12-23,23.31
2016-12-26,23.07
2016-12-27,23.43
2016-12-28,23.44
2016-12-29,23.65
2016-12-30,23.88
2017-01-02,23.89
2017-01-03,23.98
2017-01-04,23.98
2017-01-05,24.23
2017-01-06,24.12
2017-01-09,24.11
2017-01-10,24.26
2017-01-11,24.56
2017-01-12,24.64
2017-01-13,24.62
2017-01-16,24.67
2017-01-17,24.65
2017-01-18,24.72
2017-01-19,24.8
2017-01-20,24.51
2017-01-23,24.64
2017-01-24,24.83
2017-01-25,25.19
2017-01-27,25.25
2017-01-30,25.23
2017-01-31,24.97
2017-02-01,25.43
2017-02-02,25.55
2017-02-03,25.59
2017-02-06,25.8
2017-02-07,25.72
2017-02-08,25.76
2017-02-09,25.8
2017-02-10,25.9
2017-02-13,25.94
2017-02-14,25.88
2017-02-15,25.67
2017-02-16,25.85
2017-02-17,26.01
2017-02-20,26.2
2017-02-21,26.3
2017-02-22,26.28
2017-02-23,26.32
2017-02-27,26.14
2017-02-28,26.09
2017-03-01,26.25
2017-03-02,26.07
2017-03-03,26.1
2017-03-06,26.28
2017-03-07,26.24
2017-03-08,26.17
2017-03-09,26.18
2017-03-10,26.15
2017-03-14,26.57
2017-03-15,26.57
2017-03-16,26.77
2017-03-17,26.77
2017-03-20,26.64
2017-03-21,26.65
2017-03-22,26.4
2017-03-23,26.56
2017-03-24,26.62
2017-03-27,26.43
2017-03-28,26.56
2017-03-29,26.65
2017-03-30,26.78
2017-03-31,26.82
2017-04-03,26.9
2017-04-05,27.01
2017-04-06,27.03
2017-04-07,26.95
2017-04-10,26.98
2017-04-11,27.14
2017-04-12,27.02
2017-04-13,26.95
2017-04-17,26.92
2017-04-18,26.84
2017-04-19,26.8
2017-04-20,26.87
2017-04-21,26.82
2017-04-24,27.09
2017-04-25,27.36
2017-04-26,27.41
2017-04-27,27.36
2017-04-28,27.37
2017-05-02,27.41
2017-05-03,27.43
2017-05-04,27.65
2017-05-05,27.44
2017-05-08,27.55
2017-05-09,27.54
2017-05-10,27.8
2017-05-11,27.76
2017-05-12,27.72
2017-05-15,27.9
2017-05-16,28.02
2017-05-17,28.0
2017-05-18,27.65
2017-05-19,27.63
2017-05-22,27.5
2017-05-23,27.26
2017-05-24,27.04
2017-05-25,27.49
2017-05-26,27.74
2017-05-29,27.66
2017-05-30,27.8
2017-05-31,27.97
2017-06-01,28.04
2017-06-02,28.12
2017-06-05,28.27
2017-06-06,28.12
2017-06-07,28.32
2017-06-08,28.37
2017-06-09,28.53
2017-06-12,28.41
2017-06-13,28.47
2017-06-14,28.47
2017-06-15,28.45
2017-06-16,28.52
2017-06-19,28.67
2017-06-20,28.68
2017-06-21,28.68
2017-06-22,28.5
2017-06-23,28.27
2017-06-27,28.0
2017-06-28,28.06
2017-06-29,28.19
2017-06-30,28.55
2017-07-03,28.82
2017-07-04,28.87
2017-07-05,28.98
2017-07-06,29.09
2017-07-07,29.17
2017-07-10,29.43
2017-07-11,29.44
2017-07-12,29.6
2017-07-13,29.9
2017-07-14,29.77
2017-07-17,29.78
2017-07-18,29.53
2017-07-19,29.71
2017-07-20,29.64
2017-07-21,29.69
2017-07-24,29.7
