date,value
2016-09-12,18.9
2016-09-14,19.0
2016-09-15,19.01
2016-09-16,19.03
2016-09-19,19.08
2016-09-20,19.07
2016-09-21,19.06
2016-09-22,19.33
2016-09-23,19.26
2016-09-26,19.09
2016-09-27,19.04
2016-09-28,19.16
2016-09-29,18.71
2016-09-30,18.88
2016-10-03,19.26
2016-10-04,19.31
2016-10-05,19.35
2016-10-06,19.26
2016-10-07,19.19
2016-10-10,19.21
2016-10-13,18.98
2016-10-14,19.07
2016-10-17,18.83
2016-10-18,19.1
2016-10-19,19.13
2016-10-20,19.14
2016-10-21,19.22
2016-10-24,19.17
2016-10-25,19.12
2016-10-26,19.01
2016-10-27,18.89
2016-10-28,19.08
2016-11-01,19.12
2016-11-02,18.84
2016-11-03,18.7
2016-11-04,18.47
2016-11-07,18.57
2016-11-08,18.62
2016-11-09,18.4
2016-11-10,18.6
2016-11-11,17.99
2016-11-15,17.26
2016-11-16,17.41
2016-11-17,17.34
2016-11-18,17.41
2016-11-21,16.99
2016-11-22,17.17
2016-11-23,17.25
2016-11-24,17.07
2016-11-25,17.37
2016-11-28,17.37
2016-11-29,17.48
2016-11-30,17.68
2016-12-01,17.57
2016-12-02,17.34
2016-12-05,17.45
2016-12-06,17.47
2016-12-07,17.4
2016-12-08,17.68
2016-12-09,17.68
2016-12-12,17.45
2016-12-13,17.47
2016-12-14,17.36
2016-12-15,17.28
2016-12-16,17.28
2016-12-19,17.21
2016-12-20,17.1
2016-12-21,17.05
2016-12-22,16.88
2016-12-23,16.83
2016-12-26,16.65
2016-12-27,16.94
2016-12-28,16.97
2016-12-29,17.12
2016-12-30,17.28
2017-01-02,17.36
2017-01-03,17.45
2017-01-04,17.44
2017-01-05,17.65
2017-01-06,17.58
2017-01-09,17.58
2017-01-10,17.66
2017-01-11,17.89
2017-01-12,17.96
2017-01-13,17.93
2017-01-16,17.96
2017-01-17,17.98
2017-01-18,18.07
2017-01-19,18.13
2017-01-20,17.98
2017-01-23,18.08
2017-01-24,18.26
2017-01-25,18.49
2017-01-27,18.59
2017-01-30,18.54
2017-01-31,18.38
2017-02-01,18.83
2017-02-02,18.93
2017-02-03,18.95
2017-02-06,19.09
2017-02-07,19.02
2017-02-08,19.02
2017-02-09,19.07
2017-02-10,19.08
2017-02-13,19.13
2017-02-14,19.01
2017-02-15,18.78
2017-02-16,18.93
2017-02-17,19.08
2017-02-20,19.2
2017-02-21,19.22
2017-02-22,19.15
2017-02-23,19.2
2017-02-27,19.08
2017-02-28,19.1
2017-03-01,19.19
2017-03-02,19.01
2017-03-03,18.98
2017-03-06,19.1
2017-03-07,19.06
2017-03-08,19.04
2017-03-09,19.07
2017-03-10,19.07
2017-03-14,19.44
2017-03-15,19.49
2017-03-16,19.64
2017-03-17,19.63
2017-03-20,19.61
2017-03-21,19.59
2017-03-22,19.4
2017-03-23,19.53
2017-03-24,19.57
2017-03-27,19.49
2017-03-28,19.62
2017-03-29,19.68
2017-03-30,19.76
2017-03-31,19.81
2017-04-03,19.92
2017-04-05,20.03
2017-04-06,20.03
2017-04-07,19.93
2017-04-10,19.97
2017-04-11,20.12
2017-04-12,20.12
2017-04-13,20.06
2017-04-17,20.03
2017-04-18,19.95
2017-04-19,19.98
2017-04-20,20.0
2017-04-21,19.95
2017-04-24,20.14
2017-04-25,20.34
2017-04-26,20.47
2017-04-27,20.5
2017-04-28,20.49
2017-05-02,20.49
2017-05-03,20.5
2017-05-04,20.63
2017-05-05,20.46
2017-05-08,20.53
2017-05-09,20.54
2017-05-10,20.74
2017-05-11,20.82
2017-05-12,20.73
2017-05-15,20.84
2017-05-16,20.98
2017-05-17,20.91
2017-05-18,20.63
2017-05-19,20.6
2017-05-22,20.51
2017-05-23,20.4
2017-05-24,20.3
2017-05-25,20.61
2017-05-26,20.77
2017-05-29,20.71
2017-05-30,20.74
2017-05-31,20.81
2017-06-01,20.86
2017-06-02,20.97
2017-06-05,21.02
2017-06-06,20.92
2017-06-07,21.01
2017-06-08,20.99
2017-06-09,21.05
2017-06-12,20.92
2017-06-13,20.94
2017-06-14,20.92
2017-06-15,20.81
2017-06-16,20.87
2017-06-19,21.0
2017-06-20,20.97
2017-06-21,21.0
2017-06-22,20.96
2017-06-23,20.78
2017-06-27,20.59
2017-06-28,20.58
2017-06-29,20.56
2017-06-30,20.63
2017-07-03,20.8
2017-07-04,20.8
2017-07-05,20.87
2017-07-06,20.94
2017-07-07,20.92
2017-07-10,21.05
2017-07-11,21.06
2017-07-12,21.17
2017-07-13,21.33
2017-07-14,21.3
2017-07-17,21.35
2017-07-18,21.24
2017-07-19,21.37
2017-07-20,21.32
2017-07-21,21.43
2017-07-24,21.48
2017-07-25,21.43
2017-07-26,21.55
2017-07-27,21.6
2017-07-28,21.58
2017-07-31,21.75
2017-08-01,21.91
2017-08-02,21.83
2017-08-03,21.74
2017-08-04,21.88
2017-08-07,21.96
2017-08-08,21.76
2017-08-09,21.53
2017-08-10,21.29
2017-08-11,21.18
2017-08-14,21.48
2017-08-16,21.75
2017-08-17,21.7
2017-08-18,21.6
2017-08-21,21.39
2017-08-22,21.38
2017-08-23,21.53
2017-08-24,21.56
2017-08-28,21.67
2017-08-29,21.42
2017-08-30,21.64
2017-08-31,21.71
2017-09-01,21.81
2017-09-04,21.67
2017-09-05,21.76
2017-09-06,21.78
2017-09-07,21.87
2017-09-08,21.91
2017-09-11,22.17
2017-09-12,22.3
2017-09-13,22.2
2017-09-14,22.18
2017-09-15,22.16
2017-09-18,22.32
2017-09-19,22.32
2017-09-20,22.26
2017-09-21,22.13
2017-09-22,21.72
2017-09-25,21.51
2017-09-26,21.52
2017-09-27,21.2
2017-09-28,21.34
2017-09-29,21.43
2017-10-03,21.52
2017-10-04,21.58
2017-10-05,21.52
2017-10-06,21.67
2017-10-09,21.67
2017-10-10,21.75
2017-10-11,21.68
2017-10-12,21.92
2017-10-13,22.03
2017-10-16,22.08
2017-10-17,22.09
2017-10-18,22.1
2017-10-23,22.03
2017-10-24,22.06
2017-10-25,22.07
2017-10-26,22.15
2017-10-27,22.13
2017-10-30,22.26
2017-10-31,22.18
2017-11-01,22.32
2017-11-02,22.26
2017-11-03,22.29
2017-11-06,22.27
2017-11-07,22.09
2017-11-08,22.03
2017-11-09,22.07
2017-11-10,22.16
2017-11-13,22.02
2017-11-14,21.91
2017-11-15,21.78
2017-11-16,21.96
2017-11-17,22.13
2017-11-20,22.15
2017-11-21,22.22
2017-11-22,22.2
2017-11-23,22.19
2017-11-24,22.28
2017-11-27,22.32
2017-11-28,22.3
2017-11-29,22.34
2017-11-30,22.08
2017-12-01,21.86
2017-12-04,21.83
2017-12-05,21.79
2017-12-06,21.66
2017-12-07,21.96
2017-12-08,22.19
2017-12-11,22.3
2017-12-12,22.12
2017-12-13,22.03
2017-12-14,22.11
2017-12-15,22.26
2017-12-18,22.37
2017-12-19,22.62
2017-12-20,22.58
2017-12-21,22.6
2017-12-22,22.69
2017-12-26,22.76
2017-12-27,22.63
2017-12-28,22.62
2017-12-29,22.7
2018-01-01,22.54
2018-01-02,22.47
2018-01-03,22.51
2018-01-04,22.55
2018-01-05,22.66
2018-01-08,22.8
2018-01-09,22.77
2018-01-10,22.8
2018-01-11,22.82
2018-01-12,22.84
2018-01-15,22.96
2018-01-16,22.85
2018-01-17,22.98
2018-01-18,23.01
2018-01-19,23.14
2018-01-22,23.25
2018-01-23,23.43
2018-01-24,23.38
2018-01-25,23.28
2018-01-29,23.43
2018-01-30,23.34
2018-01-31,23.34
2018-02-01,23.41
2018-02-02,22.88
2018-02-05,22.71
2018-02-06,22.41
2018-02-07,22.42
2018-02-08,22.65
2018-02-09,22.41
2018-02-12,22.69
2018-02-14,22.67
2018-02-15,22.67
2018-02-16,22.45
2018-02-19,22.28
2018-02-20,22.24
2018-02-21,22.26
2018-02-22,22.24
2018-02-23,22.49
2018-02-26,22.72
2018-02-27,22.7
2018-02-28,22.6
2018-03-01,22.49
2018-03-05,22.32
2018-03-06,22.08
2018-03-07,21.95
2018-03-08,22.09
2018-03-09,22.08
2018-03-12,22.43
2018-03-13,22.48
2018-03-14,22.44
2018-03-15,22.35
2018-03-16,22.0
2018-03-19,21.83
2018-03-20,21.86
2018-03-21,21.95
2018-03-22,21.86
2018-03-23,21.68
2018-03-26,21.89
2018-03-27,22.07
2018-03-28,22.01
2018-04-02,22.22
2018-04-03,22.33
2018-04-04,22.09
2018-04-05,22.47
2018-04-06,22.54
2018-04-09,22.64
2018-04-10,22.58
2018-04-11,22.6
2018-04-12,22.68
2018-04-13,22.7
2018-04-16,22.86
2018-04-17,22.97
2018-04-18,22.91
2018-04-19,23.03
2018-04-20,22.99
2018-04-23,22.99
2018-04-24,23.05
2018-04-25,22.97
2018-04-26,23.0
2018-04-27,23.11
2018-04-30,23.23
2018-05-02,23.16
2018-05-03,23.02
2018-05-04,22.94
2018-05-07,23.11
2018-05-08,23.11
2018-05-09,23.11
2018-05-10,23.01
2018-05-11,23.22
2018-05-14,23.24
2018-05-15,23.24
2018-05-16,23.13
2018-05-17,23.08
2018-05-18,23.01
2018-05-21,22.79
2018-05-22,22.88
2018-05-23,22.69
2018-05-24,22.8
2018-05-25,23.03
2018-05-28,23.19
2018-05-29,23.06
2018-05-30,23.02
2018-05-31,23.23
2018-06-01,23.13
2018-06-04,22.95
2018-06-05,22.89
