date,value
2016-09-12,22.96
2016-09-14,22.95
2016-09-15,22.98
2016-09-16,23.16
2016-09-19,23.19
2016-09-20,23.07
2016-09-21,23.06
2016-09-22,23.24
2016-09-23,23.16
2016-09-26,22.93
2016-09-27,22.92
2016-09-28,22.99
2016-09-29,22.67
2016-09-30,22.71
2016-10-03,23.11
2016-10-04,23.17
2016-10-05,23.1
2016-10-06,22.97
2016-10-07,22.93
2016-10-10,22.96
2016-10-13,22.72
2016-10-14,22.73
2016-10-17,22.46
2016-10-18,22.75
2016-10-19,22.69
2016-10-20,22.69
2016-10-21,22.73
2016-10-24,22.73
2016-10-25,22.68
2016-10-26,22.57
2016-10-27,22.55
2016-10-28,22.67
2016-11-01,22.61
2016-11-02,22.34
2016-11-03,22.35
2016-11-04,22.2
2016-11-07,22.33
2016-11-08,22.45
2016-11-09,22.06
2016-11-10,22.17
2016-11-11,21.6
2016-11-15,20.99
2016-11-16,21.07
2016-11-17,21.0
2016-11-18,20.98
2016-11-21,20.62
2016-11-22,20.84
2016-11-23,20.84
2016-11-24,20.69
2016-11-25,21.08
2016-11-28,21.19
2016-11-29,21.23
2016-11-30,21.42
2016-12-01,21.32
2016-12-02,20.98
2016-12-05,21.07
2016-12-06,21.06
2016-12-07,20.97
2016-12-08,21.37
2016-12-09,21.35
2016-12-12,21.1
2016-12-13,21.23
2016-12-14,21.1
2016-12-15,21.04
2016-12-16,21.05
2016-12-19,20.93
2016-12-20,20.91
2016-12-21,20.82
2016-12-22,20.62
2016-12-23,20.68
2016-12-26,20.5
2016-12-27,20.78
2016-12-28,20.8
2016-12-29,21.0
2016-12-30,21.17
2017-01-02,21.17
2017-01-03,21.22
2017-01-04,21.24
2017-01-05,21.45
2017-01-06,21.34
2017-01-09,21.33
2017-01-10,21.46
2017-01-11,21.74
2017-01-12,21.8
2017-01-13,21.76
2017-01-16,21.79
2017-01-17,21.8
2017-01-18,21.82
2017-01-19,21.86
2017-01-20,21.67
2017-01-23,21.84
2017-01-24,22.06
2017-01-25,22.45
2017-01-27,22.46
2017-01-30,22.39
2017-01-31,22.21
2017-02-01,22.61
2017-02-02,22.63
2017-02-03,22.65
2017-02-06,22.8
2017-02-07,22.74
2017-02-08,22.71
2017-02-09,22.77
2017-02-10,22.82
2017-02-13,22.84
2017-02-14,22.69
2017-02-15,22.49
2017-02-16,22.69
2017-02-17,22.82
2017-02-20,22.99
2017-02-21,22.97
2017-02-22,22.85
2017-02-23,22.96
2017-02-27,22.79
2017-02-28,22.71
2017-03-01,22.89
2017-03-02,22.81
2017-03-03,22.76
2017-03-06,22.91
2017-03-07,22.88
2017-03-08,22.86
2017-03-09,22.91
2017-03-10,22.95
2017-03-14,23.28
2017-03-15,23.27
2017-03-16,23.45
2017-03-17,23.55
2017-03-20,23.51
2017-03-21,23.55
2017-03-22,23.34
2017-03-23,23.46
2017-03-24,23.49
2017-03-27,23.37
2017-03-28,23.45
2017-03-29,23.44
2017-03-30,23.55
2017-03-31,23.55
2017-04-03,23.62
2017-04-05,23.7
2017-04-06,23.73
2017-04-07,23.57
2017-04-10,23.49
2017-04-11,23.62
2017-04-12,23.56
2017-04-13,23.41
2017-04-17,23.43
2017-04-18,23.36
2017-04-19,23.41
2017-04-20,23.54
2017-04-21,23.46
2017-04-24,23.72
2017-04-25,23.91
2017-04-26,24.02
2017-04-27,24.08
2017-04-28,23.89
2017-05-02,23.97
2017-05-03,23.96
2017-05-04,23.88
2017-05-05,23.68
2017-05-08,23.69
2017-05-09,23.73
2017-05-10,24.01
2017-05-11,24.04
2017-05-12,24.01
2017-05-15,24.1
2017-05-16,24.3
2017-05-17,24.29
2017-05-18,24.07
2017-05-19,24.03
2017-05-22,24.16
2017-05-23,24.09
2017-05-24,24.06
2017-05-25,24.49
2017-05-26,24.7
2017-05-29,24.87
2017-05-30,24.78
2017-05-31,24.79
2017-06-01,24.81
2017-06-02,24.92
2017-06-05,25.02
2017-06-06,24.94
2017-06-07,24.98
2017-06-08,24.98
2017-06-09,25.05
2017-06-12,24.87
2017-06-13,24.92
2017-06-14,24.95
2017-06-15,24.84
2017-06-16,24.88
2017-06-19,25.06
2017-06-20,25.01
2017-06-21,24.98
2017-06-22,24.97
2017-06-23,24.83
2017-06-27,24.72
2017-06-28,24.63
2017-06-29,24.65
2017-06-30,24.72
2017-07-03,24.96
2017-07-04,24.98
2017-07-05,24.98
2017-07-06,25.09
2017-07-07,25.09
2017-07-10,25.34
2017-07-11,25.4
2017-07-12,25.44
2017-07-13,25.63
2017-07-14,25.59
2017-07-17,25.58
2017-07-18,25.29
2017-07-19,25.48
2017-07-20,25.42
2017-07-21,25.52
2017-07-24,25.65
2017-07-25,25.6
2017-07-26,25.7
2017-07-27,25.73
2017-07-28,25.83
2017-07-31,26.02
2017-08-01,26.09
2017-08-02,25.97
2017-08-03,25.86
2017-08-04,26.0
2017-08-07,25.96
2017-08-08,25.75
2017-08-09,25.62
2017-08-10,25.43
2017-08-11,25.24
2017-08-14,25.43
2017-08-16,25.68
2017-08-17,25.65
2017-08-18,25.45
2017-08-21,25.23
2017-08-22,25.24
2017-08-23,25.46
2017-08-24,25.52
2017-08-28,25.59
2017-08-29,25.3
2017-08-30,25.53
2017-08-31,25.65
2017-09-01,25.78
2017-09-04,25.57
2017-09-05,25.65
2017-09-06,25.56
2017-09-07,25.6
2017-09-08,25.66
2017-09-11,25.96
2017-09-12,26.1
2017-09-13,26.02
2017-09-14,26.02
2017-09-15,25.99
2017-09-18,26.18
2017-09-19,26.18
2017-09-20,26.16
2017-09-21,26.15
2017-09-22,25.83
2017-09-25,25.61
2017-09-26,25.57
2017-09-27,25.25
2017-09-28,25.41
2017-09-29,25.41
2017-10-03,25.54
2017-10-04,25.66
2017-10-05,25.56
2017-10-06,25.7
2017-10-09,25.73
2017-10-10,25.85
2017-10-11,25.76
2017-10-12,26.07
2017-10-13,26.17
2017-10-16,26.18
2017-10-17,26.16
2017-10-18,26.22
2017-10-23,26.06
2017-10-24,26.07
2017-10-25,25.92
2017-10-26,26.11
2017-10-27,26.19
2017-10-30,26.38
2017-10-31,26.39
2017-11-01,26.57
2017-11-02,26.51
2017-11-03,26.63
2017-11-06,26.74
2017-11-07,26.5
2017-11-08,26.43
2017-11-09,26.36
2017-11-10,26.32
2017-11-13,26.12
2017-11-14,26.02
2017-11-15,25.88
2017-11-16,26.08
2017-11-17,26.32
2017-11-20,26.42
2017-11-21,26.44
2017-11-22,26.5
2017-11-23,26.48
2017-11-24,26.64
2017-11-27,26.68
2017-11-28,26.73
2017-11-29,26.72
2017-11-30,26.41
2017-12-01,26.25
2017-12-04,26.21
2017-12-05,26.19
2017-12-06,26.06
2017-12-07,26.33
2017-12-08,26.66
2017-12-11,26.8
2017-12-12,26.55
2017-12-13,26.44
2017-12-14,26.55
2017-12-15,26.75
2017-12-18,26.88
2017-12-19,27.19
2017-12-20,27.08
2017-12-21,27.06
2017-12-22,27.17
2017-12-26,27.23
2017-12-27,27.07
2017-12-28,27.0
2017-12-29,27.17
2018-01-01,26.96
2018-01-02,26.98
2018-01-03,26.96
2018-01-04,27.1
2018-01-05,27.33
2018-01-08,27.55
2018-01-09,27.51
2018-01-10,27.46
2018-01-11,27.46
2018-01-12,27.52
2018-01-15,27.64
2018-01-16,27.42
