date,value
2016-09-12,136.46
2016-09-14,136.54
2016-09-15,136.86
2016-09-16,137.32
2016-09-19,137.67
2016-09-20,137.16
2016-09-21,137.03
2016-09-22,138.39
2016-09-23,137.94
2016-09-26,136.32
2016-09-27,136.08
2016-09-28,136.57
2016-09-29,134.44
2016-09-30,134.7
2016-10-03,136.76
2016-10-04,137.05
2016-10-05,136.71
2016-10-06,136.12
2016-10-07,135.97
2016-10-10,136.16
2016-10-13,134.18
2016-10-14,134.27
2016-10-17,133.32
2016-10-18,135.62
2016-10-19,135.12
2016-10-20,135.62
2016-10-21,135.59
2016-10-24,135.78
2016-10-25,135.32
2016-10-26,134.12
2016-10-27,134.03
2016-10-28,134.48
2016-11-01,134.14
2016-11-02,132.45
2016-11-03,132.06
2016-11-04,131.53
2016-11-07,132.15
2016-11-08,132.94
2016-11-09,130.74
2016-11-10,131.54
2016-11-11,128.06
2016-11-15,124.61
2016-11-16,125.26
2016-11-17,124.54
2016-11-18,124.39
2016-11-21,122.19
2016-11-22,123.59
2016-11-23,124.28
2016-11-24,123.28
2016-11-25,125.39
2016-11-28,125.47
2016-11-29,125.98
2016-11-30,127.36
2016-12-01,126.75
2016-12-02,124.98
2016-12-05,125.87
2016-12-06,125.98
2016-12-07,125.4
2016-12-08,127.51
2016-12-09,127.73
2016-12-12,126.14
2016-12-13,126.55
2016-12-14,126.12
2016-12-15,125.73
2016-12-16,125.66
2016-12-19,124.92
2016-12-20,124.58
2016-12-21,124.37
2016-12-22,123.16
2016-12-23,123.44
2016-12-26,122.27
2016-12-27,124.1
2016-12-28,124.16
2016-12-29,125.21
2016-12-30,126.38
2017-01-02,126.23
2017-01-03,126.4
2017-01-04,126.27
2017-01-05,127.55
2017-01-06,127.24
2017-01-09,127.06
2017-01-10,127.96
2017-01-11,129.5
2017-01-12,129.87
2017-01-13,129.68
2017-01-16,129.95
2017-01-17,129.87
2017-01-18,130.26
2017-01-19,130.37
2017-01-20,129.07
2017-01-23,129.8
2017-01-24,131.06
2017-01-25,133.24
2017-01-27,133.71
2017-01-30,133.32
2017-01-31,132.47
2017-02-01,134.88
2017-02-02,134.94
2017-02-03,134.97
2017-02-06,135.79
2017-02-07,135.41
2017-02-08,135.32
2017-02-09,135.41
2017-02-10,135.61
2017-02-13,135.84
2017-02-14,135.42
2017-02-15,134.6
2017-02-16,135.28
2017-02-17,136.25
2017-02-20,137.07
2017-02-21,137.6
2017-02-22,138.13
2017-02-23,138.35
2017-02-27,137.67
2017-02-28,137.43
2017-03-01,138.32
2017-03-02,137.65
2017-03-03,137.34
2017-03-06,138.41
2017-03-07,138.08
2017-03-08,137.9
2017-03-09,138.13
2017-03-10,138.35
2017-03-14,140.62
2017-03-15,140.74
2017-03-16,142.01
2017-03-17,142.1
2017-03-20,141.56
2017-03-21,141.57
2017-03-22,140.39
2017-03-23,141.29
2017-03-24,141.62
2017-03-27,140.94
2017-03-28,141.79
2017-03-29,142.31
2017-03-30,142.76
2017-03-31,142.85
2017-04-03,143.66
2017-04-05,144.32
2017-04-06,144.39
2017-04-07,143.54
2017-04-10,143.52
2017-04-11,144.3
2017-04-12,143.91
2017-04-13,143.22
2017-04-17,143.07
2017-04-18,142.64
2017-04-19,142.59
2017-04-20,142.89
2017-04-21,142.55
