date,value
2022-08-10,10.0
2022-08-11,10.0
2022-08-12,10.01
2022-08-16,10.03
2022-08-17,10.09
2022-08-18,10.1
2022-08-19,10.09
2022-08-22,9.96
2022-08-23,9.96
2022-08-24,10.0
2022-08-25,9.97
2022-08-26,10.01
2022-08-29,9.92
2022-08-30,10.11
2022-09-01,10.04
2022-09-02,10.08
2022-09-05,10.14
2022-09-06,10.14
2022-09-07,10.19
2022-09-08,10.25
2022-09-09,10.26
2022-09-12,10.37
2022-09-13,10.45
2022-09-14,10.52
2022-09-15,10.52
2022-09-16,10.29
2022-09-19,10.39
2022-09-20,10.49
2022-09-21,10.36
2022-09-22,10.35
2022-09-23,10.19
2022-09-26,9.89
2022-09-27,9.87
2022-09-28,9.74
2022-09-29,9.75
2022-09-30,9.85
2022-10-03,9.64
2022-10-04,9.87
2022-10-06,9.94
2022-10-07,9.94
2022-10-10,9.84
2022-10-11,9.67
2022-10-12,9.79
2022-10-13,9.7
2022-10-14,9.74
2022-10-17,9.83
2022-10-18,9.93
2022-10-19,9.88
2022-10-20,9.95
2022-10-21,9.89
2022-10-25,9.94
2022-10-27,10.01
2022-10-28,10.02
2022-10-31,10.09
2022-11-01,10.15
2022-11-02,10.14
2022-11-03,10.13
2022-11-04,10.17
2022-11-07,10.21
2022-11-09,10.17
2022-11-10,10.05
2022-11-11,10.16
2022-11-14,10.17
2022-11-15,10.22
2022-11-16,10.14
2022-11-17,10.09
2022-11-18,10.07
2022-11-21,9.98
2022-11-22,10.04
2022-11-23,10.08
2022-11-24,10.18
2022-11-25,10.22
2022-11-28,10.27
2022-11-29,10.29
2022-11-30,10.36
2022-12-01,10.42
2022-12-02,10.4
2022-12-05,10.47
2022-12-06,10.44
2022-12-07,10.37
2022-12-08,10.43
2022-12-09,10.35
2022-12-12,10.36
2022-12-13,10.39
2022-12-14,10.47
2022-12-15,10.36
2022-12-16,10.23
2022-12-19,10.33
2022-12-20,10.29
2022-12-21,10.14
2022-12-22,10.08
2022-12-23,9.78
2022-12-26,9.95
2022-12-27,10.06
2022-12-28,10.06
2022-12-29,10.12
2022-12-30,10.12
2023-01-02,10.16
2023-01-03,10.17
2023-01-04,10.01
2023-01-05,10.04
2023-01-06,9.99
2023-01-09,10.1
2023-01-10,9.99
2023-01-11,10.02
2023-01-12,9.99
2023-01-13,10.03
2023-01-16,9.96
2023-01-17,10.0
2023-01-18,10.06
2023-01-19,10.03
2023-01-20,10.01
2023-01-23,10.06
2023-01-24,10.01
2023-01-25,9.84
2023-01-27,9.56
2023-01-30,9.52
2023-01-31,9.59
2023-02-01,9.42
2023-02-02,9.38
2023-02-03,9.42
2023-02-06,9.42
2023-02-07,9.36
2023-02-08,9.44
2023-02-09,9.45
2023-02-10,9.44
2023-02-13,9.39
2023-02-14,9.47
2023-02-15,9.51
2023-02-16,9.54
2023-02-17,9.49
2023-02-20,9.45
2023-02-21,9.45
2023-02-22,9.34
2023-02-23,9.33
2023-02-24,9.27
2023-02-27,9.26
2023-02-28,9.2
2023-03-01,9.27
2023-03-02,9.28
2023-03-03,9.43
2023-03-06,9.47
2023-03-08,9.48
2023-03-09,9.42
2023-03-10,9.33
2023-03-13,9.18
2023-03-14,9.13
2023-03-15,9.11
2023-03-16,9.12
2023-03-17,9.21
2023-03-20,9.11
2023-03-21,9.17
2023-03-22,9.17
2023-03-23,9.12
2023-03-24,9.04
2023-03-27,9.03
2023-03-28,9.01
2023-03-29,9.12
2023-03-31,9.29
2023-04-03,9.31
2023-04-05,9.39
2023-04-06,9.41
2023-04-10,9.47
2023-04-11,9.48
2023-04-12,9.48
2023-04-13,9.45
2023-04-17,9.41
2023-04-18,9.38
2023-04-19,9.34
2023-04-20,9.33
2023-04-21,9.3
2023-04-24,9.39
2023-04-25,9.4
2023-04-26,9.43
2023-04-27,9.51
2023-04-28,9.64
2023-05-02,9.69
2023-05-03,9.66
2023-05-04,9.7
2023-05-05,9.65
2023-05-08,9.74
2023-05-09,9.83
2023-05-10,9.84
2023-05-11,9.79
2023-05-12,9.75
2023-05-15,9.83
2023-05-16,9.81
2023-05-17,9.77
2023-05-18,9.69
2023-05-19,9.7
2023-05-22,9.75
2023-05-23,9.71
2023-05-24,9.67
2023-05-25,9.7
2023-05-26,9.8
2023-05-29,9.87
2023-05-30,9.85
2023-05-31,9.81
2023-06-01,9.83
2023-06-02,9.9
2023-06-05,9.89
2023-06-06,9.95
2023-06-07,10.05
2023-06-08,10.02
2023-06-09,10.04
2023-06-12,10.07
2023-06-13,10.19
2023-06-14,10.25
2023-06-15,10.24
2023-06-16,10.28
2023-06-19,10.26
2023-06-20,10.3
2023-06-21,10.29
2023-06-22,10.25
2023-06-23,10.19
2023-06-26,10.17
2023-06-27,10.24
2023-06-28,10.44
2023-06-30,10.54
2023-07-03,10.62
2023-07-04,10.62
2023-07-05,10.61
2023-07-06,10.69
2023-07-07,10.59
2023-07-10,10.59
2023-07-11,10.6
2023-07-12,10.62
2023-07-13,10.6
2023-07-14,10.67
2023-07-17,10.78
2023-07-18,10.78
2023-07-19,10.92
2023-07-20,10.92
2023-07-21,10.83
2023-07-24,10.83
2023-07-25,10.89
2023-07-26,10.94
2023-07-27,10.97
2023-07-28,11.03
2023-07-31,11.11
2023-08-01,11.08
2023-08-02,10.91
2023-08-03,10.88
2023-08-04,10.91
2023-08-07,10.95
2023-08-08,10.9
2023-08-09,10.92
2023-08-10,10.88
2023-08-11,10.84
2023-08-14,10.71
2023-08-16,10.77
2023-08-17,10.75
2023-08-18,10.79
2023-08-21,10.93
2023-08-22,10.95
2023-08-23,10.84
2023-08-24,10.8
2023-08-25,10.68
2023-08-28,10.72
2023-08-29,10.81
2023-08-30,10.86
2023-08-31,10.83
2023-09-01,10.97
2023-09-04,11.12
2023-09-05,11.18
2023-09-06,11.18
2023-09-07,11.26
2023-09-08,11.34
2023-09-11,11.47
2023-09-12,11.28
2023-09-13,11.32
2023-09-14,11.37
2023-09-15,11.37
2023-09-18,11.26
2023-09-20,11.1
2023-09-21,11.06
2023-09-22,11.02
2023-09-25,11.06
2023-09-26,11.06
2023-09-27,11.1
2023-09-29,11.14
2023-10-03,11.09
2023-10-04,10.93
2023-10-05,10.94
2023-10-06,11.03
2023-10-09,10.86
2023-10-10,11.01
2023-10-11,11.12
2023-10-12,11.17
2023-10-13,11.17
2023-10-16,11.15
2023-10-17,11.16
2023-10-18,11.09
2023-10-19,11.06
2023-10-20,10.93
2023-10-23,10.64
2023-10-25,10.63
2023-10-26,10.58
2023-10-27,10.73
2023-10-30,10.81
