date,value
2016-09-12,95.92
2016-09-14,96.29
2016-09-15,96.41
2016-09-16,96.93
2016-09-19,97.19
2016-09-20,96.86
2016-09-21,96.85
2016-09-22,97.91
2016-09-23,97.63
2016-09-26,96.78
2016-09-27,96.7
2016-09-28,97.17
2016-09-29,95.33
2016-09-30,96.05
2016-10-03,97.71
2016-10-04,97.95
2016-10-05,97.91
2016-10-06,97.56
2016-10-07,97.28
2016-10-10,97.39
2016-10-13,96.24
2016-10-14,96.42
2016-10-17,95.44
2016-10-18,96.71
2016-10-19,96.57
2016-10-20,96.93
2016-10-21,97.18
2016-10-24,97.15
2016-10-25,97.04
2016-10-26,96.27
2016-10-27,95.61
2016-10-28,96.11
2016-11-01,96.06
2016-11-02,95.09
2016-11-03,94.63
2016-11-04,93.97
2016-11-07,94.67
2016-11-08,95.0
2016-11-09,93.63
2016-11-10,94.38
2016-11-11,92.04
2016-11-15,89.93
2016-11-16,89.92
2016-11-17,89.55
2016-11-18,89.56
2016-11-21,87.96
2016-11-22,88.87
2016-11-23,89.22
2016-11-24,88.75
2016-11-25,90.27
2016-11-28,90.31
2016-11-29,90.59
2016-11-30,91.4
2016-12-01,90.66
2016-12-02,89.56
2016-12-05,90.09
2016-12-06,90.2
2016-12-07,89.67
2016-12-08,91.07
2016-12-09,91.35
2016-12-12,90.25
2016-12-13,90.51
2016-12-14,90.09
2016-12-15,90.06
2016-12-16,89.77
2016-12-19,89.41
2016-12-20,88.96
2016-12-21,88.91
2016-12-22,88.0
2016-12-23,88.16
2016-12-26,87.17
2016-12-27,88.39
2016-12-28,88.57
2016-12-29,89.42
2016-12-30,90.16
2017-01-02,90.44
2017-01-03,90.58
2017-01-04,90.46
2017-01-05,91.26
2017-01-06,90.92
2017-01-09,90.79
2017-01-10,91.4
2017-01-11,92.47
2017-01-12,92.65
2017-01-13,92.41
2017-01-16,92.5
2017-01-17,92.68
2017-01-18,93.04
2017-01-19,93.07
2017-01-20,92.09
2017-01-23,92.41
2017-01-24,93.29
2017-01-25,94.49
2017-01-27,94.76
2017-01-30,94.57
2017-01-31,93.58
2017-02-01,95.36
2017-02-02,95.58
2017-02-03,95.87
2017-02-06,96.64
2017-02-07,96.63
2017-02-08,96.6
2017-02-09,96.87
2017-02-10,96.98
2017-02-13,96.72
2017-02-14,96.39
2017-02-15,95.62
2017-02-16,96.48
2017-02-17,96.97
2017-02-20,97.63
2017-02-21,98.05
2017-02-22,98.09
2017-02-23,98.26
2017-02-27,97.78
2017-02-28,97.72
2017-03-01,98.4
2017-03-02,97.71
2017-03-03,97.76
2017-03-06,98.35
2017-03-07,97.96
2017-03-08,97.69
2017-03-09,97.75
2017-03-10,97.73
2017-03-14,99.29
2017-03-15,99.64
2017-03-16,100.4
2017-03-17,100.53
2017-03-20,100.13
2017-03-21,100.07
2017-03-22,99.22
2017-03-23,99.79
2017-03-24,100.11
2017-03-27,99.67
2017-03-28,100.19
2017-03-29,100.28
2017-03-30,100.64
2017-03-31,100.78
2017-04-03,101.35
2017-04-05,101.71
2017-04-06,101.71
2017-04-07,101.14
2017-04-10,101.1
2017-04-11,101.76
2017-04-12,101.56
2017-04-13,101.18
2017-04-17,100.95
2017-04-18,100.6
2017-04-19,100.57
2017-04-20,100.94
2017-04-21,100.91
2017-04-24,102.04
2017-04-25,103.05
2017-04-26,103.36
2017-04-27,103.27
2017-04-28,103.14
2017-05-02,103.13
2017-05-03,103.26
2017-05-04,103.74
2017-05-05,102.96
2017-05-08,103.36
2017-05-09,103.37
2017-05-10,104.1
2017-05-11,104.43
2017-05-12,104.33
2017-05-15,104.79
2017-05-16,105.3
2017-05-17,105.08
2017-05-18,103.94
2017-05-19,103.38
2017-05-22,103.24
2017-05-23,102.72
2017-05-24,102.2
2017-05-25,104.02
2017-05-26,104.98
