abs_val,cagr_val,date_range,start_date,end_date
43.56,43.56,Jun-98 - May-99,1998-06-01,1999-05-31
62.14,62.14,Jul-98 - Jun-99,1998-07-01,1999-06-30
64.69,64.69,Aug-98 - Jul-99,1998-08-01,1999-07-31
87.76,87.76,Sep-98 - Aug-99,1998-09-01,1999-08-31
98.44,98.44,Oct-98 - Sep-99,1998-10-01,1999-09-30
103.39,103.39,Nov-98 - Oct-99,1998-11-01,1999-10-31
142.31,142.31,Dec-98 - Nov-99,1998-12-01,1999-11-30
165.65,165.65,Jan-99 - Dec-99,1999-01-01,1999-12-31
148.95,148.95,Feb-99 - Jan-00,1999-02-01,2000-01-31
178.35,178.35,Mar-99 - Feb-00,1999-03-01,2000-02-29
110.71,110.71,Apr-99 - Mar-00,1999-04-01,2000-03-31
95.5,95.5,May-99 - Apr-00,1999-05-01,2000-04-30
66.54,66.54,Jun-99 - May-00,1999-06-01,2000-05-31
81.7,81.7,Jul-99 - Jun-00,1999-07-01,2000-06-30
67.78,67.78,Aug-99 - Jul-00,1999-08-01,2000-07-31
63.84,63.84,Sep-99 - Aug-00,1999-09-01,2000-08-31
37.53,37.53,Oct-99 - Sep-00,1999-10-01,2000-09-30
31.3,31.3,Nov-99 - Oct-00,1999-11-01,2000-10-31
17.31,17.31,Dec-99 - Nov-00,1999-12-01,2000-11-30
-6.6,-6.6,Jan-00 - Dec-00,2000-01-01,2000-12-31
-9.06,-9.06,Feb-00 - Jan-01,2000-02-01,2001-01-31
-22.28,-22.28,Mar-00 - Feb-01,2000-02-29,2001-02-28
-31.27,-31.27,Apr-00 - Mar-01,2000-04-01,2001-03-31
-14.43,-14.43,May-00 - Apr-01,2000-05-01,2001-04-30
-1.78,-1.78,Jun-00 - May-01,2000-06-01,2001-05-31
-21.35,-21.35,Jul-00 - Jun-01,2000-07-01,2001-06-30
-25.12,-25.12,Aug-00 - Jul-01,2000-08-01,2001-07-31
-33.07,-33.07,Sep-00 - Aug-01,2000-09-01,2001-08-31
-37.53,-37.53,Oct-00 - Sep-01,2000-10-01,2001-09-30
-27.65,-27.65,Nov-00 - Oct-01,2000-11-01,2001-10-31
-25.04,-25.04,Dec-00 - Nov-01,2000-12-01,2001-11-30
-23.85,-23.85,Jan-01 - Dec-01,2001-01-01,2001-12-31
-24.72,-24.72,Feb-01 - Jan-02,2001-02-01,2002-01-31
-15.5,-15.5,Mar-01 - Feb-02,2001-03-01,2002-02-28
1.95,1.95,Apr-01 - Mar-02,2001-04-01,2002-03-31
-0.3,-0.3,May-01 - Apr-02,2001-05-01,2002-04-30
-12.04,-12.04,Jun-01 - May-02,2001-06-01,2002-05-31
1.78,1.78,Jul-01 - Jun-02,2001-07-01,2002-06-30
-3.46,-3.46,Aug-01 - Jul-02,2001-08-01,2002-07-31
1.69,1.69,Sep-01 - Aug-02,2001-09-01,2002-08-31
8.54,8.54,Oct-01 - Sep-02,2001-10-01,2002-09-30
-0.68,-0.68,Nov-01 - Oct-02,2001-11-01,2002-10-31
-0.06,-0.06,Dec-01 - Nov-02,2001-12-01,2002-11-30
6.39,6.39,Jan-02 - Dec-02,2002-01-01,2002-12-31
-3.06,-3.06,Feb-02 - Jan-03,2002-02-01,2003-01-31
-5.84,-5.84,Mar-02 - Feb-03,2002-03-01,2003-02-28
-12.56,-12.56,Apr-02 - Mar-03,2002-04-01,2003-03-31
-9.66,-9.66,May-02 - Apr-03,2002-05-01,2003-04-30
8.51,8.51,Jun-02 - May-03,2002-06-01,2003-05-31
21.46,21.46,Jul-02 - Jun-03,2002-07-01,2003-06-30
41.53,41.53,Aug-02 - Jul-03,2002-08-01,2003-07-31
61.04,61.04,Sep-02 - Aug-03,2002-09-01,2003-08-31
87.46,87.46,Oct-02 - Sep-03,2002-10-01,2003-09-30
114.75,114.75,Nov-02 - Oct-03,2002-11-01,2003-10-31
115.31,115.31,Dec-02 - Nov-03,2002-12-01,2003-11-30
140.65,140.65,Jan-03 - Dec-03,2003-01-01,2003-12-31
143.64,143.64,Feb-03 - Jan-04,2003-02-01,2004-01-31
146.27,146.27,Mar-03 - Feb-04,2003-03-01,2004-02-29
159.27,159.27,Apr-03 - Mar-04,2003-04-01,2004-03-31
163.28,163.28,May-03 - Apr-04,2003-05-01,2004-04-30
96.22,96.22,Jun-03 - May-04,2003-06-01,2004-05-31
66.84,66.84,Jul-03 - Jun-04,2003-07-01,2004-06-30
66.44,66.44,Aug-03 - Jul-04,2003-08-01,2004-07-31
51.92,51.92,Sep-03 - Aug-04,2003-09-01,2004-08-31
53.28,53.28,Oct-03 - Sep-04,2003-10-01,2004-09-30
36.41,36.41,Nov-03 - Oct-04,2003-11-01,2004-10-31
39.47,39.47,Dec-03 - Nov-04,2003-12-01,2004-11-30
29.28,29.28,Jan-04 - Dec-04,2004-01-01,2004-12-31
32.88,32.88,Feb-04 - Jan-05,2004-02-01,2005-01-31
33.31,33.31,Mar-04 - Feb-05,2004-02-29,2005-02-28
32.62,32.62,Apr-04 - Mar-05,2004-04-01,2005-03-31
25.17,25.17,May-04 - Apr-05,2004-05-01,2005-04-30
60.24,60.24,Jun-04 - May-05,2004-06-01,2005-05-31
59.84,59.84,Jul-04 - Jun-05,2004-07-01,2005-06-30
59.97,59.97,Aug-04 - Jul-05,2004-08-01,2005-07-31
63.44,63.44,Sep-04 - Aug-05,2004-09-01,2005-08-31
61.96,61.96,Oct-04 - Sep-05,2004-10-01,2005-09-30
46.31,46.31,Nov-04 - Oct-05,2004-11-01,2005-10-31
47.97,47.97,Dec-04 - Nov-05,2004-12-01,2005-11-30
44.35,44.35,Jan-05 - Dec-05,2005-01-01,2005-12-31
60.5,60.5,Feb-05 - Jan-06,2005-02-01,2006-01-31
