abs_val,cagr_val,date_range,start_date,end_date
-9.11,-3.13,Jun-17 - May-20,2017-06-01,2020-05-31
-0.91,-0.3,Jul-17 - Jun-20,2017-07-01,2020-06-30
2.24,0.74,Aug-17 - Jul-20,2017-08-01,2020-07-31
5.6,1.83,Sep-17 - Aug-20,2017-09-01,2020-08-31
4.14,1.36,Oct-17 - Sep-20,2017-10-01,2020-09-30
4.18,1.38,Nov-17 - Oct-20,2017-11-01,2020-10-31
16.55,5.24,Dec-17 - Nov-20,2017-12-01,2020-11-30
22.4,6.97,Jan-18 - Dec-20,2018-01-01,2020-12-31
17.8,5.61,Feb-18 - Jan-21,2018-02-01,2021-01-31
29.28,8.94,Mar-18 - Feb-21,2018-03-01,2021-02-28
33.99,10.24,Apr-18 - Mar-21,2018-04-01,2021-03-31
25.65,7.91,May-18 - Apr-21,2018-05-01,2021-04-30
37.57,11.22,Jun-18 - May-21,2018-06-01,2021-05-31
43.69,12.84,Jul-18 - Jun-21,2018-07-01,2021-06-30
38.72,11.53,Aug-18 - Jul-21,2018-08-01,2021-07-31
46.7,13.62,Sep-18 - Aug-21,2018-09-01,2021-08-31
62.1,17.47,Oct-18 - Sep-21,2018-10-01,2021-09-30
74.85,20.47,Nov-18 - Oct-21,2018-11-01,2021-10-31
61.35,17.29,Dec-18 - Nov-21,2018-12-01,2021-11-30
65.75,18.34,Jan-19 - Dec-21,2019-01-01,2021-12-31
62.09,17.47,Feb-19 - Jan-22,2019-02-01,2022-01-31
57.55,16.36,Mar-19 - Feb-22,2019-03-01,2022-02-28
50.84,14.68,Apr-19 - Mar-22,2019-04-01,2022-03-31
46.38,13.54,May-19 - Apr-22,2019-05-01,2022-04-30
39.73,11.8,Jun-19 - May-22,2019-06-01,2022-05-31
33.76,10.18,Jul-19 - Jun-22,2019-07-01,2022-06-30
53.94,15.47,Aug-19 - Jul-22,2019-08-01,2022-07-31
60.08,16.98,Sep-19 - Aug-22,2019-09-01,2022-08-31
47.82,13.91,Oct-19 - Sep-22,2019-10-01,2022-09-30
50.09,14.49,Nov-19 - Oct-22,2019-11-01,2022-10-31
53.73,15.41,Dec-19 - Nov-22,2019-12-01,2022-11-30
47.22,13.76,Jan-20 - Dec-22,2020-01-01,2022-12-31
45.4,13.29,Feb-20 - Jan-23,2020-02-01,2023-01-31
51.08,14.75,Mar-20 - Feb-23,2020-02-29,2023-02-28
94.19,24.76,Apr-20 - Mar-23,2020-04-01,2023-03-31
75.34,20.59,May-20 - Apr-23,2020-05-01,2023-04-30
86.82,23.16,Jun-20 - May-23,2020-06-01,2023-05-31
81.45,21.97,Jul-20 - Jun-23,2020-07-01,2023-06-30
75.86,20.7,Aug-20 - Jul-23,2020-08-01,2023-07-31
69.74,19.29,Sep-20 - Aug-23,2020-09-01,2023-08-31
75.78,20.69,Oct-20 - Sep-23,2020-10-01,2023-09-30
64.51,18.05,Nov-20 - Oct-23,2020-11-01,2023-10-31
58.22,16.52,Dec-20 - Nov-23,2020-12-01,2023-11-30
56.43,16.08,Jan-21 - Dec-23,2021-01-01,2023-12-31
62.41,17.55,Feb-21 - Jan-24,2021-02-01,2024-01-31
56.84,16.19,Mar-21 - Feb-24,2021-03-01,2024-02-29
58.8,16.67,Apr-21 - Mar-24,2021-04-01,2024-03-31
63.15,17.72,May-21 - Apr-24,2021-05-01,2024-04-30
52.69,15.15,Jun-21 - May-24,2021-06-01,2024-05-31
58.31,16.55,Jul-21 - Jun-24,2021-07-01,2024-06-30
58.56,16.61,Aug-21 - Jul-24,2021-08-01,2024-07-31
48.8,14.16,Sep-21 - Aug-24,2021-09-01,2024-08-31
46.88,13.67,Oct-21 - Sep-24,2021-10-01,2024-09-30
34.97,10.51,Nov-21 - Oct-24,2021-11-01,2024-10-31
40.08,11.89,Dec-21 - Nov-24,2021-12-01,2024-11-30
36.75,11.0,Jan-22 - Dec-24,2022-01-01,2024-12-31
34.23,10.31,Feb-22 - Jan-25,2022-02-01,2025-01-31
30.66,9.32,Mar-22 - Feb-25,2022-03-01,2025-02-28
36.48,10.92,Apr-22 - Mar-25,2022-04-01,2025-03-31
41.89,12.37,May-22 - Apr-25,2022-05-01,2025-04-30
49.74,14.41,Jun-22 - May-25,2022-06-01,2025-05-31
62.79,17.64,Jul-22 - Jun-25,2022-07-01,2025-06-30
45.41,13.29,Aug-22 - Jul-25,2022-08-01,2025-07-31
38.49,11.47,Sep-22 - Aug-25,2022-09-01,2025-08-31
45.39,13.29,Oct-22 - Sep-25,2022-10-01,2025-09-30
43.62,12.83,Nov-22 - Oct-25,2022-11-01,2025-10-31
40.38,11.97,Dec-22 - Nov-25,2022-12-01,2025-11-30
43.21,12.72,Jan-23 - Dec-25,2023-01-01,2025-12-31
43.45,12.78,Feb-23 - Jan-26,2023-02-01,2026-01-31
47.54,13.84,Mar-23 - Feb-26,2023-03-01,2026-02-28
30.36,9.24,Apr-23 - Mar-26,2023-04-01,2026-03-31
36.87,11.03,May-23 - Apr-26,2023-05-01,2026-04-30
31.55,9.57,Jun-23 - May-26,2023-06-01,2026-05-31
28.88,8.82,Jul-23 - Jun-26,2023-07-01,2026-06-30
26.32,8.1,Aug-23 - Jul-26,2023-08-01,2026-07-31
28.25,8.65,Sep-23 - Aug-26,2023-09-01,2026-08-31
