abs_val,cagr_val,date_range,start_date,end_date
-3.22,-3.22,Sep-07 - Aug-08,2007-09-01,2008-08-31
-19.34,-19.34,Oct-07 - Sep-08,2007-10-01,2008-09-30
-47.18,-47.18,Nov-07 - Oct-08,2007-11-01,2008-10-31
-48.93,-48.93,Dec-07 - Nov-08,2007-12-01,2008-11-30
-49.16,-49.16,Jan-08 - Dec-08,2008-01-01,2008-12-31
-40.82,-40.82,Feb-08 - Jan-09,2008-02-01,2009-01-31
-43.79,-43.79,Mar-08 - Feb-09,2008-02-29,2009-02-28
-31.66,-31.66,Apr-08 - Mar-09,2008-04-01,2009-03-31
-29.64,-29.64,May-08 - Apr-09,2008-05-01,2009-04-30
-7.18,-7.18,Jun-08 - May-09,2008-06-01,2009-05-31
9.71,9.71,Jul-08 - Jun-09,2008-07-01,2009-06-30
11.03,11.03,Aug-08 - Jul-09,2008-08-01,2009-07-31
10.82,10.82,Sep-08 - Aug-09,2008-09-01,2009-08-31
33.26,33.26,Oct-08 - Sep-09,2008-10-01,2009-09-30
61.24,61.24,Nov-08 - Oct-09,2008-11-01,2009-10-31
78.0,78.0,Dec-08 - Nov-09,2008-12-01,2009-11-30
73.43,73.43,Jan-09 - Dec-09,2009-01-01,2009-12-31
65.49,65.49,Feb-09 - Jan-10,2009-02-01,2010-01-31
73.13,73.13,Mar-09 - Feb-10,2009-03-01,2010-02-28
69.06,69.06,Apr-09 - Mar-10,2009-04-01,2010-03-31
51.23,51.23,May-09 - Apr-10,2009-05-01,2010-04-30
17.52,17.52,Jun-09 - May-10,2009-06-01,2010-05-31
26.47,26.47,Jul-09 - Jun-10,2009-07-01,2010-06-30
16.93,16.93,Aug-09 - Jul-10,2009-08-01,2010-07-31
18.46,18.46,Sep-09 - Aug-10,2009-09-01,2010-08-31
20.2,20.2,Oct-09 - Sep-10,2009-10-01,2010-09-30
30.05,30.05,Nov-09 - Oct-10,2009-11-01,2010-10-31
18.9,18.9,Dec-09 - Nov-10,2009-12-01,2010-11-30
19.36,19.36,Jan-10 - Dec-10,2010-01-01,2010-12-31
15.82,15.82,Feb-10 - Jan-11,2010-02-01,2011-01-31
10.41,10.41,Mar-10 - Feb-11,2010-03-01,2011-02-28
14.12,14.12,Apr-10 - Mar-11,2010-04-01,2011-03-31
12.01,12.01,May-10 - Apr-11,2010-05-01,2011-04-30
11.4,11.4,Jun-10 - May-11,2010-06-01,2011-05-31
