abs_val,cagr_val,date_range,start_date,end_date
5.04,5.04,Mar-12 - Feb-13,2012-02-29,2013-02-28
7.41,7.41,Apr-12 - Mar-13,2012-04-01,2013-03-31
13.02,13.02,May-12 - Apr-13,2012-05-01,2013-04-30
21.79,21.79,Jun-12 - May-13,2012-06-01,2013-05-31
10.43,10.43,Jul-12 - Jun-13,2012-07-01,2013-06-30
9.05,9.05,Aug-12 - Jul-13,2012-08-01,2013-07-31
2.87,2.87,Sep-12 - Aug-13,2012-09-01,2013-08-31
-0.97,-0.97,Oct-12 - Sep-13,2012-10-01,2013-09-30
9.48,9.48,Nov-12 - Oct-13,2012-11-01,2013-10-31
3.03,3.03,Dec-12 - Nov-13,2012-12-01,2013-11-30
3.95,3.95,Jan-13 - Dec-13,2013-01-01,2013-12-31
-1.48,-1.48,Feb-13 - Jan-14,2013-02-01,2014-01-31
7.53,7.53,Mar-13 - Feb-14,2013-03-01,2014-02-28
13.99,13.99,Apr-13 - Mar-14,2013-04-01,2014-03-31
9.35,9.35,May-13 - Apr-14,2013-05-01,2014-04-30
14.17,14.17,Jun-13 - May-14,2013-06-01,2014-05-31
23.28,23.28,Jul-13 - Jun-14,2013-07-01,2014-06-30
26.86,26.86,Aug-13 - Jul-14,2013-08-01,2014-07-31
38.8,38.8,Sep-13 - Aug-14,2013-09-01,2014-08-31
31.69,31.69,Oct-13 - Sep-14,2013-10-01,2014-09-30
25.52,25.52,Nov-13 - Oct-14,2013-11-01,2014-10-31
32.42,32.42,Dec-13 - Nov-14,2013-12-01,2014-11-30
28.71,28.71,Jan-14 - Dec-14,2014-01-01,2014-12-31
41.48,41.48,Feb-14 - Jan-15,2014-02-01,2015-01-31
38.67,38.67,Mar-14 - Feb-15,2014-03-01,2015-02-28
29.3,29.3,Apr-14 - Mar-15,2014-04-01,2015-03-31
22.71,22.71,May-14 - Apr-15,2014-05-01,2015-04-30
18.04,18.04,Jun-14 - May-15,2014-06-01,2015-05-31
10.91,10.91,Jul-14 - Jun-15,2014-07-01,2015-06-30
18.94,18.94,Aug-14 - Jul-15,2014-08-01,2015-07-31
9.96,9.96,Sep-14 - Aug-15,2014-09-01,2015-08-31
11.06,11.06,Oct-14 - Sep-15,2014-10-01,2015-09-30
6.39,6.39,Nov-14 - Oct-15,2014-11-01,2015-10-31
0.76,0.76,Dec-14 - Nov-15,2014-12-01,2015-11-30
3.24,3.24,Jan-15 - Dec-15,2015-01-01,2015-12-31
-8.54,-8.54,Feb-15 - Jan-16,2015-02-01,2016-01-31
-17.45,-17.45,Mar-15 - Feb-16,2015-03-01,2016-02-29
-6.02,-6.02,Apr-15 - Mar-16,2015-04-01,2016-03-31
2.04,2.04,May-15 - Apr-16,2015-05-01,2016-04-30
3.39,3.39,Jun-15 - May-16,2015-06-01,2016-05-31
5.58,5.58,Jul-15 - Jun-16,2015-07-01,2016-06-30
2.33,2.33,Aug-15 - Jul-16,2015-08-01,2016-07-31
10.62,10.62,Sep-15 - Aug-16,2015-09-01,2016-08-31
9.76,9.76,Oct-15 - Sep-16,2015-10-01,2016-09-30
12.96,12.96,Nov-15 - Oct-16,2015-11-01,2016-10-31
7.16,7.16,Dec-15 - Nov-16,2015-12-01,2016-11-30
4.43,4.43,Jan-16 - Dec-16,2016-01-01,2016-12-31
17.22,17.22,Feb-16 - Jan-17,2016-02-01,2017-01-31
33.15,33.15,Mar-16 - Feb-17,2016-02-29,2017-02-28
23.76,23.76,Apr-16 - Mar-17,2016-04-01,2017-03-31
25.24,25.24,May-16 - Apr-17,2016-05-01,2017-04-30
23.68,23.68,Jun-16 - May-17,2016-06-01,2017-05-31
19.63,19.63,Jul-16 - Jun-17,2016-07-01,2017-06-30
21.06,21.06,Aug-16 - Jul-17,2016-08-01,2017-07-31
16.63,16.63,Sep-16 - Aug-17,2016-09-01,2017-08-31
14.9,14.9,Oct-16 - Sep-17,2016-10-01,2017-09-30
18.41,18.41,Nov-16 - Oct-17,2016-11-01,2017-10-31
26.78,26.78,Dec-16 - Nov-17,2016-12-01,2017-11-30
33.36,33.36,Jan-17 - Dec-17,2017-01-01,2017-12-31
29.75,29.75,Feb-17 - Jan-18,2017-02-01,2018-01-31
19.4,19.4,Mar-17 - Feb-18,2017-03-01,2018-02-28
12.76,12.76,Apr-17 - Mar-18,2017-04-01,2018-03-31
14.21,14.21,May-17 - Apr-18,2017-05-01,2018-04-30
9.46,9.46,Jun-17 - May-18,2017-06-01,2018-05-31
9.94,9.94,Jul-17 - Jun-18,2017-07-01,2018-06-30
9.56,9.56,Aug-17 - Jul-18,2017-08-01,2018-07-31
12.53,12.53,Sep-17 - Aug-18,2017-09-01,2018-08-31
6.24,6.24,Oct-17 - Sep-18,2017-10-01,2018-09-30
-3.48,-3.48,Nov-17 - Oct-18,2017-11-01,2018-10-31
1.77,1.77,Dec-17 - Nov-18,2017-12-01,2018-11-30
-1.37,-1.37,Jan-18 - Dec-18,2018-01-01,2018-12-31
-5.52,-5.52,Feb-18 - Jan-19,2018-02-01,2019-01-31
-1.6,-1.6,Mar-18 - Feb-19,2018-03-01,2019-02-28
8.1,8.1,Apr-18 - Mar-19,2018-04-01,2019-03-31
3.13,3.13,May-18 - Apr-19,2018-05-01,2019-04-30
8.3,8.3,Jun-18 - May-19,2018-06-01,2019-05-31
9.7,9.7,Jul-18 - Jun-19,2018-07-01,2019-06-30
-2.62,-2.62,Aug-18 - Jul-19,2018-08-01,2019-07-31
-5.54,-5.54,Sep-18 - Aug-19,2018-09-01,2019-08-31
6.48,6.48,Oct-18 - Sep-19,2018-10-01,2019-09-30
15.69,15.69,Nov-18 - Oct-19,2018-11-01,2019-10-31
11.25,11.25,Dec-18 - Nov-19,2018-12-01,2019-11-30
12.01,12.01,Jan-19 - Dec-19,2019-01-01,2019-12-31
11.68,11.68,Feb-19 - Jan-20,2019-02-01,2020-01-31
7.47,7.47,Mar-19 - Feb-20,2019-03-01,2020-02-29
-23.67,-23.67,Apr-19 - Mar-20,2019-04-01,2020-03-31
-15.29,-15.29,May-19 - Apr-20,2019-05-01,2020-04-30
-21.03,-21.03,Jun-19 - May-20,2019-06-01,2020-05-31
-15.21,-15.21,Jul-19 - Jun-20,2019-07-01,2020-06-30
-4.8,-4.8,Aug-19 - Jul-20,2019-08-01,2020-07-31
0.49,0.49,Sep-19 - Aug-20,2019-09-01,2020-08-31
-5.57,-5.57,Oct-19 - Sep-20,2019-10-01,2020-09-30
-6.83,-6.83,Nov-19 - Oct-20,2019-11-01,2020-10-31
3.58,3.58,Dec-19 - Nov-20,2019-12-01,2020-11-30
8.15,8.15,Jan-20 - Dec-20,2020-01-01,2020-12-31
4.91,4.91,Feb-20 - Jan-21,2020-02-01,2021-01-31
16.74,16.74,Mar-20 - Feb-21,2020-02-29,2021-02-28
53.8,53.8,Apr-20 - Mar-21,2020-04-01,2021-03-31
36.59,36.59,May-20 - Apr-21,2020-05-01,2021-04-30
50.43,50.43,Jun-20 - May-21,2020-06-01,2021-05-31
41.92,41.92,Jul-20 - Jun-21,2020-07-01,2021-06-30
37.04,37.04,Aug-20 - Jul-21,2020-08-01,2021-07-31
40.09,40.09,Sep-20 - Aug-21,2020-09-01,2021-08-31
45.25,45.25,Oct-20 - Sep-21,2020-10-01,2021-09-30
44.06,44.06,Nov-20 - Oct-21,2020-11-01,2021-10-31
22.25,22.25,Dec-20 - Nov-21,2020-12-01,2021-11-30
17.45,17.45,Jan-21 - Dec-21,2021-01-01,2021-12-31
23.51,23.51,Feb-21 - Jan-22,2021-02-01,2022-01-31
10.81,10.81,Mar-21 - Feb-22,2021-03-01,2022-02-28
13.45,13.45,Apr-21 - Mar-22,2021-04-01,2022-03-31
12.97,12.97,May-21 - Apr-22,2021-05-01,2022-04-30
4.99,4.99,Jun-21 - May-22,2021-06-01,2022-05-31
-1.26,-1.26,Jul-21 - Jun-22,2021-07-01,2022-06-30
6.01,6.01,Aug-21 - Jul-22,2021-08-01,2022-07-31
2.7,2.7,Sep-21 - Aug-22,2021-09-01,2022-08-31
-2.51,-2.51,Oct-21 - Sep-22,2021-10-01,2022-09-30
0.47,0.47,Nov-21 - Oct-22,2021-11-01,2022-10-31
9.72,9.72,Dec-21 - Nov-22,2021-12-01,2022-11-30
4.39,4.39,Jan-22 - Dec-22,2022-01-01,2022-12-31
0.77,0.77,Feb-22 - Jan-23,2022-02-01,2023-01-31
4.09,4.09,Mar-22 - Feb-23,2022-03-01,2023-02-28
1.06,1.06,Apr-22 - Mar-23,2022-04-01,2023-03-31
5.97,5.97,May-22 - Apr-23,2022-05-01,2023-04-30
11.16,11.16,Jun-22 - May-23,2022-06-01,2023-05-31
21.05,21.05,Jul-22 - Jun-23,2022-07-01,2023-06-30
14.02,14.02,Aug-22 - Jul-23,2022-08-01,2023-07-31
7.91,7.91,Sep-22 - Aug-23,2022-09-01,2023-08-31
14.22,14.22,Oct-22 - Sep-23,2022-10-01,2023-09-30
5.97,5.97,Nov-22 - Oct-23,2022-11-01,2023-10-31
7.95,7.95,Dec-22 - Nov-23,2022-12-01,2023-11-30
22.32,22.32,Jan-23 - Dec-23,2023-01-01,2023-12-31
28.25,28.25,Feb-23 - Jan-24,2023-02-01,2024-01-31
33.74,33.74,Mar-23 - Feb-24,2023-03-01,2024-02-29
36.5,36.5,Apr-23 - Mar-24,2023-04-01,2024-03-31
34.19,34.19,May-23 - Apr-24,2023-05-01,2024-04-30
33.0,33.0,Jun-23 - May-24,2023-06-01,2024-05-31
36.21,36.21,Jul-23 - Jun-24,2023-07-01,2024-06-30
35.68,35.68,Aug-23 - Jul-24,2023-08-01,2024-07-31
38.69,38.69,Sep-23 - Aug-24,2023-09-01,2024-08-31
38.54,38.54,Oct-23 - Sep-24,2023-10-01,2024-09-30
33.06,33.06,Nov-23 - Oct-24,2023-11-01,2024-10-31
26.01,26.01,Dec-23 - Nov-24,2023-12-01,2024-11-30
12.51,12.51,Jan-24 - Dec-24,2024-01-01,2024-12-31
6.19,6.19,Feb-24 - Jan-25,2024-02-01,2025-01-31
-3.36,-3.36,Mar-24 - Feb-25,2024-02-29,2025-02-28
1.08,1.08,Apr-24 - Mar-25,2024-04-01,2025-03-31
1.66,1.66,May-24 - Apr-25,2024-05-01,2025-04-30
3.56,3.56,Jun-24 - May-25,2024-06-01,2025-05-31
1.59,1.59,Jul-24 - Jun-25,2024-07-01,2025-06-30
-2.49,-2.49,Aug-24 - Jul-25,2024-08-01,2025-07-31
-3.97,-3.97,Sep-24 - Aug-25,2024-09-01,2025-08-31
-4.77,-4.77,Oct-24 - Sep-25,2024-10-01,2025-09-30
4.87,4.87,Nov-24 - Oct-25,2024-11-01,2025-10-31
5.59,5.59,Dec-24 - Nov-25,2024-12-01,2025-11-30
7.5,7.5,Jan-25 - Dec-25,2025-01-01,2025-12-31
9.1,9.1,Feb-25 - Jan-26,2025-02-01,2026-01-31
19.07,19.07,Mar-25 - Feb-26,2025-03-01,2026-02-28
-1.95,-1.95,Apr-25 - Mar-26,2025-04-01,2026-03-31
3.44,3.44,May-25 - Apr-26,2025-05-01,2026-04-30
-0.43,-0.43,Jun-25 - May-26,2025-06-01,2026-05-31
-2.07,-2.07,Jul-25 - Jun-26,2025-07-01,2026-06-30
1.81,1.81,Aug-25 - Jul-26,2025-08-01,2026-07-31
2.78,2.78,Sep-25 - Aug-26,2025-09-01,2026-08-31
