date,value
2019-03-19,10.02
2019-03-20,10.02
2019-03-21,10.02
2019-03-22,10.02
2019-03-23,10.02
2019-03-24,10.02
2019-03-25,10.01
2019-03-26,10.03
2019-03-27,10.03
2019-03-28,10.07
2019-03-29,10.09
2019-03-30,10.09
2019-03-31,10.09
2019-04-01,10.13
2019-04-02,10.15
2019-04-03,10.13
2019-04-04,10.1
2019-04-05,10.14
2019-04-06,10.14
2019-04-07,10.14
2019-04-08,10.14
2019-04-09,10.17
2019-04-10,10.14
2019-04-11,10.17
2019-04-12,10.2
2019-04-13,10.2
2019-04-14,10.2
2019-04-15,10.26
2019-04-16,10.31
2019-04-17,10.31
2019-04-18,10.3
2019-04-19,10.3
2019-04-20,10.3
2019-04-21,10.3
2019-04-22,10.2
2019-04-23,10.16
2019-04-24,10.25
2019-04-25,10.22
2019-04-26,10.25
2019-04-27,10.25
2019-04-28,10.24
2019-04-29,10.24
2019-04-30,10.21
2019-05-01,10.2
2019-05-02,10.22
2019-05-03,10.19
2019-05-04,10.19
2019-05-05,10.19
2019-05-06,10.1
2019-05-07,10.06
2019-05-08,9.93
2019-05-09,9.91
2019-05-10,9.87
2019-05-11,9.87
2019-05-12,9.87
2019-05-13,9.77
2019-05-14,9.82
2019-05-15,9.76
2019-05-16,9.81
2019-05-17,9.96
2019-05-18,9.96
2019-05-19,9.96
2019-05-20,10.22
2019-05-21,10.18
2019-05-22,10.18
2019-05-23,10.15
2019-05-24,10.32
2019-05-25,10.32
2019-05-26,10.32
2019-05-27,10.4
2019-05-28,10.35
2019-05-29,10.27
2019-05-30,10.33
2019-05-31,10.33
2019-06-01,10.33
2019-06-02,10.33
2019-06-03,10.43
2019-06-04,10.37
2019-06-05,10.37
2019-06-06,10.24
2019-06-07,10.24
2019-06-08,10.24
2019-06-09,10.24
2019-06-10,10.31
2019-06-11,10.39
2019-06-12,10.31
2019-06-13,10.27
2019-06-14,10.17
2019-06-15,10.17
2019-06-16,10.17
2019-06-17,10.03
2019-06-18,10.05
2019-06-19,10.04
2019-06-20,10.18
2019-06-21,10.12
2019-06-22,10.12
2019-06-23,10.12
2019-06-24,10.13
2019-06-25,10.12
2019-06-26,10.17
2019-06-27,10.2
2019-06-28,10.17
2019-06-29,10.17
2019-06-30,10.17
2019-07-01,10.25
2019-07-02,10.28
2019-07-03,10.33
2019-07-04,10.37
2019-07-05,10.25
2019-07-06,10.25
2019-07-07,10.25
2019-07-08,10.07
2019-07-09,10.09
2019-07-10,10.02
2019-07-11,10.09
2019-07-12,10.08
2019-07-13,10.08
2019-07-14,10.08
2019-07-15,10.08
2019-07-16,10.15
2019-07-17,10.16
2019-07-18,10.06
2019-07-19,9.93
2019-07-20,9.93
2019-07-21,9.93
2019-07-22,9.89
2019-07-23,9.89
2019-07-24,9.8
2019-07-25,9.84
2019-07-26,9.91
2019-07-27,9.91
2019-07-28,9.91
2019-07-29,9.82
2019-07-30,9.72
2019-07-31,9.75
2019-08-01,9.65
2019-08-02,9.7
2019-08-03,9.7
2019-08-04,9.7
2019-08-05,9.6
2019-08-06,9.67
2019-08-07,9.64
2019-08-08,9.75
2019-08-09,9.84
2019-08-10,9.84
2019-08-11,9.84
2019-08-12,9.84
2019-08-13,9.67
2019-08-14,9.75
2019-08-15,9.75
2019-08-16,9.76
2019-08-17,9.76
2019-08-18,9.76
2019-08-19,9.77
2019-08-20,9.71
2019-08-21,9.61
2019-08-22,9.49
2019-08-23,9.52
2019-08-24,9.52
2019-08-25,9.52
2019-08-26,9.71
2019-08-27,9.79
2019-08-28,9.74
2019-08-29,9.69
2019-08-30,9.76
2019-08-31,9.76
2019-09-01,9.76
2019-09-02,9.75
2019-09-03,9.57
2019-09-04,9.59
2019-09-05,9.6
2019-09-06,9.66
2019-09-07,9.66
2019-09-08,9.66
2019-09-09,9.71
2019-09-10,9.71
2019-09-11,9.74
2019-09-12,9.72
2019-09-13,9.81
2019-09-14,9.81
2019-09-15,9.81
2019-09-16,9.77
2019-09-17,9.63
2019-09-18,9.65
2019-09-19,9.53
2019-09-20,10.1
2019-09-21,10.1
2019-09-22,10.1
2019-09-23,10.44
2019-09-24,10.43
2019-09-25,10.34
2019-09-26,10.47
2019-09-27,10.44
2019-09-28,10.44
2019-09-29,10.44
2019-09-30,10.39
2019-10-01,10.31
2019-10-02,10.31
2019-10-03,10.24
2019-10-04,10.12
2019-10-05,10.12
2019-10-06,10.12
2019-10-07,10.02
2019-10-08,10.02
2019-10-09,10.2
2019-10-10,10.11
2019-10-11,10.14
2019-10-12,10.13
2019-10-13,10.13
2019-10-14,10.18
2019-10-15,10.27
2019-10-16,10.37
2019-10-17,10.49
2019-10-18,10.59
2019-10-19,10.59
2019-10-20,10.59
2019-10-21,10.59
2019-10-22,10.63
2019-10-23,10.63
2019-10-24,10.61
2019-10-25,10.58
2019-10-26,10.58
2019-10-27,10.58
2019-10-28,10.58
2019-10-29,10.77
2019-10-30,10.78
2019-10-31,10.8
2019-11-01,10.81
2019-11-02,10.81
2019-11-03,10.81
2019-11-04,10.82
2019-11-05,10.79
2019-11-06,10.85
2019-11-07,10.9
2019-11-08,10.83
2019-11-09,10.83
2019-11-10,10.82
2019-11-11,10.83
2019-11-12,10.83
2019-11-13,10.78
2019-11-14,10.76
2019-11-15,10.74
2019-11-16,10.74
2019-11-17,10.74
2019-11-18,10.72
2019-11-19,10.69
2019-11-20,10.73
2019-11-21,10.73
2019-11-22,10.65
2019-11-23,10.64
2019-11-24,10.64
2019-11-25,10.74
2019-11-26,10.72
2019-11-27,10.78
2019-11-28,10.82
2019-11-29,10.79
2019-11-30,10.79
2019-12-01,10.79
2019-12-02,10.79
2019-12-03,10.76
2019-12-04,10.77
2019-12-05,10.71
2019-12-06,10.65
2019-12-07,10.65
2019-12-08,10.65
2019-12-09,10.63
