abs_val,cagr_val,date_range,start_date,end_date
-36.22,-13.92,Jan-94 - Dec-96,1994-01-01,1996-12-31
-43.9,-17.52,Feb-94 - Jan-97,1994-02-01,1997-01-31
-47.91,-19.54,Mar-94 - Feb-97,1994-03-01,1997-02-28
-58.57,-25.45,Apr-94 - Mar-97,1994-04-01,1997-03-31
-51.25,-21.3,May-94 - Apr-97,1994-05-01,1997-04-30
-54.37,-23.01,Jun-94 - May-97,1994-06-01,1997-05-31
-54.05,-22.84,Jul-94 - Jun-97,1994-07-01,1997-06-30
-56.06,-23.97,Aug-94 - Jul-97,1994-08-01,1997-07-31
-59.68,-26.12,Sep-94 - Aug-97,1994-09-01,1997-08-31
-57.96,-25.09,Oct-94 - Sep-97,1994-10-01,1997-09-30
-60.52,-26.64,Nov-94 - Oct-97,1994-11-01,1997-10-31
-63.92,-28.81,Dec-94 - Nov-97,1994-12-01,1997-11-30
-61.7,-27.38,Jan-95 - Dec-97,1995-01-01,1997-12-31
-62.39,-27.82,Feb-95 - Jan-98,1995-02-01,1998-01-31
-57.31,-24.7,Mar-95 - Feb-98,1995-03-01,1998-02-28
-55.7,-23.77,Apr-95 - Mar-98,1995-04-01,1998-03-31
-45.31,-18.22,May-95 - Apr-98,1995-05-01,1998-04-30
-44.9,-18.02,Jun-95 - May-98,1995-06-01,1998-05-31
-49.13,-20.17,Jul-95 - Jun-98,1995-07-01,1998-06-30
-46.41,-18.78,Aug-95 - Jul-98,1995-08-01,1998-07-31
-45.79,-18.46,Sep-95 - Aug-98,1995-09-01,1998-08-31
-42.51,-16.85,Oct-95 - Sep-98,1995-10-01,1998-09-30
-44.28,-17.71,Nov-95 - Oct-98,1995-11-01,1998-10-31
23.35,7.25,Dec-95 - Nov-98,1995-12-01,1998-11-30
30.99,9.41,Jan-96 - Dec-98,1996-01-01,1998-12-31
56.94,16.21,Feb-96 - Jan-99,1996-02-01,1999-01-31
51.32,14.81,Mar-96 - Feb-99,1996-02-29,1999-02-28
101.02,26.21,Apr-96 - Mar-99,1996-04-01,1999-03-31
52.81,15.18,May-96 - Apr-99,1996-05-01,1999-04-30
85.58,22.89,Jun-96 - May-99,1996-06-01,1999-05-31
87.85,23.39,Jul-96 - Jun-99,1996-07-01,1999-06-30
141.29,34.13,Aug-96 - Jul-99,1996-08-01,1999-07-31
180.49,41.03,Sep-96 - Aug-99,1996-09-01,1999-08-31
238.44,50.14,Oct-96 - Sep-99,1996-10-01,1999-09-30
233.38,49.39,Nov-96 - Oct-99,1996-11-01,1999-10-31
295.12,58.09,Dec-96 - Nov-99,1996-12-01,1999-11-30
374.0,67.98,Jan-97 - Dec-99,1997-01-01,1999-12-31
423.13,73.59,Feb-97 - Jan-00,1997-02-01,2000-01-31
435.47,74.95,Mar-97 - Feb-00,1997-03-01,2000-02-29
169.05,39.08,Apr-97 - Mar-00,1997-04-01,2000-03-31
99.26,25.84,May-97 - Apr-00,1997-05-01,2000-04-30
92.31,24.36,Jun-97 - May-00,1997-06-01,2000-05-31
81.58,22.0,Jul-97 - Jun-00,1997-07-01,2000-06-30
60.42,17.06,Aug-97 - Jul-00,1997-08-01,2000-07-31
76.83,20.93,Sep-97 - Aug-00,1997-09-01,2000-08-31
52.9,15.2,Oct-97 - Sep-00,1997-10-01,2000-09-30
47.25,13.77,Nov-97 - Oct-00,1997-11-01,2000-10-31
65.0,18.17,Dec-97 - Nov-00,1997-12-01,2000-11-30
59.42,16.82,Jan-98 - Dec-00,1998-01-01,2000-12-31
78.3,21.26,Feb-98 - Jan-01,1998-02-01,2001-01-31
58.79,16.67,Mar-98 - Feb-01,1998-03-01,2001-02-28
26.25,8.08,Apr-98 - Mar-01,1998-04-01,2001-03-31
10.6,3.41,May-98 - Apr-01,1998-05-01,2001-04-30
14.38,4.58,Jun-98 - May-01,1998-06-01,2001-05-31
16.9,5.34,Jul-98 - Jun-01,1998-07-01,2001-06-30
5.11,1.68,Aug-98 - Jul-01,1998-08-01,2001-07-31
6.21,2.03,Sep-98 - Aug-01,1998-09-01,2001-08-31
-15.83,-5.58,Oct-98 - Sep-01,1998-10-01,2001-09-30
-1.14,-0.38,Nov-98 - Oct-01,1998-11-01,2001-10-31
10.73,3.46,Dec-98 - Nov-01,1998-12-01,2001-11-30
1.62,0.54,Jan-99 - Dec-01,1999-01-01,2001-12-31
-4.92,-1.67,Feb-99 - Jan-02,1999-02-01,2002-01-31
1.63,0.54,Mar-99 - Feb-02,1999-03-01,2002-02-28
-17.31,-6.14,Apr-99 - Mar-02,1999-04-01,2002-03-31
-3.15,-1.06,May-99 - Apr-02,1999-05-01,2002-04-30
-19.46,-6.96,Jun-99 - May-02,1999-06-01,2002-05-31
-20.04,-7.18,Jul-99 - Jun-02,1999-07-01,2002-06-30
-29.63,-11.05,Aug-99 - Jul-02,1999-08-01,2002-07-31
-34.71,-13.25,Sep-99 - Aug-02,1999-09-01,2002-08-31
-47.02,-19.08,Oct-99 - Sep-02,1999-10-01,2002-09-30
-44.56,-17.85,Nov-99 - Oct-02,1999-11-01,2002-10-31
-48.99,-20.1,Dec-99 - Nov-02,1999-12-01,2002-11-30
-54.9,-23.31,Jan-00 - Dec-02,2000-01-01,2002-12-31
-56.68,-24.33,Feb-00 - Jan-03,2000-02-01,2003-01-31
-58.56,-25.44,Mar-00 - Feb-03,2000-02-29,2003-02-28
-18.38,-6.55,Apr-00 - Mar-03,2000-04-01,2003-03-31
-5.26,-1.79,May-00 - Apr-03,2000-05-01,2003-04-30
10.14,3.27,Jun-00 - May-03,2000-06-01,2003-05-31
15.42,4.9,Jul-00 - Jun-03,2000-07-01,2003-06-30
35.61,10.69,Aug-00 - Jul-03,2000-08-01,2003-07-31
45.11,13.21,Sep-00 - Aug-03,2000-09-01,2003-08-31
69.01,19.12,Oct-00 - Sep-03,2000-10-01,2003-09-30
97.22,25.41,Nov-00 - Oct-03,2000-11-01,2003-10-31
92.75,24.45,Dec-00 - Nov-03,2000-12-01,2003-11-30
129.25,31.86,Jan-01 - Dec-03,2001-01-01,2003-12-31
113.66,28.8,Feb-01 - Jan-04,2001-02-01,2004-01-31
122.19,30.49,Mar-01 - Feb-04,2001-03-01,2004-02-29
159.36,37.39,Apr-01 - Mar-04,2001-04-01,2004-03-31
159.99,37.51,May-01 - Apr-04,2001-05-01,2004-04-30
108.33,27.72,Jun-01 - May-04,2001-06-01,2004-05-31
137.82,33.48,Jul-01 - Jun-04,2001-07-01,2004-06-30
162.37,37.92,Aug-01 - Jul-04,2001-08-01,2004-07-31
171.28,39.47,Sep-01 - Aug-04,2001-09-01,2004-08-31
242.67,50.76,Oct-01 - Sep-04,2001-10-01,2004-09-30
207.82,45.47,Nov-01 - Oct-04,2001-11-01,2004-10-31
212.74,46.24,Dec-01 - Nov-04,2001-12-01,2004-11-30
240.62,50.46,Jan-02 - Dec-04,2002-01-01,2004-12-31
219.92,47.35,Feb-02 - Jan-05,2002-02-01,2005-01-31
191.87,42.91,Mar-02 - Feb-05,2002-03-01,2005-02-28
174.87,40.08,Apr-02 - Mar-05,2002-04-01,2005-03-31
169.61,39.18,May-02 - Apr-05,2002-05-01,2005-04-30
202.3,44.59,Jun-02 - May-05,2002-06-01,2005-05-31
206.15,45.2,Jul-02 - Jun-05,2002-07-01,2005-06-30
244.23,50.99,Aug-02 - Jul-05,2002-08-01,2005-07-31
245.88,51.23,Sep-02 - Aug-05,2002-09-01,2005-08-31
310.76,60.15,Oct-02 - Sep-05,2002-10-01,2005-09-30
275.82,55.47,Nov-02 - Oct-05,2002-11-01,2005-10-31
293.48,57.87,Dec-02 - Nov-05,2002-12-01,2005-11-30
288.16,57.16,Jan-03 - Dec-05,2003-01-01,2005-12-31
325.3,62.02,Feb-03 - Jan-06,2003-02-01,2006-01-31
331.88,62.85,Mar-03 - Feb-06,2003-03-01,2006-02-28
399.02,70.89,Apr-03 - Mar-06,2003-04-01,2006-03-31
413.39,72.51,May-03 - Apr-06,2003-05-01,2006-04-30
297.93,58.47,Jun-03 - May-06,2003-06-01,2006-05-31
252.95,52.26,Jul-03 - Jun-06,2003-07-01,2006-06-30
234.12,49.5,Aug-03 - Jul-06,2003-08-01,2006-07-31
216.66,46.85,Sep-03 - Aug-06,2003-09-01,2006-08-31
220.88,47.5,Oct-03 - Sep-06,2003-10-01,2006-09-30
201.6,44.48,Nov-03 - Oct-06,2003-11-01,2006-10-31
197.55,43.83,Dec-03 - Nov-06,2003-12-01,2006-11-30
156.07,36.81,Jan-04 - Dec-06,2004-01-01,2006-12-31
160.03,37.51,Feb-04 - Jan-07,2004-02-01,2007-01-31
132.74,32.52,Mar-04 - Feb-07,2004-02-29,2007-02-28
134.06,32.77,Apr-04 - Mar-07,2004-04-01,2007-03-31
143.44,34.52,May-04 - Apr-07,2004-05-01,2007-04-30
208.92,45.64,Jun-04 - May-07,2004-06-01,2007-05-31
202.79,44.67,Jul-04 - Jun-07,2004-07-01,2007-06-30
204.34,44.92,Aug-04 - Jul-07,2004-08-01,2007-07-31
193.19,43.13,Sep-04 - Aug-07,2004-09-01,2007-08-31
208.07,45.51,Oct-04 - Sep-07,2004-10-01,2007-09-30
246.7,51.35,Nov-04 - Oct-07,2004-11-01,2007-10-31
209.61,45.75,Dec-04 - Nov-07,2004-12-01,2007-11-30
202.94,44.69,Jan-05 - Dec-07,2005-01-01,2007-12-31
164.0,38.21,Feb-05 - Jan-08,2005-02-01,2008-01-31
149.1,35.56,Mar-05 - Feb-08,2005-03-01,2008-02-29
134.33,32.82,Apr-05 - Mar-08,2005-04-01,2008-03-31
166.21,38.59,May-05 - Apr-08,2005-05-01,2008-04-30
137.79,33.47,Jun-05 - May-08,2005-06-01,2008-05-31
86.39,23.07,Jul-05 - Jun-08,2005-07-01,2008-06-30
82.17,22.13,Aug-05 - Jul-08,2005-08-01,2008-07-31
80.44,21.74,Sep-05 - Aug-08,2005-09-01,2008-08-31
54.52,15.61,Oct-05 - Sep-08,2005-10-01,2008-09-30
32.05,9.71,Nov-05 - Oct-08,2005-11-01,2008-10-31
10.27,3.31,Dec-05 - Nov-08,2005-12-01,2008-11-30
11.24,3.61,Jan-06 - Dec-08,2006-01-01,2008-12-31
0.78,0.26,Feb-06 - Jan-09,2006-02-01,2009-01-31
-8.24,-2.83,Mar-06 - Feb-09,2006-03-01,2009-02-28
-8.95,-3.08,Apr-06 - Mar-09,2006-04-01,2009-03-31
0.19,0.06,May-06 - Apr-09,2006-05-01,2009-04-30
44.98,13.18,Jun-06 - May-09,2006-06-01,2009-05-31
50.89,14.7,Jul-06 - Jun-09,2006-07-01,2009-06-30
58.66,16.63,Aug-06 - Jul-09,2006-08-01,2009-07-31
47.74,13.89,Sep-06 - Aug-09,2006-09-01,2009-08-31
48.06,13.98,Oct-06 - Sep-09,2006-10-01,2009-09-30
35.23,10.58,Nov-06 - Oct-09,2006-11-01,2009-10-31
38.89,11.57,Dec-06 - Nov-09,2006-12-01,2009-11-30
41.03,12.14,Jan-07 - Dec-09,2007-01-01,2009-12-31
34.4,10.36,Feb-07 - Jan-10,2007-02-01,2010-01-31
49.32,14.3,Mar-07 - Feb-10,2007-03-01,2010-02-28
58.06,16.49,Apr-07 - Mar-10,2007-04-01,2010-03-31
