abs_val,cagr_val,date_range,start_date,end_date
57.15,9.46,Nov-96 - Oct-01,1996-11-01,2001-10-31
75.21,11.87,Dec-96 - Nov-01,1996-12-01,2001-11-30
68.73,11.03,Jan-97 - Dec-01,1997-01-01,2001-12-31
74.81,11.82,Feb-97 - Jan-02,1997-02-01,2002-01-31
85.48,13.15,Mar-97 - Feb-02,1997-03-01,2002-02-28
94.03,14.18,Apr-97 - Mar-02,1997-04-01,2002-03-31
81.23,12.63,May-97 - Apr-02,1997-05-01,2002-04-30
72.86,11.57,Jun-97 - May-02,1997-06-01,2002-05-31
59.37,9.77,Jul-97 - Jun-02,1997-07-01,2002-06-30
46.92,8.0,Aug-97 - Jul-02,1997-08-01,2002-07-31
63.34,10.31,Sep-97 - Aug-02,1997-09-01,2002-08-31
43.45,7.48,Oct-97 - Sep-02,1997-10-01,2002-09-30
50.59,8.53,Nov-97 - Oct-02,1997-11-01,2002-10-31
66.02,10.67,Dec-97 - Nov-02,1997-12-01,2002-11-30
74.76,11.81,Jan-98 - Dec-02,1998-01-01,2002-12-31
92.16,13.96,Feb-98 - Jan-03,1998-02-01,2003-01-31
74.77,11.81,Mar-98 - Feb-03,1998-03-01,2003-02-28
55.4,9.22,Apr-98 - Mar-03,1998-04-01,2003-03-31
46.46,7.93,May-98 - Apr-03,1998-05-01,2003-04-30
78.36,12.27,Jun-98 - May-03,1998-06-01,2003-05-31
125.39,17.65,Jul-98 - Jun-03,1998-07-01,2003-06-30
122.89,17.39,Aug-98 - Jul-03,1998-08-01,2003-07-31
174.27,22.36,Sep-98 - Aug-03,1998-09-01,2003-08-31
174.88,22.41,Oct-98 - Sep-03,1998-10-01,2003-09-30
219.87,26.18,Nov-98 - Oct-03,1998-11-01,2003-10-31
234.9,27.35,Dec-98 - Nov-03,1998-12-01,2003-11-30
266.81,29.68,Jan-99 - Dec-03,1999-01-01,2003-12-31
219.68,26.17,Feb-99 - Jan-04,1999-02-01,2004-01-31
218.06,26.04,Mar-99 - Feb-04,1999-03-01,2004-02-29
172.96,22.24,Apr-99 - Mar-04,1999-04-01,2004-03-31
214.0,25.72,May-99 - Apr-04,1999-05-01,2004-04-30
141.51,19.29,Jun-99 - May-04,1999-06-01,2004-05-31
148.08,19.93,Jul-99 - Jun-04,1999-07-01,2004-06-30
130.14,18.14,Aug-99 - Jul-04,1999-08-01,2004-07-31
113.59,16.39,Sep-99 - Aug-04,1999-09-01,2004-08-31
121.32,17.22,Oct-99 - Sep-04,1999-10-01,2004-09-30
150.9,20.2,Nov-99 - Oct-04,1999-11-01,2004-10-31
158.6,20.93,Dec-99 - Nov-04,1999-12-01,2004-11-30
152.61,20.36,Jan-00 - Dec-04,2000-01-01,2004-12-31
132.6,18.39,Feb-00 - Jan-05,2000-02-01,2005-01-31
126.84,17.8,Mar-00 - Feb-05,2000-02-29,2005-02-28
142.72,19.4,Apr-00 - Mar-05,2000-04-01,2005-03-31
208.03,25.23,May-00 - Apr-05,2000-05-01,2005-04-30
247.01,28.25,Jun-00 - May-05,2000-06-01,2005-05-31
237.91,27.57,Jul-00 - Jun-05,2000-07-01,2005-06-30
292.24,31.43,Aug-00 - Jul-05,2000-08-01,2005-07-31
288.1,31.16,Sep-00 - Aug-05,2000-09-01,2005-08-31
387.75,37.29,Oct-00 - Sep-05,2000-10-01,2005-09-30
387.52,37.28,Nov-00 - Oct-05,2000-11-01,2005-10-31
399.12,37.92,Dec-00 - Nov-05,2000-12-01,2005-11-30
426.2,39.39,Jan-01 - Dec-05,2001-01-01,2005-12-31
433.41,39.77,Feb-01 - Jan-06,2001-02-01,2006-01-31
447.38,40.49,Mar-01 - Feb-06,2001-03-01,2006-02-28
600.07,47.58,Apr-01 - Mar-06,2001-04-01,2006-03-31
600.31,47.59,May-01 - Apr-06,2001-05-01,2006-04-30
501.88,43.19,Jun-01 - May-06,2001-06-01,2006-05-31
530.21,44.51,Jul-01 - Jun-06,2001-07-01,2006-06-30
560.43,45.87,Aug-01 - Jul-06,2001-08-01,2006-07-31
624.02,48.58,Sep-01 - Aug-06,2001-09-01,2006-08-31
756.86,53.67,Oct-01 - Sep-06,2001-10-01,2006-09-30
732.1,52.77,Nov-01 - Oct-06,2001-11-01,2006-10-31
699.12,51.54,Dec-01 - Nov-06,2001-12-01,2006-11-30
704.72,51.75,Jan-02 - Dec-06,2002-01-01,2006-12-31
677.57,50.71,Feb-02 - Jan-07,2002-02-01,2007-01-31
549.9,45.4,Mar-02 - Feb-07,2002-03-01,2007-02-28
542.71,45.08,Apr-02 - Mar-07,2002-04-01,2007-03-31
571.1,46.34,May-02 - Apr-07,2002-05-01,2007-04-30
659.54,50.01,Jun-02 - May-07,2002-06-01,2007-05-31
639.64,49.21,Jul-02 - Jun-07,2002-07-01,2007-06-30
720.14,52.33,Aug-02 - Jul-07,2002-08-01,2007-07-31
669.05,50.38,Sep-02 - Aug-07,2002-09-01,2007-08-31
839.11,56.51,Oct-02 - Sep-07,2002-10-01,2007-09-30
954.74,60.19,Nov-02 - Oct-07,2002-11-01,2007-10-31
878.71,57.81,Dec-02 - Nov-07,2002-12-01,2007-11-30
885.46,58.03,Jan-03 - Dec-07,2003-01-01,2007-12-31
761.33,53.83,Feb-03 - Jan-08,2003-02-01,2008-01-31
742.49,53.15,Mar-03 - Feb-08,2003-03-01,2008-02-29
691.96,51.27,Apr-03 - Mar-08,2003-04-01,2008-03-31
720.1,52.33,May-03 - Apr-08,2003-05-01,2008-04-30
