abs_val,cagr_val,date_range,start_date,end_date
129.95,129.95,Apr-03 - Mar-04,2003-04-01,2004-03-31
128.03,128.03,May-03 - Apr-04,2003-05-01,2004-04-30
67.97,67.97,Jun-03 - May-04,2003-06-01,2004-05-31
58.45,58.45,Jul-03 - Jun-04,2003-07-01,2004-06-30
55.47,55.47,Aug-03 - Jul-04,2003-08-01,2004-07-31
39.96,39.96,Sep-03 - Aug-04,2003-09-01,2004-08-31
43.3,43.3,Oct-03 - Sep-04,2003-10-01,2004-09-30
27.24,27.24,Nov-03 - Oct-04,2003-11-01,2004-10-31
32.17,32.17,Dec-03 - Nov-04,2003-12-01,2004-11-30
25.01,25.01,Jan-04 - Dec-04,2004-01-01,2004-12-31
22.94,22.94,Feb-04 - Jan-05,2004-02-01,2005-01-31
26.0,26.0,Mar-04 - Feb-05,2004-02-29,2005-02-28
21.49,21.49,Apr-04 - Mar-05,2004-04-01,2005-03-31
10.97,10.97,May-04 - Apr-05,2004-05-01,2005-04-30
45.92,45.92,Jun-04 - May-05,2004-06-01,2005-05-31
48.02,48.02,Jul-04 - Jun-05,2004-07-01,2005-06-30
49.56,49.56,Aug-04 - Jul-05,2004-08-01,2005-07-31
51.64,51.64,Sep-04 - Aug-05,2004-09-01,2005-08-31
55.57,55.57,Oct-04 - Sep-05,2004-10-01,2005-09-30
41.63,41.63,Nov-04 - Oct-05,2004-11-01,2005-10-31
46.27,46.27,Dec-04 - Nov-05,2004-12-01,2005-11-30
42.9,42.9,Jan-05 - Dec-05,2005-01-01,2005-12-31
57.0,57.0,Feb-05 - Jan-06,2005-02-01,2006-01-31
55.81,55.81,Mar-05 - Feb-06,2005-03-01,2006-02-28
80.1,80.1,Apr-05 - Mar-06,2005-04-01,2006-03-31
99.72,99.72,May-05 - Apr-06,2005-05-01,2006-04-30
59.53,59.53,Jun-05 - May-06,2005-06-01,2006-05-31
51.62,51.62,Jul-05 - Jun-06,2005-07-01,2006-06-30
43.66,43.66,Aug-05 - Jul-06,2005-08-01,2006-07-31
49.53,49.53,Sep-05 - Aug-06,2005-09-01,2006-08-31
45.17,45.17,Oct-05 - Sep-06,2005-10-01,2006-09-30
64.12,64.12,Nov-05 - Oct-06,2005-11-01,2006-10-31
53.98,53.98,Dec-05 - Nov-06,2005-12-01,2006-11-30
46.6,46.6,Jan-06 - Dec-06,2006-01-01,2006-12-31
39.64,39.64,Feb-06 - Jan-07,2006-02-01,2007-01-31
26.33,26.33,Mar-06 - Feb-07,2006-03-01,2007-02-28
14.9,14.9,Apr-06 - Mar-07,2006-04-01,2007-03-31
18.21,18.21,May-06 - Apr-07,2006-05-01,2007-04-30
45.36,45.36,Jun-06 - May-07,2006-06-01,2007-05-31
49.6,49.6,Jul-06 - Jun-07,2006-07-01,2007-06-30
53.17,53.17,Aug-06 - Jul-07,2006-08-01,2007-07-31
38.46,38.46,Sep-06 - Aug-07,2006-09-01,2007-08-31
47.86,47.86,Oct-06 - Sep-07,2006-10-01,2007-09-30
62.79,62.79,Nov-06 - Oct-07,2006-11-01,2007-10-31
55.42,55.42,Dec-06 - Nov-07,2006-12-01,2007-11-30
64.93,64.93,Jan-07 - Dec-07,2007-01-01,2007-12-31
33.89,33.89,Feb-07 - Jan-08,2007-02-01,2008-01-31
41.86,41.86,Mar-07 - Feb-08,2007-03-01,2008-02-29
28.28,28.28,Apr-07 - Mar-08,2007-04-01,2008-03-31
29.88,29.88,May-07 - Apr-08,2007-05-01,2008-04-30
17.57,17.57,Jun-07 - May-08,2007-06-01,2008-05-31
-2.01,-2.01,Jul-07 - Jun-08,2007-07-01,2008-06-30
-1.4,-1.4,Aug-07 - Jul-08,2007-08-01,2008-07-31
3.33,3.33,Sep-07 - Aug-08,2007-09-01,2008-08-31
-15.74,-15.74,Oct-07 - Sep-08,2007-10-01,2008-09-30
-40.98,-40.98,Nov-07 - Oct-08,2007-11-01,2008-10-31
-43.29,-43.29,Dec-07 - Nov-08,2007-12-01,2008-11-30
-45.54,-45.54,Jan-08 - Dec-08,2008-01-01,2008-12-31
-34.61,-34.61,Feb-08 - Jan-09,2008-02-01,2009-01-31
-36.28,-36.28,Mar-08 - Feb-09,2008-02-29,2009-02-28
-26.41,-26.41,Apr-08 - Mar-09,2008-04-01,2009-03-31
-24.94,-24.94,May-08 - Apr-09,2008-05-01,2009-04-30
-3.89,-3.89,Jun-08 - May-09,2008-06-01,2009-05-31
13.85,13.85,Jul-08 - Jun-09,2008-07-01,2009-06-30
19.09,19.09,Aug-08 - Jul-09,2008-08-01,2009-07-31
16.8,16.8,Sep-08 - Aug-09,2008-09-01,2009-08-31
37.33,37.33,Oct-08 - Sep-09,2008-10-01,2009-09-30
63.64,63.64,Nov-08 - Oct-09,2008-11-01,2009-10-31
79.34,79.34,Dec-08 - Nov-09,2008-12-01,2009-11-30
77.13,77.13,Jan-09 - Dec-09,2009-01-01,2009-12-31
69.16,69.16,Feb-09 - Jan-10,2009-02-01,2010-01-31
75.64,75.64,Mar-09 - Feb-10,2009-03-01,2010-02-28
75.6,75.6,Apr-09 - Mar-10,2009-04-01,2010-03-31
58.42,58.42,May-09 - Apr-10,2009-05-01,2010-04-30
25.15,25.15,Jun-09 - May-10,2009-06-01,2010-05-31
29.77,29.77,Jul-09 - Jun-10,2009-07-01,2010-06-30
19.01,19.01,Aug-09 - Jul-10,2009-08-01,2010-07-31
21.18,21.18,Sep-09 - Aug-10,2009-09-01,2010-08-31
22.13,22.13,Oct-09 - Sep-10,2009-10-01,2010-09-30
26.23,26.23,Nov-09 - Oct-10,2009-11-01,2010-10-31
16.45,16.45,Dec-09 - Nov-10,2009-12-01,2010-11-30
16.8,16.8,Jan-10 - Dec-10,2010-01-01,2010-12-31
14.31,14.31,Feb-10 - Jan-11,2010-02-01,2011-01-31
9.64,9.64,Mar-10 - Feb-11,2010-03-01,2011-02-28
10.99,10.99,Apr-10 - Mar-11,2010-04-01,2011-03-31
10.68,10.68,May-10 - Apr-11,2010-05-01,2011-04-30
11.13,11.13,Jun-10 - May-11,2010-06-01,2011-05-31
7.78,7.78,Jul-10 - Jun-11,2010-07-01,2011-06-30
4.85,4.85,Aug-10 - Jul-11,2010-08-01,2011-07-31
-3.85,-3.85,Sep-10 - Aug-11,2010-09-01,2011-08-31
-13.84,-13.84,Oct-10 - Sep-11,2010-10-01,2011-09-30
-8.06,-8.06,Nov-10 - Oct-11,2010-11-01,2011-10-31
-13.5,-13.5,Dec-10 - Nov-11,2010-12-01,2011-11-30
-19.85,-19.85,Jan-11 - Dec-11,2011-01-01,2011-12-31
-1.79,-1.79,Feb-11 - Jan-12,2011-02-01,2012-01-31
6.62,6.62,Mar-11 - Feb-12,2011-03-01,2012-02-29
-2.09,-2.09,Apr-11 - Mar-12,2011-04-01,2012-03-31
-2.54,-2.54,May-11 - Apr-12,2011-05-01,2012-04-30
-7.26,-7.26,Jun-11 - May-12,2011-06-01,2012-05-31
-3.72,-3.72,Jul-11 - Jun-12,2011-07-01,2012-06-30
-1.92,-1.92,Aug-11 - Jul-12,2011-08-01,2012-07-31
4.68,4.68,Sep-11 - Aug-12,2011-09-01,2012-08-31
14.6,14.6,Oct-11 - Sep-12,2011-10-01,2012-09-30
6.53,6.53,Nov-11 - Oct-12,2011-11-01,2012-10-31
22.44,22.44,Dec-11 - Nov-12,2011-12-01,2012-11-30
30.29,30.29,Jan-12 - Dec-12,2012-01-01,2012-12-31
15.48,15.48,Feb-12 - Jan-13,2012-02-01,2013-01-31
2.48,2.48,Mar-12 - Feb-13,2012-02-29,2013-02-28
2.64,2.64,Apr-12 - Mar-13,2012-04-01,2013-03-31
8.08,8.08,May-12 - Apr-13,2012-05-01,2013-04-30
15.29,15.29,Jun-12 - May-13,2012-06-01,2013-05-31
5.96,5.96,Jul-12 - Jun-13,2012-07-01,2013-06-30
7.49,7.49,Aug-12 - Jul-13,2012-08-01,2013-07-31
1.74,1.74,Sep-12 - Aug-13,2012-09-01,2013-08-31
-2.75,-2.75,Oct-12 - Sep-13,2012-10-01,2013-09-30
8.79,8.79,Nov-12 - Oct-13,2012-11-01,2013-10-31
-0.14,-0.14,Dec-12 - Nov-13,2012-12-01,2013-11-30
2.23,2.23,Jan-13 - Dec-13,2013-01-01,2013-12-31
-3.12,-3.12,Feb-13 - Jan-14,2013-02-01,2014-01-31
7.85,7.85,Mar-13 - Feb-14,2013-03-01,2014-02-28
15.67,15.67,Apr-13 - Mar-14,2013-04-01,2014-03-31
10.08,10.08,May-13 - Apr-14,2013-05-01,2014-04-30
24.98,24.98,Jun-13 - May-14,2013-06-01,2014-05-31
37.16,37.16,Jul-13 - Jun-14,2013-07-01,2014-06-30
35.43,35.43,Aug-13 - Jul-14,2013-08-01,2014-07-31
48.08,48.08,Sep-13 - Aug-14,2013-09-01,2014-08-31
43.88,43.88,Oct-13 - Sep-14,2013-10-01,2014-09-30
37.33,37.33,Nov-13 - Oct-14,2013-11-01,2014-10-31
45.55,45.55,Dec-13 - Nov-14,2013-12-01,2014-11-30
37.49,37.49,Jan-14 - Dec-14,2014-01-01,2014-12-31
54.23,54.23,Feb-14 - Jan-15,2014-02-01,2015-01-31
48.54,48.54,Mar-14 - Feb-15,2014-03-01,2015-02-28
36.87,36.87,Apr-14 - Mar-15,2014-04-01,2015-03-31
30.29,30.29,May-14 - Apr-15,2014-05-01,2015-04-30
18.05,18.05,Jun-14 - May-15,2014-06-01,2015-05-31
10.08,10.08,Jul-14 - Jun-15,2014-07-01,2015-06-30
16.44,16.44,Aug-14 - Jul-15,2014-08-01,2015-07-31
4.41,4.41,Sep-14 - Aug-15,2014-09-01,2015-08-31
3.63,3.63,Oct-14 - Sep-15,2014-10-01,2015-09-30
-0.64,-0.64,Nov-14 - Oct-15,2014-11-01,2015-10-31
-3.42,-3.42,Dec-14 - Nov-15,2014-12-01,2015-11-30
-2.33,-2.33,Jan-15 - Dec-15,2015-01-01,2015-12-31
-14.26,-14.26,Feb-15 - Jan-16,2015-02-01,2016-01-31
-21.02,-21.02,Mar-15 - Feb-16,2015-03-01,2016-02-29
-9.35,-9.35,Apr-15 - Mar-16,2015-04-01,2016-03-31
-2.29,-2.29,May-15 - Apr-16,2015-05-01,2016-04-30
-2.13,-2.13,Jun-15 - May-16,2015-06-01,2016-05-31
1.39,1.39,Jul-15 - Jun-16,2015-07-01,2016-06-30
3.82,3.82,Aug-15 - Jul-16,2015-08-01,2016-07-31
14.38,14.38,Sep-15 - Aug-16,2015-09-01,2016-08-31
14.37,14.37,Oct-15 - Sep-16,2015-10-01,2016-09-30
15.65,15.65,Nov-15 - Oct-16,2015-11-01,2016-10-31
7.25,7.25,Dec-15 - Nov-16,2015-12-01,2016-11-30
4.89,4.89,Jan-16 - Dec-16,2016-01-01,2016-12-31
18.51,18.51,Feb-16 - Jan-17,2016-02-01,2017-01-31
32.43,32.43,Mar-16 - Feb-17,2016-02-29,2017-02-28
22.28,22.28,Apr-16 - Mar-17,2016-04-01,2017-03-31
22.1,22.1,May-16 - Apr-17,2016-05-01,2017-04-30
20.89,20.89,Jun-16 - May-17,2016-06-01,2017-05-31
15.92,15.92,Jul-16 - Jun-17,2016-07-01,2017-06-30
16.05,16.05,Aug-16 - Jul-17,2016-08-01,2017-07-31
11.97,11.97,Sep-16 - Aug-17,2016-09-01,2017-08-31
11.19,11.19,Oct-16 - Sep-17,2016-10-01,2017-09-30
13.07,13.07,Nov-16 - Oct-17,2016-11-01,2017-10-31
18.92,18.92,Dec-16 - Nov-17,2016-12-01,2017-11-30
26.48,26.48,Jan-17 - Dec-17,2017-01-01,2017-12-31
21.76,21.76,Feb-17 - Jan-18,2017-02-01,2018-01-31
14.33,14.33,Mar-17 - Feb-18,2017-03-01,2018-02-28
8.17,8.17,Apr-17 - Mar-18,2017-04-01,2018-03-31
10.91,10.91,May-17 - Apr-18,2017-05-01,2018-04-30
7.68,7.68,Jun-17 - May-18,2017-06-01,2018-05-31
7.76,7.76,Jul-17 - Jun-18,2017-07-01,2018-06-30
6.87,6.87,Aug-17 - Jul-18,2017-08-01,2018-07-31
8.83,8.83,Sep-17 - Aug-18,2017-09-01,2018-08-31
-0.31,-0.31,Oct-17 - Sep-18,2017-10-01,2018-09-30
-8.34,-8.34,Nov-17 - Oct-18,2017-11-01,2018-10-31
0.97,0.97,Dec-17 - Nov-18,2017-12-01,2018-11-30
-2.72,-2.72,Jan-18 - Dec-18,2018-01-01,2018-12-31
-8.54,-8.54,Feb-18 - Jan-19,2018-02-01,2019-01-31
-4.81,-4.81,Mar-18 - Feb-19,2018-03-01,2019-02-28
6.5,6.5,Apr-18 - Mar-19,2018-04-01,2019-03-31
1.63,1.63,May-18 - Apr-19,2018-05-01,2019-04-30
6.18,6.18,Jun-18 - May-19,2018-06-01,2019-05-31
7.0,7.0,Jul-18 - Jun-19,2018-07-01,2019-06-30
-6.46,-6.46,Aug-18 - Jul-19,2018-08-01,2019-07-31
-8.59,-8.59,Sep-18 - Aug-19,2018-09-01,2019-08-31
9.9,9.9,Oct-18 - Sep-19,2018-10-01,2019-09-30
20.79,20.79,Nov-18 - Oct-19,2018-11-01,2019-10-31
13.43,13.43,Dec-18 - Nov-19,2018-12-01,2019-11-30
14.85,14.85,Jan-19 - Dec-19,2019-01-01,2019-12-31
18.89,18.89,Feb-19 - Jan-20,2019-02-01,2020-01-31
12.01,12.01,Mar-19 - Feb-20,2019-03-01,2020-02-29
-25.05,-25.05,Apr-19 - Mar-20,2019-04-01,2020-03-31
-14.43,-14.43,May-19 - Apr-20,2019-05-01,2020-04-30
-19.49,-19.49,Jun-19 - May-20,2019-06-01,2020-05-31
-12.85,-12.85,Jul-19 - Jun-20,2019-07-01,2020-06-30
-0.52,-0.52,Aug-19 - Jul-20,2019-08-01,2020-07-31
1.47,1.47,Sep-19 - Aug-20,2019-09-01,2020-08-31
-5.88,-5.88,Oct-19 - Sep-20,2019-10-01,2020-09-30
-6.94,-6.94,Nov-19 - Oct-20,2019-11-01,2020-10-31
0.87,0.87,Dec-19 - Nov-20,2019-12-01,2020-11-30
7.49,7.49,Jan-20 - Dec-20,2020-01-01,2020-12-31
6.27,6.27,Feb-20 - Jan-21,2020-02-01,2021-01-31
16.85,16.85,Mar-20 - Feb-21,2020-02-29,2021-02-28
63.7,63.7,Apr-20 - Mar-21,2020-04-01,2021-03-31
42.71,42.71,May-20 - Apr-21,2020-05-01,2021-04-30
56.06,56.06,Jun-20 - May-21,2020-06-01,2021-05-31
48.36,48.36,Jul-20 - Jun-21,2020-07-01,2021-06-30
43.76,43.76,Aug-20 - Jul-21,2020-08-01,2021-07-31
51.26,51.26,Sep-20 - Aug-21,2020-09-01,2021-08-31
50.64,50.64,Oct-20 - Sep-21,2020-10-01,2021-09-30
43.83,43.83,Nov-20 - Oct-21,2020-11-01,2021-10-31
25.26,25.26,Dec-20 - Nov-21,2020-12-01,2021-11-30
19.53,19.53,Jan-21 - Dec-21,2021-01-01,2021-12-31
20.04,20.04,Feb-21 - Jan-22,2021-02-01,2022-01-31
9.55,9.55,Mar-21 - Feb-22,2021-03-01,2022-02-28
10.31,10.31,Apr-21 - Mar-22,2021-04-01,2022-03-31
7.67,7.67,May-21 - Apr-22,2021-05-01,2022-04-30
0.24,0.24,Jun-21 - May-22,2021-06-01,2022-05-31
-6.9,-6.9,Jul-21 - Jun-22,2021-07-01,2022-06-30
-0.35,-0.35,Aug-21 - Jul-22,2021-08-01,2022-07-31
-2.72,-2.72,Sep-21 - Aug-22,2021-09-01,2022-08-31
-4.9,-4.9,Oct-21 - Sep-22,2021-10-01,2022-09-30
1.13,1.13,Nov-21 - Oct-22,2021-11-01,2022-10-31
7.5,7.5,Dec-21 - Nov-22,2021-12-01,2022-11-30
1.44,1.44,Jan-22 - Dec-22,2022-01-01,2022-12-31
1.39,1.39,Feb-22 - Jan-23,2022-02-01,2023-01-31
6.01,6.01,Mar-22 - Feb-23,2022-03-01,2023-02-28
2.29,2.29,Apr-22 - Mar-23,2022-04-01,2023-03-31
8.6,8.6,May-22 - Apr-23,2022-05-01,2023-04-30
14.16,14.16,Jun-22 - May-23,2022-06-01,2023-05-31
25.47,25.47,Jul-22 - Jun-23,2022-07-01,2023-06-30
18.83,18.83,Aug-22 - Jul-23,2022-08-01,2023-07-31
13.8,13.8,Sep-22 - Aug-23,2022-09-01,2023-08-31
18.34,18.34,Oct-22 - Sep-23,2022-10-01,2023-09-30
9.89,9.89,Nov-22 - Oct-23,2022-11-01,2023-10-31
16.0,16.0,Dec-22 - Nov-23,2022-12-01,2023-11-30
26.61,26.61,Jan-23 - Dec-23,2023-01-01,2023-12-31
28.83,28.83,Feb-23 - Jan-24,2023-02-01,2024-01-31
34.12,34.12,Mar-23 - Feb-24,2023-03-01,2024-02-29
36.65,36.65,Apr-23 - Mar-24,2023-04-01,2024-03-31
37.12,37.12,May-23 - Apr-24,2023-05-01,2024-04-30
31.9,31.9,Jun-23 - May-24,2023-06-01,2024-05-31
35.69,35.69,Jul-23 - Jun-24,2023-07-01,2024-06-30
38.25,38.25,Aug-23 - Jul-24,2023-08-01,2024-07-31
41.18,41.18,Sep-23 - Aug-24,2023-09-01,2024-08-31
42.29,42.29,Oct-23 - Sep-24,2023-10-01,2024-09-30
39.53,39.53,Nov-23 - Oct-24,2023-11-01,2024-10-31
29.37,29.37,Dec-23 - Nov-24,2023-12-01,2024-11-30
20.5,20.5,Jan-24 - Dec-24,2024-01-01,2024-12-31
18.1,18.1,Feb-24 - Jan-25,2024-02-01,2025-01-31
9.32,9.32,Mar-24 - Feb-25,2024-02-29,2025-02-28
14.75,14.75,Apr-24 - Mar-25,2024-04-01,2025-03-31
14.07,14.07,May-24 - Apr-25,2024-05-01,2025-04-30
16.02,16.02,Jun-24 - May-25,2024-06-01,2025-05-31
10.34,10.34,Jul-24 - Jun-25,2024-07-01,2025-06-30
1.56,1.56,Aug-24 - Jul-25,2024-08-01,2025-07-31
-1.55,-1.55,Sep-24 - Aug-25,2024-09-01,2025-08-31
-2.65,-2.65,Oct-24 - Sep-25,2024-10-01,2025-09-30
