api_sector,fund_sector
Alcohol,Alcoholic Beverages
Ship Building,Aerospace & Defence
Aviation,Aerospace & Defence
Chemicals,Agro Chemicals
Aviation,Air Transport Service
Automobile & Ancillaries,Auto Ancillaries
Automobile & Ancillaries,Automobile
Banks,Banks
Power,Cables
Chemicals, Chemicals
Infrastructure,Cement
Construction Materials,Cement
Consumer Durables,Consumer Durables
Electricals,Electronics
FMCG,E-Commerce/App based Aggregator
Finance,Finance
Miscellaneous,Fertilizers
Miscellaneous,Entertainment
FMCG,FMCG
Finance,Financial Servicesw
Capital Goods,Capital Goods - Electrical Equipment
Capital Goods,Capital Goods-Non Electrical Equipment
Capital Goods,Engineering
Containers & Packaging,Packaging
Diamond  &  Jewellery,Diamond Gems and Jewellery
Electricals,Capital Goods - Electrical Equipment
Hospitality,Hotels & Restaurants
Industrial Gases & Fuels,Gas Distribution
Insurance,Insurance
Logistics,Logistics
Manufacturing,Engineering
Manufacturing,Miscellaneous
Media & Entertainment,Entertainment
Media & Entertainment,Media - Print/Television/Radio
Metals & Mining,Mining & Mineral products
Metals & Mining,Non Ferrous Metals
Metals & Mining,Steel
Miscellaneous,Miscellaneous
Oil & Gas,Crude Oil & Natural Gas
Oil & Gas,Gas Distribution
Oil & Gas,Refineries
Paper,Packaging
Paper,Printing & Stationery
Plastic Products,Plastic products
Real Estate,Infrastructure Developers & Operators
Real Estate,Real Estate Investment Trusts
Real Estate,Realty
Retailing,Retail
Software & IT Services,IT - Software
Trading,Trading
