Stock,Lookback,Return,AnchorDateUsed,TargetDateUsed,Rank
NIFTY IT,1M,-13.68130166,01-07-2026,01-06-2026,32
NIFTY IT,2M,-12.20996188,01-07-2026,30-04-2026,32
NIFTY IT,3M,-13.1424835,01-07-2026,01-04-2026,32
NIFTY IT,4M,-15.79556167,01-07-2026,27-02-2026,32
NIFTY IT,5M,-32.63316947,01-07-2026,01-02-2026,32
NIFTY IT,6M,-32.48942274,01-07-2026,01-01-2026,32
NIFTY IT,7M,-31.37148899,01-07-2026,01-12-2025,32
NIFTY IT,8M,-27.84064896,01-07-2026,31-10-2025,32
NIFTY IT,9M,-23.99454951,01-07-2026,01-10-2025,32
NIFTY IT,10M,-27.89778585,01-07-2026,01-09-2025,32
NIFTY IT,11M,-25.62742427,01-07-2026,01-08-2025,32
NIFTY IT,12M,-33.63968671,01-07-2026,01-07-2025,32
NIFTY METAL,1M,-8.231561724,01-07-2026,01-06-2026,31
NIFTY OIL & GAS,2M,-5.220335795,01-07-2026,30-04-2026,31
NIFTY OIL & GAS,3M,1.41915354,01-07-2026,01-04-2026,31
NIFTY INSURANCE,4M,-10.36971162,01-07-2026,27-02-2026,31
NIFTY INSURANCE,5M,-7.042767725,01-07-2026,01-02-2026,31
NIFTY INSURANCE,6M,-10.86103331,01-07-2026,01-01-2026,31
NIFTY INDIA INTERNET,7M,-11.2633129,01-07-2026,01-12-2025,31
NIFTY CEMENT,8M,-11.72923169,01-07-2026,31-10-2025,31
NIFTY CONSUMER SERVICES,9M,-12.94696531,01-07-2026,01-10-2025,31
NIFTY CONSUMER SERVICES,10M,-15.83447741,01-07-2026,01-09-2025,31
NIFTY CEMENT,11M,-14.87871463,01-07-2026,01-08-2025,31
NIFTY CONTRUCTION,12M,-14.41798503,01-07-2026,01-07-2025,31
NIFTY COMMODITIES,1M,-4.458558303,01-07-2026,01-06-2026,30
NIFTY POWER,2M,-4.427088186,01-07-2026,30-04-2026,30
NIFTY INSURANCE,3M,4.301191182,01-07-2026,01-04-2026,30
NIFTY OIL & GAS,4M,-9.627065855,01-07-2026,27-02-2026,30
NIFTY SERVICES,5M,-6.093310711,01-07-2026,01-02-2026,30
NIFTY OIL & GAS,6M,-9.389178186,01-07-2026,01-01-2026,30
NIFTY INSURANCE,7M,-11.07894495,01-07-2026,01-12-2025,30
NIFTY CONSUMER SERVICES,8M,-11.62869542,01-07-2026,31-10-2025,30
NIFTY CEMENT,9M,-12.23459622,01-07-2026,01-10-2025,30
NIFTY CEMENT,10M,-15.65816605,01-07-2026,01-09-2025,30
NIFTY CONSUMER SERVICES,11M,-11.6610852,01-07-2026,01-08-2025,30
NIFTY CEMENT,12M,-13.80853354,01-07-2026,01-07-2025,30
NIFTY POWER,1M,-2.038566499,01-07-2026,01-06-2026,29
NIFTY COMMODITIES,2M,-4.421230502,01-07-2026,30-04-2026,29
NIFTY COMMODITIES,3M,5.711507819,01-07-2026,01-04-2026,29
NIFTY CEMENT,4M,-6.416405087,01-07-2026,27-02-2026,29
NIFTY CEMENT,5M,-5.40590933,01-07-2026,01-02-2026,29
NIFTY SERVICES,6M,-9.210664622,01-07-2026,01-01-2026,29
NIFTY TOURISM,7M,-10.43856631,01-07-2026,01-12-2025,29
NIFTY INDIA INTERNET,8M,-11.47007776,01-07-2026,31-10-2025,29
NIFTY RETAIL,9M,-11.51413815,01-07-2026,01-10-2025,29
NIFTY RETAIL,10M,-14.03749066,01-07-2026,01-09-2025,29
