Positions Over Time - HDFC Large Cap Fund - Regular (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Air Transport Service,1.75,1.69,1.67,1.81,1.52,1.51,1.50,1.46,1.51,1.55
Equity/Debt,Alcoholic Beverages,1.60,1.66,1.64,1.65,1.64,1.70,1.71,1.72,1.62,1.30
Equity/Debt,Automobile,9.12,9.16,9.95,10.61,10.11,10.10,9.85,10.39,11.00,10.00
Equity/Debt,Banks,29.69,29.93,29.10,30.50,30.37,28.96,29.27,28.22,28.31,28.68
Equity/Debt,Capital Goods - Electrical Equipment,0.66,0.58,0.50,0.49,0.27,0.58,0.61,0.63,0.67,0.64
Equity/Debt,Capital Goods-Non Electrical Equipment,0.36,0.32,0.29,0.28,0.24,0.25,0.25,0.25,0.24,0.23
Equity/Debt,Cement,2.64,2.60,2.52,3.81,3.91,3.99,3.95,4.15,4.36,4.17
Equity/Debt,Chemicals,1.00,0.92,0.95,0.89,0.99,1.05,1.00,1.02,1.02,1.05
Equity/Debt,Consumer Durables,1.35,1.41,1.45,1.51,1.40,1.56,1.58,1.35,1.03,1.06
Equity/Debt,Debt Others,2.17,3.10,3.00,0.97,2.49,1.16,1.64,2.87,1.98,2.82
Equity/Debt,Diamond Gems and Jewellery,4.44,4.74,4.59,4.45,4.14,4.11,3.97,3.88,3.38,3.13
Equity/Debt,E-Commerce/App based Aggregator,3.20,3.01,2.79,2.59,2.61,2.70,2.23,2.41,2.56,2.51
Equity/Debt,Finance,7.17,6.60,6.24,6.50,6.19,5.20,4.64,4.67,4.42,3.84
Equity/Debt,FMCG,0.81,0.80,0.80,0.89,0.88,0.85,0.88,0.84,0.88,0.95
Equity/Debt,Govt. Securities,0.50,0.49,0.53,0.48,-,-,-,-,-,-
Equity/Debt,Healthcare,1.69,1.72,1.36,1.37,1.21,0.98,1.09,0.76,-,-
Equity/Debt,Hotels & Restaurants,-,-,-,-,-,-,0.16,0.17,0.19,0.20
Equity/Debt,Infrastructure Developers & Operators,2.12,1.38,1.29,1.40,1.30,1.32,1.31,1.33,1.25,1.63
Equity/Debt,Insurance,0.19,0.19,0.20,0.20,0.20,0.20,0.19,0.19,0.19,0.19
Equity/Debt,IT - Software,2.98,3.01,3.99,3.67,3.57,3.15,3.31,3.21,4.51,4.72
Equity/Debt,Marine Port & Services,1.04,0.95,0.81,1.45,1.37,1.38,1.43,1.40,1.40,1.33
Equity/Debt,Mining & Mineral products,-,-,-,-,-,-,-,-,0.29,0.59
Equity/Debt,Non Ferrous Metals,0.27,0.24,0.22,0.21,0.63,1.25,1.14,1.22,1.14,1.07
Equity/Debt,Pharmaceuticals,8.20,7.89,8.94,8.14,8.04,9.46,9.49,9.24,9.17,8.57
Equity/Debt,Plantation & Plantation Products,1.58,1.52,1.45,1.44,1.45,1.48,1.46,1.48,1.49,1.43
Equity/Debt,Power Generation & Distribution,2.28,2.34,2.33,2.13,2.20,2.41,2.68,2.82,4.09,4.05
Equity/Debt,Realty,0.33,0.33,0.30,0.32,0.34,0.36,0.38,0.40,0.39,0.42
Equity/Debt,Refineries,5.22,5.61,5.40,4.96,5.55,6.09,6.08,5.77,4.80,4.85
Equity/Debt,Retail,1.59,1.58,1.46,1.45,1.20,1.27,1.27,1.38,1.48,1.50
Equity/Debt,Stock/ Commodity Brokers,0.28,0.33,0.24,0.24,0.26,0.22,0.23,-,-,-
Equity/Debt,Telecom-Service,5.77,5.90,5.99,5.59,5.92,6.18,6.17,6.16,5.85,5.98
Equity/Debt,Tobacco Products,-,-,-,-,-,0.53,0.53,0.61,0.78,1.54
