Positions Over Time - HSBC Large Cap Fund (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Aerospace & Defence,-,-,-,-,0.61,0.57,0.59,0.62,0.65,0.59
Equity/Debt,Air Transport Service,1.88,1.81,0.71,-,-,-,-,-,-,-
Equity/Debt,Alcoholic Beverages,0.72,0.37,-,-,-,-,-,-,-,-
Equity/Debt,Automobile,4.94,5.47,6.74,8.80,9.31,8.74,9.04,7.28,6.65,6.20
Equity/Debt,Banks,24.76,28.09,28.85,30.18,30.27,28.79,29.04,28.25,28.30,28.08
Equity/Debt,Cables,2.70,2.27,2.87,3.41,2.79,2.99,2.92,3.05,2.98,3.10
Equity/Debt,Capital Goods - Electrical Equipment,-,-,-,-,-,-,-,0.82,1.28,2.51
Equity/Debt,Cement,1.96,1.95,1.93,2.01,2.02,1.85,1.81,1.89,2.00,2.42
Equity/Debt,Consumer Durables,1.08,1.12,0.78,-,-,-,-,-,-,-
Equity/Debt,Debt Others,7.47,2.37,1.25,3.33,1.16,4.54,3.42,1.00,1.69,2.30
Equity/Debt,Diamond Gems and Jewellery,1.74,2.09,2.01,1.94,1.79,1.80,1.73,1.68,1.56,1.69
Equity/Debt,E-Commerce/App based Aggregator,6.80,5.72,4.99,4.84,5.27,5.66,5.88,6.37,6.75,6.53
Equity/Debt,Finance,8.11,8.09,7.23,7.59,7.24,6.08,4.93,6.30,5.82,5.45
Equity/Debt,FMCG,2.25,4.82,4.39,4.50,4.51,4.62,6.05,6.06,6.28,3.19
Equity/Debt,Healthcare,3.43,3.25,3.37,2.48,2.22,2.21,1.91,2.03,2.02,2.08
Equity/Debt,Infrastructure Developers & Operators,5.22,5.06,4.73,4.52,3.34,3.42,3.39,3.41,3.20,3.15
Equity/Debt,Insurance,1.04,-,-,-,-,-,-,-,-,-
Equity/Debt,IT - Software,5.37,7.31,8.17,7.38,10.22,10.32,9.98,9.59,9.50,9.84
Equity/Debt,Logistics,1.29,1.31,1.25,1.14,2.24,2.11,2.22,2.46,2.46,2.56
Equity/Debt,Pharmaceuticals,3.37,3.20,6.00,5.49,5.15,4.72,4.53,4.92,4.96,4.98
Equity/Debt,Power Generation & Distribution,1.43,1.45,1.44,1.31,1.23,1.12,1.11,1.78,1.86,2.24
Equity/Debt,Preference n Warrants,-,-,-,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Equity/Debt,Quick Service Restaurant,-,-,-,-,-,-,-,1.26,1.35,1.37
Equity/Debt,Refineries,6.76,6.54,7.25,5.89,5.92,6.57,6.53,6.28,5.96,5.94
Equity/Debt,Retail,1.08,1.05,-,-,-,-,-,-,-,1.01
Equity/Debt,Steel,2.96,2.96,2.30,1.68,1.02,-,-,-,-,-
Equity/Debt,Telecom-Service,3.64,3.70,3.74,3.47,3.65,3.85,3.83,3.80,3.59,3.61
Equity/Debt,Tobacco Products,-,-,-,-,-,-,1.05,1.11,1.10,1.12
