Positions Over Time - ITI Large Cap Fund (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Aerospace & Defence,2.90,2.94,2.53,2.48,2.67,2.36,2.41,2.50,2.53,2.34
Equity/Debt,Air Transport Service,0.61,0.58,1.17,1.26,1.19,1.78,2.04,1.95,2.01,1.44
Equity/Debt,Automobile,5.19,5.17,5.02,5.15,5.06,5.33,5.15,5.42,5.21,4.01
Equity/Debt,Banks,25.99,27.80,25.15,27.25,27.09,24.98,24.93,23.93,23.59,24.42
Equity/Debt,Cables,-,-,-,-,-,-,-,-,-,0.64
Equity/Debt,Capital Goods - Electrical Equipment,0.57,-,-,-,-,-,-,-,-,-
Equity/Debt,Capital Goods-Non Electrical Equipment,2.49,2.40,2.36,2.22,2.21,2.91,2.85,3.15,2.90,2.92
Equity/Debt,Cement,2.86,2.80,2.14,2.26,2.27,2.18,2.11,2.18,2.30,2.36
Equity/Debt,Debt Others,2.61,1.54,1.81,2.28,2.94,1.68,2.22,3.54,1.22,1.49
Equity/Debt,Diamond Gems and Jewellery,1.98,2.08,2.46,2.32,2.18,2.20,2.15,2.14,2.02,2.09
Equity/Debt,E-Commerce/App based Aggregator,3.40,3.34,3.17,2.96,3.22,3.40,2.94,2.04,2.09,1.64
Equity/Debt,Engineering,-,-,-,-,-,-,0.46,0.46,0.46,-
Equity/Debt,Finance,9.46,9.51,9.40,9.97,9.57,9.87,9.94,9.90,9.98,10.30
Equity/Debt,Financial Services,0.16,0.19,1.23,1.18,-,1.28,1.23,1.28,1.27,1.25
Equity/Debt,FMCG,2.42,2.62,2.25,2.26,2.30,2.29,2.21,2.18,3.53,4.34
Equity/Debt,Healthcare,1.50,1.37,1.10,1.02,0.90,0.88,0.90,0.95,0.95,0.99
Equity/Debt,Hotels & Restaurants,1.13,1.07,0.80,0.82,0.83,0.87,0.87,0.57,0.57,0.61
Equity/Debt,Infrastructure Developers & Operators,4.71,4.53,3.78,4.05,4.16,3.92,3.83,3.83,2.27,2.28
Equity/Debt,Insurance,0.86,0.84,0.68,0.68,0.67,0.65,0.62,0.62,0.59,0.60
Equity/Debt,IT - Software,-,-,4.07,3.79,4.81,4.69,5.50,5.23,7.25,8.12
Equity/Debt,Marine Port & Services,2.15,1.93,1.51,1.53,1.42,1.42,1.44,0.99,-,-
Equity/Debt,Mining & Mineral products,-,-,-,0.99,0.93,0.80,0.87,0.90,0.94,0.91
Equity/Debt,Miscellaneous,1.28,1.00,0.61,0.60,0.68,0.76,0.72,0.85,0.81,1.62
Equity/Debt,Non Ferrous Metals,1.91,1.72,2.80,1.62,1.68,1.99,1.79,1.88,1.34,1.26
Equity/Debt,Paints/Varnish,-,-,-,-,-,-,-,0.63,0.61,0.66
Equity/Debt,Pharmaceuticals,3.06,2.98,2.36,2.09,1.93,2.00,2.07,1.98,3.40,3.38
Equity/Debt,Power Generation & Distribution,7.46,6.70,4.89,4.39,4.51,4.35,5.26,6.08,6.43,4.81
Equity/Debt,Preference n Warrants,-,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Equity/Debt,Realty,0.70,0.68,0.48,0.51,0.53,0.55,0.57,0.60,0.59,0.62
Equity/Debt,Refineries,5.83,6.18,7.39,6.71,6.68,7.26,7.13,6.78,6.44,6.49
Equity/Debt,Retail,-,-,1.07,1.11,1.08,0.85,0.83,0.92,2.07,1.72
Equity/Debt,Steel,1.37,1.32,1.78,1.74,1.62,1.48,0.83,0.87,0.85,0.78
Equity/Debt,Telecom-Service,5.57,5.61,4.41,4.08,4.24,4.38,4.30,3.73,3.54,3.60
Equity/Debt,Textiles,-,-,0.74,0.71,0.71,0.69,0.66,0.70,-,-
Equity/Debt,Tobacco Products,1.11,2.38,1.00,0.95,0.97,1.18,1.16,1.21,2.23,2.30
Equity/Debt,Trading,-,-,0.94,1.01,0.94,1.01,-,-,-,-
