Positions Over Time - Invesco India Largecap Fund (G),,,,,,,,,,,
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25
Equity/Debt,Aerospace & Defence,1.88,1.96,1.88,1.91,2.09,1.84,1.9,2,2.04,1.92
Equity/Debt,Air Transport Service,2.86,2.83,2.91,3.22,3.13,3.34,2.98,2.9,3.03,3.16
Equity/Debt,Auto Ancillaries,1.13,0.95,1.03,1.18,1.02,2.31,2.35,2.34,2.53,3.08
Equity/Debt,Automobile,6.28,6.57,6.28,6.26,5.86,6.22,7.18,7.18,8.04,7.68
Equity/Debt,Banks,17.42,17.88,18.43,18.99,18.94,18.81,18.96,17.44,17.81,18.54
Equity/Debt,Cables,1.85,1.61,1.28,-,-,-,-,-,-,-
Equity/Debt,Capital Goods - Electrical Equipment,4.28,4.1,3.97,3.57,3.15,3.08,3.13,3.37,3.09,3.02
Equity/Debt,Capital Goods-Non Electrical Equipment,1.47,1.54,1.55,1.3,1.17,1.31,1.38,1.31,1.28,0.45
Equity/Debt,Castings Forgings & Fastners,0.94,0.94,0.99,1.15,1.18,1.18,1.15,1.12,1.23,1.18
Equity/Debt,Cement,1.99,2.32,2.41,2.28,2.34,1.5,-,-,-,-
Equity/Debt,Chemicals,0.93,0.88,0.95,0.9,1.01,1.07,1.02,1.26,1.28,1.33
Equity/Debt,Consumer Durables,0.58,0.57,0.55,0.54,0.55,0.62,0.74,0.81,1.1,1.16
Equity/Debt,Debt Others,0.25,1.32,1.1,2.28,-0.11,0.52,0.81,1.1,0.52,1.31
Equity/Debt,Diamond Gems and Jewellery,2.34,2.56,2.58,2.55,2.4,2.37,2.28,2.23,2.11,2.34
Equity/Debt,E-Commerce/App based Aggregator,3.3,3.3,3.16,3.07,2.91,2.87,3.09,2.59,2.78,2.77
Equity/Debt,Electronics,1.11,-,-,-,-,-,-,-,-,-
Equity/Debt,Finance,13.47,13.45,13.22,13.93,13.58,12.81,7.06,6.81,6.89,7.07
Equity/Debt,Financial Services,1.11,1.55,3.04,3.24,3.43,3.07,2.41,2.48,2.28,1.67
Equity/Debt,FMCG,-,-,0.03,0.03,1.1,1,2.58,5.3,4.95,4.71
Equity/Debt,Healthcare,4.46,4.49,4.48,5.28,5.22,5.59,6.39,4.69,4.6,4.07
Equity/Debt,Infrastructure Developers & Operators,4.04,4.04,3.95,4.36,4.09,4.12,4.1,3.3,-,-
Equity/Debt,IT - Software,10.63,10.49,11.38,9.02,11.69,10.78,11.07,10.17,10.75,10.61
Equity/Debt,Logistics,1,1.04,0.81,0.76,0.76,0.7,0.74,0.55,0.56,0.79
Equity/Debt,Non Ferrous Metals,1.16,1.09,1.04,0.98,1.04,0.93,0.84,0.91,1.14,1.24
Equity/Debt,Other,-,-,-,-,-,0.04,-,-,-,-
Equity/Debt,Paints/Varnish,1.42,1.52,2.21,2.3,2.4,2.66,2.75,2.9,2.63,2.37
Equity/Debt,Pharmaceuticals,3.67,3.56,3.91,4.08,3.85,3.72,3.64,3.66,3.26,3.43
Equity/Debt,Power Generation & Distribution,0.59,0.64,0.6,0.53,0.52,0.55,0.55,0.73,0.91,0.99
Equity/Debt,Realty,2.12,2.17,1.05,1.22,1.27,1.34,2.94,3.14,2.97,2.82
Equity/Debt,Refineries,-,-,-,-,-,-,-,1.31,3.81,4.11
Equity/Debt,Retail,2.92,3.12,1.49,1.53,1.62,1.72,1.71,1.89,2.14,2.3
Equity/Debt,Steel,1.45,-,-,-,-,-,2.34,2.6,2.52,1.99
Equity/Debt,Telecom-Service,3.35,3.51,3.72,3.54,3.79,3.93,3.91,3.9,3.75,3.89
