Positions Over Time - JM Large Cap Fund - (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Aerospace & Defence,1.43,1.48,1.49,1.46,1.47,1.25,1.45,1.71,1.62,1.47
Equity/Debt,Air Transport Service,1.74,1.67,1.66,1.79,1.90,2.00,2.46,2.32,2.53,2.53
Equity/Debt,Alcoholic Beverages,1.73,1.78,1.77,1.76,1.74,1.76,1.70,1.66,1.55,1.52
Equity/Debt,Automobile,7.18,7.05,7.11,7.41,7.46,7.83,7.54,8.78,8.69,7.13
Equity/Debt,Banks,19.72,19.61,21.51,23.28,22.73,19.92,19.53,19.81,19.30,20.17
Equity/Debt,Cables,1.36,1.36,1.24,1.37,1.11,1.16,1.09,0.90,-,-
Equity/Debt,Capital Goods - Electrical Equipment,1.01,1.10,0.96,1.34,1.18,2.23,2.39,2.41,1.37,1.27
Equity/Debt,Capital Goods-Non Electrical Equipment,1.41,1.25,-,-,-,0.97,1.56,1.72,1.56,1.50
Equity/Debt,Cement,1.85,1.84,1.85,1.92,1.91,1.70,1.61,1.64,2.96,2.97
Equity/Debt,Chemicals,1.08,0.99,1.03,0.95,-,-,-,-,-,-
Equity/Debt,Consumer Durables,-,-,-,-,-,1.13,1.48,1.56,1.65,1.67
Equity/Debt,Debt Others,1.80,2.88,3.38,1.85,2.14,0.90,0.59,0.42,0.79,0.48
Equity/Debt,Diamond Gems and Jewellery,1.69,1.53,1.49,1.44,1.32,1.28,1.19,0.92,-,-
Equity/Debt,E-Commerce/App based Aggregator,3.02,2.92,2.62,2.56,2.52,2.87,2.88,3.45,3.87,4.26
Equity/Debt,Finance,6.45,6.19,5.96,7.01,7.39,8.58,8.00,8.21,9.00,8.56
Equity/Debt,FMCG,1.54,1.67,1.21,1.19,2.52,1.26,1.29,1.28,2.59,2.69
Equity/Debt,Gas Distribution,-,-,-,-,-,-,-,-,1.71,1.86
Equity/Debt,Healthcare,2.53,2.54,2.67,2.62,2.33,2.25,2.05,2.12,2.06,2.09
Equity/Debt,Hotels & Restaurants,1.51,1.44,1.37,1.41,1.42,1.49,1.45,1.43,1.19,1.24
Equity/Debt,Infrastructure Developers & Operators,3.17,3.31,3.79,4.24,3.88,3.86,3.70,3.63,3.31,4.05
Equity/Debt,Insurance,1.17,1.14,1.24,1.32,1.34,1.32,1.29,1.23,1.27,1.29
Equity/Debt,IT - Software,6.51,5.80,5.96,5.57,7.13,7.75,8.70,8.60,8.37,8.58
Equity/Debt,Marine Port & Services,2.68,2.43,2.08,2.28,2.12,2.10,2.08,1.80,1.74,1.62
Equity/Debt,Miscellaneous,0.12,0.10,0.10,0.09,0.14,0.20,-,-,-,-
Equity/Debt,Non Ferrous Metals,2.87,2.08,2.70,1.56,1.61,1.58,1.38,1.66,1.50,1.37
Equity/Debt,Other,-,-,-,-,-,0.02,-,-,-,-
Equity/Debt,Pharmaceuticals,5.14,6.13,6.39,5.99,6.06,6.08,5.82,5.54,5.33,4.45
Equity/Debt,Power Generation & Distribution,3.61,3.48,3.31,3.01,3.02,1.77,1.72,1.84,1.86,1.50
Equity/Debt,Preference n Warrants,-,-,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Equity/Debt,Realty,1.15,1.17,1.01,1.10,1.15,1.20,1.22,1.25,1.09,1.12
Equity/Debt,Refineries,5.74,6.13,6.23,5.82,5.81,6.26,5.77,4.22,3.97,4.72
Equity/Debt,Retail,2.05,2.11,1.00,1.04,1.42,1.54,1.47,1.61,2.33,2.58
Equity/Debt,Steel,1.73,1.73,1.71,1.66,1.72,1.53,1.38,1.48,1.37,1.44
Equity/Debt,Stock/ Commodity Brokers,1.66,1.53,1.29,1.32,1.12,1.77,1.69,1.53,-,-
Equity/Debt,Telecom Equipment & Infra Services,-,-,-,-,-,-,1.25,1.12,1.17,1.15
Equity/Debt,Telecom-Service,3.91,3.98,4.30,4.13,4.31,4.41,4.24,4.11,4.23,4.73
Equity/Debt,Tobacco Products,1.45,1.57,1.55,1.49,-,-,-,-,-,-
