Positions Over Time - Kotak Large Cap Fund (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Banks,22.62,22.38,22.78,24.27,23.97,23.10,23.42,23.00,22.65,22.63
Equity/Debt,Refineries,7.62,8.08,8.17,7.88,7.65,8.39,8.22,7.95,7.86,7.78
Equity/Debt,IT - Software,7.20,7.37,7.63,7.40,9.19,8.96,8.70,8.48,8.82,9.58
Equity/Debt,Finance,6.21,6.37,6.06,6.62,6.08,6.02,5.63,5.45,5.32,4.88
Equity/Debt,Automobile,5.43,5.40,5.63,5.87,5.88,6.41,6.48,6.37,6.99,6.66
Equity/Debt,Infrastructure Developers & Operators,4.25,4.17,3.89,4.32,3.97,4.01,3.95,3.98,3.78,3.74
Equity/Debt,Aerospace & Defence,4.19,4.04,3.25,3.25,3.26,2.83,2.96,3.17,3.10,3.04
Equity/Debt,Telecom-Service,3.97,4.06,4.00,3.78,3.68,3.91,3.89,3.87,3.69,3.79
Equity/Debt,Pharmaceuticals,3.86,3.56,4.18,3.77,3.44,3.59,3.63,3.48,3.52,3.60
Equity/Debt,Power Generation & Distribution,3.22,3.26,2.99,2.89,2.61,2.34,2.31,2.43,2.57,2.39
Equity/Debt,FMCG,3.17,3.31,3.12,3.24,3.35,3.32,3.28,3.30,3.31,3.36
Equity/Debt,Debt Others,3.08,2.68,3.25,1.98,2.77,1.91,2.01,2.16,2.32,2.35
Equity/Debt,Cement,2.46,2.44,2.44,2.58,2.64,2.36,2.35,2.45,2.59,2.60
Equity/Debt,Steel,2.26,2.28,2.15,2.14,2.04,1.76,1.53,1.70,1.64,1.53
Equity/Debt,Auto Ancillaries,1.86,1.65,1.42,1.66,1.44,1.45,1.37,1.16,1.23,1.38
Equity/Debt,E-Commerce/App based Aggregator,1.80,1.78,1.81,1.76,1.94,1.96,2.02,2.19,2.30,2.21
Equity/Debt,Air Transport Service,1.79,1.74,1.72,1.83,1.75,1.88,2.09,2.03,2.11,2.21
Equity/Debt,Tobacco Products,1.52,2.10,2.10,2.14,2.29,2.81,2.78,2.84,2.78,2.89
Equity/Debt,Non Ferrous Metals,1.37,1.35,1.13,1.02,1.04,0.90,0.77,0.83,0.78,0.73
Equity/Debt,Healthcare,1.35,1.18,0.98,0.93,0.83,0.83,0.86,0.92,0.92,0.92
Equity/Debt,Capital Goods-Non Electrical Equipment,1.34,1.19,1.10,1.07,0.91,1.03,1.12,1.11,0.96,0.95
Equity/Debt,Alcoholic Beverages,1.16,1.20,1.13,1.15,1.14,1.18,1.19,1.09,1.05,1.06
Equity/Debt,Fertilizers,1.00,1.12,1.17,1.22,1.26,1.23,1.29,1.17,1.29,1.35
Equity/Debt,Castings Forgings & Fastners,0.92,0.88,0.83,0.89,0.64,0.64,0.63,0.62,0.59,0.42
Equity/Debt,Realty,0.87,0.57,0.53,0.51,0.50,0.55,0.54,0.60,0.55,0.57
Equity/Debt,Tyres,0.85,0.87,0.95,0.94,1.02,1.02,1.05,1.04,1.03,1.02
Equity/Debt,Unspecified Sector,0.73,0.42,-0.13,-,-,-,-,-,-,-
Equity/Debt,Insurance,0.71,0.70,0.76,0.82,0.84,0.85,0.87,0.84,0.91,0.95
Equity/Debt,Bearings,0.65,0.65,0.63,0.64,0.53,0.56,0.56,0.59,0.65,0.60
Equity/Debt,Consumer Durables,0.64,0.66,0.65,0.64,0.59,0.60,0.62,0.63,-,-
Equity/Debt,Retail,0.61,0.63,0.66,0.68,0.97,1.09,1.39,1.52,1.44,1.83
Equity/Debt,Capital Goods - Electrical Equipment,0.60,0.64,0.66,0.59,0.66,0.61,0.64,0.68,0.74,0.73
Equity/Debt,Gas Distribution,0.60,0.55,0.48,0.57,0.57,0.57,0.53,0.58,0.61,0.58
Equity/Debt,T Bills,0.14,0.23,0.23,0.17,0.16,-,-,-,-,-
Equity/Debt,Stock/ Commodity Brokers,0.10,-,-,-,-,-,-,-,-,-
Equity/Debt,Diamond Gems and Jewellery,0.02,-,-,-,-,-,-,-,-,-
Equity/Debt,Marine Port & Services,0.01,-,-,-,-,-,-,-,-,-
Equity/Debt,Chemicals,0.00,-,-,-,-,-,-,-,0.11,0.12
Equity/Debt,Infrastructure Investment Trusts,0.00,-,-,-,-,-,-,-,-,-
Equity/Debt,Mutual Fund Units,0.00,0.00,0.00,0.00,0.00,0.99,0.98,1.00,1.04,1.05
Equity/Debt,Construction,-,0.29,0.27,0.29,0.30,0.32,0.34,0.32,0.30,0.31
Equity/Debt,Cables,-,0.39,0.35,0.34,-,-,-,-,-,-
Equity/Debt,Govt. Securities,-,-,0.03,0.02,-,-,-,-,-,-
Equity/Debt,Mining & Mineral products,-,-,0.01,0.12,-,-,-,-,-,-
Equity/Debt,Other,-,-,-,-,-,0.02,-,-,-,-
Equity/Debt,Financial Services,-,-,-,-,-,-,-,0.28,0.28,-
Equity/Debt,Agro Chemicals,-,-,-,-,-,-,-,0.17,0.17,0.19
