Positions Over Time - LIC MF Large Cap Fund (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Aerospace & Defence,2.84,3.06,3.05,3.36,4.07,3.60,2.94,3.06,3.07,2.81
Equity/Debt,Air Transport Service,2.95,1.98,1.77,1.50,-,-,-,-,-,-
Equity/Debt,Alcoholic Beverages,0.85,0.79,1.34,1.57,1.57,1.80,1.88,1.89,1.59,1.07
Equity/Debt,Auto Ancillaries,-,-,1.04,1.17,1.16,1.10,1.09,1.13,0.99,1.04
Equity/Debt,Automobile,8.63,7.66,7.36,8.52,6.30,6.12,5.96,5.89,6.66,6.26
Equity/Debt,Banks,25.23,24.44,23.88,25.46,26.06,25.27,25.28,24.88,23.93,23.40
Equity/Debt,Capital Goods - Electrical Equipment,1.36,-,-,-,-,-,-,0.27,0.25,0.40
Equity/Debt,Capital Goods-Non Electrical Equipment,-,-,1.05,1.18,1.41,1.58,1.48,1.78,1.84,1.82
Equity/Debt,Castings Forgings & Fastners,-,-,-,-,0.53,0.63,1.10,1.02,0.97,0.88
Equity/Debt,Cement,1.73,1.72,1.57,1.48,1.47,1.31,1.28,1.32,1.40,1.45
Equity/Debt,Chemicals,1.44,1.69,1.49,1.53,1.45,1.45,1.42,1.40,1.48,1.54
Equity/Debt,Consumer Durables,0.88,0.97,0.74,0.80,1.12,0.88,0.89,0.98,0.96,0.96
Equity/Debt,Debt Others,2.05,6.82,6.78,4.14,3.70,2.27,2.57,3.16,2.40,3.10
Equity/Debt,Derivatives - Index,-,0.15,-,-,-,-,-,-,-,-
Equity/Debt,Diamond Gems and Jewellery,2.03,2.14,2.08,2.01,1.83,1.79,1.72,1.65,2.23,2.16
Equity/Debt,E-Commerce/App based Aggregator,1.98,1.92,1.41,1.34,1.15,1.12,1.21,1.28,0.79,-
Equity/Debt,Finance,5.37,3.78,3.07,3.83,4.10,3.80,3.69,4.61,4.53,4.24
Equity/Debt,FMCG,2.80,2.58,3.48,3.46,3.23,3.05,3.15,3.11,3.23,3.93
Equity/Debt,Gas Distribution,-,-,-,-,-,-,1.25,1.30,1.30,1.28
Equity/Debt,Healthcare,1.81,2.23,2.39,2.29,2.03,1.84,1.44,1.51,1.51,1.55
Equity/Debt,Hotels & Restaurants,1.19,1.13,0.91,0.78,0.78,0.82,0.83,0.68,0.68,0.32
Equity/Debt,Infrastructure Developers & Operators,5.74,5.56,5.24,5.64,5.14,5.82,5.79,5.79,5.53,5.48
Equity/Debt,Insurance,2.76,2.36,1.90,1.92,1.87,1.82,1.75,1.75,1.66,1.67
Equity/Debt,IT - Software,4.17,4.27,5.35,5.08,6.53,5.88,5.76,5.52,6.04,6.74
Equity/Debt,Mining & Mineral products,0.98,1.01,0.99,0.82,0.96,0.93,0.85,0.81,0.85,0.75
Equity/Debt,Miscellaneous,0.76,0.57,0.71,-,-,-,-,-,-,-
Equity/Debt,Other,-,-,-,-,-,0.04,-,-,-,-
Equity/Debt,Pharmaceuticals,2.61,2.58,2.39,3.01,2.80,3.72,3.85,3.66,3.69,4.42
Equity/Debt,Plantation & Plantation Products,-,-,-,-,-,-,-,-,0.41,1.12
Equity/Debt,Power Generation & Distribution,-,-,-,0.81,0.81,3.00,3.05,3.21,3.18,3.14
Equity/Debt,Quick Service Restaurant,-,0.73,0.71,0.75,0.71,0.77,0.82,0.62,0.67,-
Equity/Debt,Readymade Garments/ Apparells,-,-,-,0.39,1.85,1.66,1.70,1.01,1.03,0.83
Equity/Debt,Refineries,5.12,6.96,7.05,6.45,6.40,6.91,6.86,6.52,6.20,6.17
Equity/Debt,Retail,1.54,1.49,1.28,1.33,1.14,1.24,0.68,0.76,0.78,0.50
Equity/Debt,Steel,2.78,1.25,1.07,-,-,-,-,-,0.97,1.97
Equity/Debt,Telecom-Service,4.52,4.49,4.37,4.06,4.22,4.33,4.30,4.21,3.99,4.02
Equity/Debt,Textiles,2.02,2.13,2.10,2.03,2.27,2.19,2.15,1.99,1.96,1.98
Equity/Debt,Tobacco Products,3.87,3.55,3.42,3.31,3.33,3.25,3.26,3.21,3.22,3.02
