Positions Over Time - Tata Large Cap Fund - Regular (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Agro Chemicals,-,-,1.39,1.37,-,-,-,-,-,-
Equity/Debt,Air Transport Service,2.14,2.08,2.09,1.56,-,-,-,-,-,-
Equity/Debt,Alcoholic Beverages,-,-,-,-,-,2.11,2.13,2.13,2.05,2.08
Equity/Debt,Auto Ancillaries,2.64,2.19,2.08,2.32,1.98,2.22,2.16,1.98,2.07,1.86
Equity/Debt,Automobile,3.49,3.88,4.09,5.13,8.88,10.16,10.68,10.49,10.87,10.80
Equity/Debt,Banks,23.77,27.05,29.38,32.11,30.27,26.85,27.09,26.91,26.75,26.88
Equity/Debt,Capital Goods - Electrical Equipment,2.91,2.12,1.69,1.66,1.60,1.63,1.70,2.44,2.41,2.40
Equity/Debt,Castings Forgings & Fastners,-,-,-,-,1.49,1.47,1.44,1.35,1.29,1.21
Equity/Debt,Cement,3.66,2.88,2.85,2.97,2.89,2.99,2.94,2.76,4.16,4.33
Equity/Debt,Consumer Durables,0.80,2.12,1.96,1.97,1.74,1.86,2.15,2.81,1.86,2.00
Equity/Debt,Debt Others,2.41,2.31,3.39,2.91,2.20,3.15,3.34,2.83,2.33,2.41
Equity/Debt,Electronics,0.60,0.52,0.48,0.50,0.54,0.52,0.56,0.59,0.61,0.67
Equity/Debt,Finance,7.03,6.99,4.65,4.87,4.62,4.66,4.62,4.70,4.74,4.32
Equity/Debt,FMCG,4.67,4.78,4.64,5.14,5.40,3.63,3.78,3.82,3.39,3.20
Equity/Debt,Hotels & Restaurants,1.53,1.49,-,-,-,-,-,-,-,-
Equity/Debt,Infrastructure Developers & Operators,3.54,3.48,3.33,3.58,3.32,3.89,3.90,3.91,3.69,3.73
Equity/Debt,Insurance,-,-,1.81,1.93,1.99,1.98,2.03,1.97,2.11,2.21
Equity/Debt,IT - Software,8.60,8.84,9.55,8.91,10.67,10.19,10.25,10.00,9.20,9.83
Equity/Debt,Marine Port & Services,1.48,1.51,1.31,1.34,1.26,1.27,1.31,1.27,1.28,1.23
Equity/Debt,Non Ferrous Metals,1.65,2.48,1.08,1.00,1.05,0.94,0.86,0.91,0.85,-
Equity/Debt,Other,-,-,-,-,-,0.14,-,-,-,-
Equity/Debt,Pharmaceuticals,4.82,1.71,1.68,1.12,1.10,1.12,1.05,1.08,2.62,3.33
Equity/Debt,Power Generation & Distribution,6.30,5.81,6.89,4.89,4.41,4.41,4.39,4.58,4.54,4.37
Equity/Debt,Quick Service Restaurant,1.01,1.07,1.19,1.07,1.08,1.19,1.21,0.96,1.16,1.24
Equity/Debt,Refineries,6.28,5.59,5.76,5.26,5.31,5.81,5.82,5.59,5.34,5.45
Equity/Debt,Steel,2.05,4.03,5.06,4.97,4.67,4.29,4.17,4.49,4.37,4.06
Equity/Debt,Stock/ Commodity Brokers,1.38,-,-,-,-,-,-,-,-,-
Equity/Debt,Telecom Equipment & Infra Services,1.48,1.14,1.28,1.23,1.21,1.11,-,-,-,-
Equity/Debt,Telecom-Service,5.76,5.93,2.37,2.19,2.32,2.41,2.42,2.39,2.27,2.35
Equity/Debt,Textiles,-,-,-,-,-,-,-,0.04,0.04,0.04
