Positions Over Time - UTI-Large Cap Fund (G)
Type,Sector,30-Jun-26,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Banks,29.24,26.86,26.67,26.56,28.38,27.39,26.75,27.17,26.73,26.51,26.36
Equity/Debt,IT - Software,9.26,10.26,10.43,11.47,10.70,12.25,11.61,11.49,11.40,11.13,11.24
Equity/Debt,Automobile,6.61,6.49,6.17,5.80,5.81,5.55,5.78,4.68,3.79,5.14,5.39
Equity/Debt,Refineries,5.74,5.91,5.94,6.01,5.34,5.58,6.05,5.94,4.68,4.61,4.47
Equity/Debt,Telecom-Service,4.12,4.11,4.17,3.82,3.57,3.79,4.12,4.19,4.14,3.87,4.31
Equity/Debt,Infrastructure Developers & Operators,4.08,4.15,4.23,3.97,4.64,3.74,3.75,3.81,3.82,3.54,3.49
Equity/Debt,E-Commerce/App based Aggregator,4.01,3.74,3.61,3.40,3.23,2.92,2.89,3.04,2.37,2.45,2.40
Equity/Debt,Finance,3.96,4.27,4.49,4.12,4.62,4.34,4.47,4.61,4.85,4.98,4.79
Equity/Debt,Pharmaceuticals,3.33,3.14,1.97,2.70,2.36,2.16,2.15,2.20,2.30,3.55,3.68
Equity/Debt,Debt Others,3.17,2.35,2.10,2.86,1.60,3.42,1.70,1.03,3.43,2.24,3.24
Equity/Debt,Insurance,2.39,2.32,2.03,1.23,1.21,1.22,1.88,1.95,2.26,2.66,2.96
Equity/Debt,Cement,1.99,2.05,2.03,2.03,1.69,1.67,0.98,0.96,0.95,0.99,0.62
Equity/Debt,Retail,1.84,1.82,2.62,2.48,2.45,2.69,2.69,2.81,3.83,4.17,4.49
Equity/Debt,Steel,1.81,2.28,2.28,2.25,2.63,2.63,2.46,2.26,2.27,2.11,1.66
Equity/Debt,Aerospace & Defence,1.69,1.68,1.66,1.44,1.23,1.33,1.22,1.25,1.31,1.03,-
Equity/Debt,Healthcare,1.66,1.09,0.94,0.92,0.89,0.86,0.86,0.85,0.88,0.77,0.82
Equity/Debt,Consumer Durables,1.39,1.68,1.82,2.40,2.38,2.20,2.22,2.20,1.60,0.93,0.95
Equity/Debt,Plantation & Plantation Products,1.29,1.42,1.36,1.54,1.62,1.58,1.60,1.57,1.58,1.56,1.47
Equity/Debt,Diamond Gems and Jewellery,1.21,1.34,1.42,1.56,1.66,1.63,1.60,1.53,1.49,1.37,1.47
Equity/Debt,Tobacco Products,1.16,1.17,1.26,1.24,1.20,1.52,2.74,2.73,2.87,2.80,2.86
Equity/Debt,Crude Oil & Natural Gas,1.06,1.27,1.30,1.33,1.02,0.73,0.63,1.02,1.08,1.03,1.01
Equity/Debt,Power Generation & Distribution,1.04,0.94,0.23,0.23,0.33,0.11,0.29,1.04,1.34,1.38,1.33
Equity/Debt,Mining & Mineral products,1.01,1.07,1.10,1.95,1.51,1.04,0.89,0.94,0.97,0.93,0.84
Equity/Debt,Paints/Varnish,0.92,1.44,1.29,1.23,1.20,1.21,1.33,1.27,0.84,0.80,0.86
Equity/Debt,Realty,0.81,0.78,0.76,-,-,-,-,-,-,-,-
Equity/Debt,Plastic products,0.75,0.89,0.85,0.95,1.22,1.06,0.96,0.99,0.98,0.94,0.94
Equity/Debt,Quick Service Restaurant,0.72,0.75,0.82,0.80,0.85,0.80,0.87,0.93,0.92,0.97,0.86
Equity/Debt,Marine Port & Services,0.70,1.25,1.13,-,-,-,-,-,-,-,-
Equity/Debt,Leather,0.55,0.56,0.55,0.52,0.54,0.53,0.59,0.57,0.55,0.65,0.57
Equity/Debt,Chemicals,0.47,0.47,0.24,0.25,0.24,0.26,0.58,0.55,0.56,0.55,0.55
Equity/Debt,FMCG,0.46,0.78,1.53,2.16,2.53,2.45,2.49,1.99,2.01,2.08,2.24
Equity/Debt,Govt. Securities,0.42,0.42,0.42,0.45,0.40,0.40,0.38,0.38,0.39,0.40,0.39
Equity/Debt,Non Ferrous Metals,0.38,0.10,-,-,-,-,-,-,-,-,-
Equity/Debt,Tyres,0.27,0.27,0.26,0.27,0.28,0.26,0.26,0.25,0.25,0.21,0.20
Equity/Debt,Air Transport Service,0.22,0.28,0.36,0.36,0.68,0.78,0.83,0.96,0.92,0.99,1.00
Equity/Debt,Auto Ancillaries,0.20,0.30,1.01,1.12,1.10,0.95,0.94,0.93,0.87,0.84,0.80
Equity/Debt,Cables,0.09,0.31,0.52,0.47,0.91,0.95,1.44,1.71,1.78,1.72,1.68
Equity/Debt,Fixed Deposits,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.04
Equity/Debt,Other,-,-,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity/Debt,T Bills,-,-,-,0.12,-,-,-,-,-,-,-
Equity/Debt,Mutual Fund Units,-,-,-,0.00,-,-,-,-,-,-,-
