Positions Over Time - Union Largecap Fund - Regular (G)
Type,Sector,31-May-26,30-Apr-26,31-Mar-26,28-Feb-26,31-Jan-26,31-Dec-25,30-Nov-25,31-Oct-25,30-Sep-25,31-Aug-25,
Equity/Debt,Aerospace & Defence,5.35,4.98,4.66,4.61,5.42,4.68,4.83,5.54,5.51,4.91
Equity/Debt,Air Transport Service,-,-,-,-,-,-,1.23,1.18,1.21,1.26
Equity/Debt,Auto Ancillaries,0.88,0.89,0.90,0.92,1.34,1.42,1.42,1.35,1.46,1.20
Equity/Debt,Automobile,6.05,6.69,6.94,6.98,6.60,6.94,6.68,6.53,6.62,6.39
Equity/Debt,Banks,24.45,24.85,25.41,26.82,26.35,25.60,23.76,22.92,23.23,24.01
Equity/Debt,Cables,1.09,0.92,0.85,0.95,0.96,1.01,0.98,1.02,0.99,-
Equity/Debt,Capital Goods - Electrical Equipment,5.44,4.74,4.00,4.02,3.16,3.72,3.32,2.86,2.98,2.70
Equity/Debt,Capital Goods-Non Electrical Equipment,-,-,-,-,-,-,-,-,0.68,0.68
Equity/Debt,Cement,2.23,2.25,2.30,2.36,2.32,2.15,2.14,2.11,1.89,2.07
Equity/Debt,Chemicals,1.14,1.09,1.07,0.45,0.80,0.99,0.95,1.65,1.91,2.01
Equity/Debt,Consumer Durables,1.49,1.81,1.79,1.75,1.60,1.61,3.93,4.32,2.79,2.65
Equity/Debt,Debt Others,0.74,0.92,1.05,1.12,1.14,0.97,0.88,0.97,1.97,2.01
Equity/Debt,Diamond Gems and Jewellery,1.98,2.12,2.08,2.03,1.84,1.82,1.44,1.18,1.09,1.22
Equity/Debt,E-Commerce/App based Aggregator,2.10,2.05,2.19,2.20,2.58,2.77,2.85,3.01,3.10,2.78
Equity/Debt,Finance,7.07,7.06,6.78,7.36,7.36,7.18,6.44,6.39,6.24,6.16
Equity/Debt,Financial Services,0.68,0.68,0.59,0.54,-,-,-,-,-,-
Equity/Debt,FMCG,0.75,0.78,0.78,0.78,0.80,0.75,0.78,0.79,0.83,0.90
Equity/Debt,Healthcare,2.24,1.24,1.31,1.33,1.15,1.22,1.34,1.33,0.84,0.90
Equity/Debt,Hotels & Restaurants,-,0.36,0.35,0.52,0.52,0.55,-,-,-,-
Equity/Debt,Infrastructure Developers & Operators,3.92,3.93,3.74,4.06,3.81,3.84,3.76,3.75,3.51,3.57
Equity/Debt,Insurance,0.46,0.62,0.66,0.67,0.66,0.65,0.62,0.62,0.58,0.61
Equity/Debt,IT - Software,5.95,6.03,6.95,6.58,8.19,7.80,8.18,8.55,8.40,8.90
Equity/Debt,Miscellaneous,1.48,1.40,1.43,1.55,1.66,1.67,1.83,1.68,1.76,1.85
Equity/Debt,Non Ferrous Metals,1.03,0.95,0.88,0.82,0.84,0.56,0.37,0.39,-,-
Equity/Debt,Other,-,-,-,-,-,0.01,-,-,-,-
Equity/Debt,Pharmaceuticals,4.31,4.14,4.45,4.04,3.68,4.05,3.57,3.43,3.38,3.51
Equity/Debt,Plantation & Plantation Products,2.71,2.62,2.53,2.53,2.49,2.40,2.33,2.33,2.32,2.26
Equity/Debt,Power Generation & Distribution,2.66,2.73,2.21,1.64,1.52,1.26,2.24,2.37,3.52,4.05
Equity/Debt,Preference n Warrants,-,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Equity/Debt,Refineries,5.60,6.03,6.00,5.54,5.49,5.70,5.60,5.00,4.73,6.26
Equity/Debt,Retail,0.53,0.52,0.45,0.47,0.45,1.16,1.14,1.26,1.30,0.59
Equity/Debt,Steel,2.99,2.98,2.92,2.90,2.67,1.86,1.76,1.88,1.81,0.96
Equity/Debt,T Bills,0.07,0.07,0.07,0.06,0.06,0.06,0.12,0.06,0.06,0.07
Equity/Debt,Telecom-Service,3.82,3.67,3.78,3.55,3.68,3.82,3.75,3.69,3.48,3.61
Equity/Debt,Tobacco Products,0.79,0.86,0.86,0.83,0.84,1.76,1.74,1.82,1.79,1.89
